date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.2297,4.2297,3.9653,4.0711,2.6366,190034.0,0.0,1.0
2000-01-05,4.0182,4.0711,3.9125,4.0711,2.6366,354924.0,0.0,1.0
2000-01-06,4.2244,4.2244,4.0499,4.0711,2.6366,205876.0,0.0,1.0
2000-01-07,4.0711,4.0711,3.997,4.0499,2.6229,105972.0,0.0,1.0
2000-01-10,4.0996,4.1768,4.0499,4.1662,2.6983,111624.0,0.0,1.0
2000-01-11,4.1662,4.2191,4.1239,4.2191,2.7325,593512.0,0.0,1.0
2000-01-12,4.1842,4.1842,4.0711,4.1007,2.6558,232988.0,0.0,1.0
2000-01-13,4.1028,4.2191,4.1028,4.2191,2.7325,210427.0,0.0,1.0
2000-01-14,4.1768,4.2297,4.1768,4.2297,2.7394,369910.0,0.0,1.0
2000-01-17,4.2297,4.2614,4.1979,4.2508,2.7531,273146.0,0.0,1.0
2000-01-18,4.2212,4.2212,4.0816,4.1028,2.6572,440093.0,0.0,1.0
2000-01-19,4.1028,4.1345,4.1028,4.1239,2.6709,179143.0,0.0,1.0
2000-01-20,4.1345,4.2297,4.1239,4.1979,2.7188,709569.0,0.0,1.0
2000-01-21,4.1768,4.1768,4.1239,4.1239,2.6709,489285.0,0.0,1.0
2000-01-24,4.2614,4.2614,4.1239,4.1239,2.6709,62770.0,0.0,1.0
2000-01-25,4.0711,4.0711,4.0076,4.0584,2.6284,939200.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,3.9653,4.0393,3.9653,3.9653,2.5682,407927.0,0.0,1.0
2000-01-28,3.9653,3.9653,3.9336,3.9547,2.5613,423920.0,0.0,1.0
2000-01-31,3.9125,3.9336,3.8596,3.9125,2.5339,299728.0,0.0,1.0
2000-02-01,3.9336,3.9336,3.8384,3.8596,2.4997,177753.0,0.0,1.0
2000-02-02,3.8596,3.8702,3.701,3.7327,2.4175,351580.0,0.0,1.0
2000-02-03,3.7242,3.7242,3.5741,3.5952,2.3285,275740.0,0.0,1.0
2000-02-04,3.6079,3.6079,3.5318,3.5318,2.2874,416423.0,0.0,1.0
2000-02-07,3.5751,3.5751,3.5212,3.5423,2.2942,103223.0,0.0,1.0
2000-02-08,3.5423,3.5423,3.3943,3.4472,2.2326,422072.0,0.0,1.0
2000-02-09,3.4472,3.5529,3.4472,3.5529,2.3011,245065.0,0.0,1.0
2000-02-10,3.5783,3.5783,3.5212,3.5529,2.3011,1090172.0,0.0,1.0
2000-02-11,3.5529,3.5952,3.5423,3.5423,2.2942,347889.0,0.0,1.0
2000-02-14,3.4937,3.5106,3.4472,3.4895,2.26,2405611.0,0.0,1.0
