date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-10-26,1.15,1.215,1.15,1.2,1.1561,6040496.0,0.0,1.0
2017-10-27,1.22,1.29,1.22,1.25,1.2043,2250230.0,0.0,1.0
2017-10-30,1.29,1.33,1.275,1.285,1.238,1562524.0,0.0,1.0
2017-10-31,1.29,1.295,1.28,1.28,1.2332,1058681.0,0.0,1.0
2017-11-01,1.285,1.29,1.26,1.26,1.214,294487.0,0.0,1.0
2017-11-02,1.265,1.27,1.245,1.255,1.2091,161825.0,0.0,1.0
2017-11-03,1.255,1.255,1.2,1.225,1.1802,1404018.0,0.0,1.0
2017-11-06,1.235,1.235,1.215,1.215,1.1706,41908.0,0.0,1.0
2017-11-07,1.2,1.205,1.2,1.205,1.161,75203.0,0.0,1.0
2017-11-08,1.2,1.21,1.2,1.205,1.161,690756.0,0.0,1.0
2017-11-09,1.2,1.23,1.2,1.22,1.1754,244160.0,0.0,1.0
2017-11-10,1.2,1.23,1.19,1.23,1.1851,133199.0,0.0,1.0
2017-11-13,1.23,1.25,1.23,1.25,1.2043,193546.0,0.0,1.0
2017-11-14,1.25,1.28,1.25,1.27,1.2236,463544.0,0.0,1.0
2017-11-15,1.27,1.275,1.25,1.25,1.2043,188606.0,0.0,1.0
2017-11-16,1.25,1.25,1.2,1.25,1.2043,799079.0,0.0,1.0
2017-11-17,1.25,1.25,1.22,1.25,1.2043,136611.0,0.0,1.0
2017-11-20,1.25,1.25,1.22,1.24,1.1947,801130.0,0.0,1.0
2017-11-21,1.25,1.25,1.22,1.22,1.1754,505852.0,0.0,1.0
2017-11-22,1.22,1.24,1.22,1.22,1.1754,128572.0,0.0,1.0
2017-11-23,1.23,1.24,1.22,1.24,1.1947,173019.0,0.0,1.0
2017-11-24,1.24,1.25,1.235,1.25,1.2043,79500.0,0.0,1.0
2017-11-27,1.25,1.25,1.25,1.25,1.2043,0.0,0.0,1.0
2017-11-28,1.23,1.25,1.22,1.25,1.2043,370407.0,0.0,1.0
2017-11-29,1.25,1.255,1.24,1.25,1.2043,218264.0,0.0,1.0
2017-11-30,1.245,1.26,1.245,1.26,1.214,405548.0,0.0,1.0
2017-12-01,1.26,1.34,1.26,1.33,1.2814,881180.0,0.0,1.0
2017-12-04,1.34,1.345,1.29,1.31,1.2621,129676.0,0.0,1.0
2017-12-05,1.34,1.35,1.3,1.315,1.2669,225749.0,0.0,1.0
2017-12-06,1.315,1.34,1.305,1.32,1.2718,107358.0,0.0,1.0
2017-12-07,1.34,1.34,1.34,1.34,1.291,5500.0,0.0,1.0
2017-12-08,1.33,1.35,1.32,1.32,1.2718,134359.0,0.0,1.0
2017-12-11,1.32,1.32,1.315,1.315,1.2669,21575.0,0.0,1.0
2017-12-12,1.32,1.38,1.32,1.375,1.3248,85380.0,0.0,1.0
2017-12-13,1.37,1.37,1.345,1.35,1.3007,138716.0,0.0,1.0
2017-12-14,1.34,1.38,1.34,1.37,1.3199,47800.0,0.0,1.0
2017-12-15,1.39,1.39,1.38,1.38,1.3296,137487.0,0.0,1.0
2017-12-18,1.37,1.38,1.35,1.35,1.3007,142181.0,0.0,1.0
