date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2009-11-13,1.723,1.7667,1.689,1.7084,0.9212,68146009.0,0.0,1.0
2009-11-16,1.7278,1.7424,1.7084,1.7181,0.9265,10101508.0,0.0,1.0
2009-11-17,1.7278,1.7375,1.7084,1.7084,0.9212,4054614.0,0.0,1.0
2009-11-18,1.6987,1.6987,1.6647,1.6744,0.9029,5072955.0,0.0,1.0
2009-11-19,1.6744,1.6842,1.6696,1.6744,0.9029,4240048.0,0.0,1.0
2009-11-20,1.6647,1.6696,1.6453,1.6502,0.8898,4957265.0,0.0,1.0
2009-11-23,1.6453,1.655,1.6405,1.655,0.8925,3166798.0,0.0,1.0
2009-11-24,1.6502,1.6599,1.6211,1.6599,0.8951,2646965.0,0.0,1.0
2009-11-25,1.6599,1.6842,1.6502,1.6696,0.9003,2301028.0,0.0,1.0
2009-11-26,1.6696,1.689,1.6696,1.6793,0.9055,1098489.0,0.0,1.0
2009-11-27,1.6405,1.6696,1.6308,1.6502,0.8898,2474100.0,0.0,1.0
2009-11-30,1.6405,1.6502,1.6308,1.6502,0.8898,1930160.0,0.0,1.0
2009-12-01,1.6356,1.6502,1.6162,1.6162,0.8715,2597001.0,0.0,1.0
2009-12-02,1.6162,1.6162,1.5531,1.558,0.8401,2238496.0,0.0,1.0
2009-12-03,1.5628,1.6308,1.5628,1.6308,0.8794,1833014.0,0.0,1.0
2009-12-04,1.6308,1.6308,1.5919,1.6114,0.8689,581335.0,0.0,1.0
2009-12-07,1.6162,1.6211,1.5677,1.5822,0.8532,509119.0,0.0,1.0
2009-12-08,1.5677,1.5919,1.5677,1.5822,0.8532,649431.0,0.0,1.0
2009-12-09,1.5725,1.5871,1.5677,1.5774,0.8506,819309.0,0.0,1.0
2009-12-10,1.5871,1.6017,1.5871,1.5968,0.861,627694.0,0.0,1.0
2009-12-11,1.6017,1.6308,1.6017,1.6211,0.8741,460288.0,0.0,1.0
2009-12-14,1.6356,1.6356,1.6162,1.6162,0.8715,248069.0,0.0,1.0
2009-12-15,1.6114,1.6211,1.5968,1.6211,0.8741,1478320.0,0.0,1.0
2009-12-16,1.6017,1.6211,1.5919,1.6211,0.8741,517463.0,0.0,1.0
2009-12-17,1.6114,1.6114,1.5968,1.5968,0.861,193675.0,0.0,1.0
2009-12-18,1.5871,1.5871,1.5628,1.5822,0.8532,862885.0,0.0,1.0
2009-12-21,1.5822,1.5919,1.5774,1.5822,0.8532,478625.0,0.0,1.0
2009-12-22,1.5725,1.5968,1.5628,1.5871,0.8558,791390.0,0.0,1.0
2009-12-23,1.5725,1.5822,1.5628,1.5774,0.8506,774289.0,0.0,1.0
2009-12-24,1.5871,1.5968,1.5774,1.5919,0.8584,1084685.0,0.0,1.0
2009-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-12-30,1.5822,1.5871,1.5677,1.5725,0.848,619349.0,0.0,1.0
2009-12-31,1.5774,1.5822,1.5677,1.5725,0.848,1741739.0,0.0,1.0
2010-01-04,1.5822,1.5822,1.524,1.5483,0.8349,568290.0,0.0,1.0
2010-01-05,1.5531,1.5531,1.4706,1.5191,0.8192,2946996.0,0.0,1.0
2010-01-06,1.5143,1.5386,1.49,1.4949,0.8061,1702752.0,0.0,1.0
