date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-11-11,0.8582,0.8582,0.8582,0.8582,0.2491,0.0,0.0,1.0
2003-11-12,0.8668,0.9183,0.8668,0.884,0.2566,8562322.0,0.0,1.0
2003-11-13,0.884,0.9011,0.8754,0.9011,0.2616,2681851.0,0.0,1.0
2003-11-14,0.8925,0.9097,0.8925,0.9011,0.2616,2252643.0,0.0,1.0
2003-11-17,0.9011,0.9011,0.884,0.884,0.2566,1042569.0,0.0,1.0
2003-11-18,0.8925,0.8925,0.884,0.8925,0.2591,2322564.0,0.0,1.0
2003-11-19,0.8925,0.8925,0.884,0.884,0.2566,455185.0,0.0,1.0
2003-11-20,0.884,0.8925,0.884,0.884,0.2566,1198967.0,0.0,1.0
2003-11-21,0.884,0.8925,0.8754,0.884,0.2566,568035.0,0.0,1.0
2003-11-24,0.884,0.884,0.8754,0.884,0.2566,737688.0,0.0,1.0
2003-11-25,0.8925,0.8925,0.884,0.8925,0.2591,358807.0,0.0,1.0
2003-11-26,0.8925,0.8925,0.884,0.8925,0.2591,219533.0,0.0,1.0
2003-11-27,0.884,0.8925,0.884,0.884,0.2566,982670.0,0.0,1.0
2003-11-28,0.8925,0.8925,0.884,0.884,0.2566,264203.0,0.0,1.0
2003-12-01,0.8925,0.8925,0.884,0.884,0.2566,627309.0,0.0,1.0
2003-12-02,0.8754,0.884,0.8754,0.8754,0.2541,495676.0,0.0,1.0
2003-12-03,0.8754,0.8925,0.8754,0.884,0.2566,1122058.0,0.0,1.0
2003-12-04,0.8925,0.8925,0.884,0.8925,0.2591,376007.0,0.0,1.0
2003-12-05,0.8925,0.9011,0.8925,0.9011,0.2616,176176.0,0.0,1.0
2003-12-08,0.9011,0.9011,0.884,0.8925,0.2591,286855.0,0.0,1.0
2003-12-09,0.8925,0.9011,0.8925,0.9011,0.2616,406779.0,0.0,1.0
2003-12-10,0.9011,0.9011,0.8925,0.9011,0.2616,356269.0,0.0,1.0
2003-12-11,0.9011,0.9011,0.8925,0.8925,0.2591,387948.0,0.0,1.0
2003-12-12,0.8925,0.9097,0.8925,0.9097,0.2641,921737.0,0.0,1.0
2003-12-15,0.9183,0.9269,0.9183,0.9183,0.2666,446272.0,0.0,1.0
2003-12-16,0.9269,0.944,0.9269,0.9355,0.2716,406538.0,0.0,1.0
2003-12-17,0.9526,0.9526,0.944,0.944,0.2741,2145133.0,0.0,1.0
2003-12-18,0.9526,0.9526,0.9355,0.9355,0.2716,295431.0,0.0,1.0
2003-12-19,0.944,0.9526,0.944,0.9526,0.2766,237124.0,0.0,1.0
2003-12-22,0.944,0.944,0.9355,0.9355,0.2716,54764.0,0.0,1.0
2003-12-23,0.944,0.944,0.9355,0.9355,0.2716,195971.0,0.0,1.0
2003-12-24,0.9355,0.944,0.9355,0.9355,0.2716,81488.0,0.0,1.0
2003-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-29,0.9269,0.9355,0.9269,0.9355,0.2716,95197.0,0.0,1.0
2003-12-30,0.9355,0.9355,0.9355,0.9355,0.2716,73274.0,0.0,1.0
2003-12-31,0.9355,0.944,0.9355,0.944,0.2741,27840.0,0.0,1.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-02,0.944,0.944,0.944,0.944,0.2741,874.0,0.0,1.0
2004-01-05,0.944,0.944,0.9355,0.944,0.2741,69900.0,0.0,1.0
2004-01-06,0.944,0.944,0.9355,0.9355,0.2716,88555.0,0.0,1.0
2004-01-07,0.9355,0.944,0.9355,0.9355,0.2716,115937.0,0.0,1.0
2004-01-08,0.944,0.944,0.944,0.944,0.2741,314604.0,0.0,1.0
2004-01-09,0.944,0.9526,0.944,0.944,0.2741,202010.0,0.0,1.0
2004-01-12,0.9526,0.9526,0.944,0.9526,0.2766,72011.0,0.0,1.0
2004-01-13,0.944,0.944,0.944,0.944,0.2741,92167.0,0.0,1.0
2004-01-14,0.944,0.9526,0.9355,0.944,0.2741,488885.0,0.0,1.0
2004-01-15,0.9355,0.944,0.9355,0.944,0.2741,30295.0,0.0,1.0
2004-01-16,0.944,0.9526,0.944,0.9526,0.2766,460036.0,0.0,1.0
2004-01-19,0.9526,0.9526,0.944,0.944,0.2741,138673.0,0.0,1.0
2004-01-20,0.944,0.9526,0.944,0.9526,0.2766,115866.0,0.0,1.0
2004-01-21,0.9526,0.9526,0.944,0.944,0.2741,169470.0,0.0,1.0
2004-01-22,0.944,0.9612,0.944,0.9612,0.279,536429.0,0.0,1.0
2004-01-23,0.9526,0.9612,0.9526,0.9612,0.279,126135.0,0.0,1.0
2004-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-27,0.9612,0.9784,0.9612,0.9698,0.2815,181587.0,0.0,1.0
2004-01-28,0.9784,0.9784,0.9698,0.9784,0.284,149330.0,0.0,1.0
2004-01-29,0.9784,0.987,0.9698,0.9698,0.2815,38734.0,0.0,1.0
2004-01-30,0.987,0.987,0.9698,0.9784,0.284,41586.0,0.0,1.0
2004-02-02,0.987,0.987,0.9698,0.987,0.2865,69565.0,0.0,1.0
2004-02-03,0.9784,0.9784,0.9526,0.9526,0.2766,95247.0,0.0,1.0
2004-02-04,0.9612,0.9784,0.9612,0.9784,0.284,139102.0,0.0,1.0
2004-02-05,0.9784,0.9784,0.9698,0.9784,0.284,83240.0,0.0,1.0
2004-02-06,0.9698,0.9784,0.9698,0.9784,0.284,28914.0,0.0,1.0
2004-02-09,0.9698,0.9698,0.9612,0.9698,0.2815,13982.0,0.0,1.0
2004-02-10,0.9698,0.9784,0.9698,0.9784,0.284,488593.0,0.0,1.0
2004-02-11,0.987,0.987,0.9784,0.987,0.2865,202301.0,0.0,1.0
2004-02-12,0.987,0.987,0.9784,0.9784,0.284,85430.0,0.0,1.0
2004-02-13,0.9784,0.987,0.9784,0.987,0.2865,168890.0,0.0,1.0
2004-02-16,0.987,0.987,0.9784,0.987,0.2865,202477.0,0.0,1.0
2004-02-17,0.987,0.987,0.9784,0.9784,0.284,184335.0,0.0,1.0
2004-02-18,0.9784,0.987,0.9784,0.9784,0.284,158560.0,0.0,1.0
2004-02-19,0.987,0.9955,0.9784,0.9955,0.289,113490.0,0.0,1.0
2004-02-20,0.9955,0.9955,0.9955,0.9955,0.289,26217.0,0.0,1.0
2004-02-23,1.0041,1.0041,0.987,0.987,0.2865,117897.0,0.0,1.0
2004-02-24,0.987,0.9955,0.987,0.9955,0.289,135629.0,0.0,1.0
2004-02-25,0.9955,1.0041,0.9955,1.0041,0.2915,159166.0,0.0,1.0
2004-02-26,1.0041,1.0041,1.0041,1.0041,0.2915,154430.0,0.0,1.0
2004-02-27,1.0041,1.0127,1.0041,1.0041,0.2915,19556.0,0.0,1.0
2004-03-01,1.0127,1.0127,1.0127,1.0127,0.294,66320.0,0.0,1.0
2004-03-02,1.0041,1.0041,1.0041,1.0041,0.2915,49603.0,0.0,1.0
2004-03-03,1.0127,1.0213,1.0127,1.0127,0.294,246201.0,0.0,1.0
2004-03-04,1.0041,1.0041,1.0041,1.0041,0.2915,11652.0,0.0,1.0
2004-03-05,1.0041,1.0041,1.0041,1.0041,0.2915,128172.0,0.0,1.0
2004-03-08,1.0127,1.0127,1.0041,1.0127,0.294,126343.0,0.0,1.0
2004-03-09,1.0127,1.0127,1.0041,1.0041,0.2915,68747.0,0.0,1.0
2004-03-10,1.0041,1.0127,1.0041,1.0041,0.2915,253280.0,0.0,1.0
2004-03-11,1.0041,1.0041,1.0041,1.0041,0.2915,533230.0,0.0,1.0
2004-03-12,1.0041,1.0213,1.0041,1.0213,0.2965,76903.0,0.0,1.0
2004-03-15,1.0213,1.0299,1.0213,1.0299,0.299,485977.0,0.0,1.0
2004-03-16,1.0299,1.0299,1.0213,1.0299,0.299,88520.0,0.0,1.0
2004-03-17,1.0299,1.0299,1.0213,1.0299,0.299,295378.0,0.0,1.0
2004-03-18,1.0299,1.0299,1.0127,1.0213,0.2965,214262.0,0.0,1.0
2004-03-19,1.0213,1.0299,1.0213,1.0299,0.299,170521.0,0.0,1.0
2004-03-22,1.0213,1.0213,1.0213,1.0213,0.2965,31707.0,0.0,1.0
2004-03-23,1.0213,1.0213,1.0127,1.0213,0.2965,63168.0,0.0,1.0
2004-03-24,1.0127,1.0127,1.0127,1.0127,0.294,7108.0,0.0,1.0
2004-03-25,1.0213,1.0213,1.0213,1.0213,0.2965,27234.0,0.0,1.0
2004-03-26,1.0127,1.0213,1.0127,1.0213,0.2965,168412.0,0.0,1.0
2004-03-29,1.0299,1.0299,1.0213,1.0299,0.299,52382.0,0.0,1.0
2004-03-30,1.0299,1.0385,1.0213,1.0385,0.3015,1488732.0,0.0,1.0
2004-03-31,1.0299,1.047,1.0299,1.047,0.304,82846.0,0.0,1.0
2004-04-01,1.0385,1.0385,1.0385,1.0385,0.3015,88745.0,0.0,1.0
2004-04-02,1.0299,1.0385,1.0299,1.0299,0.299,631667.0,0.0,1.0
2004-04-05,1.0385,1.0385,1.0299,1.0299,0.299,106860.0,0.0,1.0
2004-04-06,1.0299,1.0385,1.0299,1.0385,0.3015,102876.0,0.0,1.0
2004-04-07,1.0385,1.0385,1.0299,1.0299,0.299,189928.0,0.0,1.0
2004-04-08,1.0299,1.0299,1.0127,1.0127,0.294,613418.0,0.0,1.0
2004-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-04-13,1.0127,1.0299,1.0127,1.0127,0.294,170510.0,0.0,1.0
