date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-10-27,6.8388,6.8581,6.7955,6.81,6.2355,36066834.0,0.0,1.0
2015-10-28,6.8003,6.9352,6.8003,6.8581,6.2796,3912427.0,0.0,1.0
2015-10-29,6.8292,6.9063,6.8292,6.8678,6.2885,2991598.0,0.0,1.0
2015-10-30,6.8292,6.9063,6.8196,6.8678,6.2885,1738908.0,0.0,1.0
2015-11-02,6.8581,6.9063,6.8292,6.8581,6.2796,1234520.0,0.0,1.0
2015-11-03,6.8485,6.8581,6.81,6.8388,6.262,1676363.0,0.0,1.0
2015-11-04,6.8292,6.8485,6.7811,6.81,6.2355,1634161.0,0.0,1.0
2015-11-05,6.7907,6.81,6.7907,6.8003,6.2267,875973.0,0.0,1.0
2015-11-06,6.7907,6.9159,6.7907,6.8966,6.3149,3883210.0,0.0,1.0
2015-11-09,6.8966,6.8966,6.7907,6.887,6.3061,510357.0,0.0,1.0
2015-11-10,6.8388,6.9159,6.8003,6.9159,6.3326,694238.0,0.0,1.0
2015-11-11,6.8774,7.0219,6.8774,6.993,6.4031,566659.0,0.0,1.0
2015-11-12,7.0315,7.2145,7.0315,7.1664,6.5619,515640.0,0.0,1.0
2015-11-13,7.1278,7.176,7.1086,7.1567,6.5531,1529215.0,0.0,1.0
2015-11-16,7.1278,7.2723,7.0508,7.2338,6.6236,302645.0,0.0,1.0
2015-11-17,7.3108,7.3205,7.1375,7.2049,6.5972,2064717.0,0.0,1.0
2015-11-18,7.1856,7.2193,7.1278,7.1856,6.5795,778255.0,0.0,1.0
2015-11-19,7.2049,7.2434,7.176,7.2241,6.6148,938408.0,0.0,1.0
2015-11-20,7.2241,7.2338,7.1278,7.1664,6.5619,166587.0,0.0,1.0
2015-11-23,7.1278,7.2145,7.0508,7.1182,6.5178,247077.0,0.0,1.0
2015-11-24,7.1278,7.1567,7.07,7.0893,6.4913,291209.0,0.0,1.0
2015-11-25,7.1182,7.1278,7.0411,7.0893,6.4913,279922.0,0.0,1.0
2015-11-26,7.0893,7.1086,7.0026,7.0026,6.4119,252751.0,0.0,1.0
2015-11-27,7.0893,7.0989,7.0219,7.0797,6.4825,1785485.0,0.0,1.0
2015-11-30,7.0797,7.1086,6.993,7.0315,6.4384,419223.0,0.0,1.0
2015-12-01,7.0026,7.0315,6.8966,7.0219,6.4296,683850.0,0.0,1.0
2015-12-02,6.9833,7.07,6.9833,7.0315,6.4384,250734.0,0.0,1.0
2015-12-03,7.0219,7.0893,6.9833,7.0893,6.4913,541682.0,0.0,1.0
2015-12-04,7.1086,7.1375,7.0315,7.1278,6.5266,604202.0,0.0,1.0
2015-12-07,7.1375,7.1664,7.0122,7.0411,6.4472,3330899.0,0.0,1.0
2015-12-08,7.1086,7.1375,7.0219,7.1278,6.5266,781281.0,0.0,1.0
2015-12-09,7.1471,7.176,7.0315,7.0411,6.4472,396412.0,0.0,1.0
2015-12-10,7.0411,7.1278,6.993,7.0989,6.5001,265436.0,0.0,1.0
2015-12-11,7.1278,7.1664,7.0315,7.1182,6.5178,181141.0,0.0,1.0
2015-12-14,7.0508,7.1278,7.0411,7.1278,6.5266,86999.0,0.0,1.0
2015-12-15,7.1182,7.1471,7.07,7.1471,6.5442,464965.0,0.0,1.0
2015-12-16,7.1471,7.176,7.1182,7.1278,6.5266,527179.0,0.0,1.0
2015-12-17,7.0411,7.1375,7.0411,7.1278,6.5266,237424.0,0.0,1.0
2015-12-18,7.1278,7.1471,7.0508,7.1182,6.5178,331178.0,0.0,1.0
2015-12-21,7.0797,7.1471,7.07,7.0989,6.5001,547959.0,0.0,1.0
2015-12-22,7.0989,7.1278,7.0797,7.0989,6.5001,248017.0,0.0,1.0
2015-12-23,7.1278,7.176,7.0941,7.176,6.5707,173214.0,0.0,1.0
2015-12-24,7.176,7.2241,7.1664,7.1664,6.5619,43184.0,0.0,1.0
2015-12-28,7.1664,7.1664,7.1664,7.1664,6.5619,0.0,0.0,1.0
2015-12-29,7.1471,7.2241,7.1278,7.176,6.5707,50303.0,0.0,1.0
2015-12-30,7.176,7.1952,7.1278,7.1664,6.5619,126098.0,0.0,1.0
2015-12-31,7.1664,7.2241,7.1567,7.176,6.5707,45403.0,0.0,1.0
2016-01-04,7.1664,7.2338,7.1182,7.1278,6.5266,347991.0,0.0,1.0
2016-01-05,7.0797,7.2338,7.0604,7.1471,6.5442,937535.0,0.0,1.0
2016-01-06,7.1664,7.2338,7.1086,7.1471,6.5442,1462887.0,0.0,1.0
2016-01-07,7.0797,7.1952,7.0797,7.1856,6.5795,792645.0,0.0,1.0
2016-01-08,7.1182,7.2627,6.9544,7.1856,6.5795,270086.0,0.0,1.0
2016-01-11,7.1664,7.2145,7.1278,7.2145,6.606,201500.0,0.0,1.0
2016-01-12,7.2241,7.4457,7.2193,7.3686,6.7471,280476.0,0.0,1.0
2016-01-13,7.4168,7.4264,7.2819,7.3205,6.703,600865.0,0.0,1.0
2016-01-14,7.3108,7.3108,7.1856,7.2049,6.5972,124061.0,0.0,1.0
2016-01-15,7.2049,7.2241,7.1086,7.1278,6.5266,829540.0,0.0,1.0
2016-01-18,7.1278,7.2241,7.0797,7.2241,6.6148,246314.0,0.0,1.0
2016-01-19,7.2241,7.4457,7.1952,7.4457,6.8176,447772.0,0.0,1.0
2016-01-20,7.4457,7.4553,7.3975,7.436,6.8088,499663.0,0.0,1.0
2016-01-21,7.3686,7.436,7.3205,7.3975,6.7736,575862.0,0.0,1.0
2016-01-22,7.4168,7.4168,7.3012,7.3879,6.7647,986985.0,0.0,1.0
2016-01-25,7.3879,7.3879,7.3012,7.3397,6.7206,265904.0,0.0,1.0
2016-01-27,7.3397,7.4264,7.3397,7.3397,6.7206,583975.0,0.0,1.0
2016-01-28,7.3205,7.3205,7.1952,7.2723,6.6589,911973.0,0.0,1.0
2016-01-29,7.2723,7.5324,7.2627,7.5324,6.897,690790.0,0.0,1.0
2016-02-01,7.6383,7.6576,7.436,7.5516,6.9147,588249.0,0.0,1.0
2016-02-02,7.5516,7.6094,7.4746,7.6094,6.9676,2454624.0,0.0,1.0
2016-02-03,7.6094,7.6094,7.4553,7.542,6.9058,762248.0,0.0,1.0
2016-02-04,7.6094,7.6287,7.4553,7.5324,6.897,755874.0,0.0,1.0
2016-02-05,7.6287,7.6576,7.4553,7.648,7.0029,2477828.0,0.0,1.0
2016-02-08,7.6961,7.6961,7.4842,7.5324,6.897,509527.0,0.0,1.0
2016-02-09,7.4264,7.436,7.0797,7.1278,6.5266,1687236.0,0.0,1.0
2016-02-10,7.1664,7.2771,6.9352,6.9641,6.3767,1006811.0,0.0,1.0
2016-02-11,6.9352,7.0459,6.9015,6.9641,6.3767,15748787.0,0.0,1.0
2016-02-12,6.9641,7.0219,6.9544,6.9641,6.3767,1006383.0,0.0,1.0
2016-02-15,7.1086,7.1952,7.0508,7.1664,6.5619,1102394.0,0.0,1.0
2016-02-16,7.2049,7.2434,7.1471,7.2145,6.606,682797.0,0.0,1.0
2016-02-17,7.2916,7.4746,7.0797,7.1086,6.509,488517.0,0.0,1.0
2016-02-18,7.0797,7.2241,7.0797,7.1182,6.5178,789982.0,0.0,1.0
2016-02-19,7.0893,7.1567,6.9352,6.9737,6.3855,402026.0,0.0,1.0
2016-02-22,6.9833,7.1375,6.9352,7.0797,6.4825,1112064.0,0.0,1.0
2016-02-23,7.0989,7.1664,6.9448,6.993,6.4031,889914.0,0.0,1.0
2016-02-24,7.0026,7.1182,6.887,7.0315,6.4384,1094637.0,0.0,1.0
