date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-06-10,0.22,0.22,0.18,0.18,0.18,6532634.0,0.0,1.0
2016-06-14,0.18,0.19,0.17,0.17,0.17,512252.0,0.0,1.0
2016-06-15,0.17,0.175,0.145,0.155,0.155,1070831.0,0.0,1.0
2016-06-16,0.16,0.16,0.155,0.16,0.16,466525.0,0.0,1.0
2016-06-17,0.16,0.17,0.14,0.155,0.155,1311682.0,0.0,1.0
2016-06-20,0.15,0.155,0.15,0.15,0.15,195000.0,0.0,1.0
2016-06-21,0.15,0.15,0.13,0.15,0.15,1095000.0,0.0,1.0
2016-06-22,0.14,0.15,0.13,0.15,0.15,375000.0,0.0,1.0
2016-06-23,0.15,0.155,0.145,0.145,0.145,572307.0,0.0,1.0
2016-06-24,0.15,0.15,0.145,0.15,0.15,757000.0,0.0,1.0
2016-06-27,0.15,0.15,0.135,0.145,0.145,219999.0,0.0,1.0
2016-06-28,0.145,0.16,0.145,0.16,0.16,395818.0,0.0,1.0
2016-06-29,0.165,0.185,0.165,0.185,0.185,298169.0,0.0,1.0
2016-06-30,0.18,0.185,0.165,0.18,0.18,421481.0,0.0,1.0
2016-07-01,0.175,0.185,0.17,0.175,0.175,329739.0,0.0,1.0
2016-07-04,0.175,0.175,0.165,0.17,0.17,386097.0,0.0,1.0
2016-07-05,0.17,0.17,0.17,0.17,0.17,274041.0,0.0,1.0
2016-07-06,0.165,0.175,0.165,0.175,0.175,96667.0,0.0,1.0
2016-07-07,0.17,0.175,0.17,0.17,0.17,320873.0,0.0,1.0
2016-07-08,0.17,0.175,0.165,0.17,0.17,248465.0,0.0,1.0
2016-07-11,0.165,0.165,0.155,0.16,0.16,480932.0,0.0,1.0
2016-07-12,0.15,0.17,0.15,0.17,0.17,13000.0,0.0,1.0
2016-07-13,0.15,0.15,0.15,0.15,0.15,102727.0,0.0,1.0
2016-07-14,0.155,0.155,0.15,0.15,0.15,30000.0,0.0,1.0
2016-07-15,0.15,0.15,0.15,0.15,0.15,445000.0,0.0,1.0
2016-07-18,0.15,0.15,0.15,0.15,0.15,0.0,0.0,1.0
2016-07-19,0.14,0.15,0.135,0.15,0.15,237431.0,0.0,1.0
2016-07-20,0.16,0.16,0.15,0.15,0.15,257569.0,0.0,1.0
2016-07-21,0.15,0.15,0.15,0.15,0.15,220000.0,0.0,1.0
2016-07-22,0.14,0.15,0.135,0.14,0.14,350000.0,0.0,1.0
2016-07-25,0.14,0.14,0.135,0.14,0.14,601600.0,0.0,1.0
2016-07-26,0.145,0.15,0.14,0.14,0.14,1333000.0,0.0,1.0
2016-07-27,0.14,0.14,0.13,0.14,0.14,540342.0,0.0,1.0
2016-07-28,0.14,0.14,0.125,0.125,0.125,397021.0,0.0,1.0
2016-07-29,0.125,0.13,0.115,0.13,0.13,1023500.0,0.0,1.0
2016-08-01,0.13,0.13,0.13,0.13,0.13,398769.0,0.0,1.0
2016-08-02,0.13,0.13,0.11,0.11,0.11,950613.0,0.0,1.0
2016-08-03,0.105,0.12,0.1,0.12,0.12,956147.0,0.0,1.0
2016-08-04,0.135,0.135,0.135,0.135,0.135,626700.0,0.0,1.0
2016-08-05,0.135,0.135,0.135,0.135,0.135,175000.0,0.0,1.0
2016-08-08,0.125,0.13,0.12,0.13,0.13,1675500.0,0.0,1.0
2016-08-09,0.125,0.13,0.125,0.13,0.13,287500.0,0.0,1.0
2016-08-10,0.13,0.13,0.13,0.13,0.13,0.0,0.0,1.0
2016-08-11,0.12,0.125,0.12,0.12,0.12,325000.0,0.0,1.0
2016-08-12,0.13,0.145,0.13,0.145,0.145,320177.0,0.0,1.0
2016-08-15,0.145,0.145,0.137,0.14,0.14,1171823.0,0.0,1.0
2016-08-16,0.15,0.16,0.15,0.155,0.155,538677.0,0.0,1.0
2016-08-17,0.16,0.17,0.16,0.165,0.165,1438303.0,0.0,1.0
2016-08-18,0.17,0.19,0.17,0.19,0.19,1737935.0,0.0,1.0
2016-08-19,0.19,0.195,0.185,0.195,0.195,414705.0,0.0,1.0
2016-08-22,0.2,0.21,0.2,0.2,0.2,657355.0,0.0,1.0
2016-08-23,0.2,0.2,0.195,0.195,0.195,459524.0,0.0,1.0
2016-08-24,0.175,0.18,0.175,0.175,0.175,180146.0,0.0,1.0
2016-08-25,0.18,0.18,0.18,0.18,0.18,37000.0,0.0,1.0
2016-08-26,0.195,0.195,0.19,0.19,0.19,435541.0,0.0,1.0
2016-08-29,0.19,0.19,0.17,0.175,0.175,363752.0,0.0,1.0
2016-08-30,0.18,0.18,0.18,0.18,0.18,95398.0,0.0,1.0
2016-08-31,0.18,0.185,0.18,0.185,0.185,32700.0,0.0,1.0
2016-09-01,0.19,0.19,0.19,0.19,0.19,216000.0,0.0,1.0
2016-09-02,0.19,0.2,0.19,0.2,0.2,789095.0,0.0,1.0
2016-09-05,0.2,0.215,0.195,0.21,0.21,1447220.0,0.0,1.0
2016-09-06,0.21,0.21,0.2,0.21,0.21,893163.0,0.0,1.0
2016-09-07,0.235,0.245,0.23,0.23,0.23,1244613.0,0.0,1.0
2016-09-08,0.24,0.26,0.23,0.235,0.235,1461372.0,0.0,1.0
2016-09-09,0.22,0.22,0.215,0.22,0.22,187951.0,0.0,1.0
2016-09-12,0.21,0.215,0.21,0.21,0.21,152545.0,0.0,1.0
2016-09-13,0.215,0.22,0.205,0.205,0.205,183301.0,0.0,1.0
2016-09-14,0.2,0.205,0.2,0.2,0.2,250529.0,0.0,1.0
2016-09-15,0.22,0.23,0.22,0.23,0.23,583260.0,0.0,1.0
2016-09-16,0.23,0.25,0.23,0.23,0.23,1192445.0,0.0,1.0
2016-09-19,0.235,0.24,0.23,0.24,0.24,129649.0,0.0,1.0
2016-09-20,0.23,0.23,0.225,0.225,0.225,55406.0,0.0,1.0
2016-09-21,0.22,0.24,0.22,0.22,0.22,523188.0,0.0,1.0
2016-09-22,0.205,0.21,0.205,0.21,0.21,144912.0,0.0,1.0
2016-09-23,0.21,0.21,0.21,0.21,0.21,100000.0,0.0,1.0
2016-09-26,0.225,0.225,0.215,0.22,0.22,124000.0,0.0,1.0
2016-09-27,0.22,0.22,0.22,0.22,0.22,0.0,0.0,1.0
2016-09-28,0.22,0.22,0.215,0.215,0.215,43112.0,0.0,1.0
2016-09-29,0.22,0.22,0.215,0.22,0.22,167934.0,0.0,1.0
2016-09-30,0.215,0.215,0.21,0.21,0.21,40000.0,0.0,1.0
2016-10-03,0.215,0.215,0.215,0.215,0.215,50000.0,0.0,1.0
2016-10-04,0.215,0.215,0.21,0.21,0.21,44924.0,0.0,1.0
2016-10-05,0.21,0.215,0.2,0.2,0.2,361332.0,0.0,1.0
2016-10-06,0.2,0.2,0.195,0.195,0.195,191701.0,0.0,1.0
2016-10-07,0.195,0.195,0.19,0.19,0.19,149532.0,0.0,1.0
2016-10-10,0.19,0.19,0.19,0.19,0.19,83906.0,0.0,1.0
2016-10-11,0.185,0.185,0.18,0.18,0.18,60749.0,0.0,1.0
2016-10-12,0.17,0.185,0.17,0.185,0.185,109118.0,0.0,1.0
2016-10-13,0.185,0.185,0.175,0.175,0.175,105853.0,0.0,1.0
2016-10-14,0.185,0.195,0.185,0.195,0.195,155150.0,0.0,1.0
2016-10-17,0.2,0.2,0.2,0.2,0.2,79520.0,0.0,1.0
2016-10-18,0.2,0.235,0.2,0.21,0.21,477500.0,0.0,1.0
2016-10-19,0.21,0.235,0.21,0.22,0.22,636465.0,0.0,1.0
2016-10-20,0.22,0.22,0.22,0.22,0.22,178879.0,0.0,1.0
2016-10-21,0.22,0.22,0.21,0.22,0.22,600715.0,0.0,1.0
2016-10-24,0.225,0.225,0.225,0.225,0.225,741169.0,0.0,1.0
2016-10-25,0.225,0.225,0.22,0.22,0.22,381351.0,0.0,1.0
2016-10-26,0.21,0.21,0.205,0.205,0.205,170000.0,0.0,1.0
2016-10-27,0.22,0.24,0.22,0.24,0.24,2263961.0,0.0,1.0
2016-10-28,0.24,0.255,0.24,0.245,0.245,772601.0,0.0,1.0
2016-10-31,0.245,0.245,0.24,0.24,0.24,321977.0,0.0,1.0
2016-11-01,0.24,0.24,0.235,0.235,0.235,506269.0,0.0,1.0
2016-11-02,0.225,0.23,0.22,0.22,0.22,520013.0,0.0,1.0
2016-11-03,0.225,0.235,0.22,0.23,0.23,1916573.0,0.0,1.0
2016-11-04,0.24,0.25,0.24,0.24,0.24,1502902.0,0.0,1.0
2016-11-07,0.24,0.24,0.23,0.23,0.23,563632.0,0.0,1.0
2016-11-08,0.23,0.235,0.23,0.23,0.23,312608.0,0.0,1.0
2016-11-09,0.23,0.23,0.2,0.21,0.21,608000.0,0.0,1.0
2016-11-10,0.215,0.22,0.215,0.22,0.22,581593.0,0.0,1.0
2016-11-11,0.21,0.22,0.21,0.22,0.22,533936.0,0.0,1.0
2016-11-14,0.22,0.22,0.22,0.22,0.22,364147.0,0.0,1.0
2016-11-15,0.23,0.235,0.23,0.23,0.23,213437.0,0.0,1.0
2016-11-16,0.23,0.23,0.23,0.23,0.23,85000.0,0.0,1.0
2016-11-17,0.22,0.25,0.22,0.25,0.25,1002185.0,0.0,1.0
2016-11-18,0.25,0.28,0.245,0.28,0.28,2343873.0,0.0,1.0
2016-11-21,0.275,0.29,0.275,0.29,0.29,492333.0,0.0,1.0
2016-11-22,0.285,0.285,0.27,0.27,0.27,1402334.0,0.0,1.0
2016-11-23,0.28,0.3,0.275,0.3,0.3,2100555.0,0.0,1.0
2016-11-24,0.3,0.32,0.295,0.32,0.32,923037.0,0.0,1.0
2016-11-25,0.32,0.33,0.31,0.31,0.31,887745.0,0.0,1.0
2016-11-28,0.31,0.34,0.31,0.31,0.31,914462.0,0.0,1.0
2016-11-29,0.31,0.31,0.295,0.3,0.3,1285862.0,0.0,1.0
2016-11-30,0.3,0.3,0.295,0.3,0.3,268175.0,0.0,1.0
2016-12-01,0.3,0.3,0.295,0.3,0.3,213579.0,0.0,1.0
2016-12-02,0.3,0.32,0.3,0.32,0.32,729210.0,0.0,1.0
2016-12-05,0.33,0.33,0.32,0.325,0.325,431219.0,0.0,1.0
2016-12-06,0.325,0.325,0.305,0.31,0.31,325688.0,0.0,1.0
2016-12-07,0.32,0.325,0.32,0.325,0.325,130000.0,0.0,1.0
2016-12-08,0.325,0.325,0.32,0.32,0.32,49735.0,0.0,1.0
2016-12-09,0.32,0.32,0.31,0.32,0.32,110313.0,0.0,1.0
2016-12-12,0.33,0.33,0.315,0.315,0.315,244485.0,0.0,1.0
2016-12-13,0.315,0.315,0.3,0.31,0.31,280952.0,0.0,1.0
2016-12-14,0.315,0.315,0.305,0.31,0.31,94537.0,0.0,1.0
2016-12-15,0.31,0.32,0.295,0.32,0.32,402928.0,0.0,1.0
2016-12-16,0.32,0.325,0.32,0.325,0.325,128503.0,0.0,1.0
2016-12-19,0.32,0.325,0.32,0.325,0.325,70997.0,0.0,1.0
2016-12-20,0.32,0.39,0.32,0.37,0.37,1047635.0,0.0,1.0
2016-12-21,0.365,0.37,0.35,0.355,0.355,258577.0,0.0,1.0
2016-12-22,0.36,0.39,0.36,0.36,0.36,582862.0,0.0,1.0
2016-12-23,0.375,0.375,0.36,0.365,0.365,830629.0,0.0,1.0
2016-12-28,0.365,0.39,0.36,0.375,0.375,275574.0,0.0,1.0
2016-12-29,0.375,0.375,0.365,0.37,0.37,114377.0,0.0,1.0
2016-12-30,0.36,0.36,0.34,0.34,0.34,333379.0,0.0,1.0
2017-01-03,0.34,0.365,0.33,0.345,0.345,421614.0,0.0,1.0
2017-01-04,0.35,0.39,0.35,0.385,0.385,293211.0,0.0,1.0
2017-01-05,0.39,0.4,0.37,0.385,0.385,517449.0,0.0,1.0
2017-01-06,0.385,0.385,0.375,0.375,0.375,259155.0,0.0,1.0
2017-01-09,0.38,0.38,0.37,0.37,0.37,85298.0,0.0,1.0
