date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.8535,0.8793,0.8535,0.8535,0.8535,49319.0,0.0,1.0
2000-01-05,0.8276,0.8276,0.8017,0.8276,0.8276,11058.0,0.0,1.0
2000-01-06,0.8276,0.8793,0.8276,0.8276,0.8276,25960.0,0.0,1.0
2000-01-07,0.8276,0.8535,0.8276,0.8276,0.8276,34993.0,0.0,1.0
2000-01-10,0.8017,0.8017,0.8017,0.8017,0.8017,9280.0,0.0,1.0
2000-01-11,0.8276,0.8793,0.8276,0.8793,0.8793,12567.0,0.0,1.0
2000-01-12,0.8793,0.8793,0.8017,0.8017,0.8017,4640.0,0.0,1.0
2000-01-13,0.9052,0.9052,0.9052,0.9052,0.9052,1933.0,0.0,1.0
2000-01-14,0.8793,0.9052,0.8793,0.9052,0.9052,32038.0,0.0,1.0
2000-01-17,0.8793,0.931,0.8793,0.9052,0.9052,24897.0,0.0,1.0
2000-01-18,0.9052,0.931,0.9052,0.9052,0.9052,27279.0,0.0,1.0
2000-01-19,0.8793,0.8793,0.8535,0.8793,0.8793,7540.0,0.0,1.0
2000-01-20,0.8793,0.8793,0.8535,0.8793,0.8793,11020.0,0.0,1.0
2000-01-21,0.8793,0.8793,0.8017,0.8017,0.8017,25799.0,0.0,1.0
2000-01-24,0.8276,0.8535,0.8276,0.8535,0.8535,16326.0,0.0,1.0
2000-01-25,0.8276,0.8535,0.8276,0.8535,0.8535,12373.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,0.8276,0.8535,0.8276,0.8276,0.8276,14570.0,0.0,1.0
2000-01-28,0.8276,0.8535,0.8276,0.8535,0.8535,24921.0,0.0,1.0
2000-01-31,0.8535,0.931,0.8535,0.931,0.931,74797.0,0.0,1.0
2000-02-01,0.9931,1.1638,0.9828,1.1379,1.1379,167704.0,0.0,1.0
2000-02-02,1.1897,1.1897,1.1379,1.1638,1.1638,140204.0,0.0,1.0
2000-02-03,1.1379,1.2155,1.1379,1.2155,1.2155,118569.0,0.0,1.0
2000-02-04,1.2414,1.2672,1.1897,1.2672,1.2672,101501.0,0.0,1.0
2000-02-07,1.2931,1.3965,1.2672,1.3965,1.3965,119414.0,0.0,1.0
2000-02-08,1.3965,1.3965,1.2931,1.2931,1.2931,43307.0,0.0,1.0
2000-02-09,1.2931,1.4483,1.2931,1.4483,1.4483,107816.0,0.0,1.0
2000-02-10,1.4483,1.5,1.4483,1.5,1.5,64904.0,0.0,1.0
2000-02-11,1.6035,1.6035,1.4741,1.5517,1.5517,131983.0,0.0,1.0
2000-02-14,1.5259,1.5517,1.4741,1.5,1.5,40222.0,0.0,1.0
2000-02-15,1.5,1.5517,1.5,1.5,1.5,105688.0,0.0,1.0
2000-02-16,1.4121,1.5517,1.3965,1.3965,1.3965,31258.0,0.0,1.0
2000-02-17,1.3965,1.3965,1.2155,1.2931,1.2931,122000.0,0.0,1.0
2000-02-18,1.2931,1.3448,1.2414,1.3448,1.3448,56009.0,0.0,1.0
2000-02-21,1.3448,1.3707,1.2931,1.319,1.319,53234.0,0.0,1.0
2000-02-22,1.3965,1.3965,1.3448,1.3965,1.3965,15528.0,0.0,1.0
2000-02-23,1.3965,1.3965,1.3448,1.3448,1.3448,49551.0,0.0,1.0
2000-02-24,1.3448,1.3448,1.3448,1.3448,1.3448,0.0,0.0,1.0
2000-02-25,1.3086,1.3965,1.2931,1.2931,1.2931,7540.0,0.0,1.0
2000-02-28,1.2155,1.2414,1.2155,1.2414,1.2414,3287.0,0.0,1.0
2000-02-29,1.2414,1.2414,1.1638,1.1638,1.1638,28211.0,0.0,1.0
2000-03-01,1.1638,1.1638,1.1379,1.1379,1.1379,6632.0,0.0,1.0
2000-03-02,1.2155,1.2155,1.2155,1.2155,1.2155,4137.0,0.0,1.0
2000-03-03,1.2155,1.2672,1.2155,1.2672,1.2672,38465.0,0.0,1.0
2000-03-06,1.3448,1.3448,1.3448,1.3448,1.3448,35767.0,0.0,1.0
2000-03-07,1.3448,1.3965,1.2672,1.2931,1.2931,20899.0,0.0,1.0
2000-03-08,1.3448,1.3448,1.1897,1.1897,1.1897,18019.0,0.0,1.0
2000-03-09,1.2414,1.2414,1.2414,1.2414,1.2414,994.0,0.0,1.0
2000-03-10,1.2931,1.2931,1.2414,1.2414,1.2414,46808.0,0.0,1.0
2000-03-13,1.2414,1.2414,1.2414,1.2414,1.2414,4447.0,0.0,1.0
2000-03-14,1.2155,1.3965,1.2155,1.3965,1.3965,22910.0,0.0,1.0
2000-03-15,1.3965,1.3965,1.3448,1.3448,1.3448,54230.0,0.0,1.0
2000-03-16,1.3965,1.3965,1.319,1.3448,1.3448,35023.0,0.0,1.0
2000-03-17,1.3448,1.4741,1.3448,1.4741,1.4741,7743.0,0.0,1.0
2000-03-20,1.3707,1.3707,1.3448,1.3448,1.3448,30600.0,0.0,1.0
2000-03-21,1.3448,1.4483,1.319,1.4483,1.4483,4253.0,0.0,1.0
2000-03-22,1.3345,1.3448,1.319,1.3448,1.3448,12760.0,0.0,1.0
2000-03-23,1.319,1.3448,1.319,1.319,1.319,21835.0,0.0,1.0
2000-03-24,1.4121,1.4121,1.319,1.319,1.319,16124.0,0.0,1.0
2000-03-27,1.319,1.319,1.319,1.319,1.319,4632.0,0.0,1.0
2000-03-28,1.2931,1.2931,1.2414,1.2414,1.2414,71572.0,0.0,1.0
2000-03-29,1.2414,1.2414,1.1897,1.1897,1.1897,108653.0,0.0,1.0
2000-03-30,1.1897,1.1897,1.1897,1.1897,1.1897,8260.0,0.0,1.0
2000-03-31,1.1379,1.2931,1.1379,1.2931,1.2931,21983.0,0.0,1.0
2000-04-03,1.2052,1.2155,1.1638,1.1638,1.1638,12495.0,0.0,1.0
2000-04-04,1.1638,1.1638,1.1379,1.1379,1.1379,21186.0,0.0,1.0
2000-04-05,1.1379,1.1379,1.0345,1.0345,1.0345,17071.0,0.0,1.0
2000-04-06,1.05,1.1379,1.05,1.1379,1.1379,11808.0,0.0,1.0
2000-04-07,1.1379,1.1379,1.1379,1.1379,1.1379,0.0,0.0,1.0
2000-04-10,1.1897,1.1897,1.1379,1.1379,1.1379,1622.0,0.0,1.0
2000-04-11,1.0862,1.0862,0.9828,0.9828,0.9828,23703.0,0.0,1.0
2000-04-12,0.931,0.9828,0.8793,0.8793,0.8793,20935.0,0.0,1.0
2000-04-13,0.8793,0.8793,0.8793,0.8793,0.8793,8336.0,0.0,1.0
2000-04-14,0.8276,0.8276,0.8276,0.8276,0.8276,6187.0,0.0,1.0
2000-04-17,0.8017,0.8017,0.7759,0.7759,0.7759,9667.0,0.0,1.0
2000-04-18,0.8017,0.8017,0.7241,0.7241,0.7241,18367.0,0.0,1.0
2000-04-19,0.8017,0.8276,0.7759,0.8276,0.8276,103611.0,0.0,1.0
2000-04-20,0.8276,0.8276,0.8276,0.8276,0.8276,0.0,0.0,1.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-26,0.8276,0.8276,0.8276,0.8276,0.8276,0.0,0.0,1.0
2000-04-27,0.8276,0.8276,0.7759,0.7759,0.7759,19120.0,0.0,1.0
2000-04-28,0.8535,0.8793,0.8535,0.8793,0.8793,14500.0,0.0,1.0
2000-05-01,0.9828,0.9828,0.931,0.9828,0.9828,38667.0,0.0,1.0
2000-05-02,1.1069,1.1379,1.0345,1.0862,1.0862,29193.0,0.0,1.0
2000-05-03,1.0862,1.0862,0.9828,0.9828,0.9828,25769.0,0.0,1.0
2000-05-04,1.0862,1.0862,0.9828,0.9828,0.9828,21195.0,0.0,1.0
2000-05-05,0.9828,1.0603,0.9828,1.0603,1.0603,9084.0,0.0,1.0
2000-05-08,1.0345,1.0345,1.0345,1.0345,1.0345,967.0,0.0,1.0
2000-05-09,0.9828,1.0603,0.931,1.0603,1.0603,15467.0,0.0,1.0
2000-05-10,1.0086,1.0086,0.9828,0.9828,0.9828,28088.0,0.0,1.0
2000-05-11,0.9828,0.9828,0.931,0.931,0.931,9087.0,0.0,1.0
2000-05-12,1.0345,1.0603,1.0345,1.0603,1.0603,2748.0,0.0,1.0
2000-05-15,1.0086,1.0086,0.931,0.931,0.931,21653.0,0.0,1.0
2000-05-16,0.931,0.931,0.8276,0.8276,0.8276,9667.0,0.0,1.0
2000-05-17,0.8276,0.8276,0.8276,0.8276,0.8276,6767.0,0.0,1.0
2000-05-18,0.8276,0.8276,0.8276,0.8276,0.8276,0.0,0.0,1.0
2000-05-19,0.9052,0.9052,0.9052,0.9052,0.9052,541.0,0.0,1.0
2000-05-22,0.9052,0.9052,0.9052,0.9052,0.9052,773.0,0.0,1.0
2000-05-23,0.9052,0.9828,0.8793,0.8793,0.8793,15989.0,0.0,1.0
2000-05-24,0.9052,0.9052,0.9052,0.9052,0.9052,3867.0,0.0,1.0
2000-05-25,0.9052,0.9052,0.9052,0.9052,0.9052,5800.0,0.0,1.0
2000-05-26,0.8793,0.931,0.8793,0.931,0.931,5220.0,0.0,1.0
2000-05-29,0.931,0.931,0.8793,0.8793,0.8793,7347.0,0.0,1.0
2000-05-30,0.8793,0.8793,0.8535,0.8535,0.8535,13905.0,0.0,1.0
2000-05-31,0.9052,0.931,0.8793,0.8793,0.8793,12857.0,0.0,1.0
2000-06-01,0.931,0.931,0.931,0.931,0.931,3577.0,0.0,1.0
2000-06-02,0.8793,0.8793,0.8793,0.8793,0.8793,1933.0,0.0,1.0
2000-06-05,0.931,0.931,0.8276,0.8276,0.8276,972177.0,0.0,1.0
2000-06-06,0.8276,0.8276,0.8276,0.8276,0.8276,0.0,0.0,1.0
2000-06-07,0.8793,0.8793,0.8276,0.8276,0.8276,3480.0,0.0,1.0
2000-06-08,0.8793,0.931,0.8793,0.931,0.931,92297.0,0.0,1.0
