date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-12-16,1.0,1.0,1.0,1.0,0.4608,0.0,0.0,1.0
2004-12-17,1.3,1.4,1.25,1.32,0.6083,488600.0,0.0,1.0
2004-12-20,1.32,1.35,1.3,1.3,0.5991,181500.0,0.0,1.0
2004-12-21,1.3,1.33,1.25,1.33,0.6129,96000.0,0.0,1.0
2004-12-22,1.3,1.3,1.3,1.3,0.5991,26000.0,0.0,1.0
2004-12-23,1.3,1.3,1.25,1.29,0.5945,26300.0,0.0,1.0
2004-12-24,1.27,1.31,1.26,1.26,0.5806,8700.0,0.0,1.0
2004-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-12-29,1.26,1.26,1.26,1.26,0.5806,0.0,0.0,1.0
2004-12-30,1.26,1.3,1.26,1.3,0.5991,3000.0,0.0,1.0
2004-12-31,1.3,1.3,1.3,1.3,0.5991,2000.0,0.0,1.0
2005-01-04,1.3,1.3,1.3,1.3,0.5991,0.0,0.0,1.0
2005-01-05,1.28,1.28,1.27,1.27,0.5852,12000.0,0.0,1.0
2005-01-06,1.31,1.31,1.3,1.31,0.6037,14500.0,0.0,1.0
2005-01-07,1.3,1.35,1.3,1.35,0.6221,49500.0,0.0,1.0
2005-01-10,1.35,1.39,1.35,1.38,0.6359,46000.0,0.0,1.0
2005-01-11,1.38,1.45,1.38,1.4,0.6452,73900.0,0.0,1.0
2005-01-12,1.45,1.45,1.4,1.4,0.6452,43640.0,0.0,1.0
2005-01-13,1.44,1.45,1.42,1.44,0.6636,184125.0,0.0,1.0
2005-01-14,1.45,1.45,1.43,1.43,0.659,44265.0,0.0,1.0
2005-01-17,1.44,1.44,1.4,1.44,0.6636,35500.0,0.0,1.0
2005-01-18,1.4,1.4,1.4,1.4,0.6452,4000.0,0.0,1.0
2005-01-19,1.43,1.45,1.42,1.45,0.6682,55735.0,0.0,1.0
2005-01-20,1.46,1.46,1.45,1.45,0.6682,28000.0,0.0,1.0
2005-01-21,1.46,1.47,1.45,1.45,0.6682,27000.0,0.0,1.0
2005-01-24,1.5,1.5,1.5,1.5,0.6912,81108.0,0.0,1.0
2005-01-25,1.55,1.7,1.55,1.69,0.7788,47820.0,0.0,1.0
2005-01-27,1.67,1.67,1.61,1.64,0.7558,32540.0,0.0,1.0
2005-01-28,1.63,1.65,1.62,1.62,0.7465,31640.0,0.0,1.0
2005-01-31,1.62,1.65,1.6,1.6,0.7373,53000.0,0.0,1.0
