date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.2115,0.2311,0.2115,0.2272,0.1598,733663.0,0.0,1.0
2000-01-05,0.2194,0.2272,0.2115,0.2115,0.1488,708095.0,0.0,1.0
2000-01-06,0.2115,0.2115,0.2076,0.2115,0.1488,326105.0,0.0,1.0
2000-01-07,0.2115,0.2115,0.2076,0.2115,0.1488,297274.0,0.0,1.0
2000-01-10,0.2115,0.2115,0.2076,0.2076,0.146,262903.0,0.0,1.0
2000-01-11,0.2115,0.2115,0.2076,0.2076,0.146,105271.0,0.0,1.0
2000-01-12,0.2115,0.2115,0.2076,0.2076,0.146,293569.0,0.0,1.0
2000-01-13,0.2076,0.2115,0.2076,0.2076,0.146,232452.0,0.0,1.0
2000-01-14,0.2115,0.2155,0.2076,0.2115,0.1488,177136.0,0.0,1.0
2000-01-17,0.2115,0.2155,0.2115,0.2155,0.1515,354893.0,0.0,1.0
2000-01-18,0.2155,0.2155,0.2115,0.2115,0.1488,238202.0,0.0,1.0
2000-01-19,0.2115,0.2155,0.2076,0.2155,0.1515,206452.0,0.0,1.0
2000-01-20,0.2155,0.2155,0.2076,0.2076,0.146,162776.0,0.0,1.0
2000-01-21,0.2115,0.2115,0.2076,0.2115,0.1488,75180.0,0.0,1.0
2000-01-24,0.2115,0.2155,0.2076,0.2115,0.1488,603866.0,0.0,1.0
2000-01-25,0.2115,0.2155,0.2076,0.2076,0.146,349223.0,0.0,1.0
2000-01-26,0.2304,0.2304,0.2304,0.2304,0.162,0.0,0.0,1.0
2000-01-27,0.2115,0.2115,0.2076,0.2115,0.1488,85774.0,0.0,1.0
2000-01-28,0.2115,0.2115,0.2076,0.2076,0.146,369892.0,0.0,1.0
2000-01-31,0.2115,0.2155,0.2037,0.2037,0.1433,383176.0,0.0,1.0
2000-02-01,0.2068,0.2076,0.1998,0.2076,0.146,207542.0,0.0,1.0
2000-02-02,0.2037,0.2037,0.1998,0.1998,0.1405,192100.0,0.0,1.0
2000-02-03,0.2037,0.2037,0.1998,0.2037,0.1433,267278.0,0.0,1.0
2000-02-04,0.1998,0.2037,0.1959,0.2037,0.1433,145117.0,0.0,1.0
2000-02-07,0.2037,0.2037,0.1959,0.1959,0.1377,477349.0,0.0,1.0
2000-02-08,0.1959,0.1998,0.188,0.188,0.1322,301358.0,0.0,1.0
2000-02-09,0.188,0.2076,0.188,0.1959,0.1377,186579.0,0.0,1.0
2000-02-10,0.2045,0.2045,0.1998,0.2037,0.1433,902543.0,0.0,1.0
2000-02-11,0.1998,0.2076,0.1998,0.1998,0.1405,511352.0,0.0,1.0
2000-02-14,0.2107,0.2107,0.1998,0.1998,0.1405,161031.0,0.0,1.0
2000-02-15,0.1998,0.1998,0.1959,0.1959,0.1377,263274.0,0.0,1.0
2000-02-16,0.1959,0.1959,0.192,0.192,0.135,271161.0,0.0,1.0
2000-02-17,0.188,0.188,0.1802,0.1841,0.1295,442839.0,0.0,1.0
2000-02-18,0.1841,0.1841,0.1645,0.1802,0.1267,460050.0,0.0,1.0
2000-02-21,0.1724,0.1724,0.1645,0.1645,0.1157,596358.0,0.0,1.0
2000-02-22,0.1645,0.1645,0.1449,0.1567,0.1102,1352488.0,0.0,1.0
2000-02-23,0.1567,0.1567,0.1449,0.1449,0.1019,860148.0,0.0,1.0
2000-02-24,0.1567,0.1645,0.1449,0.1645,0.1157,418934.0,0.0,1.0
