date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,2.7554,2.7819,2.7465,2.7465,0.7649,432216.0,0.0,1.0
2000-01-05,2.7022,2.7819,2.7022,2.7376,0.7624,229756.0,0.0,1.0
2000-01-06,2.7376,2.7465,2.7199,2.7465,0.7649,184307.0,0.0,1.0
2000-01-07,2.7465,2.7731,2.7465,2.7731,0.7723,220824.0,0.0,1.0
2000-01-10,2.7864,2.8085,2.7731,2.7997,0.7797,85465.0,0.0,1.0
2000-01-11,2.7997,2.8085,2.7731,2.7908,0.7772,1502619.0,0.0,1.0
2000-01-12,2.7908,2.8085,2.7731,2.7819,0.7747,1696614.0,0.0,1.0
2000-01-13,2.7731,2.7819,2.7376,2.7465,0.7649,393159.0,0.0,1.0
2000-01-14,2.7376,2.7819,2.7376,2.7642,0.7698,527653.0,0.0,1.0
2000-01-17,2.7554,2.7642,2.7376,2.7465,0.7649,809626.0,0.0,1.0
2000-01-18,2.7695,2.7695,2.7288,2.7288,0.7599,592853.0,0.0,1.0
2000-01-19,2.7208,2.7208,2.6579,2.6756,0.7451,419914.0,0.0,1.0
2000-01-20,2.6756,2.6756,2.6225,2.6668,0.7427,1406750.0,0.0,1.0
2000-01-21,2.6668,2.6845,2.649,2.6845,0.7476,257129.0,0.0,1.0
2000-01-24,2.6756,2.7199,2.6756,2.7199,0.7575,133257.0,0.0,1.0
2000-01-25,2.7111,2.7111,2.6756,2.6845,0.7476,2586715.0,0.0,1.0
2000-01-26,3.03,3.03,3.03,3.03,0.8438,0.0,0.0,1.0
2000-01-27,2.7022,2.7022,2.6845,2.6933,0.7501,6348060.0,0.0,1.0
2000-01-28,2.6845,2.6845,2.6756,2.6845,0.7476,1687858.0,0.0,1.0
2000-01-31,2.649,2.6845,2.649,2.6756,0.7451,574573.0,0.0,1.0
2000-02-01,2.6845,2.6845,2.649,2.6579,0.7402,2758637.0,0.0,1.0
2000-02-02,2.6756,2.6933,2.6668,2.6845,0.7476,232311.0,0.0,1.0
2000-02-03,2.6845,2.6933,2.6579,2.6668,0.7427,715452.0,0.0,1.0
2000-02-04,2.6756,2.6933,2.6668,2.6933,0.7501,473613.0,0.0,1.0
2000-02-07,2.6933,2.7022,2.6668,2.7022,0.7525,165839.0,0.0,1.0
2000-02-08,2.6933,2.7642,2.6933,2.7288,0.7599,1973896.0,0.0,1.0
2000-02-09,2.7111,2.7465,2.7111,2.7288,0.7599,419286.0,0.0,1.0
2000-02-10,2.7199,2.7376,2.7199,2.7376,0.7624,2000436.0,0.0,1.0
2000-02-11,2.6933,2.6933,2.6756,2.6933,0.7501,326087.0,0.0,1.0
2000-02-14,2.6933,2.7111,2.6933,2.7022,0.7525,364878.0,0.0,1.0
2000-02-15,2.7022,2.7208,2.7022,2.7208,0.7577,805608.0,0.0,1.0
2000-02-16,2.7022,2.7199,2.7022,2.7199,0.7575,219119.0,0.0,1.0
2000-02-17,2.7111,2.7288,2.7111,2.7288,0.7599,1424271.0,0.0,1.0
2000-02-18,2.7376,2.7465,2.7288,2.7288,0.7599,780614.0,0.0,1.0
2000-02-21,2.7288,2.7819,2.7288,2.7642,0.7698,394965.0,0.0,1.0
2000-02-22,2.7908,2.8351,2.7642,2.8262,0.7871,270969.0,0.0,1.0
2000-02-23,2.8351,2.9237,2.8351,2.8883,0.8043,458152.0,0.0,1.0
2000-02-24,2.8971,2.9237,2.8794,2.8794,0.8019,980951.0,0.0,1.0
2000-02-25,2.8351,2.8883,2.8351,2.8883,0.8043,401824.0,0.0,1.0
2000-02-28,2.8883,2.8971,2.8705,2.8883,0.8043,601315.0,0.0,1.0
2000-02-29,2.8883,2.9503,2.8883,2.9503,0.8216,2907750.0,0.0,1.0
2000-03-01,2.968,3.0052,2.9503,3.0052,0.8369,175607.0,0.0,1.0
2000-03-02,2.9769,3.0212,2.9237,2.9503,0.8216,1464671.0,0.0,1.0
2000-03-03,2.9237,2.9325,2.8794,2.8883,0.8043,925824.0,0.0,1.0
2000-03-06,2.8883,2.906,2.8705,2.8794,0.8019,962915.0,0.0,1.0
2000-03-07,2.8989,2.8989,2.8351,2.8528,0.7945,845957.0,0.0,1.0
2000-03-08,2.8439,2.8528,2.8262,2.8528,0.7945,594379.0,0.0,1.0
2000-03-09,2.8617,2.8883,2.8528,2.8794,0.8019,1098008.0,0.0,1.0
2000-03-10,2.8794,2.9148,2.8794,2.9148,0.8117,705420.0,0.0,1.0
2000-03-13,2.9148,2.9237,2.8794,2.9237,0.8142,2309991.0,0.0,1.0
2000-03-14,2.9148,2.9503,2.8971,2.9148,0.8117,919224.0,0.0,1.0
2000-03-15,2.9166,2.9325,2.8971,2.9237,0.8142,751929.0,0.0,1.0
2000-03-16,2.9237,2.968,2.9237,2.9414,0.8191,2461267.0,0.0,1.0
2000-03-17,2.9769,2.9769,2.9414,2.968,0.8265,844171.0,0.0,1.0
2000-03-20,2.968,2.9724,2.9414,2.9724,0.8278,71530.0,0.0,1.0
2000-03-21,2.968,2.968,2.9503,2.968,0.8265,45727.0,0.0,1.0
2000-03-22,2.9503,2.968,2.9503,2.9503,0.8216,571609.0,0.0,1.0
2000-03-23,2.9503,2.968,2.9325,2.968,0.8265,2766280.0,0.0,1.0
2000-03-24,2.968,2.9857,2.9503,2.968,0.8265,719254.0,0.0,1.0
2000-03-27,3.0034,3.0034,2.9148,2.9237,0.831,1100271.0,0.0,1.0
2000-03-28,2.9263,2.968,2.906,2.9414,0.836,885168.0,0.0,1.0
2000-03-29,2.9414,2.968,2.9237,2.9405,0.8358,2273660.0,0.0,1.0
2000-03-30,2.9414,2.968,2.9414,2.9591,0.8411,1339730.0,0.0,1.0
2000-03-31,2.968,2.9857,2.9591,2.9591,0.8411,1122430.0,0.0,1.0
2000-04-03,2.9414,3.0034,2.9414,3.0034,0.8537,368075.0,0.0,1.0
2000-04-04,3.0123,3.0743,3.0123,3.0743,0.8738,261798.0,0.0,1.0
2000-04-05,3.0743,3.1186,3.03,3.0389,0.8637,794963.0,0.0,1.0
2000-04-06,3.038,3.0743,3.0123,3.0654,0.8713,753925.0,0.0,1.0
2000-04-07,3.0663,3.0743,3.0477,3.0743,0.8738,314425.0,0.0,1.0
2000-04-10,3.0743,3.1009,3.0477,3.0743,0.8738,267188.0,0.0,1.0
2000-04-11,3.0654,3.0743,3.0477,3.0743,0.8738,617281.0,0.0,1.0
2000-04-12,3.0743,3.0743,3.0477,3.0477,0.8663,517295.0,0.0,1.0
2000-04-13,3.0477,3.0566,3.0477,3.0477,0.8663,833294.0,0.0,1.0
2000-04-14,3.0477,3.0654,3.0123,3.0389,0.8637,673792.0,0.0,1.0
2000-04-17,2.9237,3.0654,2.8794,3.0389,0.8637,216436.0,0.0,1.0
2000-04-18,3.0389,3.0566,3.0123,3.0566,0.8688,469981.0,0.0,1.0
2000-04-19,3.0212,3.0654,2.9946,3.0654,0.8713,282159.0,0.0,1.0
2000-04-20,3.03,3.0743,3.0123,3.0743,0.8738,358288.0,0.0,1.0
2000-04-21,3.47,3.47,3.47,3.47,0.9863,0.0,0.0,1.0
2000-04-24,3.47,3.47,3.47,3.47,0.9863,0.0,0.0,1.0
2000-04-25,3.47,3.47,3.47,3.47,0.9863,0.0,0.0,1.0
2000-04-26,3.0743,3.1009,3.0743,3.092,0.8789,459746.0,0.0,1.0
2000-04-27,2.968,3.0566,2.968,3.03,0.8612,991618.0,0.0,1.0
2000-04-28,3.0504,3.0504,3.03,3.03,0.8612,579331.0,0.0,1.0
2000-05-01,3.0123,3.0566,3.0123,3.0389,0.8637,829465.0,0.0,1.0
2000-05-02,3.0389,3.0743,3.0389,3.0654,0.8713,193679.0,0.0,1.0
2000-05-03,3.0663,3.0663,3.0123,3.0123,0.8562,323942.0,0.0,1.0
2000-05-04,3.0123,3.0743,3.0123,3.0743,0.8738,1245589.0,0.0,1.0
2000-05-05,3.0743,3.1363,3.0743,3.1363,0.8914,1341998.0,0.0,1.0
2000-05-08,3.1363,3.1983,3.1363,3.1452,0.894,1430276.0,0.0,1.0
2000-05-09,3.1629,3.1806,3.1363,3.1363,0.8914,343841.0,0.0,1.0
2000-05-10,3.1629,3.1629,3.1009,3.1186,0.8864,410154.0,0.0,1.0
2000-05-11,3.0654,3.1186,3.0654,3.1009,0.8814,413638.0,0.0,1.0
2000-05-12,3.1363,3.1629,3.1275,3.1452,0.894,488977.0,0.0,1.0
2000-05-15,3.1452,3.154,3.1363,3.1452,0.894,171871.0,0.0,1.0
2000-05-16,3.1523,3.2249,3.1523,3.2072,0.9116,694354.0,0.0,1.0
2000-05-17,3.1452,3.1629,3.1452,3.154,0.8965,200088.0,0.0,1.0
2000-05-18,3.2249,3.3047,3.2249,3.2426,0.9217,3639685.0,0.0,1.0
2000-05-19,3.2604,3.2692,3.1895,3.1895,0.9066,1635748.0,0.0,1.0
2000-05-22,3.1895,3.2338,3.1895,3.2249,0.9166,444143.0,0.0,1.0
2000-05-23,3.2249,3.2338,3.1983,3.2161,0.9141,2517434.0,0.0,1.0
2000-05-24,3.1983,3.2161,3.1983,3.2161,0.9141,763929.0,0.0,1.0
2000-05-25,3.2161,3.2249,3.1983,3.2072,0.9116,767077.0,0.0,1.0
2000-05-26,3.1983,3.2161,3.1983,3.2161,0.9141,3650369.0,0.0,1.0
2000-05-29,3.2161,3.2249,3.2072,3.2072,0.9116,2101480.0,0.0,1.0
2000-05-30,3.2072,3.2161,3.1452,3.1886,0.9063,2994568.0,0.0,1.0
2000-05-31,3.1895,3.1895,3.0832,3.1301,0.8897,4389952.0,0.0,1.0
2000-06-01,3.1009,3.1186,3.0832,3.1009,0.8814,938026.0,0.0,1.0
2000-06-02,3.0522,3.092,3.0522,3.0654,0.8713,1129220.0,0.0,1.0
2000-06-05,3.116,3.1186,3.0743,3.092,0.8789,1023972.0,0.0,1.0
