date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-01-17,0.124,0.128,0.12,0.124,0.0854,703454.0,0.0,1.0
2002-01-18,0.1224,0.14,0.1224,0.14,0.0964,1001316.0,0.0,1.0
2002-01-21,0.132,0.14,0.132,0.14,0.0964,376541.0,0.0,1.0
2002-01-22,0.148,0.176,0.148,0.168,0.1157,2261848.0,0.0,1.0
2002-01-23,0.168,0.168,0.152,0.156,0.1074,1505514.0,0.0,1.0
2002-01-24,0.16,0.16,0.152,0.156,0.1074,897919.0,0.0,1.0
2002-01-25,0.156,0.16,0.144,0.156,0.1074,1781571.0,0.0,1.0
2002-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-01-29,0.16,0.168,0.16,0.164,0.1129,323959.0,0.0,1.0
2002-01-30,0.164,0.164,0.156,0.16,0.1101,339675.0,0.0,1.0
2002-01-31,0.16,0.16,0.156,0.156,0.1074,253195.0,0.0,1.0
2002-02-01,0.156,0.156,0.152,0.152,0.1046,351122.0,0.0,1.0
2002-02-04,0.148,0.148,0.144,0.148,0.1019,255599.0,0.0,1.0
2002-02-05,0.148,0.152,0.144,0.152,0.1046,255815.0,0.0,1.0
2002-02-06,0.152,0.156,0.152,0.156,0.1074,277498.0,0.0,1.0
2002-02-07,0.156,0.176,0.156,0.168,0.1157,449555.0,0.0,1.0
2002-02-08,0.176,0.18,0.16,0.176,0.1212,3418500.0,0.0,1.0
2002-02-11,0.176,0.176,0.168,0.168,0.1157,576250.0,0.0,1.0
2002-02-12,0.168,0.172,0.168,0.172,0.1184,342496.0,0.0,1.0
2002-02-13,0.172,0.172,0.168,0.172,0.1184,195669.0,0.0,1.0
2002-02-14,0.168,0.168,0.168,0.168,0.1157,178962.0,0.0,1.0
2002-02-15,0.16,0.16,0.16,0.16,0.1101,62500.0,0.0,1.0
2002-02-18,0.16,0.168,0.16,0.16,0.1101,214688.0,0.0,1.0
2002-02-19,0.168,0.168,0.16,0.168,0.1157,89500.0,0.0,1.0
2002-02-20,0.164,0.164,0.156,0.156,0.1074,6269885.0,0.0,1.0
2002-02-21,0.152,0.152,0.152,0.152,0.1046,173552.0,0.0,1.0
2002-02-22,0.148,0.16,0.144,0.16,0.1101,426742.0,0.0,1.0
2002-02-25,0.152,0.16,0.152,0.152,0.1046,31215.0,0.0,1.0
2002-02-26,0.16,0.16,0.156,0.156,0.1074,160248.0,0.0,1.0
2002-02-27,0.156,0.156,0.152,0.152,0.1046,252258.0,0.0,1.0
2002-02-28,0.168,0.168,0.16,0.16,0.1101,397916.0,0.0,1.0
2002-03-01,0.16,0.16,0.16,0.16,0.1101,6076.0,0.0,1.0
2002-03-04,0.164,0.164,0.16,0.16,0.1101,0.0,0.0,1.0
2002-03-05,0.164,0.164,0.16,0.16,0.1101,21008.0,0.0,1.0
2002-03-06,0.16,0.16,0.156,0.156,0.1074,82049.0,0.0,1.0
2002-03-07,0.156,0.156,0.152,0.152,0.1046,31875.0,0.0,1.0
2002-03-08,0.156,0.156,0.152,0.152,0.1046,500000.0,0.0,1.0
2002-03-11,0.148,0.148,0.148,0.148,0.1019,107378.0,0.0,1.0
2002-03-12,0.148,0.148,0.148,0.148,0.1019,75000.0,0.0,1.0
2002-03-13,0.148,0.148,0.148,0.148,0.1019,8680.0,0.0,1.0
2002-03-14,0.148,0.148,0.144,0.144,0.0991,375000.0,0.0,1.0
2002-03-15,0.152,0.152,0.148,0.152,0.1046,415971.0,0.0,1.0
2002-03-18,0.152,0.152,0.148,0.152,0.1046,1526006.0,0.0,1.0
2002-03-19,0.152,0.152,0.148,0.148,0.1019,93750.0,0.0,1.0
2002-03-20,0.148,0.152,0.148,0.152,0.1046,96338.0,0.0,1.0
2002-03-21,0.156,0.168,0.152,0.168,0.1157,6669339.0,0.0,1.0
2002-03-22,0.164,0.204,0.16,0.204,0.1404,11207948.0,0.0,1.0
2002-03-25,0.212,0.228,0.192,0.2,0.1377,6645981.0,0.0,1.0
2002-03-26,0.2,0.212,0.196,0.196,0.1349,4682685.0,0.0,1.0
2002-03-27,0.2,0.2,0.196,0.196,0.1349,1310248.0,0.0,1.0
2002-03-28,0.2,0.216,0.2,0.204,0.1404,1984238.0,0.0,1.0
2002-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-02,0.204,0.212,0.2,0.204,0.1404,1786908.0,0.0,1.0
2002-04-03,0.208,0.212,0.204,0.212,0.1459,2244316.0,0.0,1.0
2002-04-04,0.212,0.232,0.212,0.228,0.157,4110984.0,0.0,1.0
2002-04-05,0.232,0.236,0.22,0.228,0.157,3016361.0,0.0,1.0
2002-04-08,0.228,0.232,0.224,0.232,0.1597,2789234.0,0.0,1.0
2002-04-09,0.236,0.248,0.228,0.24,0.1652,4811818.0,0.0,1.0
2002-04-10,0.24,0.24,0.22,0.224,0.1542,1576455.0,0.0,1.0
2002-04-11,0.22,0.26,0.216,0.248,0.1707,5989280.0,0.0,1.0
2002-04-12,0.24,0.244,0.232,0.244,0.168,3217930.0,0.0,1.0
2002-04-15,0.24,0.244,0.224,0.228,0.157,1299868.0,0.0,1.0
2002-04-16,0.224,0.236,0.224,0.232,0.1597,1329962.0,0.0,1.0
2002-04-17,0.24,0.244,0.224,0.244,0.168,6056330.0,0.0,1.0
2002-04-18,0.24,0.244,0.228,0.236,0.1625,4374588.0,0.0,1.0
2002-04-19,0.232,0.236,0.22,0.224,0.1542,1404839.0,0.0,1.0
2002-04-22,0.22,0.224,0.22,0.22,0.1514,716875.0,0.0,1.0
2002-04-23,0.216,0.216,0.192,0.192,0.1322,7905740.0,0.0,1.0
2002-04-24,0.196,0.204,0.188,0.192,0.1322,1383812.0,0.0,1.0
2002-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-04-26,0.192,0.196,0.18,0.192,0.1322,2089846.0,0.0,1.0
2002-04-29,0.196,0.212,0.184,0.212,0.1459,7645095.0,0.0,1.0
2002-04-30,0.208,0.208,0.204,0.208,0.1432,937385.0,0.0,1.0
2002-05-01,0.208,0.212,0.208,0.208,0.1432,1015860.0,0.0,1.0
2002-05-02,0.208,0.216,0.208,0.212,0.1459,2289414.0,0.0,1.0
2002-05-03,0.208,0.208,0.204,0.204,0.1404,731125.0,0.0,1.0
2002-05-06,0.204,0.204,0.192,0.192,0.1322,1301346.0,0.0,1.0
2002-05-07,0.192,0.196,0.184,0.196,0.1349,268750.0,0.0,1.0
2002-05-08,0.196,0.196,0.192,0.196,0.1349,106612.0,0.0,1.0
2002-05-09,0.184,0.192,0.184,0.188,0.1294,323368.0,0.0,1.0
2002-05-10,0.184,0.192,0.184,0.184,0.1267,233438.0,0.0,1.0
2002-05-13,0.188,0.188,0.184,0.184,0.1267,124260.0,0.0,1.0
2002-05-14,0.184,0.184,0.18,0.184,0.1267,125724.0,0.0,1.0
2002-05-15,0.184,0.184,0.164,0.168,0.1157,843949.0,0.0,1.0
2002-05-16,0.184,0.184,0.176,0.18,0.1239,422470.0,0.0,1.0
2002-05-17,0.176,0.184,0.176,0.176,0.1212,313542.0,0.0,1.0
2002-05-20,0.18,0.18,0.172,0.176,0.1212,301749.0,0.0,1.0
2002-05-21,0.176,0.18,0.176,0.18,0.1239,12500.0,0.0,1.0
2002-05-22,0.176,0.176,0.172,0.172,0.1184,196750.0,0.0,1.0
2002-05-23,0.172,0.172,0.172,0.172,0.1184,77125.0,0.0,1.0
2002-05-24,0.172,0.176,0.172,0.172,0.1184,200771.0,0.0,1.0
2002-05-27,0.172,0.176,0.172,0.172,0.1184,402840.0,0.0,1.0
2002-05-28,0.172,0.196,0.172,0.192,0.1322,437660.0,0.0,1.0
2002-05-29,0.196,0.196,0.192,0.192,0.1322,784375.0,0.0,1.0
2002-05-30,0.192,0.2,0.192,0.2,0.1377,212500.0,0.0,1.0
2002-05-31,0.196,0.196,0.188,0.188,0.1294,129940.0,0.0,1.0
2002-06-03,0.188,0.192,0.184,0.184,0.1267,348800.0,0.0,1.0
2002-06-04,0.184,0.188,0.18,0.18,0.1239,222885.0,0.0,1.0
2002-06-05,0.18,0.184,0.176,0.176,0.1212,333469.0,0.0,1.0
2002-06-06,0.176,0.176,0.168,0.168,0.1157,47396.0,0.0,1.0
2002-06-07,0.168,0.176,0.164,0.164,0.1129,240868.0,0.0,1.0
2002-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-06-11,0.168,0.168,0.164,0.164,0.1129,158166.0,0.0,1.0
2002-06-12,0.164,0.164,0.16,0.16,0.1101,177009.0,0.0,1.0
2002-06-13,0.152,0.164,0.148,0.16,0.1101,907124.0,0.0,1.0
2002-06-14,0.164,0.168,0.164,0.168,0.1157,44718.0,0.0,1.0
2002-06-17,0.168,0.176,0.16,0.172,0.1184,151545.0,0.0,1.0
