date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-07-07,1.15,1.25,1.15,1.25,1.0544,65348.0,0.0,1.0
2016-07-08,1.2,1.25,1.18,1.2,1.0122,173264.0,0.0,1.0
2016-07-11,1.21,1.22,1.175,1.2,1.0122,78061.0,0.0,1.0
2016-07-12,1.19,1.19,1.16,1.17,0.9869,179488.0,0.0,1.0
2016-07-13,1.19,1.225,1.185,1.22,1.0291,2617269.0,0.0,1.0
2016-07-14,1.22,1.26,1.22,1.26,1.0628,337124.0,0.0,1.0
2016-07-15,1.285,1.285,1.265,1.28,1.0797,803230.0,0.0,1.0
2016-07-18,1.275,1.28,1.23,1.24,1.046,161209.0,0.0,1.0
2016-07-19,1.26,1.26,1.245,1.25,1.0544,753870.0,0.0,1.0
2016-07-20,1.26,1.285,1.24,1.28,1.0797,1052727.0,0.0,1.0
2016-07-21,1.27,1.3,1.26,1.3,1.0966,1611649.0,0.0,1.0
2016-07-22,1.31,1.36,1.31,1.35,1.1387,707724.0,0.0,1.0
2016-07-25,1.34,1.34,1.3,1.34,1.1303,237980.0,0.0,1.0
2016-07-26,1.36,1.385,1.34,1.36,1.1472,246270.0,0.0,1.0
2016-07-27,1.37,1.395,1.365,1.395,1.1767,431757.0,0.0,1.0
2016-07-28,1.4,1.48,1.39,1.46,1.2315,1476337.0,0.0,1.0
2016-07-29,1.455,1.48,1.455,1.475,1.2442,330703.0,0.0,1.0
2016-08-01,1.485,1.49,1.48,1.48,1.2484,277808.0,0.0,1.0
2016-08-02,1.47,1.56,1.47,1.48,1.2484,155703.0,0.0,1.0
2016-08-03,1.5,1.5,1.43,1.445,1.2189,241421.0,0.0,1.0
2016-08-04,1.45,1.47,1.39,1.43,1.2062,496153.0,0.0,1.0
2016-08-05,1.43,1.45,1.41,1.42,1.1978,408547.0,0.0,1.0
2016-08-08,1.4,1.45,1.34,1.43,1.2062,851536.0,0.0,1.0
2016-08-09,1.43,1.45,1.42,1.43,1.2062,564544.0,0.0,1.0
2016-08-10,1.44,1.465,1.43,1.43,1.2062,457844.0,0.0,1.0
2016-08-11,1.45,1.45,1.405,1.42,1.1978,312236.0,0.0,1.0
2016-08-12,1.42,1.45,1.42,1.445,1.2189,214849.0,0.0,1.0
2016-08-15,1.45,1.46,1.435,1.455,1.2273,828419.0,0.0,1.0
2016-08-16,1.455,1.46,1.425,1.425,1.202,309069.0,0.0,1.0
2016-08-17,1.46,1.49,1.43,1.46,1.2315,309016.0,0.0,1.0
2016-08-18,1.48,1.485,1.46,1.46,1.2315,682916.0,0.0,1.0
2016-08-19,1.46,1.51,1.46,1.495,1.2611,1450464.0,0.0,1.0
