date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-07-28,1.2,1.2,1.12,1.14,0.6808,765569.0,0.0,1.0
2006-07-31,1.15,1.15,1.12,1.15,0.6868,330500.0,0.0,1.0
2006-08-01,1.15,1.15,1.13,1.15,0.6868,219500.0,0.0,1.0
2006-08-02,1.15,1.15,1.14,1.15,0.6868,287700.0,0.0,1.0
2006-08-03,1.19,1.195,1.175,1.195,0.7137,57972.0,0.0,1.0
2006-08-04,1.2,1.22,1.19,1.22,0.7286,227580.0,0.0,1.0
2006-08-07,1.24,1.27,1.23,1.25,0.7465,178496.0,0.0,1.0
2006-08-08,1.25,1.28,1.25,1.28,0.7644,134217.0,0.0,1.0
2006-08-09,1.3,1.34,1.3,1.3,0.7764,97237.0,0.0,1.0
2006-08-10,1.3,1.3,1.28,1.3,0.7764,58150.0,0.0,1.0
2006-08-11,1.3,1.35,1.3,1.35,0.8063,173650.0,0.0,1.0
2006-08-14,1.35,1.4,1.35,1.36,0.8122,87500.0,0.0,1.0
2006-08-15,1.36,1.36,1.34,1.35,0.8063,53670.0,0.0,1.0
2006-08-16,1.34,1.34,1.3,1.31,0.7824,23250.0,0.0,1.0
2006-08-17,1.3,1.3,1.3,1.3,0.7764,47750.0,0.0,1.0
2006-08-18,1.3,1.3,1.28,1.3,0.7764,26000.0,0.0,1.0
2006-08-21,1.32,1.32,1.32,1.32,0.7883,15280.0,0.0,1.0
2006-08-22,1.3,1.32,1.3,1.32,0.7883,40020.0,0.0,1.0
2006-08-23,1.32,1.35,1.31,1.35,0.8063,50250.0,0.0,1.0
2006-08-24,1.32,1.32,1.3,1.3,0.7764,15550.0,0.0,1.0
2006-08-25,1.3,1.31,1.3,1.31,0.7824,44270.0,0.0,1.0
2006-08-28,1.31,1.32,1.31,1.32,0.7883,28500.0,0.0,1.0
2006-08-29,1.32,1.32,1.3,1.3,0.7764,26750.0,0.0,1.0
2006-08-30,1.3,1.3,1.3,1.3,0.7764,37000.0,0.0,1.0
2006-08-31,1.3,1.32,1.3,1.3,0.7764,203250.0,0.0,1.0
2006-09-01,1.32,1.35,1.32,1.35,0.8063,115900.0,0.0,1.0
2006-09-04,1.35,1.39,1.35,1.39,0.8301,69500.0,0.0,1.0
2006-09-05,1.39,1.39,1.39,1.39,0.8301,9000.0,0.0,1.0
2006-09-06,1.39,1.4,1.39,1.4,0.8361,111620.0,0.0,1.0
2006-09-07,1.4,1.41,1.38,1.4,0.8361,122106.0,0.0,1.0
2006-09-08,1.4,1.4,1.4,1.4,0.8361,67142.0,0.0,1.0
2006-09-11,1.38,1.38,1.38,1.38,0.8242,35000.0,0.0,1.0
2006-09-12,1.4,1.4,1.4,1.4,0.8361,110000.0,0.0,1.0
2006-09-13,1.4,1.4,1.39,1.4,0.8361,266382.0,0.0,1.0
2006-09-14,1.4,1.4,1.4,1.4,0.8361,128632.0,0.0,1.0
2006-09-15,1.42,1.42,1.42,1.42,0.8481,18382.0,0.0,1.0
2006-09-18,1.42,1.43,1.41,1.43,0.854,306518.0,0.0,1.0
2006-09-19,1.4,1.42,1.4,1.42,0.8481,35000.0,0.0,1.0
2006-09-20,1.41,1.42,1.41,1.42,0.8481,15250.0,0.0,1.0
2006-09-21,1.42,1.42,1.42,1.42,0.8481,0.0,0.0,1.0
2006-09-22,1.42,1.42,1.39,1.4,0.8361,13000.0,0.0,1.0
