date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-11-03,1.4,1.45,1.4,1.45,0.8222,10600000.0,0.0,1.0
2010-11-04,1.47,1.47,1.45,1.465,0.8307,2173100.0,0.0,1.0
2010-11-05,1.49,1.5,1.47,1.475,0.8364,2065500.0,0.0,1.0
2010-11-08,1.5,1.57,1.48,1.48,0.8392,1134500.0,0.0,1.0
2010-11-09,1.48,1.5,1.48,1.485,0.842,913000.0,0.0,1.0
2010-11-10,1.485,1.505,1.485,1.5,0.8505,539400.0,0.0,1.0
2010-11-11,1.495,1.55,1.495,1.52,0.8619,634900.0,0.0,1.0
2010-11-12,1.55,1.55,1.5,1.51,0.8562,1342121.0,0.0,1.0
2010-11-15,1.51,1.545,1.51,1.545,0.876,170835.0,0.0,1.0
2010-11-16,1.545,1.545,1.505,1.53,0.8675,270023.0,0.0,1.0
2010-11-17,1.52,1.52,1.47,1.475,0.8364,272092.0,0.0,1.0
2010-11-18,1.475,1.495,1.47,1.47,0.8335,208552.0,0.0,1.0
2010-11-19,1.46,1.47,1.45,1.45,0.8222,1229698.0,0.0,1.0
2010-11-22,1.47,1.49,1.46,1.49,0.8449,95393.0,0.0,1.0
2010-11-23,1.49,1.49,1.48,1.48,0.8392,35936.0,0.0,1.0
2010-11-24,1.46,1.46,1.43,1.43,0.8108,155805.0,0.0,1.0
2010-11-25,1.42,1.49,1.42,1.49,0.8449,258185.0,0.0,1.0
2010-11-26,1.49,1.49,1.46,1.47,0.8335,175662.0,0.0,1.0
2010-11-29,1.47,1.48,1.46,1.48,0.8392,103538.0,0.0,1.0
2010-11-30,1.48,1.48,1.435,1.435,0.8137,154400.0,0.0,1.0
2010-12-01,1.45,1.46,1.44,1.44,0.8165,114078.0,0.0,1.0
2010-12-02,1.47,1.47,1.435,1.45,0.8222,46900.0,0.0,1.0
2010-12-03,1.45,1.47,1.45,1.47,0.8335,151645.0,0.0,1.0
2010-12-06,1.47,1.49,1.47,1.48,0.8392,258571.0,0.0,1.0
2010-12-07,1.495,1.51,1.485,1.5,0.8505,277110.0,0.0,1.0
2010-12-08,1.52,1.535,1.51,1.525,0.8647,533820.0,0.0,1.0
2010-12-09,1.54,1.55,1.54,1.54,0.8732,313305.0,0.0,1.0
2010-12-10,1.55,1.65,1.55,1.63,0.9242,863320.0,0.0,1.0
2010-12-13,1.635,1.795,1.635,1.75,0.9923,512153.0,0.0,1.0
2010-12-14,1.75,1.75,1.705,1.75,0.9923,254630.0,0.0,1.0
2010-12-15,1.71,1.71,1.68,1.69,0.9583,120650.0,0.0,1.0
2010-12-16,1.68,1.69,1.67,1.69,0.9583,147600.0,0.0,1.0
2010-12-17,1.71,1.72,1.7,1.7,0.9639,98216.0,0.0,1.0
2010-12-20,1.7,1.7,1.66,1.68,0.9526,77750.0,0.0,1.0
2010-12-21,1.68,1.735,1.66,1.7,0.9639,124816.0,0.0,1.0
2010-12-22,1.7,1.72,1.7,1.72,0.9753,850995.0,0.0,1.0
2010-12-23,1.72,1.73,1.72,1.73,0.9809,47300.0,0.0,1.0
2010-12-24,1.73,1.78,1.73,1.73,0.9809,185611.0,0.0,1.0
2010-12-29,1.75,1.75,1.73,1.73,0.9809,32200.0,0.0,1.0
2010-12-30,1.75,1.75,1.75,1.75,0.9923,13640.0,0.0,1.0
2010-12-31,1.74,1.75,1.74,1.75,0.9923,53200.0,0.0,1.0
2011-01-04,1.77,1.85,1.77,1.78,1.0093,112428.0,0.0,1.0
2011-01-05,1.8,1.8,1.76,1.775,1.0065,92360.0,0.0,1.0
2011-01-06,1.79,1.79,1.75,1.77,1.0036,182937.0,0.0,1.0
2011-01-07,1.76,1.76,1.73,1.74,0.9866,86762.0,0.0,1.0
2011-01-10,1.74,1.77,1.74,1.75,0.9923,69590.0,0.0,1.0
2011-01-11,1.8,1.8,1.73,1.73,0.9809,49265.0,0.0,1.0
2011-01-12,1.75,1.75,1.73,1.75,0.9923,106097.0,0.0,1.0
2011-01-13,1.75,1.75,1.73,1.73,0.9809,75666.0,0.0,1.0
2011-01-14,1.75,1.81,1.75,1.8,1.0206,225450.0,0.0,1.0
2011-01-17,1.8,1.81,1.79,1.8,1.0206,134324.0,0.0,1.0
2011-01-18,1.8,1.81,1.79,1.81,1.0263,296700.0,0.0,1.0
2011-01-19,1.85,1.91,1.85,1.88,1.066,55132.0,0.0,1.0
2011-01-20,1.94,1.95,1.9,1.9,1.0773,1980235.0,0.0,1.0
2011-01-21,1.92,1.94,1.9,1.94,1.1,366900.0,0.0,1.0
2011-01-24,2.0,2.05,1.95,1.95,1.1057,2865052.0,0.0,1.0
2011-01-25,1.95,1.96,1.935,1.94,1.1,85461.0,0.0,1.0
2011-01-27,1.95,1.99,1.95,1.99,1.1284,128010.0,0.0,1.0
2011-01-28,2.0,2.16,2.0,2.09,1.1851,544693.0,0.0,1.0
2011-01-31,2.1,2.2,2.06,2.2,1.2474,231172.0,0.0,1.0
2011-02-01,2.36,2.5,2.25,2.28,1.2928,153860.0,0.0,1.0
2011-02-02,2.28,2.3,2.25,2.25,1.2758,261154.0,0.0,1.0
2011-02-03,2.29,2.4,2.29,2.4,1.3608,155966.0,0.0,1.0
2011-02-04,2.51,2.59,2.46,2.5,1.4175,299872.0,0.0,1.0
