date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-08-24,0.9567,0.9567,0.9567,0.9567,0.8228,0.0,0.0,1.0
2004-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-08-26,0.9063,1.0959,0.8852,1.0959,0.9426,2841796.0,0.0,1.0
2004-08-27,1.0959,1.1381,1.0116,1.0959,0.9426,1998997.0,0.0,1.0
2004-08-30,1.0959,1.0959,1.0011,1.0538,0.9063,561353.0,0.0,1.0
2004-08-31,1.0433,1.1592,1.0433,1.0959,0.9426,1127129.0,0.0,1.0
2004-09-01,1.117,1.2013,1.0959,1.2013,1.0332,763958.0,0.0,1.0
2004-09-02,1.2224,1.3067,1.1803,1.2646,1.0876,1418848.0,0.0,1.0
2004-09-03,1.2646,1.2646,1.2013,1.2435,1.0695,299224.0,0.0,1.0
2004-09-06,1.2224,1.2224,1.1381,1.1592,0.997,339771.0,0.0,1.0
2004-09-07,1.2013,1.2224,1.1803,1.2224,1.0513,248260.0,0.0,1.0
2004-09-08,1.2224,1.3278,1.2224,1.2224,1.0513,523131.0,0.0,1.0
2004-09-09,1.2224,1.2435,1.1592,1.1592,0.997,114281.0,0.0,1.0
2004-09-10,1.1803,1.2646,1.1592,1.2646,1.0876,142760.0,0.0,1.0
2004-09-13,1.2435,1.2435,1.1592,1.2013,1.0332,337415.0,0.0,1.0
2004-09-14,1.2013,1.2013,1.2013,1.2013,1.0332,106757.0,0.0,1.0
2004-09-15,1.2013,1.2013,1.1592,1.1592,0.997,164311.0,0.0,1.0
2004-09-16,1.1803,1.2013,1.1592,1.2013,1.0332,123576.0,0.0,1.0
2004-09-17,1.1803,1.2013,1.1592,1.2013,1.0332,102154.0,0.0,1.0
2004-09-20,1.2013,1.2013,1.1803,1.1803,1.0151,110625.0,0.0,1.0
2004-09-21,1.1803,1.2013,1.1803,1.2013,1.0332,200322.0,0.0,1.0
2004-09-22,1.2013,1.2646,1.2013,1.2435,1.0695,236906.0,0.0,1.0
2004-09-23,1.2646,1.4332,1.2646,1.4121,1.2145,657675.0,0.0,1.0
2004-09-24,1.391,1.4121,1.3699,1.4121,1.2145,281818.0,0.0,1.0
2004-09-27,1.4121,1.4753,1.4121,1.4753,1.2689,363192.0,0.0,1.0
2004-09-28,1.4542,1.4542,1.4121,1.4121,1.2145,200940.0,0.0,1.0
2004-09-29,1.4121,1.4542,1.391,1.4121,1.2145,305803.0,0.0,1.0
2004-09-30,1.4753,1.4753,1.391,1.391,1.1964,177333.0,0.0,1.0
2004-10-01,1.391,1.4121,1.3489,1.391,1.1964,141202.0,0.0,1.0
2004-10-04,1.391,1.4542,1.391,1.4121,1.2145,39856.0,0.0,1.0
2004-10-05,1.4121,1.4542,1.4121,1.4121,1.2145,196618.0,0.0,1.0
2004-10-06,1.4332,1.5175,1.4332,1.4753,1.2689,347126.0,0.0,1.0
2004-10-07,1.4753,1.4964,1.4753,1.4964,1.287,174607.0,0.0,1.0
2004-10-08,1.4964,1.5596,1.4964,1.5385,1.3232,1138947.0,0.0,1.0
2004-10-11,1.5385,1.5807,1.4542,1.4542,1.2507,308084.0,0.0,1.0
2004-10-12,1.4753,1.4753,1.4542,1.4542,1.2507,75916.0,0.0,1.0
2004-10-13,1.4964,1.4964,1.4121,1.4121,1.2145,39337.0,0.0,1.0
2004-10-14,1.3489,1.391,1.3067,1.3699,1.1782,292935.0,0.0,1.0
2004-10-15,1.3699,1.4121,1.3489,1.391,1.1964,190921.0,0.0,1.0
2004-10-18,1.391,1.391,1.3699,1.391,1.1964,33213.0,0.0,1.0
2004-10-19,1.3699,1.391,1.3278,1.3278,1.142,39345.0,0.0,1.0
2004-10-20,1.3489,1.4121,1.3489,1.391,1.1964,147949.0,0.0,1.0
2004-10-21,1.4121,1.4332,1.4121,1.4121,1.2145,113874.0,0.0,1.0
2004-10-22,1.4542,1.5175,1.4542,1.5175,1.3051,139323.0,0.0,1.0
2004-10-25,1.5175,1.5175,1.4964,1.4964,1.287,67938.0,0.0,1.0
2004-10-26,1.4964,1.5175,1.4753,1.4753,1.2689,53030.0,0.0,1.0
2004-10-27,1.4542,1.4753,1.4332,1.4332,1.2326,222673.0,0.0,1.0
2004-10-28,1.4332,1.4753,1.4332,1.4542,1.2507,9679.0,0.0,1.0
2004-10-29,1.4332,1.4542,1.4121,1.4332,1.2326,47641.0,0.0,1.0
2004-11-01,1.4332,1.4332,1.391,1.4332,1.2326,76613.0,0.0,1.0
2004-11-02,1.4332,1.4542,1.3699,1.4542,1.2507,36285.0,0.0,1.0
2004-11-03,1.4121,1.4121,1.4121,1.4121,1.2145,23724.0,0.0,1.0
2004-11-04,1.4121,1.4121,1.3699,1.3699,1.1782,122059.0,0.0,1.0
2004-11-05,1.391,1.4121,1.3699,1.4121,1.2145,74018.0,0.0,1.0
