date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2009-12-04,0.1929,0.1929,0.1688,0.1784,0.1784,3668311.0,0.0,1.0
2009-12-07,0.1784,0.1784,0.1639,0.1639,0.1639,3480607.0,0.0,1.0
2009-12-08,0.1688,0.1736,0.1688,0.1736,0.1736,1635511.0,0.0,1.0
2009-12-09,0.1736,0.1784,0.1736,0.1736,0.1736,690749.0,0.0,1.0
2009-12-10,0.1736,0.1784,0.1688,0.1736,0.1736,193719.0,0.0,1.0
2009-12-11,0.1736,0.1736,0.1688,0.1736,0.1736,810462.0,0.0,1.0
2009-12-14,0.1736,0.1784,0.1736,0.1784,0.1784,317419.0,0.0,1.0
2009-12-15,0.1832,0.188,0.1784,0.188,0.188,780681.0,0.0,1.0
2009-12-16,0.1832,0.1929,0.1832,0.1929,0.1929,531222.0,0.0,1.0
2009-12-17,0.1929,0.2073,0.1929,0.2025,0.2025,358753.0,0.0,1.0
2009-12-18,0.2025,0.2025,0.1832,0.1832,0.1832,524222.0,0.0,1.0
2009-12-21,0.1832,0.1977,0.1832,0.1977,0.1977,35778.0,0.0,1.0
2009-12-22,0.1977,0.2025,0.1977,0.1977,0.1977,290370.0,0.0,1.0
2009-12-23,0.1929,0.2025,0.188,0.1977,0.1977,409630.0,0.0,1.0
2009-12-24,0.1977,0.1977,0.1977,0.1977,0.1977,93401.0,0.0,1.0
2009-12-29,0.1929,0.1977,0.1929,0.1977,0.1977,226074.0,0.0,1.0
2009-12-30,0.1977,0.2121,0.1929,0.2073,0.2073,657481.0,0.0,1.0
2009-12-31,0.2073,0.2266,0.2073,0.2266,0.2266,586211.0,0.0,1.0
2010-01-04,0.217,0.2266,0.217,0.217,0.217,243849.0,0.0,1.0
2010-01-05,0.217,0.217,0.2121,0.2121,0.2121,329114.0,0.0,1.0
2010-01-06,0.217,0.2314,0.217,0.2218,0.2218,827556.0,0.0,1.0
2010-01-07,0.2218,0.2218,0.217,0.2218,0.2218,236601.0,0.0,1.0
2010-01-08,0.2218,0.2266,0.217,0.217,0.217,613926.0,0.0,1.0
2010-01-11,0.217,0.217,0.2121,0.2121,0.2121,176296.0,0.0,1.0
2010-01-12,0.2121,0.2121,0.2073,0.2073,0.2073,370741.0,0.0,1.0
2010-01-13,0.2073,0.2073,0.1929,0.1977,0.1977,237669.0,0.0,1.0
2010-01-14,0.1977,0.2507,0.1977,0.2411,0.2411,1920109.0,0.0,1.0
2010-01-15,0.2411,0.2411,0.2362,0.2411,0.2411,746667.0,0.0,1.0
2010-01-18,0.2314,0.2362,0.2314,0.2362,0.2362,275333.0,0.0,1.0
2010-01-19,0.2266,0.2266,0.2025,0.2073,0.2073,793529.0,0.0,1.0
2010-01-20,0.2121,0.2266,0.2121,0.217,0.217,495081.0,0.0,1.0
2010-01-21,0.217,0.217,0.2025,0.2025,0.2025,610530.0,0.0,1.0
2010-01-22,0.2025,0.2121,0.2025,0.2025,0.2025,163574.0,0.0,1.0
2010-01-25,0.2025,0.2218,0.2025,0.2218,0.2218,35207.0,0.0,1.0
2010-01-27,0.2121,0.2121,0.2025,0.2073,0.2073,224000.0,0.0,1.0
2010-01-28,0.2121,0.2314,0.2121,0.2314,0.2314,134815.0,0.0,1.0
2010-01-29,0.2218,0.2314,0.2121,0.2314,0.2314,246296.0,0.0,1.0
2010-02-01,0.2314,0.2314,0.1977,0.1977,0.1977,201333.0,0.0,1.0
2010-02-02,0.2025,0.2121,0.2025,0.2121,0.2121,39570.0,0.0,1.0
2010-02-03,0.2218,0.2218,0.2025,0.2073,0.2073,133881.0,0.0,1.0
2010-02-04,0.2218,0.2218,0.2073,0.2073,0.2073,0.0,0.0,1.0
2010-02-05,0.1977,0.1977,0.1929,0.1977,0.1977,371543.0,0.0,1.0
2010-02-08,0.1977,0.2025,0.1977,0.2025,0.2025,81020.0,0.0,1.0
2010-02-09,0.1977,0.1977,0.1832,0.1832,0.1832,206655.0,0.0,1.0
2010-02-10,0.1977,0.1977,0.1929,0.1929,0.1929,232296.0,0.0,1.0
2010-02-11,0.1929,0.1977,0.1929,0.1977,0.1977,155556.0,0.0,1.0
2010-02-12,0.1929,0.1929,0.188,0.1929,0.1929,226716.0,0.0,1.0
2010-02-15,0.1929,0.1977,0.1929,0.1977,0.1977,93333.0,0.0,1.0
2010-02-16,0.188,0.1977,0.188,0.188,0.188,89185.0,0.0,1.0
2010-02-17,0.1929,0.1929,0.1832,0.188,0.188,300741.0,0.0,1.0
2010-02-18,0.1977,0.2025,0.1977,0.2025,0.2025,86852.0,0.0,1.0
2010-02-19,0.2025,0.2025,0.1929,0.1929,0.1929,126519.0,0.0,1.0
2010-02-22,0.1929,0.1929,0.1929,0.1929,0.1929,200148.0,0.0,1.0
2010-02-23,0.2025,0.2025,0.2025,0.2025,0.2025,18148.0,0.0,1.0
2010-02-24,0.1977,0.1977,0.188,0.188,0.188,0.0,0.0,1.0
2010-02-25,0.1977,0.1977,0.188,0.188,0.188,128873.0,0.0,1.0
2010-02-26,0.188,0.1929,0.188,0.1929,0.1929,146470.0,0.0,1.0
2010-03-01,0.1977,0.1977,0.1929,0.1929,0.1929,10370.0,0.0,1.0
2010-03-02,0.188,0.188,0.1832,0.1832,0.1832,131168.0,0.0,1.0
2010-03-03,0.1832,0.1832,0.1832,0.1832,0.1832,50156.0,0.0,1.0
2010-03-04,0.188,0.188,0.1736,0.1736,0.1736,145592.0,0.0,1.0
2010-03-05,0.188,0.188,0.188,0.188,0.188,17842.0,0.0,1.0
2010-03-08,0.188,0.1929,0.188,0.1929,0.1929,95926.0,0.0,1.0
2010-03-09,0.1929,0.1929,0.1832,0.1929,0.1929,64296.0,0.0,1.0
2010-03-10,0.1929,0.1929,0.1832,0.1832,0.1832,0.0,0.0,1.0
2010-03-11,0.1929,0.1929,0.1929,0.1929,0.1929,29037.0,0.0,1.0
2010-03-12,0.1929,0.1929,0.1929,0.1929,0.1929,82963.0,0.0,1.0
2010-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-03-16,0.1832,0.1832,0.1688,0.1736,0.1736,1639839.0,0.0,1.0
2010-03-17,0.1929,0.1929,0.1929,0.1929,0.1929,31111.0,0.0,1.0
2010-03-18,0.1688,0.1688,0.1688,0.1688,0.1688,12963.0,0.0,1.0
2010-03-19,0.1832,0.188,0.1832,0.1832,0.1832,207407.0,0.0,1.0
2010-03-22,0.1832,0.1929,0.1736,0.1929,0.1929,493630.0,0.0,1.0
2010-03-23,0.1929,0.1929,0.1929,0.1929,0.1929,20741.0,0.0,1.0
2010-03-24,0.1929,0.1929,0.1784,0.1784,0.1784,0.0,0.0,1.0
2010-03-25,0.1832,0.188,0.1832,0.188,0.188,353956.0,0.0,1.0
2010-03-26,0.1784,0.1784,0.1784,0.1784,0.1784,12963.0,0.0,1.0
2010-03-29,0.188,0.188,0.1832,0.1832,0.1832,70000.0,0.0,1.0
2010-03-30,0.1832,0.1832,0.1832,0.1832,0.1832,54444.0,0.0,1.0
2010-03-31,0.1832,0.2025,0.1832,0.2025,0.2025,532773.0,0.0,1.0
2010-04-01,0.1977,0.2121,0.1977,0.2121,0.2121,311111.0,0.0,1.0
2010-04-06,0.2121,0.2121,0.2121,0.2121,0.2121,334680.0,0.0,1.0
2010-04-07,0.2025,0.2025,0.1977,0.2025,0.2025,74720.0,0.0,1.0
2010-04-08,0.2652,0.3568,0.2555,0.2604,0.2604,21764983.0,0.0,1.0
2010-04-09,0.27,0.2989,0.2604,0.2941,0.2941,6091780.0,0.0,1.0
2010-04-12,0.3038,0.3279,0.2989,0.3038,0.3038,4002715.0,0.0,1.0
2010-04-13,0.3086,0.3086,0.2941,0.2941,0.2941,2007556.0,0.0,1.0
2010-04-14,0.2941,0.2989,0.2893,0.2941,0.2941,606880.0,0.0,1.0
2010-04-15,0.2989,0.3038,0.2941,0.2941,0.2941,891852.0,0.0,1.0
2010-04-16,0.2989,0.3038,0.2941,0.2941,0.2941,422620.0,0.0,1.0
2010-04-19,0.2893,0.2893,0.2845,0.2893,0.2893,344728.0,0.0,1.0
2010-04-20,0.2893,0.2893,0.2845,0.2845,0.2845,367005.0,0.0,1.0
2010-04-21,0.2893,0.2989,0.2893,0.2893,0.2893,760042.0,0.0,1.0
2010-04-22,0.2989,0.3761,0.2941,0.3568,0.3568,3496521.0,0.0,1.0
2010-04-23,0.3616,0.3664,0.3423,0.3471,0.3471,1746658.0,0.0,1.0
2010-04-27,0.3423,0.3471,0.323,0.3375,0.3375,514385.0,0.0,1.0
2010-04-28,0.323,0.3327,0.3086,0.3182,0.3182,442917.0,0.0,1.0
2010-04-29,0.3134,0.3327,0.3134,0.3134,0.3134,707087.0,0.0,1.0
2010-04-30,0.323,0.3279,0.323,0.3279,0.3279,156443.0,0.0,1.0
2010-05-03,0.3279,0.3279,0.3038,0.3038,0.3038,627407.0,0.0,1.0
2010-05-04,0.3038,0.3134,0.2893,0.2893,0.2893,496392.0,0.0,1.0
2010-05-05,0.2893,0.2893,0.2652,0.27,0.27,529813.0,0.0,1.0
2010-05-06,0.2748,0.2893,0.2652,0.2796,0.2796,342465.0,0.0,1.0
2010-05-07,0.2604,0.2748,0.2507,0.2748,0.2748,391983.0,0.0,1.0
