date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.9475,0.95,0.9475,0.95,0.0389,32420.0,0.0,1.0
2000-01-05,0.95,0.975,0.95,0.975,0.04,188496.0,0.0,1.0
2000-01-06,0.9625,0.9625,0.9625,0.9625,0.0395,10000.0,0.0,1.0
2000-01-07,0.9625,0.9625,0.9625,0.9625,0.0395,8000.0,0.0,1.0
2000-01-10,0.975,0.975,0.975,0.975,0.04,4000.0,0.0,1.0
2000-01-11,0.975,0.975,0.975,0.975,0.04,0.0,0.0,1.0
2000-01-12,0.975,0.975,0.975,0.975,0.04,0.0,0.0,1.0
2000-01-13,0.9625,0.9625,0.9625,0.9625,0.0395,10400.0,0.0,1.0
2000-01-14,0.95,0.95,0.95,0.95,0.0389,1600.0,0.0,1.0
2000-01-17,0.95,0.95,0.95,0.95,0.0389,968.0,0.0,1.0
2000-01-18,0.95,0.95,0.95,0.95,0.0389,10400.0,0.0,1.0
2000-01-19,0.95,0.95,0.95,0.95,0.0389,0.0,0.0,1.0
2000-01-20,0.95,0.95,0.95,0.95,0.0389,0.0,0.0,1.0
2000-01-21,0.95,0.95,0.95,0.95,0.0389,1270000.0,0.0,1.0
2000-01-24,0.95,0.95,0.9125,0.9125,0.0374,42280.0,0.0,1.0
2000-01-25,0.925,0.925,0.875,0.875,0.0359,12632.0,0.0,1.0
2000-01-26,0.875,0.875,0.875,0.875,0.0359,0.0,0.0,1.0
2000-01-27,0.9383,0.9383,0.9383,0.9383,0.0385,2284.0,0.0,1.0
2000-01-28,0.9,0.9,0.9,0.9,0.0369,14000.0,0.0,1.0
2000-01-31,0.9,0.9,0.9,0.9,0.0369,0.0,0.0,1.0
2000-02-01,0.9,0.9,0.9,0.9,0.0369,0.0,0.0,1.0
2000-02-02,0.9,0.9,0.9,0.9,0.0369,6000.0,0.0,1.0
2000-02-03,0.9,0.9,0.9,0.9,0.0369,120000.0,0.0,1.0
2000-02-04,0.925,0.925,0.925,0.925,0.0379,28000.0,0.0,1.0
2000-02-07,0.925,0.925,0.925,0.925,0.0379,7200.0,0.0,1.0
2000-02-08,0.925,0.925,0.925,0.925,0.0379,0.0,0.0,1.0
2000-02-09,0.925,0.925,0.925,0.925,0.0379,16000.0,0.0,1.0
2000-02-10,0.925,0.9375,0.925,0.9375,0.0384,26800.0,0.0,1.0
2000-02-11,0.9375,0.95,0.9375,0.9375,0.0384,30916.0,0.0,1.0
2000-02-14,0.9375,0.9375,0.9375,0.9375,0.0384,3360.0,0.0,1.0
2000-02-15,0.9425,0.9425,0.9375,0.9375,0.0384,42000.0,0.0,1.0
2000-02-16,0.9425,0.95,0.9425,0.95,0.0389,19724.0,0.0,1.0
2000-02-17,0.9375,0.95,0.9375,0.95,0.0389,4800.0,0.0,1.0
2000-02-18,0.95,0.95,0.95,0.95,0.0389,332.0,0.0,1.0
2000-02-21,0.9625,0.9625,0.9625,0.9625,0.0395,10400.0,0.0,1.0
2000-02-22,0.9875,0.9875,0.9875,0.9875,0.0405,22416.0,0.0,1.0
2000-02-23,0.9875,0.9875,0.9875,0.9875,0.0405,624.0,0.0,1.0
2000-02-24,0.9875,0.9875,0.9875,0.9875,0.0405,0.0,0.0,1.0
2000-02-25,0.975,0.975,0.975,0.975,0.04,8000.0,0.0,1.0
2000-02-28,0.975,0.975,0.975,0.975,0.04,32500.0,0.0,1.0
2000-02-29,0.9525,0.9625,0.95,0.9625,0.0395,16800.0,0.0,1.0
2000-03-01,0.9625,0.9625,0.9625,0.9625,0.0395,2344.0,0.0,1.0
