date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-08-09,1.05,1.05,1.05,1.05,0.341,0.0,0.0,1.0
2004-08-10,1.05,1.05,1.02,1.02,0.3313,870106.0,0.0,1.0
2004-08-11,1.03,1.03,0.99,0.99,0.3215,1390218.0,0.0,1.0
2004-08-12,1.03,1.03,1.0,1.0,0.3248,1127926.0,0.0,1.0
2004-08-13,1.01,1.03,1.01,1.03,0.3345,93975.0,0.0,1.0
2004-08-16,1.03,1.05,1.03,1.05,0.341,2034397.0,0.0,1.0
2004-08-17,1.06,1.07,1.06,1.07,0.3475,555000.0,0.0,1.0
2004-08-18,1.09,1.09,1.07,1.09,0.354,345000.0,0.0,1.0
2004-08-19,1.1,1.1,1.09,1.09,0.354,368600.0,0.0,1.0
2004-08-20,1.1,1.1,1.09,1.09,0.354,742850.0,0.0,1.0
2004-08-23,1.09,1.09,1.09,1.09,0.354,444814.0,0.0,1.0
2004-08-24,1.09,1.09,1.08,1.09,0.354,189000.0,0.0,1.0
2004-08-25,1.08,1.08,1.07,1.07,0.3475,1285500.0,0.0,1.0
2004-08-26,1.06,1.06,1.04,1.04,0.3377,1302628.0,0.0,1.0
2004-08-27,1.04,1.06,1.04,1.05,0.341,532968.0,0.0,1.0
2004-08-30,1.06,1.06,1.04,1.05,0.341,17676.0,0.0,1.0
2004-08-31,1.04,1.04,1.04,1.04,0.3377,155549.0,0.0,1.0
2004-09-01,1.05,1.05,1.04,1.04,0.3377,127051.0,0.0,1.0
2004-09-02,1.04,1.05,1.04,1.05,0.341,120449.0,0.0,1.0
2004-09-03,1.05,1.05,1.04,1.04,0.3377,35551.0,0.0,1.0
2004-09-06,1.04,1.04,1.04,1.04,0.3377,0.0,0.0,1.0
2004-09-07,1.03,1.05,1.03,1.05,0.341,226949.0,0.0,1.0
2004-09-08,1.05,1.05,1.03,1.03,0.3345,81169.0,0.0,1.0
2004-09-09,1.03,1.03,1.02,1.02,0.3313,298545.0,0.0,1.0
2004-09-10,1.02,1.03,1.01,1.03,0.3345,55000.0,0.0,1.0
2004-09-13,1.01,1.01,0.99,0.99,0.3215,422835.0,0.0,1.0
2004-09-14,0.99,1.0,0.99,0.99,0.3215,179394.0,0.0,1.0
2004-09-15,0.99,0.99,0.98,0.98,0.3183,100816.0,0.0,1.0
2004-09-16,0.97,0.98,0.97,0.98,0.3183,56500.0,0.0,1.0
2004-09-17,0.99,1.01,0.99,1.01,0.328,549246.0,0.0,1.0
2004-09-20,1.03,1.05,1.02,1.04,0.3377,158000.0,0.0,1.0
2004-09-21,1.05,1.05,1.03,1.05,0.341,1003991.0,0.0,1.0
2004-09-22,1.04,1.04,1.03,1.03,0.3345,237000.0,0.0,1.0
2004-09-23,1.05,1.06,1.05,1.05,0.341,295000.0,0.0,1.0
2004-09-24,1.06,1.06,1.05,1.05,0.341,136922.0,0.0,1.0
2004-09-27,1.05,1.05,1.05,1.05,0.341,0.0,0.0,1.0
2004-09-28,1.03,1.03,1.02,1.02,0.3313,27500.0,0.0,1.0
2004-09-29,1.04,1.06,1.04,1.06,0.3442,610578.0,0.0,1.0
