date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-04-10,2.8,3.3,2.8,3.15,3.0666,584067.0,0.0,1.0
2017-04-11,3.05,3.1,2.88,2.88,2.8037,238288.0,0.0,1.0
2017-04-12,2.88,3.01,2.88,2.99,2.9108,88955.0,0.0,1.0
2017-04-13,2.99,2.99,2.9,2.9,2.8232,37496.0,0.0,1.0
2017-04-18,3.0,3.2,3.0,3.1,3.0179,138361.0,0.0,1.0
2017-04-19,3.1,3.1,3.09,3.1,3.0179,29928.0,0.0,1.0
2017-04-20,3.09,3.1,3.02,3.1,3.0179,39728.0,0.0,1.0
2017-04-21,3.1,3.2,3.05,3.2,3.1153,59251.0,0.0,1.0
2017-04-24,3.15,3.15,3.15,3.15,3.0666,220.0,0.0,1.0
2017-04-26,3.14,3.15,3.14,3.15,3.0666,39700.0,0.0,1.0
2017-04-27,3.1,3.15,3.1,3.15,3.0666,4651.0,0.0,1.0
2017-04-28,3.1,3.19,3.1,3.19,3.1055,35400.0,0.0,1.0
2017-05-01,3.15,3.19,3.15,3.19,3.1055,17043.0,0.0,1.0
2017-05-02,3.15,3.16,3.15,3.16,3.0763,15257.0,0.0,1.0
2017-05-03,3.12,3.2,3.12,3.16,3.0763,100720.0,0.0,1.0
2017-05-04,3.16,3.16,3.15,3.15,3.0666,14525.0,0.0,1.0
2017-05-05,3.18,3.18,3.13,3.13,3.0471,33970.0,0.0,1.0
2017-05-08,3.13,3.15,3.12,3.12,3.0374,10085.0,0.0,1.0
2017-05-09,3.12,3.14,3.12,3.13,3.0471,44691.0,0.0,1.0
2017-05-10,3.15,3.15,3.12,3.15,3.0666,22483.0,0.0,1.0
2017-05-11,3.13,3.15,3.13,3.14,3.0568,30450.0,0.0,1.0
2017-05-12,3.11,3.14,3.11,3.14,3.0568,6468.0,0.0,1.0
2017-05-15,3.12,3.13,3.12,3.13,3.0471,14800.0,0.0,1.0
2017-05-16,3.12,3.13,3.1,3.1,3.0179,19804.0,0.0,1.0
2017-05-17,3.1,3.1,3.07,3.1,3.0179,17168.0,0.0,1.0
2017-05-18,3.01,3.1,3.01,3.1,3.0179,19196.0,0.0,1.0
2017-05-19,3.07,3.1,3.07,3.07,2.9887,7070.0,0.0,1.0
2017-05-22,3.1,3.15,3.1,3.15,3.0666,75000.0,0.0,1.0
2017-05-23,3.12,3.12,3.1,3.1,3.0179,36309.0,0.0,1.0
2017-05-24,3.1,3.1,3.1,3.1,3.0179,8446.0,0.0,1.0
2017-05-25,3.08,3.1,3.08,3.1,3.0179,2000.0,0.0,1.0
2017-05-26,3.08,3.09,3.08,3.08,2.9984,2700.0,0.0,1.0
2017-05-29,3.1,3.17,3.1,3.15,3.0666,124059.0,0.0,1.0
2017-05-30,3.15,3.15,3.15,3.15,3.0666,0.0,0.0,1.0
2017-05-31,3.12,3.14,3.12,3.14,3.0568,4356.0,0.0,1.0
2017-06-01,3.13,3.18,3.13,3.18,3.0958,299957.0,0.0,1.0
2017-06-02,3.14,3.19,3.14,3.19,3.1055,182791.0,0.0,1.0
2017-06-05,3.14,3.14,3.14,3.14,3.0568,4000.0,0.0,1.0
2017-06-06,3.15,3.15,3.11,3.15,3.0666,84371.0,0.0,1.0
2017-06-07,3.15,3.15,3.15,3.15,3.0666,10000.0,0.0,1.0
2017-06-08,3.15,3.16,3.15,3.15,3.0666,93600.0,0.0,1.0
2017-06-09,3.15,3.15,3.13,3.13,3.0471,17699.0,0.0,1.0
2017-06-13,3.14,3.15,3.14,3.15,3.0666,49873.0,0.0,1.0
2017-06-14,3.15,3.15,3.15,3.15,3.0666,0.0,0.0,1.0
2017-06-15,3.12,3.12,3.1,3.1,3.0179,6925.0,0.0,1.0
2017-06-16,3.1,3.1,3.1,3.1,3.0179,0.0,0.0,1.0
2017-06-19,3.09,3.13,3.08,3.08,2.9984,7793.0,0.0,1.0
2017-06-20,3.09,3.1,3.09,3.1,3.0179,10000.0,0.0,1.0
2017-06-21,3.07,3.09,3.07,3.09,3.0082,345.0,0.0,1.0
2017-06-22,3.07,3.07,3.05,3.05,2.9692,2317.0,0.0,1.0
2017-06-23,3.07,3.07,3.05,3.05,2.9692,21986.0,0.0,1.0
2017-06-26,3.04,3.06,3.04,3.06,2.979,64802.0,0.0,1.0
2017-06-27,3.05,3.07,3.05,3.07,2.9887,2519.0,0.0,1.0
2017-06-28,3.05,3.06,3.05,3.06,2.979,31.0,0.0,1.0
2017-06-29,3.27,3.6,3.27,3.6,3.5047,184309.0,0.0,1.0
2017-06-30,3.52,3.6,3.41,3.5,3.4073,54066.0,0.0,1.0
2017-07-03,3.5,3.5,3.37,3.4,3.31,38208.0,0.0,1.0
2017-07-04,3.45,3.8,3.45,3.7,3.602,135313.0,0.0,1.0
2017-07-05,3.87,3.87,3.7,3.87,3.7675,56449.0,0.0,1.0
2017-07-06,3.87,3.9,3.85,3.9,3.7967,26737.0,0.0,1.0
2017-07-07,3.95,4.1,3.95,4.0,3.8941,67587.0,0.0,1.0
2017-07-10,4.0,4.5,4.0,4.48,4.3613,50196.0,0.0,1.0
2017-07-11,4.5,4.5,4.4,4.4,4.2835,37317.0,0.0,1.0
2017-07-12,4.5,4.5,4.35,4.4,4.2835,11736.0,0.0,1.0
2017-07-13,4.38,4.38,4.25,4.25,4.1374,1208.0,0.0,1.0
2017-07-14,4.28,4.3,4.25,4.25,4.1374,14066.0,0.0,1.0
2017-07-17,4.21,4.21,4.0,4.0,3.8941,62611.0,0.0,1.0
2017-07-18,4.17,4.2,4.17,4.2,4.0888,6180.0,0.0,1.0
