date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-12-17,2.4,2.4,1.95,1.95,1.95,3518523.0,0.0,1.0
2015-12-18,2.0,2.18,1.99,2.18,2.18,750590.0,0.0,1.0
2015-12-21,2.2,2.4,2.2,2.35,2.35,764917.0,0.0,1.0
2015-12-22,2.41,2.44,2.23,2.35,2.35,357587.0,0.0,1.0
2015-12-23,2.39,2.57,2.39,2.51,2.51,597334.0,0.0,1.0
2015-12-24,2.57,2.7,2.52,2.54,2.54,254327.0,0.0,1.0
2015-12-28,2.54,2.54,2.54,2.54,2.54,0.0,0.0,1.0
2015-12-29,2.55,2.65,2.55,2.65,2.65,119207.0,0.0,1.0
2015-12-30,2.7,2.7,2.62,2.7,2.7,78128.0,0.0,1.0
2015-12-31,2.7,2.8,2.7,2.79,2.79,73043.0,0.0,1.0
2016-01-04,2.84,3.2,2.78,3.11,3.11,231238.0,0.0,1.0
2016-01-05,3.2,3.4,3.15,3.2,3.2,313632.0,0.0,1.0
2016-01-06,3.25,3.39,3.25,3.3,3.3,255204.0,0.0,1.0
2016-01-07,3.31,3.39,3.2,3.2,3.2,172352.0,0.0,1.0
2016-01-08,3.2,3.23,3.01,3.09,3.09,184537.0,0.0,1.0
2016-01-11,3.05,3.05,2.82,2.98,2.98,194791.0,0.0,1.0
2016-01-12,2.95,3.17,2.94,3.14,3.14,162069.0,0.0,1.0
2016-01-13,3.1,3.17,3.0,3.15,3.15,75273.0,0.0,1.0
2016-01-14,2.91,3.12,2.85,3.1,3.1,260800.0,0.0,1.0
2016-01-15,3.15,3.2,3.08,3.18,3.18,130345.0,0.0,1.0
2016-01-18,3.15,3.17,3.0,3.05,3.05,173735.0,0.0,1.0
2016-01-19,3.04,3.1,2.99,3.0,3.0,164158.0,0.0,1.0
2016-01-20,3.0,3.04,2.98,2.99,2.99,134161.0,0.0,1.0
2016-01-21,2.98,3.05,2.98,3.01,3.01,102887.0,0.0,1.0
2016-01-22,3.08,3.12,3.01,3.11,3.11,118557.0,0.0,1.0
2016-01-25,3.14,3.5,3.14,3.49,3.49,154192.0,0.0,1.0
2016-01-27,3.56,3.75,3.49,3.49,3.49,230787.0,0.0,1.0
2016-01-28,3.51,3.52,3.45,3.5,3.5,154131.0,0.0,1.0
2016-01-29,3.5,3.5,3.38,3.39,3.39,164456.0,0.0,1.0
2016-02-01,3.42,3.49,3.4,3.41,3.41,123183.0,0.0,1.0
2016-02-02,3.4,3.45,3.2,3.24,3.24,147968.0,0.0,1.0
2016-02-03,3.24,3.45,3.21,3.37,3.37,185295.0,0.0,1.0
2016-02-04,3.5,3.8,3.5,3.52,3.52,258516.0,0.0,1.0
2016-02-05,3.6,3.7,3.55,3.62,3.62,155464.0,0.0,1.0
2016-02-08,3.63,3.63,3.46,3.5,3.5,73413.0,0.0,1.0
2016-02-09,3.53,3.55,3.26,3.3,3.3,177629.0,0.0,1.0
2016-02-10,3.32,3.32,3.05,3.2,3.2,152486.0,0.0,1.0
2016-02-11,3.2,3.2,3.12,3.16,3.16,66309.0,0.0,1.0
2016-02-12,3.16,3.16,3.0,3.14,3.14,101480.0,0.0,1.0
2016-02-15,3.13,3.16,3.03,3.04,3.04,52977.0,0.0,1.0
2016-02-16,3.16,3.16,3.06,3.06,3.06,59778.0,0.0,1.0
2016-02-17,3.06,3.07,3.0,3.0,3.0,76929.0,0.0,1.0
2016-02-18,2.99,3.16,2.99,3.14,3.14,83083.0,0.0,1.0
2016-02-19,3.1,3.11,3.05,3.1,3.1,61796.0,0.0,1.0
2016-02-22,3.13,3.13,3.05,3.05,3.05,29077.0,0.0,1.0
2016-02-23,3.05,3.08,3.0,3.05,3.05,83535.0,0.0,1.0
2016-02-24,2.99,3.0,2.92,2.95,2.95,83314.0,0.0,1.0
2016-02-25,2.95,2.99,2.76,2.85,2.85,111187.0,0.0,1.0
