date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-11-25,2.22,2.23,2.14,2.14,1.7764,450943682.0,0.0,1.0
2014-11-26,2.14,2.15,2.08,2.1,1.7431,129664791.0,0.0,1.0
2014-11-27,2.11,2.18,2.1,2.18,1.8096,58417316.0,0.0,1.0
2014-11-28,2.17,2.19,2.14,2.17,1.8013,32804689.0,0.0,1.0
2014-12-01,2.15,2.16,2.13,2.13,1.7681,18660243.0,0.0,1.0
2014-12-02,2.13,2.14,2.12,2.14,1.7764,14911141.0,0.0,1.0
2014-12-03,2.14,2.15,2.13,2.15,1.7847,22873897.0,0.0,1.0
2014-12-04,2.15,2.16,2.14,2.16,1.793,27162171.0,0.0,1.0
2014-12-05,2.16,2.16,2.14,2.15,1.7847,20147344.0,0.0,1.0
2014-12-08,2.16,2.19,2.15,2.19,1.8179,235572013.0,0.0,1.0
2014-12-09,2.17,2.22,2.17,2.22,1.8428,34591761.0,0.0,1.0
2014-12-10,2.21,2.25,2.2,2.24,1.8594,23885156.0,0.0,1.0
2014-12-11,2.24,2.3,2.22,2.26,1.876,63629339.0,0.0,1.0
2014-12-12,2.27,2.3,2.27,2.28,1.8926,24702001.0,0.0,1.0
2014-12-15,2.28,2.3,2.26,2.3,1.9092,31298062.0,0.0,1.0
2014-12-16,2.3,2.31,2.27,2.29,1.9009,14287025.0,0.0,1.0
2014-12-17,2.29,2.29,2.26,2.28,1.8926,16079066.0,0.0,1.0
2014-12-18,2.29,2.3,2.28,2.3,1.9092,15918533.0,0.0,1.0
2014-12-19,2.3,2.3,2.28,2.29,1.9009,11318002.0,0.0,1.0
2014-12-22,2.29,2.3,2.28,2.3,1.9092,7966417.0,0.0,1.0
2014-12-23,2.3,2.32,2.29,2.31,1.9175,11075910.0,0.0,1.0
2014-12-24,2.32,2.38,2.31,2.38,1.9756,7360902.0,0.0,1.0
2014-12-29,2.38,2.4,2.36,2.39,1.9839,8424974.0,0.0,1.0
2014-12-30,2.4,2.44,2.39,2.41,2.0005,12922075.0,0.0,1.0
2014-12-31,2.42,2.43,2.41,2.41,2.0005,4022616.0,0.0,1.0
2015-01-02,2.41,2.43,2.39,2.43,2.0171,4714404.0,0.0,1.0
2015-01-05,2.42,2.43,2.35,2.39,1.9839,24195825.0,0.0,1.0
2015-01-06,2.34,2.35,2.31,2.35,1.9507,14458929.0,0.0,1.0
2015-01-07,2.35,2.39,2.34,2.39,1.9839,11495419.0,0.0,1.0
2015-01-08,2.39,2.4,2.38,2.39,1.9839,10413692.0,0.0,1.0
2015-01-09,2.39,2.4,2.39,2.4,1.9922,7645733.0,0.0,1.0
2015-01-12,2.39,2.4,2.38,2.4,1.9922,6464425.0,0.0,1.0
2015-01-13,2.38,2.39,2.37,2.38,1.9756,6591830.0,0.0,1.0
2015-01-14,2.37,2.37,2.33,2.35,1.9507,15881684.0,0.0,1.0
2015-01-15,2.34,2.36,2.32,2.35,1.9507,5602445.0,0.0,1.0
2015-01-16,2.35,2.35,2.31,2.31,1.9175,5840653.0,0.0,1.0
2015-01-19,2.32,2.36,2.32,2.36,1.959,5195103.0,0.0,1.0
2015-01-20,2.36,2.37,2.32,2.32,1.9258,5152511.0,0.0,1.0
2015-01-21,2.33,2.37,2.32,2.37,1.9673,10788264.0,0.0,1.0
2015-01-22,2.37,2.37,2.33,2.35,1.9507,9185184.0,0.0,1.0
2015-01-23,2.36,2.36,2.33,2.34,1.9424,6642479.0,0.0,1.0
2015-01-27,2.34,2.35,2.33,2.33,1.9341,4145012.0,0.0,1.0
2015-01-28,2.33,2.37,2.32,2.37,1.9673,13529682.0,0.0,1.0
2015-01-29,2.36,2.37,2.34,2.35,1.9507,6799094.0,0.0,1.0
2015-01-30,2.35,2.38,2.35,2.38,1.9756,9227142.0,0.0,1.0
2015-02-02,2.37,2.4,2.355,2.4,1.9922,8469540.0,0.0,1.0
2015-02-03,2.4,2.42,2.39,2.42,2.0088,13967805.0,0.0,1.0
2015-02-04,2.42,2.43,2.37,2.4,1.9922,12135423.0,0.0,1.0
2015-02-05,2.38,2.41,2.375,2.39,1.9839,10200781.0,0.0,1.0
2015-02-06,2.4,2.42,2.39,2.39,1.9839,10508218.0,0.0,1.0
2015-02-09,2.39,2.41,2.38,2.41,2.0005,6928848.0,0.0,1.0
2015-02-10,2.4,2.45,2.39,2.45,2.0337,13987012.0,0.0,1.0
2015-02-11,2.46,2.5,2.45,2.5,2.0752,10138492.0,0.0,1.0
2015-02-12,2.5,2.53,2.48,2.5,2.0752,15702668.0,0.0,1.0
2015-02-13,2.49,2.53,2.47,2.52,2.0918,7832743.0,0.0,1.0
2015-02-16,2.52,2.54,2.49,2.53,2.1001,6943784.0,0.0,1.0
2015-02-17,2.51,2.54,2.51,2.52,2.0918,7987055.0,0.0,1.0
2015-02-18,2.51,2.57,2.5,2.54,2.1084,12276890.0,0.0,1.0
2015-02-19,2.55,2.59,2.54,2.56,2.125,14537909.0,0.0,1.0
2015-02-20,2.56,2.56,2.37,2.47,2.0503,34135982.0,0.0,1.0
2015-02-23,2.45,2.5,2.42,2.46,2.042,14641372.0,0.0,1.0
2015-02-24,2.44,2.45,2.395,2.42,2.0088,16204945.0,0.0,1.0
2015-02-25,2.42,2.505,2.42,2.48,2.0586,21162564.0,0.0,1.0
2015-02-26,2.48,2.5,2.46,2.46,2.042,8154477.0,0.0,1.0
2015-02-27,2.46,2.56,2.45,2.56,2.125,24280613.0,0.0,1.0
2015-03-02,2.55,2.565,2.51,2.55,2.1167,17079295.0,0.0,1.0
2015-03-03,2.53,2.54,2.47,2.47,2.0503,110779706.0,0.0,1.0
2015-03-04,2.48,2.53,2.48,2.51,2.0835,18802540.0,0.0,1.0
2015-03-05,2.5,2.505,2.44,2.46,2.042,14986872.0,0.0,1.0
2015-03-06,2.47,2.48,2.46,2.48,2.0586,8302937.0,0.0,1.0
2015-03-09,2.47,2.47,2.43,2.43,2.0171,6510925.0,0.0,1.0
2015-03-10,2.44,2.47,2.44,2.46,2.042,9233068.0,0.0,1.0
2015-03-11,2.43,2.44,2.41,2.43,2.0171,9070612.0,0.0,1.0
2015-03-12,2.42,2.45,2.42,2.44,2.0254,8388521.0,0.0,1.0
2015-03-13,2.44,2.45,2.42,2.42,2.0088,6053684.0,0.0,1.0
2015-03-16,2.41,2.43,2.41,2.42,2.0088,5398847.0,0.0,1.0
2015-03-17,2.43,2.435,2.4,2.42,2.0088,11107917.0,0.0,1.0
2015-03-18,2.41,2.41,2.325,2.34,1.9424,21936422.0,0.0,1.0
2015-03-19,2.33,2.36,2.31,2.33,1.9341,18962141.0,0.0,1.0
2015-03-20,2.33,2.38,2.32,2.38,1.9756,71433532.0,0.0,1.0
2015-03-23,2.39,2.395,2.36,2.37,1.9673,12058507.0,0.0,1.0
2015-03-24,2.36,2.39,2.35,2.38,1.9756,7211401.0,0.0,1.0
2015-03-25,2.38,2.39,2.33,2.34,1.9424,9830170.0,0.0,1.0
2015-03-26,2.33,2.37,2.32,2.35,1.9507,7488162.0,0.0,1.0
2015-03-27,2.34,2.35,2.33,2.34,1.9424,6085105.0,0.0,1.0
2015-03-30,2.32,2.325,2.275,2.28,1.8926,13336109.0,0.0,1.0
2015-03-31,2.31,2.32,2.29,2.32,1.9258,7346635.0,0.0,1.0
2015-04-01,2.3,2.38,2.3,2.37,1.9673,10787918.0,0.0,1.0
2015-04-02,2.36,2.38,2.36,2.38,1.9756,5039897.0,0.0,1.0
2015-04-07,2.39,2.395,2.35,2.38,1.9756,5710632.0,0.0,1.0
2015-04-08,2.36,2.39,2.35,2.38,1.9756,5653261.0,0.0,1.0
2015-04-09,2.38,2.4,2.36,2.37,1.9673,5205194.0,0.0,1.0
2015-04-10,2.38,2.39,2.365,2.39,1.9839,4653338.0,0.0,1.0
2015-04-13,2.39,2.39,2.37,2.38,1.9756,3636309.0,0.0,1.0
2015-04-14,2.37,2.375,2.34,2.36,1.959,7596480.0,0.0,1.0
2015-04-15,2.35,2.35,2.32,2.32,1.9258,6482569.0,0.0,1.0
2015-04-16,2.33,2.37,2.31,2.36,1.959,6201045.0,0.0,1.0
2015-04-17,2.36,2.37,2.3,2.32,1.9258,10082672.0,0.0,1.0
2015-04-20,2.31,2.31,2.26,2.28,1.8926,10958512.0,0.0,1.0
2015-04-21,2.3,2.3,2.23,2.24,1.8594,12432588.0,0.0,1.0
2015-04-22,2.24,2.25,2.18,2.19,1.8179,12657008.0,0.0,1.0
2015-04-23,2.19,2.24,2.18,2.21,1.8345,14432144.0,0.0,1.0
2015-04-24,2.21,2.25,2.21,2.24,1.8594,7752833.0,0.0,1.0
2015-04-27,2.24,2.29,2.23,2.29,1.9009,10940036.0,0.0,1.0
2015-04-28,2.28,2.285,2.24,2.25,1.8677,7324739.0,0.0,1.0
2015-04-29,2.26,2.27,2.22,2.22,1.8428,7263449.0,0.0,1.0
2015-04-30,2.22,2.23,2.2,2.21,1.8345,9593657.0,0.0,1.0
2015-05-01,2.2,2.21,2.165,2.18,1.8096,13888752.0,0.0,1.0
2015-05-04,2.18,2.19,2.135,2.15,1.7847,16859807.0,0.0,1.0
2015-05-05,2.15,2.22,2.145,2.18,1.8096,17287909.0,0.0,1.0
2015-05-06,2.16,2.17,2.14,2.16,1.793,8627322.0,0.0,1.0
2015-05-07,2.15,2.195,2.13,2.18,1.8096,13758826.0,0.0,1.0
2015-05-08,2.18,2.195,2.15,2.15,1.7847,10103076.0,0.0,1.0
2015-05-11,2.16,2.19,2.16,2.17,1.8013,6420719.0,0.0,1.0
2015-05-12,2.16,2.17,2.13,2.15,1.7847,10277241.0,0.0,1.0
2015-05-13,2.12,2.16,2.095,2.15,1.7847,17577052.0,0.0,1.0
2015-05-14,2.14,2.16,2.14,2.16,1.793,11691496.0,0.0,1.0
2015-05-15,2.16,2.17,2.15,2.16,1.793,8137332.0,0.0,1.0
2015-05-18,2.15,2.17,2.13,2.13,1.7681,10173019.0,0.0,1.0
2015-05-19,2.13,2.135,2.1,2.1,1.7431,13936392.0,0.0,1.0
