date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,25.815,25.8642,25.166,25.1954,10.277,178980.0,0.0,1.0
2000-01-05,25.0342,25.0342,24.3399,24.5366,10.0083,334886.0,0.0,1.0
2000-01-06,24.8335,24.8335,24.3399,24.3792,9.9441,253877.0,0.0,1.0
2000-01-07,24.389,24.389,23.8482,23.8482,9.7275,186568.0,0.0,1.0
2000-01-10,24.094,24.5759,23.9563,23.976,9.7796,94578.0,0.0,1.0
2000-01-11,24.2681,24.2681,23.7498,23.8088,9.7114,635331.0,0.0,1.0
2000-01-12,23.8482,23.8973,23.0122,23.1598,9.4467,209751.0,0.0,1.0
2000-01-13,23.3073,23.3073,22.9139,23.0122,9.3865,405912.0,0.0,1.0
2000-01-14,23.1194,23.5964,23.1194,23.5964,9.6248,337261.0,0.0,1.0
2000-01-17,23.9111,23.9957,23.799,23.8973,9.7475,540436.0,0.0,1.0
2000-01-18,23.8973,23.8973,23.6023,23.8973,9.7475,201081.0,0.0,1.0
2000-01-19,23.8482,24.0448,23.8482,23.9563,9.7716,317235.0,0.0,1.0
2000-01-20,23.9957,24.4874,23.9957,24.3104,9.916,454901.0,0.0,1.0
2000-01-21,24.3104,24.3399,24.094,24.153,9.8518,273612.0,0.0,1.0
2000-01-24,24.1422,24.1924,23.8973,24.0448,9.8077,90025.0,0.0,1.0
2000-01-25,23.6112,23.8088,23.6112,23.7498,9.6874,380558.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,23.7695,23.7695,23.2089,23.3073,9.5069,522750.0,0.0,1.0
2000-01-28,23.4056,23.4056,23.0614,23.2581,9.4868,530910.0,0.0,1.0
2000-01-31,23.1106,23.5531,23.1106,23.504,9.5871,245889.0,0.0,1.0
2000-02-01,23.6072,23.6072,23.3073,23.3073,9.5069,155489.0,0.0,1.0
2000-02-02,23.3564,23.5531,23.1106,23.3073,9.5069,121912.0,0.0,1.0
2000-02-03,23.3564,23.4056,23.0122,23.2089,9.4667,454690.0,0.0,1.0
2000-02-04,23.2581,23.622,23.2089,23.504,9.5871,139510.0,0.0,1.0
2000-02-07,23.8531,23.8531,22.8647,23.1106,9.4267,113118.0,0.0,1.0
2000-02-08,23.3073,23.3564,23.1598,23.3564,9.5269,276957.0,0.0,1.0
2000-02-09,23.3564,23.8973,23.3564,23.7498,9.6874,178940.0,0.0,1.0
2000-02-10,23.799,24.1924,23.7498,24.1924,9.8679,469720.0,0.0,1.0
2000-02-11,24.1432,24.1432,23.563,23.6023,9.6272,308429.0,0.0,1.0
2000-02-14,23.504,24.2612,23.504,24.1924,9.8679,156909.0,0.0,1.0
2000-02-15,23.8157,24.9299,23.8157,24.4874,9.9882,217065.0,0.0,1.0
2000-02-16,24.5857,24.5857,24.1432,24.2415,9.8879,535853.0,0.0,1.0
2000-02-17,24.1747,25.0774,24.1747,25.0774,10.2289,424801.0,0.0,1.0
2000-02-18,25.0774,25.225,24.8808,24.8808,10.1487,267724.0,0.0,1.0
2000-02-21,24.749,24.9791,24.5956,24.8808,10.1487,191081.0,0.0,1.0
2000-02-22,24.8808,24.9889,24.8709,24.8709,10.1447,317567.0,0.0,1.0
2000-02-23,24.7922,25.1266,24.7922,24.9791,10.1888,151212.0,0.0,1.0
2000-02-24,25.0283,25.0283,24.6841,24.6841,10.0685,89494.0,0.0,1.0
2000-02-25,24.6841,24.8808,24.4874,24.6349,10.0484,396237.0,0.0,1.0
2000-02-28,24.5356,24.6841,24.4087,24.5857,10.0283,129771.0,0.0,1.0
2000-02-29,24.5857,25.3725,24.5857,25.3135,10.3252,641229.0,0.0,1.0
2000-03-01,25.1797,25.4708,25.0774,25.0774,10.2289,263377.0,0.0,1.0
2000-03-02,25.1069,25.1266,24.7824,25.0774,10.2289,285910.0,0.0,1.0
2000-03-03,25.2161,25.2161,24.7332,24.7824,10.1086,404530.0,0.0,1.0
2000-03-06,25.0774,25.0774,24.4874,24.4874,9.9882,266407.0,0.0,1.0
2000-03-07,24.4874,24.6841,24.4874,24.5857,10.0283,178556.0,0.0,1.0
2000-03-08,24.5759,24.5857,23.9957,23.9957,9.7877,293915.0,0.0,1.0
2000-03-09,23.9957,23.9957,23.7006,23.9465,9.7676,304937.0,0.0,1.0
2000-03-10,23.8482,24.9398,23.8482,24.5857,10.0283,349196.0,0.0,1.0
2000-03-13,24.6447,25.0774,24.5857,24.8808,10.1487,83523.0,0.0,1.0
2000-03-14,24.8808,25.4708,24.8808,25.2741,10.3091,112894.0,0.0,1.0
2000-03-15,25.1807,25.52,25.1758,25.3725,10.3493,170128.0,0.0,1.0
2000-03-16,25.4708,26.5526,25.4708,25.7167,10.4897,241140.0,0.0,1.0
2000-03-17,26.5526,26.8378,26.1592,26.5713,10.8382,407635.0,0.0,1.0
2000-03-20,26.4444,27.3885,26.4444,27.241,11.1114,232810.0,0.0,1.0
2000-03-21,27.1948,27.1948,26.7001,26.7296,10.9028,703524.0,0.0,1.0
2000-03-22,26.7984,26.7984,26.0117,26.0609,10.6301,207128.0,0.0,1.0
2000-03-23,26.053,26.053,25.7363,25.8612,10.5486,456505.0,0.0,1.0
2000-03-24,25.8475,25.8642,25.6085,25.7167,10.4897,316202.0,0.0,1.0
2000-03-27,25.6724,25.6724,25.3725,25.5692,10.4295,294338.0,0.0,1.0
2000-03-28,25.5692,26.4051,25.4216,26.0982,10.6453,115598.0,0.0,1.0
2000-03-29,26.0609,26.2576,25.8101,25.8101,10.5278,301355.0,0.0,1.0
2000-03-30,25.7609,26.4051,25.7265,26.1592,10.6702,125400.0,0.0,1.0
2000-03-31,26.1749,26.1749,25.5692,25.9625,10.5899,189899.0,0.0,1.0
2000-04-03,25.9429,25.9429,25.4905,25.7462,10.5017,284134.0,0.0,1.0
2000-04-04,25.8642,26.1592,25.7658,25.815,10.5298,124321.0,0.0,1.0
2000-04-05,25.6773,25.6773,25.0283,25.6675,10.4696,342731.0,0.0,1.0
2000-04-06,26.056,26.0609,25.6675,26.0609,10.6301,177578.0,0.0,1.0
2000-04-07,26.1592,26.4542,26.0019,26.0019,10.606,91871.0,0.0,1.0
2000-04-10,26.0019,26.0609,25.6675,25.7757,10.5137,106339.0,0.0,1.0
2000-04-11,25.7757,26.3067,25.7757,26.2084,10.6902,148525.0,0.0,1.0
2000-04-12,26.1985,26.3067,26.0609,26.2772,10.7183,160537.0,0.0,1.0
2000-04-13,26.054,26.3067,25.756,25.9625,10.5899,156143.0,0.0,1.0
2000-04-14,25.6773,25.8347,25.6773,25.7167,10.4897,88867.0,0.0,1.0
2000-04-17,24.5484,25.225,23.504,23.6849,9.6609,464628.0,0.0,1.0
