date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-04-29,2.3329,2.5289,2.3329,2.5289,2.3588,6596531.0,0.0,1.0
2016-05-02,2.4915,2.5289,2.4729,2.5195,2.3501,476056.0,0.0,1.0
2016-05-03,2.5195,2.7808,2.5195,2.6315,2.4545,2504334.0,0.0,1.0
2016-05-04,2.5942,2.7622,2.5755,2.7248,2.5416,529252.0,0.0,1.0
2016-05-05,2.7062,2.7062,2.6035,2.6502,2.4719,220937.0,0.0,1.0
2016-05-06,2.6408,2.6408,2.5662,2.5755,2.4023,104836.0,0.0,1.0
2016-05-09,2.5662,2.6128,2.5662,2.6035,2.4284,123618.0,0.0,1.0
2016-05-10,2.5848,2.6128,2.5662,2.6128,2.4371,418865.0,0.0,1.0
2016-05-11,2.5895,2.6035,2.5289,2.5662,2.3936,276836.0,0.0,1.0
2016-05-12,2.5289,2.5289,2.4449,2.5195,2.3501,99248.0,0.0,1.0
2016-05-13,2.5382,2.6128,2.5195,2.6035,2.4284,98720.0,0.0,1.0
2016-05-16,2.5848,2.6128,2.5382,2.5755,2.4023,47477.0,0.0,1.0
2016-05-17,2.5755,2.5755,2.5195,2.5382,2.3675,50271.0,0.0,1.0
2016-05-18,2.5195,2.5195,2.4449,2.4729,2.3066,113771.0,0.0,1.0
2016-05-19,2.4635,2.4729,2.4542,2.4729,2.3066,71007.0,0.0,1.0
2016-05-20,2.4542,2.5009,2.4542,2.4729,2.3066,61673.0,0.0,1.0
2016-05-23,2.4822,2.5009,2.4729,2.5009,2.3327,46123.0,0.0,1.0
2016-05-24,2.5009,2.5662,2.4822,2.5662,2.3936,50064.0,0.0,1.0
2016-05-25,2.5102,2.5662,2.5009,2.5382,2.3675,66278.0,0.0,1.0
2016-05-26,2.5102,2.5662,2.5009,2.5102,2.3414,47942.0,0.0,1.0
2016-05-27,2.4635,2.5568,2.4449,2.5195,2.3501,262316.0,0.0,1.0
2016-05-30,2.5568,2.5662,2.5195,2.5382,2.3675,121988.0,0.0,1.0
2016-05-31,2.5568,2.5662,2.5289,2.5475,2.3762,63529.0,0.0,1.0
2016-06-01,2.5568,2.5848,2.5475,2.5755,2.4023,43137.0,0.0,1.0
2016-06-02,2.5662,2.5848,2.5568,2.5848,2.411,31504.0,0.0,1.0
2016-06-03,2.5662,2.6128,2.5662,2.6128,2.4371,79584.0,0.0,1.0
2016-06-06,2.5848,2.6595,2.5848,2.6595,2.4806,47754.0,0.0,1.0
2016-06-07,2.6128,2.6782,2.6128,2.6128,2.4371,208288.0,0.0,1.0
2016-06-08,2.5662,2.6128,2.5662,2.5848,2.411,116532.0,0.0,1.0
2016-06-09,2.5755,2.5755,2.4729,2.4915,2.324,763390.0,0.0,1.0
2016-06-10,2.5195,2.5195,2.3982,2.5009,2.3327,87038.0,0.0,1.0
2016-06-14,2.4822,2.5662,2.4262,2.4262,2.263,81984.0,0.0,1.0
2016-06-15,2.4355,2.5195,2.4355,2.4449,2.2805,125471.0,0.0,1.0
2016-06-16,2.4355,2.4449,2.4262,2.4355,2.2717,59912.0,0.0,1.0
2016-06-17,2.4355,2.4355,2.4169,2.4262,2.263,64298.0,0.0,1.0
2016-06-20,2.4262,2.4262,2.4076,2.4262,2.263,64788.0,0.0,1.0
2016-06-21,2.4076,2.4262,2.4076,2.4076,2.2456,17161.0,0.0,1.0
2016-06-22,2.4076,2.4822,2.3982,2.4822,2.3153,1252420.0,0.0,1.0
2016-06-23,2.5009,2.5195,2.4822,2.4822,2.3153,31287.0,0.0,1.0
2016-06-24,2.4729,2.4962,2.4729,2.4822,2.3153,64321.0,0.0,1.0
2016-06-27,2.4729,2.4729,2.4729,2.4729,2.3066,27396.0,0.0,1.0
2016-06-28,2.4076,2.4262,2.4076,2.4262,2.263,107764.0,0.0,1.0
2016-06-29,2.5102,2.5568,2.4635,2.5009,2.3327,47514.0,0.0,1.0
2016-06-30,2.4262,2.5195,2.4076,2.5102,2.3414,88273.0,0.0,1.0
2016-07-01,2.5195,2.6128,2.5195,2.6128,2.4371,83060.0,0.0,1.0
2016-07-04,2.6128,2.6128,2.5662,2.5662,2.3936,37083.0,0.0,1.0
2016-07-05,2.5662,2.6035,2.5662,2.6035,2.4284,14125.0,0.0,1.0
2016-07-06,2.5942,2.6315,2.5942,2.6128,2.4371,166864.0,0.0,1.0
2016-07-07,2.6222,2.7528,2.6222,2.6968,2.5155,163787.0,0.0,1.0
2016-07-08,2.6968,2.7062,2.6595,2.6595,2.4806,16272.0,0.0,1.0
2016-07-11,2.7062,2.7062,2.6222,2.6315,2.4545,27772.0,0.0,1.0
2016-07-12,2.5942,2.7715,2.5942,2.6875,2.5068,27960.0,0.0,1.0
2016-07-13,2.7062,2.7062,2.6875,2.6875,2.5068,7855.0,0.0,1.0
2016-07-14,2.6968,2.6968,2.6222,2.6502,2.4719,10308.0,0.0,1.0
2016-07-15,2.6502,2.7622,2.6502,2.7622,2.5764,14016.0,0.0,1.0
2016-07-18,2.7528,2.7528,2.6315,2.6315,2.4545,401747.0,0.0,1.0
2016-07-19,2.6408,2.7062,2.6408,2.6595,2.4806,29861.0,0.0,1.0
2016-07-20,2.6688,2.6968,2.6688,2.6968,2.5155,16725.0,0.0,1.0
2016-07-21,2.6968,2.7995,2.6968,2.7901,2.6025,55726.0,0.0,1.0
2016-07-22,2.7995,2.8275,2.7062,2.7062,2.5242,60322.0,0.0,1.0
2016-07-25,3.0328,3.1261,2.9954,3.0608,2.8549,144813.0,0.0,1.0
2016-07-26,3.0421,3.2847,3.0421,3.266,3.0464,112881.0,0.0,1.0
2016-07-27,3.2474,3.2567,3.1261,3.1914,2.9768,22956.0,0.0,1.0
2016-07-28,3.1354,3.1634,3.0794,3.1261,2.9159,36653.0,0.0,1.0
2016-07-29,3.1261,3.1634,3.1261,3.1261,2.9159,20969.0,0.0,1.0
2016-08-01,3.1727,3.2194,3.1541,3.2007,2.9855,11884.0,0.0,1.0
2016-08-02,3.2007,3.2194,3.1354,3.2194,3.0029,40570.0,0.0,1.0
2016-08-03,3.1541,3.1541,3.0981,3.1074,2.8984,21976.0,0.0,1.0
2016-08-04,3.0888,3.2101,3.0888,3.1541,2.942,62083.0,0.0,1.0
2016-08-05,3.1541,3.2567,3.1541,3.2007,2.9855,14343.0,0.0,1.0
2016-08-08,3.2194,3.266,3.1914,3.266,3.0464,22429.0,0.0,1.0
2016-08-09,3.1914,3.1914,3.1634,3.1727,2.9594,21249.0,0.0,1.0
2016-08-10,3.1727,3.378,3.1634,3.2381,3.0203,22741.0,0.0,1.0
2016-08-11,3.518,3.5273,3.2287,3.406,3.177,7131.0,0.0,1.0
2016-08-12,3.4527,3.4714,3.406,3.4714,3.2379,20939.0,0.0,1.0
2016-08-15,3.4714,3.546,3.434,3.4527,3.2205,23617.0,0.0,1.0
2016-08-16,3.5087,3.5367,3.4154,3.462,3.2292,18927.0,0.0,1.0
2016-08-17,3.322,3.4993,3.322,3.4993,3.264,172041.0,0.0,1.0
2016-08-18,3.546,3.5927,3.406,3.5927,3.3511,26169.0,0.0,1.0
2016-08-19,3.5927,3.5927,3.4714,3.518,3.2814,29651.0,0.0,1.0
2016-08-22,3.518,3.546,3.4714,3.4714,3.2379,18196.0,0.0,1.0
2016-08-23,3.434,3.4434,3.3874,3.4247,3.1944,204792.0,0.0,1.0
2016-08-24,3.3687,3.378,3.2847,3.3594,3.1335,82727.0,0.0,1.0
2016-08-25,3.3594,3.4527,3.35,3.4527,3.2205,97687.0,0.0,1.0
2016-08-26,3.4527,3.49,3.4527,3.49,3.2553,24010.0,0.0,1.0
2016-08-29,3.3874,3.4154,3.3594,3.3594,3.1335,14825.0,0.0,1.0
2016-08-30,3.3594,3.4993,3.3594,3.3874,3.1596,24998.0,0.0,1.0
2016-08-31,3.546,3.686,3.4714,3.5087,3.2727,250082.0,0.0,1.0
