date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.5372,0.5551,0.5282,0.5282,0.2194,122530.0,0.0,1.0
2000-01-05,0.5193,0.5282,0.5014,0.5014,0.2082,140049.0,0.0,1.0
2000-01-06,0.5014,0.5372,0.5014,0.5193,0.2156,127537.0,0.0,1.0
2000-01-07,0.5282,0.5282,0.5193,0.5282,0.2194,50988.0,0.0,1.0
2000-01-10,0.5372,0.5372,0.5193,0.5193,0.2156,81007.0,0.0,1.0
2000-01-11,0.5372,0.5372,0.5193,0.5193,0.2156,120155.0,0.0,1.0
2000-01-12,0.5193,0.5282,0.5014,0.5014,0.2082,161357.0,0.0,1.0
2000-01-13,0.5103,0.5103,0.5103,0.5103,0.2119,16567.0,0.0,1.0
2000-01-14,0.5103,0.5103,0.5014,0.5014,0.2082,31316.0,0.0,1.0
2000-01-17,0.5005,0.5014,0.4745,0.4745,0.1971,203396.0,0.0,1.0
2000-01-18,0.4745,0.5014,0.4745,0.4835,0.2008,244225.0,0.0,1.0
2000-01-19,0.4826,0.4924,0.4826,0.4924,0.2045,2062961.0,0.0,1.0
2000-01-20,0.5139,0.5139,0.5014,0.5103,0.2119,50508.0,0.0,1.0
2000-01-21,0.5014,0.5103,0.4924,0.4924,0.2045,77693.0,0.0,1.0
2000-01-24,0.4835,0.4924,0.4745,0.4745,0.1971,199594.0,0.0,1.0
2000-01-25,0.4745,0.4745,0.4656,0.4745,0.1971,61173.0,0.0,1.0
2000-01-26,0.4745,0.4745,0.4745,0.4745,0.1971,0.0,0.0,1.0
2000-01-27,0.4745,0.4745,0.4745,0.4745,0.1971,57289.0,0.0,1.0
2000-01-28,0.4835,0.4835,0.4745,0.4745,0.1971,23120.0,0.0,1.0
2000-01-31,0.4835,0.5014,0.4835,0.5014,0.2082,33508.0,0.0,1.0
2000-02-01,0.5014,0.5014,0.4745,0.4745,0.1971,43224.0,0.0,1.0
2000-02-02,0.4745,0.4745,0.4745,0.4745,0.1971,90829.0,0.0,1.0
2000-02-03,0.4745,0.4745,0.4566,0.4566,0.1896,82094.0,0.0,1.0
2000-02-04,0.4566,0.4745,0.4477,0.4566,0.1896,162890.0,0.0,1.0
2000-02-07,0.4656,0.4745,0.4656,0.4745,0.1971,37417.0,0.0,1.0
2000-02-08,0.4754,0.4924,0.4745,0.4835,0.2008,92643.0,0.0,1.0
2000-02-09,0.4862,0.4862,0.4566,0.4566,0.1896,41326.0,0.0,1.0
2000-02-10,0.4656,0.4745,0.4656,0.4745,0.1971,1388869.0,0.0,1.0
2000-02-11,0.4835,0.4835,0.4566,0.4566,0.1896,106411.0,0.0,1.0
2000-02-14,0.4566,0.4566,0.4477,0.4477,0.1859,69808.0,0.0,1.0
2000-02-15,0.4674,0.4674,0.4432,0.4566,0.1896,343014.0,0.0,1.0
2000-02-16,0.4566,0.4656,0.4477,0.4656,0.1933,36695.0,0.0,1.0
2000-02-17,0.445,0.4656,0.445,0.4656,0.1933,93151.0,0.0,1.0
2000-02-18,0.4477,0.4477,0.4432,0.4432,0.184,161950.0,0.0,1.0
2000-02-21,0.4298,0.4387,0.4298,0.4387,0.1822,82994.0,0.0,1.0
2000-02-22,0.4432,0.4656,0.4298,0.4656,0.1933,70457.0,0.0,1.0
2000-02-23,0.4477,0.4566,0.4477,0.4477,0.1859,98419.0,0.0,1.0
2000-02-24,0.4477,0.4566,0.4387,0.4387,0.1822,51492.0,0.0,1.0
2000-02-25,0.4477,0.4566,0.4387,0.4387,0.1822,53445.0,0.0,1.0
2000-02-28,0.4387,0.4387,0.4387,0.4387,0.1822,29469.0,0.0,1.0
2000-02-29,0.4387,0.4387,0.4208,0.4208,0.1747,307209.0,0.0,1.0
2000-03-01,0.4441,0.4656,0.4208,0.4656,0.1933,234339.0,0.0,1.0
2000-03-02,0.4477,0.4745,0.4477,0.4745,0.1971,133775.0,0.0,1.0
2000-03-03,0.4835,0.4835,0.4745,0.4745,0.1971,174070.0,0.0,1.0
2000-03-06,0.4745,0.4745,0.4298,0.4387,0.1822,81991.0,0.0,1.0
2000-03-07,0.4387,0.4566,0.4387,0.4566,0.1896,41710.0,0.0,1.0
2000-03-08,0.4844,0.4844,0.4298,0.4387,0.1822,60872.0,0.0,1.0
2000-03-09,0.4477,0.4477,0.4208,0.4298,0.1785,202789.0,0.0,1.0
2000-03-10,0.4387,0.4566,0.4208,0.4208,0.1747,142209.0,0.0,1.0
2000-03-13,0.4208,0.4477,0.4208,0.4208,0.1747,104910.0,0.0,1.0
2000-03-14,0.4566,0.4566,0.4387,0.4387,0.1822,51432.0,0.0,1.0
2000-03-15,0.4387,0.4432,0.4253,0.4253,0.1766,75655.0,0.0,1.0
2000-03-16,0.4495,0.4495,0.4253,0.4387,0.1822,99851.0,0.0,1.0
2000-03-17,0.4387,0.4477,0.4387,0.4387,0.1822,111783.0,0.0,1.0
2000-03-20,0.4163,0.4298,0.4163,0.4298,0.1785,25078.0,0.0,1.0
2000-03-21,0.4298,0.4298,0.4208,0.4208,0.1747,14419.0,0.0,1.0
2000-03-22,0.4298,0.4298,0.4118,0.4118,0.171,185208.0,0.0,1.0
2000-03-23,0.4118,0.4163,0.4118,0.4118,0.171,109311.0,0.0,1.0
2000-03-24,0.4118,0.4163,0.4118,0.4163,0.1729,90026.0,0.0,1.0
2000-03-27,0.4163,0.4208,0.4163,0.4208,0.1747,85631.0,0.0,1.0
2000-03-28,0.4208,0.4298,0.4118,0.4118,0.171,203011.0,0.0,1.0
2000-03-29,0.3841,0.4118,0.3841,0.4029,0.1673,130674.0,0.0,1.0
2000-03-30,0.3832,0.4029,0.3832,0.3895,0.1617,134610.0,0.0,1.0
2000-03-31,0.376,0.3939,0.3734,0.3734,0.155,452390.0,0.0,1.0
2000-04-03,0.385,0.4029,0.376,0.385,0.1599,67648.0,0.0,1.0
2000-04-04,0.385,0.3939,0.3581,0.376,0.1562,126425.0,0.0,1.0
2000-04-05,0.3751,0.3939,0.3581,0.3581,0.1487,190291.0,0.0,1.0
2000-04-06,0.3581,0.3939,0.3581,0.3716,0.1543,48812.0,0.0,1.0
2000-04-07,0.3626,0.3716,0.3626,0.3671,0.1524,65787.0,0.0,1.0
2000-04-10,0.3716,0.376,0.3671,0.3671,0.1524,707930.0,0.0,1.0
2000-04-11,0.3617,0.3716,0.3581,0.3716,0.1543,279566.0,0.0,1.0
2000-04-12,0.3671,0.385,0.3671,0.376,0.1562,79761.0,0.0,1.0
2000-04-13,0.376,0.376,0.3671,0.3671,0.1524,183262.0,0.0,1.0
2000-04-14,0.3644,0.3716,0.3644,0.3716,0.1543,96335.0,0.0,1.0
2000-04-17,0.3581,0.3671,0.3581,0.3581,0.1487,183734.0,0.0,1.0
2000-04-18,0.3787,0.3787,0.3626,0.3716,0.1543,92481.0,0.0,1.0
2000-04-19,0.3716,0.3716,0.3671,0.3716,0.1543,32187.0,0.0,1.0
2000-04-20,0.3671,0.376,0.3671,0.3671,0.1524,17871.0,0.0,1.0
2000-04-21,0.3671,0.3671,0.3671,0.3671,0.1524,0.0,0.0,1.0
2000-04-24,0.3671,0.3671,0.3671,0.3671,0.1524,0.0,0.0,1.0
2000-04-25,0.3671,0.3671,0.3671,0.3671,0.1524,0.0,0.0,1.0
2000-04-26,0.3957,0.3957,0.376,0.3805,0.158,30587.0,0.0,1.0
2000-04-27,0.385,0.3939,0.385,0.3939,0.1636,116472.0,0.0,1.0
2000-04-28,0.3939,0.4029,0.3895,0.3939,0.1636,133132.0,0.0,1.0
2000-05-01,0.3939,0.4208,0.3939,0.4029,0.1673,52335.0,0.0,1.0
2000-05-02,0.4029,0.4029,0.385,0.385,0.1599,123369.0,0.0,1.0
2000-05-03,0.3751,0.3939,0.3751,0.376,0.1562,94560.0,0.0,1.0
2000-05-04,0.3805,0.385,0.376,0.385,0.1599,59542.0,0.0,1.0
2000-05-05,0.3939,0.4477,0.3939,0.4477,0.1859,163102.0,0.0,1.0
2000-05-08,0.4477,0.4477,0.4029,0.4208,0.1747,60621.0,0.0,1.0
2000-05-09,0.4074,0.4074,0.4074,0.4074,0.1692,33256.0,0.0,1.0
2000-05-10,0.4074,0.4118,0.376,0.376,0.1562,103216.0,0.0,1.0
2000-05-11,0.3725,0.385,0.3725,0.385,0.1599,21222.0,0.0,1.0
2000-05-12,0.3716,0.4029,0.3671,0.376,0.1562,149817.0,0.0,1.0
2000-05-15,0.376,0.376,0.3671,0.3671,0.1524,127550.0,0.0,1.0
2000-05-16,0.376,0.4029,0.376,0.3895,0.1617,144494.0,0.0,1.0
2000-05-17,0.4029,0.4029,0.3895,0.3895,0.1617,17480.0,0.0,1.0
2000-05-18,0.4029,0.4029,0.385,0.385,0.1599,65175.0,0.0,1.0
2000-05-19,0.3939,0.3984,0.3939,0.3939,0.1636,13830.0,0.0,1.0
2000-05-22,0.3939,0.3939,0.3671,0.3716,0.1543,95793.0,0.0,1.0
2000-05-23,0.4208,0.4208,0.385,0.385,0.1599,449196.0,0.0,1.0
2000-05-24,0.4029,0.4118,0.385,0.385,0.1599,151215.0,0.0,1.0
2000-05-25,0.385,0.3939,0.376,0.385,0.1599,176999.0,0.0,1.0
2000-05-26,0.3939,0.3939,0.385,0.385,0.1599,84886.0,0.0,1.0
2000-05-29,0.385,0.385,0.376,0.385,0.1599,76621.0,0.0,1.0
2000-05-30,0.385,0.4074,0.3716,0.3716,0.1543,70957.0,0.0,1.0
2000-05-31,0.3805,0.3805,0.3626,0.376,0.1562,238939.0,0.0,1.0
2000-06-01,0.3921,0.3939,0.385,0.3939,0.1636,41569.0,0.0,1.0
2000-06-02,0.3895,0.3895,0.3805,0.3805,0.158,8712.0,0.0,1.0
2000-06-05,0.385,0.3984,0.3805,0.3805,0.158,264436.0,0.0,1.0
2000-06-06,0.376,0.376,0.3671,0.3671,0.1524,164508.0,0.0,1.0
2000-06-07,0.376,0.376,0.3492,0.3581,0.1487,231949.0,0.0,1.0
2000-06-08,0.3581,0.3671,0.3492,0.3626,0.1506,639766.0,0.0,1.0
2000-06-09,0.3716,0.385,0.3716,0.385,0.1599,74275.0,0.0,1.0
2000-06-12,0.385,0.385,0.385,0.385,0.1599,0.0,0.0,1.0
2000-06-13,0.376,0.385,0.3671,0.3716,0.1543,116634.0,0.0,1.0
2000-06-14,0.385,0.385,0.3716,0.3716,0.1543,14689.0,0.0,1.0
2000-06-15,0.3716,0.3716,0.3671,0.3716,0.1543,17120.0,0.0,1.0
2000-06-16,0.3716,0.3805,0.3671,0.3805,0.158,99990.0,0.0,1.0
2000-06-19,0.3805,0.3805,0.3581,0.3671,0.1524,78787.0,0.0,1.0
2000-06-20,0.3671,0.3671,0.3581,0.3626,0.1506,180539.0,0.0,1.0
2000-06-21,0.3671,0.3671,0.3492,0.3671,0.1524,562488.0,0.0,1.0
2000-06-22,0.3581,0.3581,0.3447,0.3492,0.145,134509.0,0.0,1.0
2000-06-23,0.3492,0.3492,0.3357,0.3357,0.1394,227456.0,0.0,1.0
2000-06-26,0.3178,0.3402,0.3134,0.3178,0.134,540871.0,0.0,1.0
2000-06-27,0.3268,0.3313,0.3178,0.3223,0.1359,564922.0,0.0,1.0
