date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-06-26,1.96,1.97,1.86,1.905,1.4786,53202251.0,0.0,1.0
2014-06-27,1.915,1.92,1.77,1.795,1.3932,16260918.0,0.0,1.0
2014-06-30,1.825,1.83,1.71,1.765,1.37,6607950.0,0.0,1.0
2014-07-01,1.79,1.81,1.765,1.795,1.3932,2046053.0,0.0,1.0
2014-07-02,1.8,1.81,1.79,1.805,1.401,4521684.0,0.0,1.0
2014-07-03,1.81,1.87,1.805,1.85,1.4359,2395689.0,0.0,1.0
2014-07-04,1.855,1.87,1.84,1.85,1.4359,1277844.0,0.0,1.0
2014-07-07,1.87,1.875,1.86,1.865,1.4476,932682.0,0.0,1.0
2014-07-08,1.87,1.885,1.855,1.865,1.4476,1697468.0,0.0,1.0
2014-07-09,1.85,1.85,1.83,1.845,1.4321,2056698.0,0.0,1.0
2014-07-10,1.85,1.85,1.835,1.84,1.4282,170242.0,0.0,1.0
2014-07-11,1.84,1.85,1.805,1.81,1.4049,1567896.0,0.0,1.0
2014-07-14,1.8,1.8,1.68,1.73,1.3428,7751231.0,0.0,1.0
2014-07-15,1.75,1.78,1.75,1.75,1.3583,1217230.0,0.0,1.0
2014-07-16,1.76,1.78,1.76,1.77,1.3738,785296.0,0.0,1.0
2014-07-17,1.77,1.772,1.73,1.73,1.3428,1199101.0,0.0,1.0
2014-07-18,1.74,1.755,1.73,1.73,1.3428,1113592.0,0.0,1.0
2014-07-21,1.73,1.74,1.69,1.71,1.3273,911898.0,0.0,1.0
2014-07-22,1.7,1.705,1.62,1.66,1.2885,2147177.0,0.0,1.0
2014-07-23,1.65,1.695,1.64,1.665,1.2923,1005693.0,0.0,1.0
2014-07-24,1.68,1.7,1.67,1.685,1.3079,701255.0,0.0,1.0
2014-07-25,1.695,1.74,1.695,1.74,1.3506,862732.0,0.0,1.0
2014-07-28,1.75,1.75,1.7,1.7,1.3195,1345234.0,0.0,1.0
2014-07-29,1.72,1.725,1.68,1.705,1.3234,312498.0,0.0,1.0
2014-07-30,1.73,1.735,1.705,1.725,1.3389,1772738.0,0.0,1.0
2014-07-31,1.73,1.76,1.725,1.745,1.3544,2462991.0,0.0,1.0
2014-08-01,1.735,1.735,1.705,1.715,1.3311,241882.0,0.0,1.0
2014-08-04,1.715,1.755,1.715,1.74,1.3506,244308.0,0.0,1.0
2014-08-05,1.74,1.82,1.73,1.74,1.3506,1225507.0,0.0,1.0
2014-08-06,1.73,1.755,1.73,1.735,1.3467,355928.0,0.0,1.0
2014-08-07,1.75,1.765,1.75,1.76,1.3661,571190.0,0.0,1.0
2014-08-08,1.75,1.755,1.725,1.74,1.3506,679599.0,0.0,1.0
2014-08-11,1.75,1.76,1.73,1.73,1.3428,272304.0,0.0,1.0
2014-08-12,1.74,1.745,1.73,1.73,1.3428,585227.0,0.0,1.0
2014-08-13,1.74,1.74,1.71,1.72,1.335,310466.0,0.0,1.0
2014-08-14,1.73,1.73,1.7,1.71,1.3273,305519.0,0.0,1.0
2014-08-15,1.72,1.725,1.71,1.71,1.3273,152972.0,0.0,1.0
2014-08-18,1.72,1.735,1.705,1.72,1.335,317678.0,0.0,1.0
2014-08-19,1.72,1.73,1.7,1.71,1.3273,239599.0,0.0,1.0
2014-08-20,1.71,1.71,1.69,1.71,1.3273,236433.0,0.0,1.0
2014-08-21,1.7,1.715,1.7,1.71,1.3273,146287.0,0.0,1.0
2014-08-22,1.705,1.715,1.7,1.71,1.3273,213588.0,0.0,1.0
2014-08-25,1.7,1.705,1.67,1.7,1.3195,202560.0,0.0,1.0
2014-08-26,1.7,1.7,1.63,1.645,1.2768,922606.0,0.0,1.0
2014-08-27,1.65,1.65,1.6,1.625,1.2613,1386184.0,0.0,1.0
2014-08-28,1.67,1.69,1.635,1.65,1.2807,2888301.0,0.0,1.0
2014-08-29,1.655,1.7,1.645,1.65,1.2807,1188371.0,0.0,1.0
2014-09-01,1.65,1.675,1.64,1.66,1.2885,457038.0,0.0,1.0
2014-09-02,1.66,1.665,1.635,1.635,1.2691,582437.0,0.0,1.0
2014-09-03,1.65,1.655,1.635,1.65,1.2807,1488356.0,0.0,1.0
2014-09-04,1.65,1.655,1.63,1.64,1.2729,4607307.0,0.0,1.0
2014-09-05,1.65,1.69,1.63,1.65,1.2807,839158.0,0.0,1.0
2014-09-08,1.67,1.735,1.655,1.715,1.3311,1115618.0,0.0,1.0
2014-09-09,1.73,1.745,1.725,1.74,1.3506,1095495.0,0.0,1.0
2014-09-10,1.75,1.755,1.7,1.7,1.3195,426750.0,0.0,1.0
2014-09-11,1.7,1.745,1.7,1.74,1.3506,898339.0,0.0,1.0
2014-09-12,1.74,1.74,1.71,1.735,1.3467,6702332.0,0.0,1.0
2014-09-15,1.73,1.73,1.705,1.71,1.3273,302561.0,0.0,1.0
2014-09-16,1.71,1.72,1.695,1.695,1.3156,349437.0,0.0,1.0
2014-09-17,1.71,1.735,1.7,1.715,1.3311,218322.0,0.0,1.0
2014-09-18,1.715,1.75,1.71,1.73,1.3428,424748.0,0.0,1.0
2014-09-19,1.732,1.77,1.71,1.73,1.3428,5660282.0,0.0,1.0
2014-09-22,1.75,1.75,1.71,1.73,1.3428,134730.0,0.0,1.0
2014-09-23,1.72,1.75,1.715,1.735,1.3467,101626.0,0.0,1.0
2014-09-24,1.725,1.77,1.72,1.77,1.3738,308811.0,0.0,1.0
2014-09-25,1.765,1.78,1.725,1.755,1.3622,1286648.0,0.0,1.0
