date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-12-08,2.44,2.44,2.28,2.34,1.9243,1000359.0,0.0,1.0
2016-12-09,2.35,2.45,2.35,2.45,2.0147,388360.0,0.0,1.0
2016-12-12,2.48,2.5,2.42,2.45,2.0147,127619.0,0.0,1.0
2016-12-13,2.44,2.45,2.43,2.43,1.9983,133890.0,0.0,1.0
2016-12-14,2.4,2.45,2.4,2.42,1.9901,110271.0,0.0,1.0
2016-12-15,2.41,2.43,2.38,2.4,1.9736,294925.0,0.0,1.0
2016-12-16,2.38,2.38,2.36,2.36,1.9407,75585.0,0.0,1.0
2016-12-19,2.37,2.38,2.32,2.38,1.9572,120350.0,0.0,1.0
2016-12-20,2.37,2.45,2.37,2.45,2.0147,184463.0,0.0,1.0
2016-12-21,2.45,2.45,2.41,2.45,2.0147,75179.0,0.0,1.0
2016-12-22,2.45,2.49,2.43,2.48,2.0394,145846.0,0.0,1.0
2016-12-23,2.48,2.48,2.45,2.45,2.0147,56953.0,0.0,1.0
2016-12-28,2.45,2.48,2.4,2.48,2.0394,8258.0,0.0,1.0
2016-12-29,2.45,2.48,2.45,2.46,2.023,31132.0,0.0,1.0
2016-12-30,2.46,2.46,2.46,2.46,2.023,0.0,0.0,1.0
2017-01-03,2.45,2.45,2.39,2.45,2.0147,29195.0,0.0,1.0
2017-01-04,2.45,2.48,2.42,2.48,2.0394,74812.0,0.0,1.0
2017-01-05,2.48,2.48,2.45,2.45,2.0147,49514.0,0.0,1.0
2017-01-06,2.45,2.45,2.45,2.45,2.0147,0.0,0.0,1.0
2017-01-09,2.4,2.45,2.4,2.45,2.0147,58283.0,0.0,1.0
2017-01-10,2.45,2.47,2.44,2.47,2.0312,50746.0,0.0,1.0
2017-01-11,2.47,2.58,2.45,2.53,2.0805,355033.0,0.0,1.0
2017-01-12,2.53,2.6,2.52,2.6,2.1381,166182.0,0.0,1.0
2017-01-13,2.6,2.6,2.54,2.54,2.0888,44132.0,0.0,1.0
2017-01-16,2.59,2.62,2.56,2.56,2.1052,196543.0,0.0,1.0
2017-01-17,2.56,2.58,2.55,2.55,2.097,51257.0,0.0,1.0
2017-01-18,2.55,2.57,2.52,2.53,2.0805,87142.0,0.0,1.0
2017-01-19,2.56,2.59,2.55,2.59,2.1299,28000.0,0.0,1.0
2017-01-20,2.59,2.61,2.59,2.6,2.1381,153537.0,0.0,1.0
2017-01-23,2.6,2.64,2.55,2.56,2.1052,163591.0,0.0,1.0
2017-01-24,2.6,2.6,2.6,2.6,2.1381,60294.0,0.0,1.0
2017-01-25,2.6,2.6,2.56,2.56,2.1052,68309.0,0.0,1.0
2017-01-27,2.58,2.6,2.58,2.6,2.1381,19600.0,0.0,1.0
2017-01-30,2.56,2.64,2.56,2.64,2.171,68457.0,0.0,1.0
2017-01-31,2.64,2.65,2.58,2.62,2.1545,119121.0,0.0,1.0
2017-02-01,2.57,2.61,2.57,2.59,2.1299,63822.0,0.0,1.0
2017-02-02,2.6,2.62,2.6,2.62,2.1545,127855.0,0.0,1.0
2017-02-03,2.62,2.62,2.54,2.54,2.0888,35732.0,0.0,1.0
2017-02-06,2.54,2.56,2.49,2.49,2.0476,56973.0,0.0,1.0
2017-02-07,2.5,2.6,2.5,2.6,2.1381,48198.0,0.0,1.0
2017-02-08,2.54,2.59,2.5,2.59,2.1299,13900.0,0.0,1.0
2017-02-09,2.59,2.59,2.59,2.59,2.1299,0.0,0.0,1.0
2017-02-10,2.54,2.54,2.45,2.45,2.0147,49244.0,0.0,1.0
2017-02-13,2.45,2.51,2.45,2.5,2.0559,40914.0,0.0,1.0
2017-02-14,2.5,2.5,2.5,2.5,2.0559,2802.0,0.0,1.0
2017-02-15,2.45,2.45,2.41,2.41,1.9819,7000.0,0.0,1.0
2017-02-16,2.41,2.42,2.36,2.42,1.9901,16921.0,0.0,1.0
2017-02-17,2.48,2.48,2.48,2.48,2.0394,5017.0,0.0,1.0
2017-02-20,2.49,2.49,2.49,2.49,2.0476,35300.0,0.0,1.0
2017-02-21,2.49,2.5,2.49,2.49,2.0476,70000.0,0.0,1.0
2017-02-22,2.48,2.48,2.48,2.48,2.0394,15000.0,0.0,1.0
2017-02-23,2.47,2.5,2.47,2.5,2.0559,82503.0,0.0,1.0
2017-02-24,2.48,2.5,2.48,2.5,2.0559,36000.0,0.0,1.0
2017-02-27,2.5,2.51,2.5,2.5,2.0559,40312.0,0.0,1.0
2017-02-28,2.49,2.49,2.46,2.46,2.023,2438.0,0.0,1.0
2017-03-01,2.46,2.5,2.46,2.5,2.0559,20552.0,0.0,1.0
2017-03-02,2.5,2.5,2.5,2.5,2.0559,39450.0,0.0,1.0
2017-03-03,2.49,2.54,2.49,2.53,2.0805,27000.0,0.0,1.0
2017-03-06,2.53,2.53,2.52,2.52,2.0723,78180.0,0.0,1.0
2017-03-07,2.52,2.52,2.52,2.52,2.0723,26550.0,0.0,1.0
2017-03-08,2.5,2.5,2.5,2.5,2.0559,21950.0,0.0,1.0
2017-03-09,2.5,2.53,2.5,2.53,2.0805,44634.0,0.0,1.0
2017-03-10,2.53,2.53,2.5,2.52,2.0723,62000.0,0.0,1.0
2017-03-13,2.51,2.52,2.51,2.52,2.0723,7800.0,0.0,1.0
2017-03-14,2.51,2.53,2.48,2.52,2.0723,55491.0,0.0,1.0
2017-03-15,2.5,2.51,2.49,2.51,2.0641,60999.0,0.0,1.0
2017-03-16,2.51,2.51,2.48,2.5,2.1323,5450.0,0.0,1.0
2017-03-17,2.5,2.5,2.4,2.4,2.047,13491.0,0.0,1.0
2017-03-20,2.5,2.5,2.5,2.5,2.1323,1000.0,0.0,1.0
2017-03-21,2.51,2.51,2.43,2.43,2.0726,57615.0,0.0,1.0
2017-03-22,2.43,2.43,2.42,2.42,2.0641,8001.0,0.0,1.0
2017-03-23,2.42,2.42,2.42,2.42,2.0641,0.0,0.0,1.0
2017-03-24,2.45,2.45,2.44,2.45,2.0897,46016.0,0.0,1.0
2017-03-27,2.4,2.4,2.36,2.4,2.047,23400.0,0.0,1.0
2017-03-28,2.39,2.39,2.39,2.39,2.0385,1355.0,0.0,1.0
2017-03-29,2.39,2.4,2.39,2.4,2.047,10527.0,0.0,1.0
2017-03-30,2.4,2.4,2.39,2.39,2.0385,40745.0,0.0,1.0
2017-03-31,2.39,2.39,2.37,2.37,2.0214,2200.0,0.0,1.0
2017-04-03,2.37,2.37,2.37,2.37,2.0214,7650.0,0.0,1.0
2017-04-04,2.37,2.37,2.37,2.37,2.0214,0.0,0.0,1.0
2017-04-05,2.44,2.44,2.38,2.38,2.03,43169.0,0.0,1.0
2017-04-06,2.37,2.37,2.35,2.35,2.0044,14000.0,0.0,1.0
2017-04-07,2.36,2.38,2.36,2.38,2.03,15000.0,0.0,1.0
2017-04-10,2.38,2.38,2.35,2.35,2.0044,6400.0,0.0,1.0
2017-04-11,2.35,2.35,2.35,2.35,2.0044,10600.0,0.0,1.0
2017-04-12,2.35,2.35,2.35,2.35,2.0044,0.0,0.0,1.0
2017-04-13,2.35,2.4,2.34,2.4,2.047,7000.0,0.0,1.0
2017-04-18,2.35,2.4,2.34,2.4,2.047,24455.0,0.0,1.0
2017-04-19,2.36,2.36,2.31,2.31,1.9703,12271.0,0.0,1.0
2017-04-20,2.31,2.36,2.31,2.36,2.0129,6964.0,0.0,1.0
2017-04-21,2.39,2.39,2.39,2.39,2.0385,2627.0,0.0,1.0
2017-04-24,2.36,2.36,2.36,2.36,2.0129,4373.0,0.0,1.0
2017-04-26,2.4,2.4,2.39,2.39,2.0385,50000.0,0.0,1.0
2017-04-27,2.36,2.39,2.36,2.39,2.0385,17120.0,0.0,1.0
2017-04-28,2.35,2.35,2.34,2.34,1.9959,24749.0,0.0,1.0
2017-05-01,2.34,2.35,2.34,2.35,2.0044,19694.0,0.0,1.0
2017-05-02,2.4,2.4,2.36,2.4,2.047,110285.0,0.0,1.0
2017-05-03,2.39,2.42,2.37,2.4,2.047,32750.0,0.0,1.0
2017-05-04,2.38,2.42,2.38,2.38,2.03,49567.0,0.0,1.0
2017-05-05,2.38,2.38,2.35,2.35,2.0044,33691.0,0.0,1.0
2017-05-08,2.35,2.35,2.35,2.35,2.0044,0.0,0.0,1.0
