date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2009-11-02,3.6326,3.6794,3.4641,3.5109,2.0233,138949677.0,0.0,1.0
2009-11-03,3.5671,3.6139,3.539,3.5671,2.0557,31987980.0,0.0,1.0
2009-11-04,3.5858,3.642,3.5765,3.5952,2.0719,23183237.0,0.0,1.0
2009-11-05,3.6139,3.6607,3.5203,3.5203,2.0287,21310117.0,0.0,1.0
2009-11-06,3.5765,3.5952,3.5109,3.5297,2.0341,8357424.0,0.0,1.0
2009-11-09,3.5297,3.5671,3.5109,3.5203,2.0287,7487567.0,0.0,1.0
2009-11-10,3.539,3.5858,3.5297,3.5765,2.0611,9045812.0,0.0,1.0
2009-11-11,3.5858,3.6233,3.5577,3.6045,2.0773,8840844.0,0.0,1.0
2009-11-12,3.6233,3.7075,3.6139,3.6701,2.115,16242109.0,0.0,1.0
2009-11-13,3.6701,3.6794,3.6607,3.6607,2.1096,8532699.0,0.0,1.0
2009-11-16,3.6607,3.7263,3.6326,3.6701,2.115,6926603.0,0.0,1.0
2009-11-17,3.6888,3.6982,3.6045,3.6045,2.0773,4847767.0,0.0,1.0
2009-11-18,3.6139,3.6794,3.6139,3.6794,2.1204,4405576.0,0.0,1.0
2009-11-19,3.6794,3.6982,3.6607,3.6701,2.115,3931982.0,0.0,1.0
2009-11-20,3.6514,3.6794,3.6045,3.6139,2.0827,2724820.0,0.0,1.0
2009-11-23,3.6139,3.6514,3.6139,3.6326,2.0935,2133629.0,0.0,1.0
2009-11-24,3.6514,3.6701,3.5858,3.6139,2.0827,5218503.0,0.0,1.0
2009-11-25,3.6139,3.6233,3.5297,3.5577,2.0503,1828367.0,0.0,1.0
2009-11-26,3.5671,3.5671,3.5016,3.5016,2.0179,2979774.0,0.0,1.0
2009-11-27,3.4641,3.4641,3.3705,3.3986,1.9586,7979318.0,0.0,1.0
2009-11-30,3.4173,3.5109,3.4173,3.4641,1.9963,5931458.0,0.0,1.0
2009-12-01,3.5297,3.5577,3.4735,3.5297,2.0341,5645528.0,0.0,1.0
2009-12-02,3.5858,3.5858,3.4641,3.5016,2.0179,3377640.0,0.0,1.0
2009-12-03,3.5109,3.5765,3.4735,3.5765,2.0611,4685203.0,0.0,1.0
2009-12-04,3.5297,3.5765,3.5297,3.5671,2.0557,2671735.0,0.0,1.0
2009-12-07,3.5671,3.5671,3.5109,3.5297,2.0341,1750716.0,0.0,1.0
2009-12-08,3.5203,3.5297,3.4548,3.5109,2.0233,2298436.0,0.0,1.0
2009-12-09,3.5109,3.5577,3.4922,3.5109,2.0233,4641365.0,0.0,1.0
2009-12-10,3.5577,3.6045,3.5203,3.5577,2.0503,5065945.0,0.0,1.0
2009-12-11,3.5765,3.6139,3.5671,3.5858,2.0665,3728777.0,0.0,1.0
