date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,21.87,21.8795,21.3087,21.4039,6.6095,3005390.0,0.0,1.0
2000-01-05,20.9187,21.0994,20.7855,20.9758,6.4773,4604126.0,0.0,1.0
2000-01-06,21.2079,21.2136,20.6428,20.6428,6.3745,2574907.0,0.0,1.0
2000-01-07,20.738,20.8806,20.6238,20.8236,6.4303,3028994.0,0.0,1.0
2000-01-10,21.2136,21.3563,21.0233,21.1185,6.5214,2842488.0,0.0,1.0
2000-01-11,21.2136,21.2136,20.738,20.738,6.4039,2992870.0,0.0,1.0
2000-01-12,20.8806,20.9282,20.424,20.5762,6.3539,5798813.0,0.0,1.0
2000-01-13,20.6152,20.9282,20.2909,20.386,6.2952,5194144.0,0.0,1.0
2000-01-14,20.5953,20.8388,20.4145,20.8388,6.435,4257032.0,0.0,1.0
2000-01-17,20.9568,21.908,20.9568,21.889,6.7593,3258022.0,0.0,1.0
2000-01-18,21.8224,22.2505,21.5941,22.2125,6.8592,2194173.0,0.0,1.0
2000-01-19,22.0707,22.0707,21.7939,21.8319,6.7417,2220848.0,0.0,1.0
2000-01-20,21.8433,21.9271,21.3753,21.4286,6.6171,2623942.0,0.0,1.0
2000-01-21,21.3002,21.3002,20.9568,20.9853,6.4802,2157856.0,0.0,1.0
2000-01-24,21.2136,21.9746,21.1185,21.5941,6.6682,2339474.0,0.0,1.0
2000-01-25,21.2136,21.3182,20.9948,21.1946,6.5449,3778721.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,21.2136,21.4514,20.6238,20.7294,6.4012,5715981.0,0.0,1.0
2000-01-28,21.0528,21.2992,20.6999,21.0804,6.5096,16688369.0,0.0,1.0
2000-01-31,20.8331,20.9187,20.6428,20.7675,6.413,2469085.0,0.0,1.0
2000-02-01,21.0062,21.0062,20.6714,20.7189,6.398,2497365.0,0.0,1.0
2000-02-02,20.9282,21.147,20.6238,20.8997,6.4538,3560538.0,0.0,1.0
2000-02-03,20.816,21.0043,20.4526,20.5458,6.3445,3261220.0,0.0,1.0
2000-02-04,20.7437,20.8997,20.4431,20.6714,6.3833,2429831.0,0.0,1.0
2000-02-07,20.738,21.0329,20.738,20.8331,6.4332,2075932.0,0.0,1.0
2000-02-08,20.8331,20.9663,20.6238,20.738,6.4039,3190925.0,0.0,1.0
2000-02-09,20.9796,21.0233,20.8141,20.8521,6.4391,4751793.0,0.0,1.0
2000-02-10,20.8236,20.8521,20.6904,20.776,6.4156,8403943.0,0.0,1.0
2000-02-11,20.7189,20.738,20.5001,20.6143,6.3657,2182815.0,0.0,1.0
2000-02-14,20.4802,20.5382,20.2623,20.2623,6.257,3080992.0,0.0,1.0
2000-02-15,20.4431,20.6809,20.1672,20.2442,6.2514,6193042.0,0.0,1.0
2000-02-16,20.5201,20.5201,19.7201,19.7772,6.1072,3472899.0,0.0,1.0
2000-02-17,19.7201,19.9769,19.3871,19.5384,6.0334,4544632.0,0.0,1.0
2000-02-18,19.6345,19.6915,19.3206,19.4062,5.9926,4968652.0,0.0,1.0
2000-02-21,19.4176,19.7772,19.0732,19.2635,5.9485,4004470.0,0.0,1.0
2000-02-22,19.39,19.39,19.0447,19.0542,5.8839,5383104.0,0.0,1.0
2000-02-23,19.1683,19.3681,18.9115,18.9305,5.8457,6662309.0,0.0,1.0
2000-02-24,19.1208,19.1683,18.9591,19.0161,5.8721,6312314.0,0.0,1.0
2000-02-25,19.0257,19.8247,19.0161,19.7781,6.1074,8408125.0,0.0,1.0
2000-02-28,19.5964,20.2528,19.5964,19.7867,6.1101,3111863.0,0.0,1.0
2000-02-29,20.0721,20.4526,19.9865,20.3575,6.2864,3545974.0,0.0,1.0
2000-03-01,20.6248,21.0709,20.4526,21.0291,6.4938,3120232.0,0.0,1.0
2000-03-02,21.2136,21.4419,21.0709,21.1879,6.5428,3913101.0,0.0,1.0
2000-03-03,21.1185,21.1185,20.2623,20.3974,6.2987,3085333.0,0.0,1.0
2000-03-06,20.8892,20.8892,19.6915,19.9294,6.1542,2948782.0,0.0,1.0
2000-03-07,19.8752,20.3099,19.6059,20.3004,6.2687,3891662.0,0.0,1.0
2000-03-08,19.9845,20.0721,19.6725,19.8152,6.1189,2588191.0,0.0,1.0
2000-03-09,19.8818,19.8818,19.0257,19.1017,5.8986,8836209.0,0.0,1.0
2000-03-10,19.5964,19.644,19.2064,19.3871,5.9867,3401432.0,0.0,1.0
2000-03-13,19.3871,19.5964,19.1683,19.1779,5.9221,1673862.0,0.0,1.0
2000-03-14,19.2111,19.5869,19.1874,19.5584,6.0396,3038276.0,0.0,1.0
2000-03-15,19.5964,20.0245,19.5964,19.7867,6.1101,5054861.0,0.0,1.0
2000-03-16,20.2623,20.5001,20.0721,20.0721,6.1982,3991382.0,0.0,1.0
2000-03-17,20.738,20.738,19.7867,19.8152,6.1189,4855765.0,0.0,1.0
2000-03-20,19.8342,20.0721,19.7867,19.8409,6.1268,2429765.0,0.0,1.0
2000-03-21,19.8913,20.2338,19.7962,20.2052,6.2393,2419682.0,0.0,1.0
2000-03-22,20.4526,20.757,20.4526,20.7094,6.395,2578677.0,0.0,1.0
2000-03-23,20.6904,20.8806,20.5477,20.738,6.4039,2180805.0,0.0,1.0
2000-03-24,20.9282,21.0233,20.8331,20.8378,6.4347,2346939.0,0.0,1.0
2000-03-27,20.6809,20.6809,20.1672,20.3099,6.2717,2435100.0,0.0,1.0
2000-03-28,20.3099,20.4526,20.1672,20.3108,6.2719,2172373.0,0.0,1.0
2000-03-29,20.3099,20.5953,20.2623,20.4897,6.3272,2202471.0,0.0,1.0
2000-03-30,20.4526,20.4526,20.2623,20.2909,6.2658,2656520.0,0.0,1.0
2000-03-31,20.1748,20.2718,19.9294,20.1482,6.2217,5380480.0,0.0,1.0
2000-04-03,20.4526,20.8236,20.4526,20.7855,6.4185,3379856.0,0.0,1.0
2000-04-04,20.9663,21.4514,20.9663,21.3753,6.6007,4772289.0,0.0,1.0
2000-04-05,21.518,22.1839,21.518,22.1173,6.8298,5586593.0,0.0,1.0
2000-04-06,21.947,22.1173,21.6417,22.1173,6.8298,3618564.0,0.0,1.0
