date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.3519,4.4199,4.3434,4.3774,3.8346,1356077.0,0.0,1.0
2000-01-05,4.2415,4.2415,4.0374,4.0927,3.5852,1232526.0,0.0,1.0
2000-01-06,4.0205,4.0205,3.8249,3.859,3.3804,3155292.0,0.0,1.0
2000-01-07,3.8649,3.9099,3.859,3.876,3.3953,817374.0,0.0,1.0
2000-01-10,3.944,4.0119,3.9184,3.9695,3.4772,766879.0,0.0,1.0
2000-01-11,3.9779,3.9949,3.9099,3.9099,3.4251,1298560.0,0.0,1.0
2000-01-12,3.9099,3.9099,3.6974,3.7569,3.291,422218.0,0.0,1.0
2000-01-13,3.7399,3.7399,3.6549,3.706,3.2464,1133657.0,0.0,1.0
2000-01-14,3.717,3.7229,3.6124,3.7144,3.2538,1313865.0,0.0,1.0
2000-01-17,3.6669,3.6669,3.4935,3.6124,3.1645,2053463.0,0.0,1.0
2000-01-18,3.6294,3.7824,3.6294,3.7824,3.3134,840701.0,0.0,1.0
2000-01-19,3.7961,3.7995,3.6974,3.7229,3.2613,349221.0,0.0,1.0
2000-01-20,3.7195,3.7195,3.6124,3.6635,3.2091,381794.0,0.0,1.0
2000-01-21,3.6294,3.7229,3.6124,3.6294,3.1794,162720.0,0.0,1.0
2000-01-24,3.6133,3.7229,3.6124,3.6974,3.2389,538463.0,0.0,1.0
2000-01-25,3.6124,3.6124,3.519,3.5275,3.09,664784.0,0.0,1.0
2000-01-26,3.8234,3.8234,3.8234,3.8234,3.3493,0.0,0.0,1.0
2000-01-27,3.4,3.4255,3.3235,3.4,2.9783,1005967.0,0.0,1.0
2000-01-28,3.3847,3.3847,3.2725,3.298,2.889,1084070.0,0.0,1.0
2000-01-31,3.23,3.315,3.23,3.2895,2.8815,290175.0,0.0,1.0
2000-02-01,3.3099,3.417,3.3065,3.417,2.9932,338476.0,0.0,1.0
2000-02-02,3.417,3.417,3.3575,3.366,2.9485,238672.0,0.0,1.0
2000-02-03,3.3575,3.3575,3.2725,3.3065,2.8964,670732.0,0.0,1.0
2000-02-04,3.3226,3.366,3.2725,3.2725,2.8666,307422.0,0.0,1.0
2000-02-07,3.7476,3.7485,3.5614,3.5955,3.1496,2268559.0,0.0,1.0
2000-02-08,3.5955,3.5955,3.4255,3.485,3.0528,1200932.0,0.0,1.0
2000-02-09,3.485,3.519,3.434,3.4425,3.0156,523347.0,0.0,1.0
2000-02-10,3.4612,3.6804,3.4612,3.6804,3.224,2159169.0,0.0,1.0
2000-02-11,3.7332,3.8165,3.6124,3.785,3.3156,972115.0,0.0,1.0
2000-02-14,3.774,3.774,3.6465,3.6635,3.2091,347034.0,0.0,1.0
2000-02-15,3.6294,3.6465,3.502,3.5275,3.09,561607.0,0.0,1.0
2000-02-16,3.5011,3.553,3.485,3.553,3.1123,277327.0,0.0,1.0
2000-02-17,3.5402,3.6294,3.5402,3.621,3.1719,495957.0,0.0,1.0
2000-02-18,3.5623,3.621,3.5444,3.6124,3.1645,381708.0,0.0,1.0
2000-02-21,3.5699,3.7144,3.5699,3.6804,3.224,389272.0,0.0,1.0
2000-02-22,3.7315,3.7569,3.706,3.7315,3.2687,483460.0,0.0,1.0
2000-02-23,3.7399,3.7399,3.6549,3.7315,3.2687,620788.0,0.0,1.0
2000-02-24,3.6974,3.7399,3.638,3.6549,3.2017,2252150.0,0.0,1.0
2000-02-25,3.6498,3.774,3.6498,3.774,3.3059,5336075.0,0.0,1.0
2000-02-28,3.7332,3.7332,3.6549,3.6549,3.2017,275621.0,0.0,1.0
2000-02-29,3.6549,3.7144,3.6549,3.6974,3.2389,365875.0,0.0,1.0
2000-03-01,3.6974,3.6974,3.6549,3.6719,3.2166,414516.0,0.0,1.0
2000-03-02,3.6762,3.7315,3.6549,3.689,3.2315,1051857.0,0.0,1.0
2000-03-03,3.6549,3.6804,3.5699,3.6804,3.224,396212.0,0.0,1.0
2000-03-06,3.6465,3.6465,3.536,3.5444,3.1049,608944.0,0.0,1.0
2000-03-07,3.4739,3.485,3.3405,3.4085,2.9858,853185.0,0.0,1.0
2000-03-08,3.4586,3.468,3.23,3.264,2.8592,1177094.0,0.0,1.0
2000-03-09,3.2725,3.2725,3.145,3.162,2.7698,958387.0,0.0,1.0
2000-03-10,3.162,3.298,3.162,3.23,2.8294,464922.0,0.0,1.0
2000-03-13,3.247,3.247,3.1875,3.2045,2.8071,178679.0,0.0,1.0
2000-03-14,3.23,3.2895,3.23,3.23,2.8294,323734.0,0.0,1.0
2000-03-15,3.2045,3.2045,3.077,3.077,2.6954,590582.0,0.0,1.0
2000-03-16,3.06,3.145,3.0175,3.1433,2.7535,660838.0,0.0,1.0
2000-03-17,3.145,3.2725,3.128,3.1875,2.7922,432988.0,0.0,1.0
2000-03-20,3.1875,3.1875,3.06,3.1025,2.7177,849346.0,0.0,1.0
2000-03-21,3.1433,3.23,3.1365,3.23,2.8294,271538.0,0.0,1.0
2000-03-22,3.2725,3.4,3.2725,3.3745,2.956,282029.0,0.0,1.0
2000-03-23,3.3515,3.3515,3.1705,3.196,2.7996,600342.0,0.0,1.0
2000-03-24,3.196,3.2725,3.1705,3.1875,2.7922,807708.0,0.0,1.0
2000-03-27,3.1875,3.1875,3.0175,3.1025,2.7177,746975.0,0.0,1.0
2000-03-28,3.1033,3.1033,3.009,3.0464,2.6686,693125.0,0.0,1.0
2000-03-29,3.026,3.043,2.907,2.975,2.606,400913.0,0.0,1.0
2000-03-30,2.9155,2.9665,2.805,2.8475,2.4943,2362138.0,0.0,1.0
2000-03-31,2.89,2.89,2.771,2.805,2.4571,1557069.0,0.0,1.0
2000-04-03,2.8177,2.8993,2.8177,2.8993,2.5398,384574.0,0.0,1.0
2000-04-04,2.8755,3.0175,2.8755,2.907,2.5465,517069.0,0.0,1.0
2000-04-05,2.9112,2.9835,2.8475,2.9002,2.5405,690852.0,0.0,1.0
2000-04-06,2.9835,2.9835,2.8475,2.9529,2.5867,149414.0,0.0,1.0
2000-04-07,2.8475,2.8475,2.7795,2.805,2.4571,376545.0,0.0,1.0
2000-04-10,2.805,2.805,2.6528,2.6528,2.3238,723469.0,0.0,1.0
2000-04-11,2.6647,2.72,2.5925,2.635,2.3082,590380.0,0.0,1.0
2000-04-12,2.7276,2.89,2.7276,2.8475,2.4943,1585521.0,0.0,1.0
2000-04-13,2.89,2.89,2.8475,2.873,2.5167,517224.0,0.0,1.0
2000-04-14,2.89,2.8985,2.7625,2.89,2.5316,623349.0,0.0,1.0
2000-04-17,2.8135,2.9495,2.6775,2.873,2.5167,2522977.0,0.0,1.0
2000-04-18,2.8789,2.9155,2.839,2.856,2.5018,2346728.0,0.0,1.0
2000-04-19,2.89,2.907,2.8475,2.8475,2.4943,2472664.0,0.0,1.0
2000-04-20,2.8985,2.8985,2.856,2.8985,2.539,845395.0,0.0,1.0
2000-04-21,3.1416,3.1416,3.1416,3.1416,2.752,0.0,0.0,1.0
2000-04-24,3.1416,3.1416,3.1416,3.1416,2.752,0.0,0.0,1.0
2000-04-25,3.1416,3.1416,3.1416,3.1416,2.752,0.0,0.0,1.0
2000-04-26,2.9282,2.958,2.703,2.7795,2.4348,798253.0,0.0,1.0
2000-04-27,2.6945,2.89,2.6945,2.89,2.5316,1205492.0,0.0,1.0
2000-04-28,2.788,2.9325,2.7795,2.907,2.5465,887074.0,0.0,1.0
2000-05-01,2.8143,2.8475,2.703,2.7421,2.402,604308.0,0.0,1.0
2000-05-02,2.771,2.907,2.7455,2.8985,2.539,595092.0,0.0,1.0
2000-05-03,2.89,3.1365,2.89,3.111,2.7252,1078128.0,0.0,1.0
2000-05-04,3.111,3.1195,3.043,3.1195,2.7326,171596.0,0.0,1.0
2000-05-05,3.224,3.224,3.1535,3.19,2.7944,273641.0,0.0,1.0
2000-05-08,3.145,3.145,3.1025,3.1025,2.7177,136522.0,0.0,1.0
2000-05-09,3.06,3.23,3.06,3.2257,2.8257,463208.0,0.0,1.0
2000-05-10,3.2215,3.332,3.2215,3.315,2.9039,445193.0,0.0,1.0
2000-05-11,3.2461,3.485,3.2461,3.4093,2.9865,1110949.0,0.0,1.0
2000-05-12,3.417,3.4595,3.4,3.451,3.023,880852.0,0.0,1.0
2000-05-15,3.4663,3.4663,3.4,3.434,3.0081,814174.0,0.0,1.0
2000-05-16,3.4068,3.4068,3.3575,3.394,2.9731,592789.0,0.0,1.0
2000-05-17,3.4,3.553,3.4,3.468,3.0379,526417.0,0.0,1.0
2000-05-18,3.417,3.4255,3.383,3.4085,2.9858,868898.0,0.0,1.0
2000-05-19,3.4,3.417,3.3915,3.3915,2.9709,675297.0,0.0,1.0
2000-05-22,3.4,3.4,3.315,3.315,2.9039,118682.0,0.0,1.0
2000-05-23,3.2555,3.281,3.1875,3.1875,2.7922,769255.0,0.0,1.0
2000-05-24,3.1875,3.1875,3.1025,3.1705,2.7773,816549.0,0.0,1.0
2000-05-25,3.1866,3.2385,3.1866,3.2215,2.822,1249717.0,0.0,1.0
2000-05-26,3.2028,3.2028,3.0685,3.0685,2.6879,2672652.0,0.0,1.0
2000-05-29,3.026,3.06,2.8815,2.9673,2.5993,841270.0,0.0,1.0
2000-05-30,2.9792,3.0175,2.9155,3.009,2.6358,540068.0,0.0,1.0
2000-05-31,3.0005,3.0515,2.975,3.043,2.6656,1579021.0,0.0,1.0
2000-06-01,3.043,3.1025,2.975,3.0175,2.6433,336643.0,0.0,1.0
2000-06-02,3.054,3.1705,3.0515,3.1365,2.7475,217667.0,0.0,1.0
2000-06-05,3.2453,3.2725,3.1535,3.213,2.8145,573385.0,0.0,1.0
2000-06-06,3.2342,3.2725,3.162,3.1926,2.7966,370071.0,0.0,1.0
2000-06-07,3.23,3.349,3.23,3.2504,2.8473,1788484.0,0.0,1.0
2000-06-08,3.2215,3.264,3.1875,3.23,2.8294,775700.0,0.0,1.0
2000-06-09,3.23,3.23,3.1705,3.23,2.8294,433043.0,0.0,1.0
2000-06-12,3.501,3.501,3.501,3.501,3.0668,0.0,0.0,1.0
2000-06-13,3.315,3.3915,3.2682,3.2682,2.8629,752343.0,0.0,1.0
2000-06-14,3.2725,3.2852,3.2045,3.2852,2.8778,1033724.0,0.0,1.0
2000-06-15,3.4,3.4,3.2895,3.315,2.9039,1372892.0,0.0,1.0
2000-06-16,3.315,3.4,3.315,3.383,2.9634,950049.0,0.0,1.0
2000-06-19,3.383,3.451,3.3745,3.3915,2.9709,2285248.0,0.0,1.0
2000-06-20,3.3575,3.3575,3.2895,3.315,2.9039,746964.0,0.0,1.0
2000-06-21,3.2725,3.4085,3.2725,3.4085,2.9858,503859.0,0.0,1.0
2000-06-22,3.4127,3.4127,3.3405,3.3745,2.956,150600.0,0.0,1.0
2000-06-23,3.366,3.4782,3.3575,3.4782,3.0468,1565539.0,0.0,1.0
2000-06-26,3.4595,3.5444,3.4425,3.4578,3.029,1013001.0,0.0,1.0
2000-06-27,3.4425,3.519,3.4425,3.5105,3.0751,886954.0,0.0,1.0
2000-06-28,3.5105,3.621,3.5105,3.5699,3.1272,677325.0,0.0,1.0
2000-06-29,3.638,3.6719,3.5275,3.638,3.1868,1554707.0,0.0,1.0
