date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-12-06,2.02,2.07,1.975,1.98,1.4004,47930820.0,0.0,1.0
2013-12-09,1.95,2.01,1.95,2.0,1.4145,5956151.0,0.0,1.0
2013-12-10,2.01,2.02,1.92,1.93,1.365,9712156.0,0.0,1.0
2013-12-11,1.93,1.95,1.88,1.905,1.3473,8710350.0,0.0,1.0
2013-12-12,1.9,1.9,1.8,1.87,1.3226,9426580.0,0.0,1.0
2013-12-13,1.88,1.89,1.85,1.87,1.3226,7503836.0,0.0,1.0
2013-12-16,1.86,1.885,1.855,1.885,1.3332,659771.0,0.0,1.0
2013-12-17,1.91,1.95,1.89,1.92,1.358,1729065.0,0.0,1.0
2013-12-18,1.94,1.98,1.922,1.98,1.4004,2571472.0,0.0,1.0
2013-12-19,1.98,1.98,1.945,1.96,1.3862,3789060.0,0.0,1.0
2013-12-20,1.955,2.0,1.95,1.98,1.4004,2155941.0,0.0,1.0
2013-12-23,1.98,1.99,1.96,1.97,1.3933,1061354.0,0.0,1.0
2013-12-24,1.98,1.98,1.965,1.98,1.4004,325726.0,0.0,1.0
2013-12-27,2.0,2.0,1.96,1.99,1.4075,79921.0,0.0,1.0
2013-12-30,1.99,1.99,1.96,1.985,1.4039,429623.0,0.0,1.0
2013-12-31,1.98,1.987,1.96,1.97,1.3933,601688.0,0.0,1.0
2014-01-02,1.97,1.985,1.935,1.975,1.3969,258574.0,0.0,1.0
2014-01-03,1.985,1.985,1.97,1.975,1.3969,874067.0,0.0,1.0
2014-01-06,1.99,2.0,1.97,1.98,1.4004,878913.0,0.0,1.0
2014-01-07,1.98,1.995,1.97,1.98,1.4004,735215.0,0.0,1.0
2014-01-08,1.995,2.01,1.99,2.0,1.4145,3362896.0,0.0,1.0
2014-01-09,2.0,2.01,1.975,1.985,1.4039,1707824.0,0.0,1.0
2014-01-10,1.975,1.985,1.97,1.98,1.4004,311817.0,0.0,1.0
2014-01-13,1.98,1.99,1.97,1.975,1.3969,123832.0,0.0,1.0
2014-01-14,1.98,1.98,1.95,1.975,1.3969,302690.0,0.0,1.0
2014-01-15,1.975,1.975,1.95,1.965,1.3898,631804.0,0.0,1.0
2014-01-16,1.98,2.01,1.98,2.01,1.4216,10400417.0,0.0,1.0
2014-01-17,2.0,2.01,1.995,2.01,1.4216,730033.0,0.0,1.0
2014-01-20,1.99,2.02,1.99,2.0,1.4145,3871834.0,0.0,1.0
2014-01-21,2.02,2.09,2.02,2.09,1.4782,7597665.0,0.0,1.0
2014-01-22,2.07,2.15,2.07,2.15,1.5206,9664827.0,0.0,1.0
2014-01-23,2.18,2.18,2.15,2.17,1.5348,9838117.0,0.0,1.0
2014-01-24,2.15,2.15,2.14,2.15,1.5206,2202572.0,0.0,1.0
2014-01-28,2.13,2.2,2.09,2.15,1.5206,3197309.0,0.0,1.0
2014-01-29,2.16,2.2,2.15,2.2,1.556,2544997.0,0.0,1.0
