date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-02-02,7.25,7.25,7.25,7.25,7.25,0.0,0.0,1.0
2005-02-03,7.25,7.25,6.0719,6.7062,6.7062,59856.0,0.0,1.0
2005-02-04,6.7062,6.8875,6.3437,6.3437,6.3437,43175.0,0.0,1.0
2005-02-07,6.7062,6.7062,6.525,6.7062,6.7062,6759.0,0.0,1.0
2005-02-08,6.7062,6.7062,6.525,6.6156,6.6156,5926.0,0.0,1.0
2005-02-09,6.525,6.525,6.3437,6.3437,6.3437,12041.0,0.0,1.0
2005-02-10,6.3437,6.3437,6.1625,6.1625,6.1625,5004.0,0.0,1.0
2005-02-11,6.1625,6.525,6.1625,6.525,6.525,3807.0,0.0,1.0
2005-02-14,6.8875,6.8875,6.7062,6.8875,6.8875,21842.0,0.0,1.0
2005-02-15,6.9936,6.9936,6.9936,6.9936,6.9936,0.0,0.0,1.0
2005-02-16,6.7969,6.7969,6.7062,6.7062,6.7062,3310.0,0.0,1.0
2005-02-17,6.525,6.525,6.525,6.525,6.525,2362.0,0.0,1.0
2005-02-18,6.525,6.525,6.525,6.525,6.525,490.0,0.0,1.0
2005-02-21,6.4344,6.525,6.3437,6.3437,6.3437,7724.0,0.0,1.0
2005-02-22,6.3437,6.3437,6.1625,6.1625,6.1625,966.0,0.0,1.0
2005-02-23,6.3437,6.3437,6.1625,6.1625,6.1625,5241.0,0.0,1.0
2005-02-24,6.2531,6.3437,6.2531,6.2531,6.2531,4166.0,0.0,1.0
2005-02-25,6.2531,6.2531,6.1625,6.1625,6.1625,9614.0,0.0,1.0
2005-02-28,6.1625,6.1625,6.1625,6.1625,6.1625,2483.0,0.0,1.0
2005-03-01,6.1625,6.2531,6.1625,6.1625,6.1625,12317.0,0.0,1.0
2005-03-02,6.1625,6.1625,5.9812,5.9812,5.9812,7862.0,0.0,1.0
2005-03-03,5.9812,5.9812,5.2562,5.2562,5.2562,12607.0,0.0,1.0
2005-03-04,5.9812,5.9812,5.8,5.9812,5.9812,2897.0,0.0,1.0
2005-03-07,5.9812,5.9812,5.075,5.2562,5.2562,14924.0,0.0,1.0
2005-03-08,5.2562,5.2562,5.075,5.075,5.075,3310.0,0.0,1.0
2005-03-09,5.075,5.1656,4.8031,4.8031,4.8031,4825.0,0.0,1.0
2005-03-10,4.8031,4.8031,4.5312,4.5312,4.5312,7459.0,0.0,1.0
2005-03-11,4.5312,5.2562,4.5312,5.2562,5.2562,5241.0,0.0,1.0
2005-03-14,5.2562,5.2562,5.075,5.2562,5.2562,1586.0,0.0,1.0
2005-03-15,5.2562,5.2562,5.2562,5.2562,5.2562,2759.0,0.0,1.0
2005-03-16,5.2562,5.2562,5.075,5.075,5.075,1655.0,0.0,1.0
2005-03-17,5.3469,6.1625,5.2562,5.9812,5.9812,28355.0,0.0,1.0
2005-03-18,5.8,6.0719,5.8,6.0719,6.0719,4995.0,0.0,1.0
2005-03-21,6.0719,6.0719,5.6187,5.7094,5.7094,4883.0,0.0,1.0
2005-03-22,5.6187,5.6187,5.4375,5.4375,5.4375,4138.0,0.0,1.0
2005-03-23,5.2562,5.2562,5.2562,5.2562,5.2562,966.0,0.0,1.0
2005-03-24,5.3372,5.3372,5.3372,5.3372,5.3372,0.0,0.0,1.0
2005-03-29,5.075,5.075,4.8031,4.8031,4.8031,5164.0,0.0,1.0
2005-03-30,4.8031,4.8031,4.7125,4.7125,4.7125,1412.0,0.0,1.0
2005-03-31,4.7851,4.7851,4.7851,4.7851,4.7851,0.0,0.0,1.0
2005-04-01,5.075,5.075,4.7125,4.7125,4.7125,276.0,0.0,1.0
2005-04-04,4.7125,4.7125,4.7125,4.7125,4.7125,0.0,0.0,1.0
2005-04-05,4.8937,5.2562,4.8937,5.2562,5.2562,1269.0,0.0,1.0
2005-04-06,5.2562,5.2562,5.2562,5.2562,5.2562,386.0,0.0,1.0
2005-04-07,5.3372,5.3372,5.3372,5.3372,5.3372,0.0,0.0,1.0
2005-04-08,4.8937,4.8937,4.8937,4.8937,4.8937,2759.0,0.0,1.0
2005-04-11,4.8031,4.8031,4.8031,4.8031,4.8031,662.0,0.0,1.0
2005-04-12,4.8031,4.8031,4.7125,4.7125,4.7125,1379.0,0.0,1.0
2005-04-13,4.6219,4.6219,4.5312,4.5312,4.5312,3100.0,0.0,1.0
2005-04-14,4.5312,4.6219,4.5312,4.6219,4.6219,1145.0,0.0,1.0
2005-04-15,4.6219,4.6219,4.6219,4.6219,4.6219,372.0,0.0,1.0
2005-04-18,4.693,4.693,4.693,4.693,4.693,0.0,0.0,1.0
2005-04-19,4.5312,4.7125,4.5312,4.7125,4.7125,3628.0,0.0,1.0
2005-04-20,4.7851,4.7851,4.7851,4.7851,4.7851,0.0,0.0,1.0
