date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-04-27,4.1488,4.1488,4.1488,4.1488,2.2465,0.0,0.0,1.0
2006-04-28,5.0917,5.4311,4.9031,5.2614,2.849,4237614.0,0.0,1.0
2006-05-01,5.3557,5.4311,5.2425,5.3934,2.9205,1073292.0,0.0,1.0
2006-05-02,5.3557,5.3557,5.2048,5.2048,2.8183,354975.0,0.0,1.0
2006-05-03,5.2048,5.3557,5.186,5.2614,2.849,127858.0,0.0,1.0
2006-05-04,5.2614,5.2614,5.1294,5.1671,2.7979,278649.0,0.0,1.0
2006-05-05,5.1671,5.1671,5.1294,5.1482,2.7877,87548.0,0.0,1.0
2006-05-08,5.1671,5.1671,5.1294,5.1294,2.7775,156708.0,0.0,1.0
2006-05-09,5.1294,5.1671,5.0917,5.0917,2.7571,249951.0,0.0,1.0
2006-05-10,5.1482,5.1671,5.1294,5.1482,2.7877,204203.0,0.0,1.0
2006-05-11,5.1482,5.2802,5.1294,5.2425,2.8388,281800.0,0.0,1.0
2006-05-12,5.2614,5.4311,5.2614,5.4311,2.9409,175484.0,0.0,1.0
2006-05-15,5.318,5.3934,5.2802,5.3934,2.9205,48728.0,0.0,1.0
2006-05-16,5.3557,5.3934,5.2802,5.3934,2.9205,517320.0,0.0,1.0
2006-05-17,5.3934,5.3934,5.2802,5.3368,2.8898,26268.0,0.0,1.0
2006-05-18,5.2802,5.2802,5.0917,5.2425,2.8388,231969.0,0.0,1.0
2006-05-19,5.1671,5.2802,5.1671,5.2048,2.8183,225185.0,0.0,1.0
2006-05-22,5.2048,5.2425,5.0917,5.1105,2.7673,92519.0,0.0,1.0
2006-05-23,5.1105,5.1105,4.9031,5.0162,2.7162,173371.0,0.0,1.0
2006-05-24,4.9785,4.9785,4.9031,4.9785,2.6958,149696.0,0.0,1.0
2006-05-25,4.9031,4.9785,4.8277,4.9031,2.655,165063.0,0.0,1.0
2006-05-26,4.9031,4.9785,4.8654,4.9031,2.655,163032.0,0.0,1.0
2006-05-29,4.8654,4.9408,4.8465,4.9031,2.655,73728.0,0.0,1.0
2006-05-30,4.9031,4.9031,4.7899,4.8277,2.6141,24249.0,0.0,1.0
2006-05-31,4.7899,5.0917,4.7522,5.0917,2.7571,526384.0,0.0,1.0
2006-06-01,5.1294,5.3934,5.1294,5.3934,2.9205,83518.0,0.0,1.0
2006-06-02,5.4311,5.4311,5.3557,5.3557,2.9,73318.0,0.0,1.0
2006-06-05,5.3934,5.6197,5.3368,5.5254,2.9919,17471.0,0.0,1.0
2006-06-06,5.4688,5.5065,5.3934,5.4688,2.9613,135330.0,0.0,1.0
2006-06-07,5.4688,5.6574,5.4688,5.6574,3.0634,371012.0,0.0,1.0
2006-06-08,5.6763,5.7328,5.6763,5.7328,3.1043,35794.0,0.0,1.0
2006-06-09,5.7328,5.846,5.7328,5.846,3.1655,98098.0,0.0,1.0
2006-06-13,5.8648,5.9214,5.6951,5.8837,3.186,60762.0,0.0,1.0
2006-06-14,5.8837,6.0346,5.846,5.9591,3.2268,861396.0,0.0,1.0
2006-06-15,5.9591,6.4117,5.9591,6.2231,3.3698,32809.0,0.0,1.0
2006-06-16,6.2231,6.2231,5.9968,6.1477,3.3289,36617.0,0.0,1.0
2006-06-19,6.0346,6.0346,5.846,6.0346,3.2676,31033.0,0.0,1.0
2006-06-20,5.9968,6.11,5.9591,6.11,3.3085,64712.0,0.0,1.0
2006-06-21,6.11,6.1288,6.0346,6.0723,3.2881,27877.0,0.0,1.0
2006-06-22,6.11,6.11,5.6574,6.0346,3.2676,219776.0,0.0,1.0
2006-06-23,5.846,6.0346,5.846,5.846,3.1655,97954.0,0.0,1.0
2006-06-26,6.0346,6.1854,6.0346,6.1854,3.3493,7769.0,0.0,1.0
2006-06-27,5.846,6.11,5.846,6.11,3.3085,7514.0,0.0,1.0
2006-06-28,5.9214,5.9591,5.9214,5.9214,3.2064,6507.0,0.0,1.0
2006-06-29,6.0346,6.2043,6.0346,6.2043,3.3595,43976.0,0.0,1.0
2006-06-30,6.2231,6.374,6.11,6.374,3.4514,171960.0,0.0,1.0
2006-07-03,6.374,6.374,6.2231,6.2231,3.3698,92719.0,0.0,1.0
2006-07-04,6.4117,6.7889,6.4117,6.4871,3.5127,225589.0,0.0,1.0
2006-07-05,6.6003,6.6003,6.5249,6.5626,3.5536,104029.0,0.0,1.0
2006-07-06,6.6003,6.7134,6.6003,6.6003,3.574,39016.0,0.0,1.0
2006-07-07,6.5249,6.6003,6.4871,6.4871,3.5127,225928.0,0.0,1.0
2006-07-10,6.5249,6.7134,6.5249,6.6003,3.574,52103.0,0.0,1.0
2006-07-11,6.6003,6.7889,6.6003,6.7134,3.6353,115981.0,0.0,1.0
2006-07-12,6.7134,6.7889,6.638,6.7889,3.6761,252246.0,0.0,1.0
2006-07-13,6.7889,6.9397,6.7512,6.902,3.7374,81527.0,0.0,1.0
2006-07-14,6.9775,6.9775,6.7323,6.7889,3.6761,911879.0,0.0,1.0
2006-07-17,6.7889,6.7889,6.6757,6.7889,3.6761,26199.0,0.0,1.0
2006-07-18,6.7889,6.9775,6.7134,6.7889,3.6761,113466.0,0.0,1.0
2006-07-19,6.7512,6.7889,6.638,6.7889,3.6761,29629.0,0.0,1.0
