date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-09-15,0.4,0.4,0.4,0.4,0.1711,0.0,0.0,1.0
2003-09-16,0.62,0.73,0.6,0.7,0.2995,1623648.0,0.0,1.0
2003-09-17,0.72,0.72,0.64,0.66,0.2824,1855857.0,0.0,1.0
2003-09-18,0.65,0.69,0.65,0.65,0.2781,1553142.0,0.0,1.0
2003-09-19,0.66,0.66,0.65,0.65,0.2781,526517.0,0.0,1.0
2003-09-22,0.67,0.68,0.66,0.66,0.2824,223030.0,0.0,1.0
2003-09-23,0.67,0.67,0.64,0.64,0.2738,265950.0,0.0,1.0
2003-09-24,0.63,0.63,0.6,0.6,0.2567,356138.0,0.0,1.0
2003-09-25,0.61,0.62,0.6,0.62,0.2653,143050.0,0.0,1.0
2003-09-26,0.63,0.63,0.6,0.63,0.2695,220385.0,0.0,1.0
2003-09-29,0.63,0.63,0.6,0.6,0.2567,131395.0,0.0,1.0
2003-09-30,0.61,0.61,0.61,0.61,0.261,54756.0,0.0,1.0
2003-10-01,0.62,0.62,0.61,0.61,0.261,118263.0,0.0,1.0
2003-10-02,0.62,0.63,0.6,0.6,0.2567,217489.0,0.0,1.0
2003-10-03,0.63,0.64,0.62,0.63,0.2695,74850.0,0.0,1.0
2003-10-06,0.65,0.66,0.64,0.66,0.2824,192900.0,0.0,1.0
2003-10-07,0.66,0.66,0.64,0.65,0.2781,606050.0,0.0,1.0
2003-10-08,0.65,0.67,0.63,0.65,0.2781,425060.0,0.0,1.0
2003-10-09,0.65,0.66,0.64,0.65,0.2781,250625.0,0.0,1.0
2003-10-10,0.65,0.65,0.63,0.63,0.2695,107184.0,0.0,1.0
2003-10-13,0.63,0.64,0.62,0.62,0.2653,1834819.0,0.0,1.0
2003-10-14,0.62,0.63,0.61,0.63,0.2695,264711.0,0.0,1.0
2003-10-15,0.63,0.64,0.63,0.63,0.2695,140404.0,0.0,1.0
2003-10-16,0.63,0.65,0.63,0.63,0.2695,136273.0,0.0,1.0
2003-10-17,0.63,0.64,0.62,0.62,0.2653,132912.0,0.0,1.0
2003-10-20,0.61,0.63,0.61,0.61,0.261,49149.0,0.0,1.0
2003-10-21,0.61,0.64,0.61,0.61,0.261,121989.0,0.0,1.0
2003-10-22,0.62,0.63,0.62,0.62,0.2653,65331.0,0.0,1.0
2003-10-23,0.62,0.64,0.62,0.64,0.2738,57291.0,0.0,1.0
2003-10-24,0.63,0.64,0.62,0.62,0.2653,66259.0,0.0,1.0
2003-10-27,0.64,0.64,0.61,0.61,0.261,83438.0,0.0,1.0
2003-10-28,0.62,0.62,0.62,0.62,0.2653,22444.0,0.0,1.0
2003-10-29,0.62,0.63,0.61,0.61,0.261,37166.0,0.0,1.0
2003-10-30,0.63,0.63,0.61,0.61,0.261,11957.0,0.0,1.0
2003-10-31,0.61,0.62,0.61,0.61,0.261,91220.0,0.0,1.0
2003-11-03,0.61,0.63,0.61,0.61,0.261,55077.0,0.0,1.0
2003-11-04,0.61,0.62,0.61,0.61,0.261,24918.0,0.0,1.0
2003-11-05,0.63,0.63,0.61,0.61,0.261,16000.0,0.0,1.0
2003-11-06,0.61,0.62,0.6,0.62,0.2653,177621.0,0.0,1.0
2003-11-07,0.6,0.63,0.6,0.6,0.2567,41071.0,0.0,1.0
2003-11-10,0.61,0.61,0.6,0.61,0.261,62914.0,0.0,1.0
2003-11-11,0.61,0.61,0.6,0.61,0.261,27025.0,0.0,1.0
2003-11-12,0.6,0.61,0.6,0.61,0.261,63826.0,0.0,1.0
