date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-11-05,1.14,1.195,1.08,1.18,0.6826,22658849.0,0.0,1.0
2007-11-06,1.225,1.4,1.21,1.26,0.7289,5727640.0,0.0,1.0
2007-11-07,1.3,1.32,1.26,1.26,0.7289,2063887.0,0.0,1.0
2007-11-08,1.26,1.27,1.24,1.24,0.7173,929972.0,0.0,1.0
2007-11-09,1.24,1.255,1.235,1.24,0.7173,600109.0,0.0,1.0
2007-11-12,1.23,1.24,1.2,1.2,0.6942,1069077.0,0.0,1.0
2007-11-13,1.2,1.21,1.19,1.205,0.6971,4916545.0,0.0,1.0
2007-11-14,1.21,1.21,1.2,1.2,0.6942,583748.0,0.0,1.0
2007-11-15,1.21,1.21,1.2,1.2,0.6942,1535558.0,0.0,1.0
2007-11-16,1.2,1.22,1.2,1.205,0.6971,763483.0,0.0,1.0
2007-11-19,1.205,1.21,1.2,1.205,0.6971,468345.0,0.0,1.0
2007-11-20,1.2,1.21,1.2,1.205,0.6971,521741.0,0.0,1.0
2007-11-21,1.2,1.205,1.2,1.2,0.6942,474394.0,0.0,1.0
2007-11-22,1.2,1.205,1.2,1.2,0.6942,518400.0,0.0,1.0
2007-11-23,1.2,1.2,1.16,1.17,0.6768,540718.0,0.0,1.0
2007-11-26,1.15,1.17,1.12,1.155,0.6681,998965.0,0.0,1.0
2007-11-27,1.14,1.14,1.1,1.125,0.6508,520916.0,0.0,1.0
2007-11-28,1.125,1.13,1.11,1.115,0.645,711040.0,0.0,1.0
2007-11-29,1.12,1.125,1.12,1.12,0.6479,338685.0,0.0,1.0
2007-11-30,1.12,1.13,1.11,1.12,0.6479,323481.0,0.0,1.0
2007-12-03,1.12,1.125,1.105,1.12,0.6479,753522.0,0.0,1.0
2007-12-04,1.12,1.125,1.12,1.12,0.6479,425810.0,0.0,1.0
2007-12-05,1.125,1.125,1.12,1.12,0.6479,364514.0,0.0,1.0
2007-12-06,1.125,1.135,1.12,1.125,0.6508,370885.0,0.0,1.0
2007-12-07,1.125,1.165,1.125,1.15,0.6652,268504.0,0.0,1.0
2007-12-10,1.15,1.15,1.14,1.15,0.6652,210977.0,0.0,1.0
2007-12-11,1.145,1.165,1.145,1.16,0.671,853512.0,0.0,1.0
2007-12-12,1.165,1.175,1.15,1.15,0.6652,135955.0,0.0,1.0
