date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-07-08,0.1888,0.1888,0.1888,0.1888,0.1888,0.0,0.0,1.0
2002-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-07-10,0.2171,0.2171,0.1888,0.1888,0.1888,2374749.0,0.0,1.0
2002-07-11,0.1888,0.1983,0.1794,0.1983,0.1983,609046.0,0.0,1.0
2002-07-12,0.203,0.203,0.1983,0.1983,0.1983,42368.0,0.0,1.0
2002-07-15,0.203,0.203,0.1983,0.203,0.203,425273.0,0.0,1.0
2002-07-16,0.203,0.203,0.1983,0.203,0.203,127105.0,0.0,1.0
2002-07-17,0.1983,0.1983,0.1983,0.1983,0.1983,209935.0,0.0,1.0
2002-07-18,0.1983,0.1983,0.1935,0.1935,0.1935,201250.0,0.0,1.0
2002-07-19,0.1935,0.1935,0.1888,0.1888,0.1888,172439.0,0.0,1.0
2002-07-22,0.1888,0.1888,0.1888,0.1888,0.1888,116831.0,0.0,1.0
2002-07-23,0.1841,0.1841,0.1841,0.1841,0.1841,21184.0,0.0,1.0
2002-07-24,0.1794,0.1888,0.1699,0.1794,0.1794,349539.0,0.0,1.0
2002-07-25,0.1841,0.1888,0.1841,0.1888,0.1888,100625.0,0.0,1.0
2002-07-26,0.1794,0.1888,0.1794,0.1888,0.1888,130495.0,0.0,1.0
2002-07-29,0.1888,0.1888,0.1888,0.1888,0.1888,149878.0,0.0,1.0
2002-07-30,0.1888,0.1888,0.1888,0.1888,0.1888,94270.0,0.0,1.0
2002-07-31,0.1888,0.1983,0.1888,0.1983,0.1983,174770.0,0.0,1.0
2002-08-01,0.2077,0.2171,0.203,0.2077,0.2077,455248.0,0.0,1.0
2002-08-02,0.2077,0.2124,0.2077,0.2124,0.2124,826396.0,0.0,1.0
2002-08-05,0.2124,0.2124,0.1983,0.1983,0.1983,160258.0,0.0,1.0
2002-08-06,0.203,0.203,0.1888,0.1983,0.1983,1246690.0,0.0,1.0
2002-08-07,0.1983,0.1983,0.1983,0.1983,0.1983,0.0,0.0,1.0
2002-08-08,0.1935,0.1983,0.1935,0.1983,0.1983,227730.0,0.0,1.0
2002-08-09,0.1983,0.1983,0.1935,0.1983,0.1983,306874.0,0.0,1.0
2002-08-12,0.1935,0.1983,0.1935,0.1935,0.1935,94799.0,0.0,1.0
2002-08-13,0.1935,0.1935,0.1935,0.1935,0.1935,147527.0,0.0,1.0
2002-08-14,0.1935,0.1983,0.1888,0.1983,0.1983,260798.0,0.0,1.0
2002-08-15,0.1983,0.1983,0.1983,0.1983,0.1983,243618.0,0.0,1.0
2002-08-16,0.1983,0.2077,0.1983,0.2077,0.2077,614554.0,0.0,1.0
2002-08-19,0.2077,0.2077,0.1935,0.2077,0.2077,607457.0,0.0,1.0
2002-08-20,0.2124,0.2124,0.2077,0.2077,0.2077,140961.0,0.0,1.0
2002-08-21,0.2077,0.2077,0.2077,0.2077,0.2077,298611.0,0.0,1.0
2002-08-22,0.2077,0.2171,0.2077,0.2171,0.2171,291283.0,0.0,1.0
2002-08-23,0.2171,0.2171,0.2171,0.2171,0.2171,138948.0,0.0,1.0
2002-08-26,0.2077,0.2219,0.2077,0.2219,0.2219,116513.0,0.0,1.0
2002-08-27,0.2219,0.2219,0.2171,0.2219,0.2219,437262.0,0.0,1.0
2002-08-28,0.2219,0.2266,0.2219,0.2266,0.2266,317763.0,0.0,1.0
2002-08-29,0.2266,0.236,0.2266,0.236,0.236,289164.0,0.0,1.0
2002-08-30,0.2549,0.2549,0.236,0.236,0.236,33895.0,0.0,1.0
2002-09-02,0.236,0.236,0.236,0.236,0.236,168164.0,0.0,1.0
2002-09-03,0.236,0.236,0.236,0.236,0.236,63235.0,0.0,1.0
2002-09-04,0.236,0.236,0.236,0.236,0.236,573600.0,0.0,1.0
2002-09-05,0.2407,0.2502,0.236,0.2502,0.2502,433217.0,0.0,1.0
2002-09-06,0.2502,0.2549,0.236,0.2455,0.2455,276189.0,0.0,1.0
2002-09-09,0.2455,0.2455,0.2455,0.2455,0.2455,40515.0,0.0,1.0
2002-09-10,0.2455,0.2455,0.236,0.236,0.236,396081.0,0.0,1.0
2002-09-11,0.236,0.236,0.236,0.236,0.236,63553.0,0.0,1.0
2002-09-12,0.236,0.236,0.2266,0.2266,0.2266,0.0,0.0,1.0
2002-09-13,0.2455,0.2549,0.2266,0.2407,0.2407,501006.0,0.0,1.0
2002-09-16,0.236,0.236,0.236,0.236,0.236,33895.0,0.0,1.0
2002-09-17,0.236,0.236,0.2077,0.2266,0.2266,314585.0,0.0,1.0
2002-09-18,0.203,0.2266,0.203,0.2266,0.2266,185362.0,0.0,1.0
2002-09-19,0.2077,0.2266,0.2077,0.2171,0.2171,341066.0,0.0,1.0
2002-09-20,0.2171,0.2171,0.2171,0.2171,0.2171,52960.0,0.0,1.0
2002-09-23,0.2077,0.2077,0.2077,0.2077,0.2077,39191.0,0.0,1.0
2002-09-24,0.2077,0.2077,0.203,0.2077,0.2077,257388.0,0.0,1.0
2002-09-25,0.1983,0.1983,0.1983,0.1983,0.1983,10592.0,0.0,1.0
2002-09-26,0.1983,0.2077,0.1983,0.2077,0.2077,60375.0,0.0,1.0
2002-09-27,0.2124,0.2124,0.2077,0.2077,0.2077,132401.0,0.0,1.0
2002-09-30,0.2077,0.2077,0.2077,0.2077,0.2077,31776.0,0.0,1.0
2002-10-01,0.2124,0.2124,0.2077,0.2077,0.2077,0.0,0.0,1.0
2002-10-02,0.2077,0.2077,0.2077,0.2077,0.2077,8474.0,0.0,1.0
2002-10-03,0.203,0.203,0.1983,0.1983,0.1983,47664.0,0.0,1.0
2002-10-04,0.1983,0.1983,0.1983,0.1983,0.1983,0.0,0.0,1.0
2002-10-07,0.1888,0.1888,0.1888,0.1888,0.1888,105921.0,0.0,1.0
2002-10-08,0.1983,0.1983,0.1888,0.1888,0.1888,0.0,0.0,1.0
2002-10-09,0.1983,0.1983,0.1983,0.1983,0.1983,476644.0,0.0,1.0
2002-10-10,0.1983,0.1983,0.1983,0.1983,0.1983,10592.0,0.0,1.0
2002-10-11,0.1983,0.1983,0.1983,0.1983,0.1983,5031.0,0.0,1.0
2002-10-14,0.1935,0.1935,0.1935,0.1935,0.1935,5084.0,0.0,1.0
2002-10-15,0.1935,0.1935,0.1935,0.1935,0.1935,0.0,0.0,1.0
2002-10-16,0.1935,0.1935,0.1935,0.1935,0.1935,0.0,0.0,1.0
2002-10-17,0.1935,0.1935,0.1935,0.1935,0.1935,0.0,0.0,1.0
2002-10-18,0.1935,0.1935,0.1935,0.1935,0.1935,26480.0,0.0,1.0
2002-10-21,0.1935,0.1935,0.1935,0.1935,0.1935,5169.0,0.0,1.0
2002-10-22,0.1935,0.1935,0.1935,0.1935,0.1935,292946.0,0.0,1.0
2002-10-23,0.1935,0.1935,0.1935,0.1935,0.1935,0.0,0.0,1.0
2002-10-24,0.1935,0.1935,0.1935,0.1935,0.1935,24817.0,0.0,1.0
2002-10-25,0.1935,0.1935,0.1935,0.1935,0.1935,0.0,0.0,1.0
2002-10-28,0.1794,0.1794,0.1699,0.1699,0.1699,60375.0,0.0,1.0
2002-10-29,0.1794,0.1794,0.1794,0.1794,0.1794,3707.0,0.0,1.0
2002-10-30,0.1888,0.1888,0.1794,0.1794,0.1794,28599.0,0.0,1.0
2002-10-31,0.1699,0.1888,0.1699,0.1888,0.1888,77322.0,0.0,1.0
2002-11-01,0.1888,0.1888,0.1888,0.1888,0.1888,111217.0,0.0,1.0
2002-11-04,0.1699,0.1699,0.1699,0.1699,0.1699,5296.0,0.0,1.0
2002-11-05,0.1935,0.1935,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-11-06,0.1935,0.1935,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-11-07,0.1935,0.1935,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-11-08,0.1935,0.1935,0.1935,0.1935,0.1935,10592.0,0.0,1.0
2002-11-11,0.1935,0.1935,0.1935,0.1935,0.1935,49327.0,0.0,1.0
2002-11-12,0.1983,0.1983,0.1983,0.1983,0.1983,46531.0,0.0,1.0
2002-11-13,0.1983,0.1983,0.1983,0.1983,0.1983,0.0,0.0,1.0
2002-11-14,0.1983,0.1983,0.1983,0.1983,0.1983,0.0,0.0,1.0
2002-11-15,0.1935,0.1935,0.1935,0.1935,0.1935,10592.0,0.0,1.0
2002-11-18,0.1699,0.1699,0.1699,0.1699,0.1699,5296.0,0.0,1.0
2002-11-19,0.1888,0.1888,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-11-20,0.1888,0.1888,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-11-21,0.1888,0.1888,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-11-22,0.1699,0.1699,0.1699,0.1699,0.1699,4237.0,0.0,1.0
2002-11-25,0.1699,0.1699,0.1699,0.1699,0.1699,23958.0,0.0,1.0
2002-11-26,0.1888,0.1888,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-11-27,0.1888,0.1888,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-11-28,0.1888,0.1888,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-11-29,0.1888,0.1888,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-12-02,0.1699,0.1699,0.1699,0.1699,0.1699,5296.0,0.0,1.0
2002-12-03,0.1747,0.1794,0.1699,0.1794,0.1794,78382.0,0.0,1.0
2002-12-04,0.1699,0.1699,0.1699,0.1699,0.1699,299227.0,0.0,1.0
2002-12-05,0.1888,0.1888,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-12-06,0.1888,0.1888,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-12-09,0.1841,0.1841,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-12-10,0.1841,0.1841,0.1747,0.1747,0.1747,0.0,0.0,1.0
2002-12-11,0.1747,0.1747,0.1747,0.1747,0.1747,26480.0,0.0,1.0
2002-12-12,0.1794,0.1794,0.1699,0.1699,0.1699,0.0,0.0,1.0
2002-12-13,0.1699,0.1699,0.1605,0.1605,0.1605,42368.0,0.0,1.0
2002-12-16,0.1605,0.1605,0.1605,0.1605,0.1605,74019.0,0.0,1.0
2002-12-17,0.1605,0.1605,0.1605,0.1605,0.1605,8474.0,0.0,1.0
2002-12-18,0.1605,0.1605,0.1605,0.1605,0.1605,5296.0,0.0,1.0
2002-12-19,0.1794,0.1794,0.1794,0.1794,0.1794,5296.0,0.0,1.0
2002-12-20,0.1605,0.1605,0.1605,0.1605,0.1605,5296.0,0.0,1.0
2002-12-23,0.1699,0.1699,0.1605,0.1605,0.1605,0.0,0.0,1.0
2002-12-24,0.1699,0.1699,0.1699,0.1699,0.1699,52960.0,0.0,1.0
2002-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-12-27,0.1699,0.1699,0.1699,0.1699,0.1699,7414.0,0.0,1.0
2002-12-30,0.1605,0.1699,0.1605,0.1652,0.1652,135579.0,0.0,1.0
2002-12-31,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-01-02,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-01-03,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-01-06,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-01-07,0.1558,0.1558,0.1558,0.1558,0.1558,105921.0,0.0,1.0
2003-01-08,0.1888,0.1888,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-01-09,0.1888,0.1888,0.1605,0.1605,0.1605,0.0,0.0,1.0
2003-01-10,0.1558,0.1558,0.1558,0.1558,0.1558,0.0,0.0,1.0
2003-01-13,0.1558,0.1558,0.1558,0.1558,0.1558,0.0,0.0,1.0
2003-01-14,0.1558,0.1558,0.1558,0.1558,0.1558,0.0,0.0,1.0
2003-01-15,0.1747,0.1747,0.1747,0.1747,0.1747,16947.0,0.0,1.0
2003-01-16,0.1794,0.1794,0.1794,0.1794,0.1794,7345.0,0.0,1.0
2003-01-17,0.1794,0.1794,0.1747,0.1747,0.1747,0.0,0.0,1.0
2003-01-20,0.1747,0.1747,0.1747,0.1747,0.1747,1604703.0,0.0,1.0
2003-01-21,0.1794,0.1794,0.1699,0.1699,0.1699,131342.0,0.0,1.0
2003-01-22,0.1747,0.1747,0.1747,0.1747,0.1747,52960.0,0.0,1.0
2003-01-23,0.1747,0.1747,0.1747,0.1747,0.1747,12711.0,0.0,1.0
2003-01-24,0.1747,0.1747,0.1747,0.1747,0.1747,0.0,0.0,1.0
2003-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-01-28,0.1699,0.1699,0.1652,0.1652,0.1652,87914.0,0.0,1.0
2003-01-29,0.1699,0.1699,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-01-30,0.1652,0.1652,0.1652,0.1652,0.1652,52960.0,0.0,1.0
2003-01-31,0.1652,0.1652,0.1652,0.1652,0.1652,21184.0,0.0,1.0
2003-02-03,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-02-04,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-02-05,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-02-06,0.1652,0.1652,0.1652,0.1652,0.1652,105921.0,0.0,1.0
2003-02-07,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-02-10,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-02-11,0.1558,0.1558,0.1558,0.1558,0.1558,10592.0,0.0,1.0
2003-02-12,0.1558,0.1558,0.1558,0.1558,0.1558,47659.0,0.0,1.0
2003-02-13,0.1558,0.1558,0.1322,0.1511,0.1511,220851.0,0.0,1.0
2003-02-14,0.1511,0.1511,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-02-17,0.1511,0.1511,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-02-18,0.1511,0.1511,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-02-19,0.1511,0.1511,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-02-20,0.1511,0.1511,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-02-21,0.1463,0.1511,0.1463,0.1511,0.1511,33889.0,0.0,1.0
2003-02-24,0.1652,0.1652,0.1652,0.1652,0.1652,16630.0,0.0,1.0
2003-02-25,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-02-26,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-02-27,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-02-28,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-03-03,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-03-04,0.1652,0.1652,0.1652,0.1652,0.1652,0.0,0.0,1.0
2003-03-05,0.1416,0.1558,0.1416,0.1558,0.1558,42368.0,0.0,1.0
2003-03-06,0.1511,0.1511,0.1511,0.1511,0.1511,52960.0,0.0,1.0
2003-03-07,0.1605,0.1605,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-03-10,0.1511,0.1511,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-03-11,0.1511,0.1511,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-03-12,0.1511,0.1511,0.1511,0.1511,0.1511,0.0,0.0,1.0
2003-03-13,0.1369,0.1369,0.1369,0.1369,0.1369,2648.0,0.0,1.0
2003-03-14,0.1605,0.1605,0.1416,0.1416,0.1416,0.0,0.0,1.0
2003-03-17,0.1369,0.1369,0.1369,0.1369,0.1369,0.0,0.0,1.0
