date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-12-19,0.9671,0.9671,0.9284,0.9429,0.6703,15462229.0,0.0,1.0
2013-12-20,0.9526,0.9671,0.9478,0.9478,0.6737,4681747.0,0.0,1.0
2013-12-23,0.9526,0.9575,0.9478,0.9478,0.6737,2450507.0,0.0,1.0
2013-12-24,0.9623,0.9623,0.9478,0.9575,0.6806,1530903.0,0.0,1.0
2013-12-27,0.9575,0.9865,0.9575,0.9671,0.6875,3090620.0,0.0,1.0
2013-12-30,0.9961,1.001,0.9865,0.9865,0.7012,451144.0,0.0,1.0
2013-12-31,1.0058,1.0058,0.9865,0.9961,0.7081,172538.0,0.0,1.0
2014-01-02,0.9961,0.9961,0.9865,0.9865,0.7012,473892.0,0.0,1.0
2014-01-03,0.9865,0.9961,0.9816,0.9865,0.7012,437513.0,0.0,1.0
2014-01-06,0.9913,1.0252,0.9913,1.0252,0.7287,881509.0,0.0,1.0
2014-01-07,1.0252,1.03,1.0058,1.0203,0.7253,829574.0,0.0,1.0
2014-01-08,1.0203,1.0493,1.0107,1.0252,0.7287,859581.0,0.0,1.0
2014-01-09,1.0397,1.0397,1.0223,1.03,0.7321,220582.0,0.0,1.0
2014-01-10,1.0271,1.0271,1.0058,1.0058,0.715,1290998.0,0.0,1.0
2014-01-13,1.0252,1.0252,1.0155,1.0155,0.7218,751961.0,0.0,1.0
2014-01-14,1.0203,1.03,1.0203,1.03,0.7321,146858.0,0.0,1.0
2014-01-15,1.03,1.0445,1.0252,1.0445,0.7425,401436.0,0.0,1.0
2014-01-16,1.0445,1.0638,1.0397,1.059,0.7528,1480523.0,0.0,1.0
2014-01-17,1.0542,1.0638,1.0348,1.0348,0.7356,321510.0,0.0,1.0
2014-01-20,1.0445,1.0445,1.0252,1.0348,0.7356,326529.0,0.0,1.0
2014-01-21,1.0348,1.0638,1.0252,1.0638,0.7562,537079.0,0.0,1.0
