date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.1174,4.1174,3.4088,3.4088,2.1157,0.0,0.0,1.0
2000-01-05,3.4088,3.4088,3.3514,3.3992,2.1098,37419.0,0.0,1.0
2000-01-06,3.3992,3.3992,3.3992,3.3992,2.1098,21931.0,0.0,1.0
2000-01-07,3.3897,3.3897,3.3035,3.3035,2.0503,44312.0,0.0,1.0
2000-01-10,3.3035,3.3514,3.3035,3.3514,2.0801,9587.0,0.0,1.0
2000-01-11,3.3418,3.3418,3.2556,3.2556,2.0206,91227.0,0.0,1.0
2000-01-12,3.3035,3.3035,3.3035,3.3035,2.0503,23798.0,0.0,1.0
2000-01-13,3.3514,3.3514,3.313,3.313,2.0563,10444.0,0.0,1.0
2000-01-14,3.313,3.313,3.313,3.313,2.0563,9451.0,0.0,1.0
2000-01-17,3.3035,3.3035,3.3035,3.3035,2.0503,583.0,0.0,1.0
2000-01-18,3.3035,3.3035,3.3035,3.3035,2.0503,45796.0,0.0,1.0
2000-01-19,3.3226,3.3226,3.2556,3.2556,2.0206,12532.0,0.0,1.0
2000-01-20,3.2556,3.2556,3.2556,3.2556,2.0206,20542.0,0.0,1.0
2000-01-21,3.2173,3.2173,3.2077,3.2077,1.9909,27707.0,0.0,1.0
2000-01-24,3.1598,3.2077,3.1598,3.2077,1.9909,6684.0,0.0,1.0
2000-01-25,3.2077,3.2556,3.2077,3.2556,2.0206,8877.0,0.0,1.0
2000-01-26,3.2077,3.2077,3.2077,3.2077,1.9909,0.0,0.0,1.0
2000-01-27,3.1598,3.1598,3.0641,3.1407,1.9493,1246106.0,0.0,1.0
2000-01-28,3.0641,3.0641,3.0162,3.0162,1.8721,153886.0,0.0,1.0
2000-01-31,3.0162,3.0449,3.0162,3.0449,1.8899,43293.0,0.0,1.0
2000-02-01,3.112,3.112,3.0641,3.0641,1.9018,66379.0,0.0,1.0
2000-02-02,3.0641,3.0641,3.0162,3.0162,1.8721,936026.0,0.0,1.0
2000-02-03,3.0641,3.0641,3.0641,3.0641,1.9018,17963.0,0.0,1.0
2000-02-04,3.0641,3.0641,3.0641,3.0641,1.9018,17754.0,0.0,1.0
2000-02-07,3.0641,3.0641,3.0641,3.0641,1.9018,13368.0,0.0,1.0
2000-02-08,3.0162,3.0162,3.0066,3.0066,1.8661,35901.0,0.0,1.0
2000-02-09,2.9683,2.9683,2.9683,2.9683,1.8423,18172.0,0.0,1.0
2000-02-10,2.9875,2.9875,2.9683,2.9683,1.8423,26109.0,0.0,1.0
2000-02-11,2.9875,2.9971,2.9683,2.9971,1.8602,18772.0,0.0,1.0
2000-02-14,2.9971,2.9971,2.9779,2.9779,1.8483,29346.0,0.0,1.0
2000-02-15,2.9779,2.9779,2.9492,2.9492,1.8305,38385.0,0.0,1.0
