date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-08-14,1.26,1.32,1.21,1.21,1.1647,2580988.0,0.0,1.0
2015-08-17,1.26,1.275,1.24,1.24,1.1936,773767.0,0.0,1.0
2015-08-18,1.26,1.37,1.255,1.37,1.3187,808902.0,0.0,1.0
2015-08-19,1.38,1.43,1.32,1.32,1.2706,856568.0,0.0,1.0
2015-08-20,1.32,1.35,1.32,1.32,1.2706,153253.0,0.0,1.0
2015-08-21,1.32,1.32,1.25,1.27,1.2225,395084.0,0.0,1.0
2015-08-24,1.22,1.255,1.22,1.22,1.1744,860730.0,0.0,1.0
2015-08-25,1.19,1.2,1.17,1.17,1.1262,614446.0,0.0,1.0
2015-08-26,1.15,1.25,1.125,1.25,1.2032,298517.0,0.0,1.0
2015-08-27,1.345,1.345,1.25,1.3,1.2514,265055.0,0.0,1.0
2015-08-28,1.3,1.36,1.295,1.34,1.2899,367488.0,0.0,1.0
2015-08-31,1.34,1.395,1.31,1.38,1.3284,326542.0,0.0,1.0
2015-09-01,1.38,1.39,1.35,1.35,1.2995,92515.0,0.0,1.0
2015-09-02,1.35,1.35,1.32,1.34,1.2899,48536.0,0.0,1.0
2015-09-03,1.35,1.35,1.32,1.32,1.2706,26577.0,0.0,1.0
2015-09-04,1.34,1.355,1.335,1.335,1.285,69840.0,0.0,1.0
2015-09-07,1.35,1.35,1.35,1.35,1.2995,10530.0,0.0,1.0
2015-09-08,1.35,1.38,1.34,1.355,1.3043,63350.0,0.0,1.0
2015-09-09,1.36,1.44,1.36,1.4,1.3476,72129.0,0.0,1.0
2015-09-10,1.4,1.4,1.4,1.4,1.3476,42771.0,0.0,1.0
2015-09-11,1.42,1.49,1.42,1.43,1.3765,265455.0,0.0,1.0
2015-09-14,1.44,1.46,1.43,1.44,1.3861,162507.0,0.0,1.0
2015-09-15,1.44,1.44,1.415,1.42,1.3669,142000.0,0.0,1.0
2015-09-16,1.42,1.46,1.42,1.46,1.4054,82872.0,0.0,1.0
2015-09-17,1.47,1.48,1.45,1.45,1.3957,535996.0,0.0,1.0
2015-09-18,1.465,1.5,1.465,1.48,1.4246,160713.0,0.0,1.0
2015-09-21,1.49,1.58,1.48,1.48,1.4246,625040.0,0.0,1.0
2015-09-22,1.52,1.53,1.52,1.522,1.4651,99912.0,0.0,1.0
2015-09-23,1.525,1.56,1.5,1.55,1.492,81143.0,0.0,1.0
2015-09-24,1.56,1.56,1.51,1.51,1.4535,190405.0,0.0,1.0
