date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-09-05,2.31,2.43,2.3,2.41,1.5421,50101982.0,0.0,1.0
2007-09-06,2.39,2.45,2.36,2.4,1.5357,3021974.0,0.0,1.0
2007-09-07,2.41,2.5,2.4,2.5,1.5997,1919039.0,0.0,1.0
2007-09-10,2.44,2.57,2.43,2.53,1.6189,1902109.0,0.0,1.0
2007-09-11,2.57,2.66,2.53,2.53,1.6189,1457839.0,0.0,1.0
2007-09-12,2.53,2.55,2.49,2.5,1.5997,1377182.0,0.0,1.0
2007-09-13,2.5,2.58,2.48,2.58,1.6509,1054618.0,0.0,1.0
2007-09-14,2.58,2.61,2.55,2.55,1.6317,517322.0,0.0,1.0
2007-09-17,2.55,2.57,2.5,2.51,1.6061,951858.0,0.0,1.0
2007-09-18,2.5,2.51,2.48,2.5,1.5997,1055515.0,0.0,1.0
2007-09-19,2.53,2.57,2.51,2.53,1.6189,316939.0,0.0,1.0
2007-09-20,2.56,2.63,2.54,2.61,1.6701,5468682.0,0.0,1.0
2007-09-21,2.62,2.75,2.59,2.66,1.7021,1182998.0,0.0,1.0
2007-09-24,2.69,2.79,2.63,2.7,1.7277,576242.0,0.0,1.0
2007-09-25,2.74,2.8,2.69,2.7,1.7277,922947.0,0.0,1.0
2007-09-26,2.69,2.69,2.6,2.62,1.6765,1762441.0,0.0,1.0
2007-09-27,2.67,2.77,2.64,2.71,1.7341,412415.0,0.0,1.0
2007-09-28,2.71,2.71,2.64,2.64,1.6893,263080.0,0.0,1.0
2007-10-01,2.65,2.8,2.65,2.8,1.7917,88135.0,0.0,1.0
2007-10-02,2.79,2.8,2.72,2.74,1.7533,815792.0,0.0,1.0
2007-10-03,2.76,2.92,2.76,2.82,1.8045,718161.0,0.0,1.0
2007-10-04,2.82,2.84,2.73,2.75,1.7597,516208.0,0.0,1.0
2007-10-05,2.8,2.85,2.73,2.74,1.7533,389335.0,0.0,1.0
2007-10-08,2.75,2.78,2.65,2.7,1.7277,699003.0,0.0,1.0
2007-10-09,2.71,2.73,2.67,2.68,1.7149,315530.0,0.0,1.0
2007-10-10,2.67,2.7,2.62,2.62,1.6765,1165269.0,0.0,1.0
2007-10-11,2.62,2.69,2.61,2.62,1.6765,1027175.0,0.0,1.0
2007-10-12,2.64,2.8,2.64,2.8,1.7917,738312.0,0.0,1.0
2007-10-15,2.82,2.92,2.76,2.92,1.8685,1462998.0,0.0,1.0
2007-10-16,2.92,3.05,2.92,2.98,1.9069,2105561.0,0.0,1.0
2007-10-17,2.96,3.0,2.95,2.98,1.9069,359089.0,0.0,1.0
2007-10-18,3.01,3.12,3.01,3.09,1.9773,706029.0,0.0,1.0
2007-10-19,3.2,3.34,3.14,3.25,2.0796,624516.0,0.0,1.0
2007-10-22,3.14,3.24,3.09,3.16,2.0221,740382.0,0.0,1.0
2007-10-23,3.25,3.35,3.17,3.29,2.1052,1032968.0,0.0,1.0
2007-10-24,3.39,3.45,3.31,3.32,2.1244,774191.0,0.0,1.0
2007-10-25,3.4,3.4,3.36,3.39,2.1692,643069.0,0.0,1.0
2007-10-26,3.4,3.4,3.32,3.34,2.1372,403265.0,0.0,1.0
2007-10-29,3.35,3.37,3.21,3.23,2.0668,1142667.0,0.0,1.0
2007-10-30,3.25,3.31,3.22,3.24,2.0732,287696.0,0.0,1.0
2007-10-31,3.24,3.3,3.21,3.23,2.0668,498696.0,0.0,1.0
2007-11-01,3.25,3.25,3.21,3.24,2.0732,1236081.0,0.0,1.0
2007-11-02,3.19,3.24,3.17,3.2,2.0476,1976066.0,0.0,1.0
2007-11-05,3.22,3.24,3.06,3.13,2.0029,324149.0,0.0,1.0
2007-11-06,3.19,3.21,3.14,3.2,2.0476,358907.0,0.0,1.0
2007-11-07,3.2,3.23,3.16,3.22,2.0604,363548.0,0.0,1.0
2007-11-08,3.17,3.29,3.16,3.25,2.0796,293422.0,0.0,1.0
2007-11-09,3.25,3.31,3.22,3.3,2.1116,648628.0,0.0,1.0
2007-11-12,3.35,3.55,3.35,3.46,2.214,707175.0,0.0,1.0
2007-11-13,3.49,3.5,3.35,3.44,2.2012,465710.0,0.0,1.0
2007-11-14,3.48,3.52,3.45,3.45,2.2076,558301.0,0.0,1.0
2007-11-15,3.46,3.48,3.34,3.34,2.1372,293190.0,0.0,1.0
2007-11-16,3.39,3.47,3.32,3.36,2.15,430859.0,0.0,1.0
2007-11-19,3.4,3.45,3.39,3.4,2.1756,736845.0,0.0,1.0
2007-11-20,3.4,3.42,3.36,3.38,2.1628,191677.0,0.0,1.0
2007-11-21,3.4,3.4,3.31,3.31,2.118,139971.0,0.0,1.0
2007-11-22,3.29,3.29,3.13,3.17,2.0284,423573.0,0.0,1.0
2007-11-23,3.16,3.17,3.05,3.08,1.9709,273359.0,0.0,1.0
2007-11-26,3.14,3.14,3.1,3.12,1.9965,193860.0,0.0,1.0
2007-11-27,3.08,3.1,3.02,3.02,1.9325,193366.0,0.0,1.0
2007-11-28,3.02,3.05,2.9,3.0,1.9197,285202.0,0.0,1.0
2007-11-29,3.1,3.1,2.99,3.07,1.9645,459287.0,0.0,1.0
2007-11-30,3.07,3.13,3.03,3.06,1.9581,479995.0,0.0,1.0
2007-12-03,3.06,3.1,2.93,2.98,1.9069,268270.0,0.0,1.0
2007-12-04,2.98,3.05,2.97,3.0,1.9197,652183.0,0.0,1.0
2007-12-05,3.0,3.0,2.96,3.0,1.9197,524339.0,0.0,1.0
2007-12-06,3.05,3.17,3.01,3.07,1.9645,1311683.0,0.0,1.0
2007-12-07,3.08,3.14,3.06,3.14,2.0093,475555.0,0.0,1.0
2007-12-10,3.11,3.25,3.11,3.19,2.0412,508496.0,0.0,1.0
2007-12-11,3.29,3.29,3.16,3.19,2.0412,107009.0,0.0,1.0
2007-12-12,3.18,3.18,3.03,3.03,1.9389,1163187.0,0.0,1.0
2007-12-13,3.07,3.18,3.06,3.13,2.0029,252839.0,0.0,1.0
2007-12-14,3.11,3.15,2.81,2.92,1.8685,1594981.0,0.0,1.0
2007-12-17,2.88,2.9,2.64,2.76,1.7661,448102.0,0.0,1.0
2007-12-18,2.6,2.82,2.42,2.77,1.7725,2246403.0,0.0,1.0
2007-12-19,2.8,2.87,2.76,2.82,1.8045,628212.0,0.0,1.0
2007-12-20,2.82,2.91,2.82,2.82,1.8045,39060.0,0.0,1.0
2007-12-21,2.82,2.85,2.7,2.82,1.8045,563220.0,0.0,1.0
2007-12-24,2.8,2.85,2.75,2.75,1.7597,47516.0,0.0,1.0
