date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-11-20,4.88,5.35,4.87,5.32,5.2047,20005188.0,0.0,1.0
2017-11-21,5.31,5.38,5.21,5.35,5.2341,4588736.0,0.0,1.0
2017-11-22,5.37,5.45,5.29,5.37,5.2536,1466057.0,0.0,1.0
2017-11-23,5.42,5.49,5.3,5.42,5.3026,852620.0,0.0,1.0
2017-11-24,5.5,5.67,5.4,5.4,5.283,762941.0,0.0,1.0
2017-11-27,5.44,5.53,5.25,5.25,5.1362,742560.0,0.0,1.0
2017-11-28,5.29,5.34,5.19,5.27,5.1558,401382.0,0.0,1.0
2017-11-29,5.3,5.35,5.24,5.3,5.1852,449639.0,0.0,1.0
2017-11-30,5.32,5.38,5.3,5.33,5.2145,1208267.0,0.0,1.0
2017-12-01,5.34,5.37,5.21,5.33,5.2145,585501.0,0.0,1.0
2017-12-04,5.33,5.53,5.31,5.39,5.2732,410953.0,0.0,1.0
2017-12-05,5.35,5.44,5.35,5.39,5.2732,314942.0,0.0,1.0
2017-12-06,5.39,5.5,5.37,5.49,5.371,558846.0,0.0,1.0
2017-12-07,5.52,5.7,5.47,5.7,5.5765,167162.0,0.0,1.0
2017-12-08,5.64,5.7,5.525,5.57,5.4493,119278.0,0.0,1.0
2017-12-11,5.55,5.61,5.5,5.58,5.4591,257396.0,0.0,1.0
2017-12-12,5.6,5.75,5.5,5.69,5.5667,520724.0,0.0,1.0
2017-12-13,5.65,5.95,5.65,5.85,5.7232,284312.0,0.0,1.0
2017-12-14,5.9,6.09,5.85,6.03,5.8993,1179808.0,0.0,1.0
2017-12-15,6.09,6.27,6.02,6.2,6.0657,434628.0,0.0,1.0
2017-12-18,6.39,6.55,6.2,6.21,6.0754,397796.0,0.0,1.0
2017-12-19,6.25,6.41,6.25,6.35,6.2124,42778.0,0.0,1.0
2017-12-20,6.33,6.4,6.3,6.4,6.2613,301284.0,0.0,1.0
2017-12-21,6.32,6.44,6.31,6.44,6.3004,171728.0,0.0,1.0
2017-12-22,6.42,6.94,6.42,6.67,6.5255,100878.0,0.0,1.0
2017-12-27,6.91,7.1,6.85,7.1,6.9461,115090.0,0.0,1.0
2017-12-28,7.22,7.4,7.21,7.35,7.1907,462155.0,0.0,1.0
2017-12-29,7.35,7.43,7.25,7.28,7.1222,107538.0,0.0,1.0
2018-01-02,7.32,7.33,6.5,6.89,6.7407,164081.0,0.0,1.0
2018-01-03,6.89,6.89,6.55,6.6,6.457,183178.0,0.0,1.0
2018-01-04,6.55,6.55,6.28,6.33,6.1928,237655.0,0.0,1.0
2018-01-05,6.32,6.32,6.02,6.02,5.8896,197085.0,0.0,1.0
2018-01-08,6.14,6.14,5.895,5.95,5.8211,351119.0,0.0,1.0
2018-01-09,5.95,6.26,5.9,6.19,6.0559,114414.0,0.0,1.0
2018-01-10,6.21,6.42,6.21,6.3,6.1635,215485.0,0.0,1.0
2018-01-11,6.3,6.39,6.17,6.24,6.1048,756524.0,0.0,1.0
