date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-12-13,1.453,1.5603,1.414,1.5554,1.5554,5757936.0,0.0,1.0
2010-12-14,1.5408,1.5408,1.4628,1.4628,1.4628,2283588.0,0.0,1.0
2010-12-15,1.4628,1.5018,1.4238,1.4335,1.4335,1164918.0,0.0,1.0
2010-12-16,1.4433,1.4725,1.4238,1.4628,1.4628,372219.0,0.0,1.0
2010-12-17,1.4676,1.5554,1.4676,1.5359,1.5359,421365.0,0.0,1.0
2010-12-20,1.5408,1.6139,1.5408,1.5603,1.5603,766518.0,0.0,1.0
2010-12-21,1.5944,1.6676,1.5944,1.6139,1.6139,636965.0,0.0,1.0
2010-12-22,1.6773,1.8041,1.6773,1.7358,1.7358,458558.0,0.0,1.0
2010-12-23,1.7358,1.7358,1.6627,1.6773,1.6773,272081.0,0.0,1.0
2010-12-24,1.6773,1.7553,1.6773,1.7553,1.7553,74461.0,0.0,1.0
2010-12-29,1.7553,1.7553,1.6676,1.7114,1.7114,226994.0,0.0,1.0
2010-12-30,1.687,1.7261,1.6724,1.6773,1.6773,127843.0,0.0,1.0
2010-12-31,1.687,1.7163,1.6773,1.7066,1.7066,29738.0,0.0,1.0
2011-01-04,1.7212,1.7456,1.7212,1.7407,1.7407,87681.0,0.0,1.0
2011-01-05,1.7358,1.7358,1.6968,1.7017,1.7017,128126.0,0.0,1.0
2011-01-06,1.7066,1.7114,1.6676,1.7066,1.7066,117451.0,0.0,1.0
2011-01-07,1.6968,1.6968,1.6822,1.6822,1.6822,44345.0,0.0,1.0
2011-01-10,1.687,1.7066,1.6481,1.6481,1.6481,186444.0,0.0,1.0
2011-01-11,1.6578,1.6578,1.5798,1.5847,1.5847,145540.0,0.0,1.0
2011-01-12,1.5798,1.6334,1.5456,1.5993,1.5993,271223.0,0.0,1.0
2011-01-13,1.5993,1.6676,1.5798,1.6676,1.6676,154082.0,0.0,1.0
2011-01-14,1.6578,1.7066,1.6578,1.7066,1.7066,182210.0,0.0,1.0
2011-01-17,1.687,1.687,1.6578,1.687,1.687,129239.0,0.0,1.0
2011-01-18,1.6968,1.7456,1.6968,1.7066,1.7066,294123.0,0.0,1.0
2011-01-19,1.7066,1.7066,1.6432,1.7066,1.7066,138171.0,0.0,1.0
2011-01-20,1.7066,1.7163,1.6773,1.6773,1.6773,89748.0,0.0,1.0
2011-01-21,1.6773,1.6773,1.6334,1.6578,1.6578,127582.0,0.0,1.0
2011-01-24,1.6578,1.7163,1.6578,1.7066,1.7066,147041.0,0.0,1.0
2011-01-25,1.7309,1.7358,1.7066,1.7066,1.7066,128471.0,0.0,1.0
2011-01-27,1.7066,1.7261,1.6968,1.7066,1.7066,142772.0,0.0,1.0
2011-01-28,1.6968,1.7066,1.6773,1.687,1.687,274896.0,0.0,1.0
2011-01-31,1.6676,1.6773,1.6578,1.6578,1.6578,140313.0,0.0,1.0
2011-02-01,1.6578,1.687,1.6578,1.687,1.687,176858.0,0.0,1.0
2011-02-02,1.6773,1.687,1.6432,1.6432,1.6432,167269.0,0.0,1.0
2011-02-03,1.6481,1.6578,1.6285,1.6578,1.6578,100024.0,0.0,1.0
2011-02-04,1.6578,1.6773,1.6383,1.6383,1.6383,105894.0,0.0,1.0
2011-02-07,1.6383,1.6578,1.6383,1.6481,1.6481,159676.0,0.0,1.0
2011-02-08,1.6481,1.6578,1.6237,1.6237,1.6237,65425.0,0.0,1.0
2011-02-09,1.6188,1.6188,1.57,1.609,1.609,210950.0,0.0,1.0
2011-02-10,1.609,1.6529,1.6042,1.609,1.609,104086.0,0.0,1.0
2011-02-11,1.609,1.609,1.57,1.57,1.57,821147.0,0.0,1.0
2011-02-14,1.5993,1.609,1.5895,1.609,1.609,168705.0,0.0,1.0
2011-02-15,1.609,1.609,1.5798,1.5798,1.5798,228082.0,0.0,1.0
2011-02-16,1.609,1.609,1.57,1.57,1.57,102325.0,0.0,1.0
2011-02-17,1.5895,1.609,1.5798,1.5895,1.5895,149605.0,0.0,1.0
2011-02-18,1.5895,1.6529,1.5798,1.609,1.609,618157.0,0.0,1.0
2011-02-21,1.609,1.6188,1.5895,1.609,1.609,316117.0,0.0,1.0
2011-02-22,1.5895,1.5895,1.5603,1.5603,1.5603,158646.0,0.0,1.0
2011-02-23,1.5603,1.57,1.5603,1.5652,1.5652,46556.0,0.0,1.0
