date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-06-27,0.9,0.9,0.765,0.77,0.601,1082648.0,0.0,1.0
2016-06-28,0.77,0.77,0.7,0.71,0.5542,728455.0,0.0,1.0
2016-06-29,0.71,0.745,0.71,0.725,0.5659,494498.0,0.0,1.0
2016-06-30,0.725,0.74,0.69,0.73,0.5698,1775076.0,0.0,1.0
2016-07-01,0.72,0.73,0.665,0.685,0.5347,3709481.0,0.0,1.0
2016-07-04,0.67,0.725,0.66,0.7,0.5464,554258.0,0.0,1.0
2016-07-05,0.7,0.725,0.67,0.725,0.5659,251216.0,0.0,1.0
2016-07-06,0.71,0.71,0.685,0.7,0.5464,7143050.0,0.0,1.0
2016-07-07,0.7,0.705,0.65,0.685,0.5347,4261982.0,0.0,1.0
2016-07-08,0.67,0.7,0.655,0.675,0.5269,439969.0,0.0,1.0
2016-07-11,0.675,0.7,0.655,0.68,0.5308,326852.0,0.0,1.0
2016-07-12,0.675,0.685,0.66,0.67,0.523,237367.0,0.0,1.0
2016-07-13,0.66,0.695,0.652,0.67,0.523,398545.0,0.0,1.0
2016-07-14,0.69,0.695,0.665,0.67,0.523,2142025.0,0.0,1.0
2016-07-15,0.68,0.69,0.67,0.68,0.5308,874256.0,0.0,1.0
2016-07-18,0.68,0.685,0.675,0.675,0.5269,2190791.0,0.0,1.0
2016-07-19,0.68,0.7,0.68,0.7,0.5464,627913.0,0.0,1.0
2016-07-20,0.7,0.725,0.69,0.725,0.5659,1860166.0,0.0,1.0
2016-07-21,0.73,0.79,0.727,0.76,0.5932,1174475.0,0.0,1.0
2016-07-22,0.755,0.77,0.73,0.75,0.5854,1044640.0,0.0,1.0
2016-07-25,0.74,0.75,0.73,0.74,0.5776,549975.0,0.0,1.0
2016-07-26,0.735,0.755,0.735,0.755,0.5893,561344.0,0.0,1.0
2016-07-27,0.77,0.77,0.74,0.76,0.5932,259379.0,0.0,1.0
2016-07-28,0.76,0.785,0.76,0.775,0.6049,858337.0,0.0,1.0
2016-07-29,0.775,0.81,0.775,0.795,0.6206,751462.0,0.0,1.0
2016-08-01,0.785,0.825,0.785,0.81,0.6323,456639.0,0.0,1.0
2016-08-02,0.805,0.845,0.805,0.825,0.644,116631.0,0.0,1.0
2016-08-03,0.85,0.88,0.85,0.875,0.683,1179585.0,0.0,1.0
2016-08-04,0.89,0.915,0.885,0.895,0.6986,5492681.0,0.0,1.0
2016-08-05,0.89,0.905,0.855,0.88,0.6869,146839.0,0.0,1.0
2016-08-08,0.875,0.89,0.86,0.875,0.683,397298.0,0.0,1.0
2016-08-09,0.87,0.89,0.865,0.87,0.6791,639934.0,0.0,1.0
