date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-10-11,2.59,2.67,2.53,2.56,2.1269,43880397.0,0.0,1.0
2013-10-14,2.57,2.66,2.57,2.61,2.1684,4249505.0,0.0,1.0
2013-10-15,2.62,2.79,2.62,2.79,2.3179,4767005.0,0.0,1.0
2013-10-16,2.82,2.87,2.76,2.83,2.3512,5659050.0,0.0,1.0
2013-10-17,2.84,2.88,2.7,2.75,2.2847,3763190.0,0.0,1.0
2013-10-18,2.74,2.78,2.72,2.73,2.2681,1426320.0,0.0,1.0
2013-10-21,2.73,2.76,2.73,2.74,2.2764,551137.0,0.0,1.0
2013-10-22,2.73,2.75,2.64,2.66,2.2099,1171322.0,0.0,1.0
2013-10-23,2.66,2.71,2.66,2.69,2.2349,3519677.0,0.0,1.0
2013-10-24,2.7,2.7,2.64,2.64,2.1933,478982.0,0.0,1.0
2013-10-25,2.68,2.68,2.64,2.65,2.2016,654104.0,0.0,1.0
2013-10-28,2.67,2.67,2.58,2.59,2.1518,1057305.0,0.0,1.0
2013-10-29,2.57,2.61,2.56,2.56,2.1269,1037902.0,0.0,1.0
2013-10-30,2.58,2.61,2.55,2.56,2.1269,1409069.0,0.0,1.0
2013-10-31,2.57,2.65,2.56,2.6,2.1601,5138952.0,0.0,1.0
2013-11-01,2.59,2.62,2.57,2.57,2.1352,603022.0,0.0,1.0
2013-11-04,2.6,2.6,2.51,2.56,2.1269,2721010.0,0.0,1.0
2013-11-05,2.54,2.55,2.51,2.51,2.0853,849015.0,0.0,1.0
2013-11-06,2.52,2.55,2.42,2.46,2.0438,2019959.0,0.0,1.0
2013-11-07,2.45,2.48,2.39,2.46,2.0438,671465.0,0.0,1.0
2013-11-08,2.46,2.58,2.45,2.55,2.1185,448511.0,0.0,1.0
2013-11-11,2.58,2.64,2.53,2.54,2.1102,394149.0,0.0,1.0
2013-11-12,2.53,2.67,2.51,2.54,2.1102,307875.0,0.0,1.0
2013-11-13,2.55,2.64,2.55,2.61,2.1684,276837.0,0.0,1.0
2013-11-14,2.61,2.68,2.6,2.61,2.1684,301504.0,0.0,1.0
2013-11-15,2.58,2.64,2.58,2.61,2.1684,942990.0,0.0,1.0
2013-11-18,2.63,2.66,2.6,2.61,2.1684,599384.0,0.0,1.0
2013-11-19,2.62,2.67,2.61,2.65,2.2016,544251.0,0.0,1.0
2013-11-20,2.7,2.79,2.63,2.7,2.2432,832628.0,0.0,1.0
2013-11-21,2.69,2.74,2.64,2.74,2.2764,348620.0,0.0,1.0
2013-11-22,2.75,2.82,2.75,2.8,2.3262,915505.0,0.0,1.0
2013-11-25,2.82,2.96,2.82,2.96,2.4592,3197832.0,0.0,1.0
2013-11-26,2.96,2.98,2.9,2.92,2.4259,1410356.0,0.0,1.0
2013-11-27,2.91,2.95,2.85,2.9,2.4093,589074.0,0.0,1.0
2013-11-28,2.9,2.92,2.86,2.88,2.3927,516602.0,0.0,1.0
2013-11-29,2.88,2.95,2.85,2.92,2.4259,685998.0,0.0,1.0
2013-12-02,2.9,2.9,2.85,2.86,2.3761,130575.0,0.0,1.0
2013-12-03,2.85,2.89,2.85,2.85,2.3678,465383.0,0.0,1.0
2013-12-04,2.85,2.88,2.83,2.87,2.3844,232764.0,0.0,1.0
