date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-12-17,1.8097,1.8193,1.7235,1.8193,1.5915,1742560.0,0.0,1.0
2014-12-18,1.8384,1.8624,1.8337,1.8624,1.6292,458973.0,0.0,1.0
2014-12-19,1.8863,1.8911,1.8672,1.8767,1.6418,55512.0,0.0,1.0
2014-12-22,1.8767,1.8767,1.8672,1.8672,1.6334,383442.0,0.0,1.0
2014-12-23,1.8767,1.8959,1.848,1.8672,1.6334,557040.0,0.0,1.0
2014-12-24,1.8672,1.8767,1.8193,1.8193,1.5915,2120992.0,0.0,1.0
2014-12-29,1.8193,1.848,1.8193,1.848,1.6167,2188810.0,0.0,1.0
2014-12-30,1.848,1.8672,1.848,1.848,1.6167,28046.0,0.0,1.0
2014-12-31,1.915,1.915,1.915,1.915,1.6753,277.0,0.0,1.0
2015-01-02,1.9629,1.9629,1.9629,1.9629,1.7172,4784.0,0.0,1.0
2015-01-05,1.9438,1.9438,1.9246,1.9438,1.7004,629.0,0.0,1.0
2015-01-06,1.9438,1.9438,1.848,1.848,1.6167,13492.0,0.0,1.0
2015-01-07,1.8528,1.8528,1.8193,1.848,1.6167,39505.0,0.0,1.0
2015-01-08,1.848,1.848,1.8384,1.848,1.6167,284740.0,0.0,1.0
2015-01-09,1.848,1.848,1.8337,1.848,1.6167,212395.0,0.0,1.0
2015-01-12,1.8767,1.8767,1.8384,1.8384,1.6083,6484.0,0.0,1.0
2015-01-13,1.848,1.848,1.8432,1.8432,1.6125,32219.0,0.0,1.0
2015-01-14,1.915,1.915,1.8576,1.8576,1.625,633.0,0.0,1.0
2015-01-15,1.848,1.848,1.848,1.848,1.6167,3885.0,0.0,1.0
2015-01-16,1.8672,1.8672,1.848,1.848,1.6167,66575.0,0.0,1.0
2015-01-19,1.848,1.848,1.8384,1.848,1.6167,3959.0,0.0,1.0
2015-01-20,1.8384,1.848,1.8193,1.8193,1.5915,1165862.0,0.0,1.0
2015-01-21,1.848,1.848,1.8384,1.848,1.6167,532473.0,0.0,1.0
2015-01-22,1.848,1.848,1.8384,1.848,1.6167,2453.0,0.0,1.0
2015-01-23,1.8289,1.848,1.8289,1.848,1.6167,940135.0,0.0,1.0
2015-01-27,1.8767,1.9438,1.8767,1.8863,1.6502,12873.0,0.0,1.0
2015-01-28,1.8959,1.9342,1.8863,1.9055,1.6669,111603.0,0.0,1.0
2015-01-29,1.9342,2.0108,1.9246,1.9438,1.7004,81628.0,0.0,1.0
2015-01-30,1.9629,2.0012,1.9629,1.9629,1.7172,68176.0,0.0,1.0
2015-02-02,1.9821,2.1544,1.9821,2.0587,1.801,317995.0,0.0,1.0
2015-02-03,2.1065,2.1065,2.0874,2.097,1.8345,92180.0,0.0,1.0
2015-02-04,2.097,2.1544,2.0874,2.1448,1.8763,101794.0,0.0,1.0
2015-02-05,2.1544,2.1831,2.1544,2.1736,1.9015,105513.0,0.0,1.0
2015-02-06,2.2023,2.231,2.1736,2.2023,1.9266,53805.0,0.0,1.0
2015-02-09,2.2214,2.2502,2.1544,2.1927,1.9182,96139.0,0.0,1.0
2015-02-10,2.1831,2.1831,2.1544,2.1831,1.9098,3034.0,0.0,1.0
2015-02-11,2.164,2.2023,2.1544,2.1544,1.8847,110815.0,0.0,1.0
2015-02-12,2.1544,2.1544,2.1448,2.1544,1.8847,78848.0,0.0,1.0
2015-02-13,2.1544,2.164,2.1544,2.1544,1.8847,25921.0,0.0,1.0
2015-02-16,2.1544,2.1544,2.1161,2.1161,1.8512,8472.0,0.0,1.0
2015-02-17,2.1544,2.1544,2.1448,2.1448,1.8763,10227.0,0.0,1.0
2015-02-18,2.1353,2.1448,2.1161,2.1448,1.8763,14515.0,0.0,1.0
