date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-12-18,1.16,1.255,1.13,1.22,0.9739,45996938.0,0.0,1.0
2013-12-19,1.24,1.255,1.22,1.22,0.9739,22012035.0,0.0,1.0
2013-12-20,1.235,1.28,1.2,1.2,0.958,31584877.0,0.0,1.0
2013-12-23,1.2,1.24,1.18,1.24,0.9899,6694644.0,0.0,1.0
2013-12-24,1.26,1.27,1.205,1.235,0.9859,3370165.0,0.0,1.0
2013-12-27,1.235,1.235,1.18,1.2,0.958,5529086.0,0.0,1.0
2013-12-30,1.18,1.2,1.15,1.15,0.9181,14038605.0,0.0,1.0
2013-12-31,1.15,1.165,1.12,1.16,0.926,26633297.0,0.0,1.0
2014-01-02,1.16,1.205,1.16,1.18,0.942,11281533.0,0.0,1.0
2014-01-03,1.165,1.185,1.165,1.17,0.934,25767139.0,0.0,1.0
2014-01-06,1.15,1.16,1.117,1.13,0.9021,27102027.0,0.0,1.0
2014-01-07,1.13,1.155,1.115,1.145,0.9141,37240927.0,0.0,1.0
2014-01-08,1.145,1.175,1.14,1.17,0.934,27944013.0,0.0,1.0
2014-01-09,1.18,1.305,1.18,1.27,1.0139,37934612.0,0.0,1.0
2014-01-10,1.25,1.29,1.245,1.27,1.0139,20098274.0,0.0,1.0
2014-01-13,1.24,1.26,1.23,1.24,0.9899,10321272.0,0.0,1.0
2014-01-14,1.22,1.28,1.21,1.245,0.9939,14465706.0,0.0,1.0
2014-01-15,1.26,1.2675,1.24,1.255,1.0019,14244395.0,0.0,1.0
2014-01-16,1.255,1.3375,1.25,1.32,1.0538,9986652.0,0.0,1.0
2014-01-17,1.32,1.395,1.305,1.38,1.1017,7102042.0,0.0,1.0
2014-01-20,1.35,1.42,1.335,1.34,1.0697,6934826.0,0.0,1.0
2014-01-21,1.34,1.39,1.31,1.37,1.0937,10437561.0,0.0,1.0
2014-01-22,1.38,1.39,1.35,1.35,1.0777,9036885.0,0.0,1.0
2014-01-23,1.33,1.35,1.33,1.34,1.0697,11586367.0,0.0,1.0
2014-01-24,1.33,1.3875,1.33,1.34,1.0697,9797857.0,0.0,1.0
2014-01-28,1.3,1.345,1.295,1.305,1.0418,8456318.0,0.0,1.0
2014-01-29,1.335,1.345,1.32,1.32,1.0538,13471624.0,0.0,1.0
2014-01-30,1.325,1.33,1.305,1.31,1.0458,11984211.0,0.0,1.0
2014-01-31,1.3,1.32,1.28,1.28,1.0218,9321770.0,0.0,1.0
2014-02-03,1.28,1.305,1.28,1.29,1.0298,7726834.0,0.0,1.0
2014-02-04,1.26,1.275,1.25,1.26,1.0059,5006878.0,0.0,1.0
2014-02-05,1.265,1.285,1.24,1.245,0.9939,10082174.0,0.0,1.0
2014-02-06,1.24,1.26,1.235,1.255,1.0019,9283930.0,0.0,1.0
2014-02-07,1.25,1.26,1.24,1.26,1.0059,5160127.0,0.0,1.0
2014-02-10,1.26,1.29,1.255,1.265,1.0099,3882167.0,0.0,1.0
2014-02-11,1.265,1.31,1.265,1.31,1.0458,10400379.0,0.0,1.0
2014-02-12,1.345,1.355,1.31,1.345,1.0737,10319020.0,0.0,1.0
2014-02-13,1.355,1.375,1.34,1.35,1.0777,5882333.0,0.0,1.0
2014-02-14,1.33,1.3625,1.33,1.35,1.0777,6546132.0,0.0,1.0
2014-02-17,1.36,1.37,1.345,1.35,1.0777,10446751.0,0.0,1.0
2014-02-18,1.35,1.365,1.34,1.35,1.0777,10467867.0,0.0,1.0
2014-02-19,1.34,1.355,1.302,1.325,1.0578,21669102.0,0.0,1.0
2014-02-20,1.34,1.365,1.315,1.365,1.0897,23856455.0,0.0,1.0
2014-02-21,1.36,1.365,1.302,1.31,1.0458,7009535.0,0.0,1.0
2014-02-24,1.33,1.35,1.315,1.35,1.0777,7210616.0,0.0,1.0
2014-02-25,1.33,1.34,1.302,1.305,1.0655,6475560.0,0.0,1.0
2014-02-26,1.29,1.307,1.287,1.3,1.0614,10505391.0,0.0,1.0
2014-02-27,1.29,1.29,1.27,1.28,1.0451,14655908.0,0.0,1.0
2014-02-28,1.28,1.29,1.242,1.28,1.0451,12250800.0,0.0,1.0
2014-03-03,1.275,1.295,1.27,1.285,1.0491,6582350.0,0.0,1.0
2014-03-04,1.285,1.29,1.27,1.285,1.0491,5347545.0,0.0,1.0
2014-03-05,1.295,1.305,1.29,1.3,1.0614,9197008.0,0.0,1.0
2014-03-06,1.32,1.33,1.295,1.305,1.0655,4848982.0,0.0,1.0
2014-03-07,1.305,1.305,1.292,1.295,1.0573,2527515.0,0.0,1.0
2014-03-10,1.3,1.335,1.3,1.315,1.0736,4971506.0,0.0,1.0
2014-03-11,1.33,1.335,1.325,1.33,1.0859,5375897.0,0.0,1.0
2014-03-12,1.335,1.335,1.315,1.32,1.0777,7504834.0,0.0,1.0
2014-03-13,1.34,1.3475,1.33,1.34,1.0941,8308844.0,0.0,1.0
