date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-12-04,0.266,0.2755,0.2375,0.2375,0.2375,1382969.0,0.0,1.0
2007-12-05,0.2327,0.2375,0.228,0.228,0.228,580057.0,0.0,1.0
2007-12-06,0.2375,0.2375,0.228,0.2375,0.2375,755936.0,0.0,1.0
2007-12-07,0.2375,0.2422,0.228,0.2327,0.2327,608006.0,0.0,1.0
2007-12-10,0.2375,0.2375,0.2185,0.2185,0.2185,210778.0,0.0,1.0
2007-12-11,0.228,0.228,0.228,0.228,0.228,25212.0,0.0,1.0
2007-12-12,0.228,0.228,0.228,0.228,0.228,0.0,0.0,1.0
2007-12-13,0.228,0.228,0.228,0.228,0.228,324242.0,0.0,1.0
2007-12-14,0.228,0.228,0.2185,0.2185,0.2185,431283.0,0.0,1.0
2007-12-17,0.2185,0.2185,0.2185,0.2185,0.2185,26318.0,0.0,1.0
2007-12-18,0.2185,0.2185,0.209,0.209,0.209,146120.0,0.0,1.0
2007-12-19,0.19,0.209,0.19,0.19,0.19,189304.0,0.0,1.0
2007-12-20,0.1995,0.2375,0.1995,0.2375,0.2375,46531.0,0.0,1.0
2007-12-21,0.2232,0.2232,0.2185,0.2185,0.2185,68428.0,0.0,1.0
2007-12-24,0.2291,0.2291,0.2191,0.2191,0.2191,0.0,0.0,1.0
2007-12-27,0.2185,0.2185,0.2185,0.2185,0.2185,10527.0,0.0,1.0
2007-12-28,0.2185,0.247,0.2185,0.247,0.247,57648.0,0.0,1.0
2007-12-31,0.247,0.247,0.2375,0.247,0.247,75797.0,0.0,1.0
2008-01-02,0.2327,0.2327,0.228,0.228,0.228,84219.0,0.0,1.0
2008-01-03,0.228,0.228,0.228,0.228,0.228,0.0,0.0,1.0
2008-01-04,0.247,0.247,0.247,0.247,0.247,21055.0,0.0,1.0
2008-01-07,0.247,0.2517,0.2375,0.2375,0.2375,126328.0,0.0,1.0
2008-01-08,0.2375,0.2422,0.2375,0.2422,0.2422,39478.0,0.0,1.0
2008-01-09,0.254,0.254,0.244,0.244,0.244,0.0,0.0,1.0
2008-01-10,0.2422,0.2422,0.2422,0.2422,0.2422,35793.0,0.0,1.0
2008-01-11,0.2422,0.2422,0.2327,0.2327,0.2327,73316.0,0.0,1.0
2008-01-14,0.2327,0.2327,0.2327,0.2327,0.2327,376.0,0.0,1.0
2008-01-15,0.2375,0.2375,0.2375,0.2375,0.2375,22529.0,0.0,1.0
2008-01-16,0.2375,0.2375,0.2185,0.2185,0.2185,90386.0,0.0,1.0
2008-01-17,0.2185,0.2185,0.2185,0.2185,0.2185,0.0,0.0,1.0
2008-01-18,0.2185,0.228,0.2137,0.2137,0.2137,120012.0,0.0,1.0
2008-01-21,0.209,0.209,0.1995,0.1995,0.1995,82640.0,0.0,1.0
2008-01-22,0.19,0.19,0.19,0.19,0.19,26318.0,0.0,1.0
2008-01-23,0.19,0.19,0.19,0.19,0.19,52637.0,0.0,1.0
2008-01-24,0.1947,0.1995,0.1947,0.1995,0.1995,141382.0,0.0,1.0
2008-01-25,0.1995,0.1995,0.1995,0.1995,0.1995,41404.0,0.0,1.0
2008-01-29,0.1995,0.1995,0.1995,0.1995,0.1995,8811.0,0.0,1.0
2008-01-30,0.1995,0.1995,0.1995,0.1995,0.1995,38562.0,0.0,1.0
2008-01-31,0.2091,0.2091,0.2042,0.2042,0.2042,0.0,0.0,1.0
2008-02-01,0.2091,0.2091,0.2042,0.2042,0.2042,0.0,0.0,1.0
2008-02-04,0.2091,0.2091,0.2042,0.2042,0.2042,0.0,0.0,1.0
2008-02-05,0.2091,0.2091,0.2042,0.2042,0.2042,0.0,0.0,1.0
2008-02-06,0.2091,0.2091,0.2042,0.2042,0.2042,0.0,0.0,1.0
2008-02-07,0.1995,0.1995,0.1995,0.1995,0.1995,10527.0,0.0,1.0
2008-02-08,0.1947,0.1947,0.19,0.19,0.19,31582.0,0.0,1.0
2008-02-11,0.19,0.19,0.19,0.19,0.19,9864.0,0.0,1.0
2008-02-12,0.19,0.19,0.1805,0.1805,0.1805,40667.0,0.0,1.0
2008-02-13,0.1805,0.1852,0.1805,0.1852,0.1852,28424.0,0.0,1.0
2008-02-14,0.1805,0.1805,0.1805,0.1805,0.1805,10527.0,0.0,1.0
2008-02-15,0.1805,0.1805,0.1805,0.1805,0.1805,0.0,0.0,1.0
2008-02-18,0.1805,0.1805,0.1805,0.1805,0.1805,0.0,0.0,1.0
2008-02-19,0.1805,0.1805,0.1805,0.1805,0.1805,0.0,0.0,1.0
2008-02-20,0.1805,0.1805,0.1805,0.1805,0.1805,0.0,0.0,1.0
2008-02-21,0.1805,0.1805,0.1805,0.1805,0.1805,0.0,0.0,1.0
2008-02-22,0.1805,0.1805,0.1805,0.1805,0.1805,0.0,0.0,1.0
2008-02-25,0.171,0.171,0.171,0.171,0.171,7624.0,0.0,1.0
2008-02-26,0.171,0.171,0.1615,0.1615,0.1615,189492.0,0.0,1.0
2008-02-27,0.1805,0.1805,0.1805,0.1805,0.1805,24213.0,0.0,1.0
2008-02-28,0.1805,0.1805,0.171,0.171,0.171,24213.0,0.0,1.0
2008-02-29,0.1805,0.1947,0.1805,0.1947,0.1947,150931.0,0.0,1.0
2008-03-03,0.1805,0.1805,0.1805,0.1805,0.1805,52637.0,0.0,1.0
2008-03-04,0.1757,0.1757,0.1425,0.1425,0.1425,263184.0,0.0,1.0
2008-03-05,0.152,0.152,0.1472,0.1472,0.1472,52637.0,0.0,1.0
2008-03-06,0.1615,0.1615,0.1615,0.1615,0.1615,84219.0,0.0,1.0
2008-03-07,0.1615,0.1615,0.1615,0.1615,0.1615,21055.0,0.0,1.0
2008-03-10,0.1615,0.1615,0.1615,0.1615,0.1615,0.0,0.0,1.0
2008-03-11,0.1615,0.1615,0.1615,0.1615,0.1615,0.0,0.0,1.0
2008-03-12,0.1805,0.1805,0.1805,0.1805,0.1805,105274.0,0.0,1.0
2008-03-13,0.1805,0.1805,0.1805,0.1805,0.1805,0.0,0.0,1.0
2008-03-14,0.1805,0.1805,0.1805,0.1805,0.1805,0.0,0.0,1.0
2008-03-17,0.1805,0.1805,0.1805,0.1805,0.1805,0.0,0.0,1.0
2008-03-18,0.1615,0.1615,0.1615,0.1615,0.1615,131592.0,0.0,1.0
2008-03-19,0.1472,0.1472,0.1472,0.1472,0.1472,16844.0,0.0,1.0
2008-03-20,0.152,0.1615,0.152,0.1615,0.1615,63164.0,0.0,1.0
2008-03-25,0.1472,0.1472,0.1472,0.1472,0.1472,63164.0,0.0,1.0
2008-03-26,0.1472,0.1472,0.1472,0.1472,0.1472,42109.0,0.0,1.0
2008-03-27,0.1472,0.1472,0.1472,0.1472,0.1472,63164.0,0.0,1.0
2008-03-28,0.1472,0.1472,0.1472,0.1472,0.1472,0.0,0.0,1.0
2008-03-31,0.1472,0.152,0.1472,0.1472,0.1472,72849.0,0.0,1.0
2008-04-01,0.1472,0.1472,0.1472,0.1472,0.1472,0.0,0.0,1.0
2008-04-02,0.1472,0.1472,0.1425,0.1425,0.1425,38214.0,0.0,1.0
2008-04-03,0.1425,0.1425,0.133,0.133,0.133,386880.0,0.0,1.0
2008-04-04,0.133,0.133,0.133,0.133,0.133,26318.0,0.0,1.0
2008-04-07,0.133,0.133,0.133,0.133,0.133,0.0,0.0,1.0
2008-04-08,0.133,0.133,0.133,0.133,0.133,105274.0,0.0,1.0
2008-04-09,0.133,0.133,0.1235,0.1235,0.1235,121065.0,0.0,1.0
2008-04-10,0.133,0.1425,0.133,0.1425,0.1425,439517.0,0.0,1.0
2008-04-11,0.1615,0.1615,0.1615,0.1615,0.1615,126328.0,0.0,1.0
2008-04-14,0.1662,0.1662,0.1615,0.1615,0.1615,148706.0,0.0,1.0
2008-04-15,0.1425,0.1425,0.1425,0.1425,0.1425,94746.0,0.0,1.0
2008-04-16,0.1593,0.1593,0.1394,0.1394,0.1394,0.0,0.0,1.0
2008-04-17,0.1425,0.1425,0.133,0.1425,0.1425,144225.0,0.0,1.0
2008-04-18,0.1425,0.1662,0.1425,0.1662,0.1662,385301.0,0.0,1.0
2008-04-21,0.1662,0.1995,0.1662,0.1995,0.1995,140167.0,0.0,1.0
2008-04-22,0.1995,0.1995,0.1995,0.1995,0.1995,0.0,0.0,1.0
2008-04-23,0.2185,0.2375,0.2185,0.2327,0.2327,213284.0,0.0,1.0
2008-04-24,0.2327,0.2327,0.228,0.228,0.228,42109.0,0.0,1.0
2008-04-28,0.209,0.2232,0.1947,0.1947,0.1947,98957.0,0.0,1.0
2008-04-29,0.1947,0.1947,0.19,0.19,0.19,105646.0,0.0,1.0
2008-04-30,0.19,0.1947,0.171,0.1947,0.1947,116481.0,0.0,1.0
2008-05-01,0.1947,0.1947,0.1947,0.1947,0.1947,5264.0,0.0,1.0
2008-05-02,0.1947,0.1947,0.1947,0.1947,0.1947,0.0,0.0,1.0
2008-05-05,0.2042,0.2327,0.2042,0.2327,0.2327,191686.0,0.0,1.0
2008-05-06,0.2327,0.2945,0.2327,0.266,0.266,563641.0,0.0,1.0
2008-05-07,0.2755,0.2802,0.266,0.2802,0.2802,143667.0,0.0,1.0
2008-05-08,0.2612,0.266,0.2422,0.2517,0.2517,54995.0,0.0,1.0
2008-05-09,0.266,0.266,0.2612,0.2612,0.2612,53808.0,0.0,1.0
2008-05-12,0.247,0.247,0.2375,0.2375,0.2375,105459.0,0.0,1.0
2008-05-13,0.2422,0.2422,0.2327,0.2327,0.2327,112521.0,0.0,1.0
2008-05-14,0.2375,0.2422,0.2327,0.2375,0.2375,140305.0,0.0,1.0
2008-05-15,0.2422,0.2422,0.2375,0.2422,0.2422,97904.0,0.0,1.0
2008-05-16,0.2232,0.2232,0.2185,0.2185,0.2185,50367.0,0.0,1.0
2008-05-19,0.2185,0.2185,0.2185,0.2185,0.2185,7053.0,0.0,1.0
2008-05-20,0.2185,0.2185,0.2185,0.2185,0.2185,0.0,0.0,1.0
2008-05-21,0.2185,0.2185,0.2185,0.2185,0.2185,3158.0,0.0,1.0
2008-05-22,0.2327,0.2327,0.2327,0.2327,0.2327,6316.0,0.0,1.0
2008-05-23,0.2327,0.2327,0.2327,0.2327,0.2327,21055.0,0.0,1.0
2008-05-26,0.244,0.244,0.2291,0.2291,0.2291,0.0,0.0,1.0
2008-05-27,0.2232,0.2232,0.2185,0.2185,0.2185,34168.0,0.0,1.0
2008-05-28,0.244,0.244,0.2091,0.2091,0.2091,0.0,0.0,1.0
2008-05-29,0.244,0.244,0.2091,0.2091,0.2091,0.0,0.0,1.0
2008-05-30,0.2185,0.228,0.2185,0.228,0.228,24213.0,0.0,1.0
2008-06-02,0.228,0.228,0.228,0.228,0.228,2105.0,0.0,1.0
2008-06-03,0.228,0.228,0.228,0.228,0.228,16844.0,0.0,1.0
2008-06-04,0.2327,0.2327,0.2185,0.2185,0.2185,89798.0,0.0,1.0
2008-06-05,0.2185,0.2185,0.2185,0.2185,0.2185,7896.0,0.0,1.0
2008-06-06,0.1995,0.1995,0.1995,0.1995,0.1995,2632.0,0.0,1.0
2008-06-10,0.209,0.228,0.209,0.228,0.228,49479.0,0.0,1.0
2008-06-11,0.2232,0.2232,0.1995,0.1995,0.1995,214232.0,0.0,1.0
2008-06-12,0.1995,0.2232,0.1995,0.2232,0.2232,31582.0,0.0,1.0
2008-06-13,0.1995,0.2042,0.1995,0.2042,0.2042,40004.0,0.0,1.0
2008-06-16,0.209,0.228,0.209,0.228,0.228,230069.0,0.0,1.0
2008-06-17,0.2185,0.2185,0.2137,0.2185,0.2185,155232.0,0.0,1.0
2008-06-18,0.2241,0.2241,0.2091,0.2091,0.2091,0.0,0.0,1.0
2008-06-19,0.2185,0.3135,0.2185,0.2565,0.2565,1571096.0,0.0,1.0
2008-06-20,0.266,0.266,0.266,0.266,0.266,374473.0,0.0,1.0
2008-06-23,0.2517,0.3135,0.2517,0.3135,0.3135,629270.0,0.0,1.0
2008-06-24,0.342,0.3705,0.3325,0.361,0.361,1321183.0,0.0,1.0
2008-06-25,0.3562,0.3562,0.3325,0.3325,0.3325,222653.0,0.0,1.0
2008-06-26,0.3515,0.38,0.3467,0.361,0.361,375058.0,0.0,1.0
2008-06-27,0.3705,0.4085,0.361,0.399,0.399,551638.0,0.0,1.0
