date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,1.1687,1.1737,1.1588,1.1638,0.6138,3796103.0,0.0,1.0
2000-01-05,1.1539,1.1588,1.1489,1.1588,0.6112,3074384.0,0.0,1.0
2000-01-06,1.1638,1.1638,1.1489,1.1539,0.6086,4970560.0,0.0,1.0
2000-01-07,1.1588,1.1742,1.1588,1.1742,0.6193,2506770.0,0.0,1.0
2000-01-10,1.1786,1.1935,1.1737,1.1885,0.6269,3492926.0,0.0,1.0
2000-01-11,1.1935,1.2034,1.1935,1.1935,0.6295,9480756.0,0.0,1.0
2000-01-12,1.1885,1.2034,1.1885,1.1935,0.6295,9106831.0,0.0,1.0
2000-01-13,1.1638,1.1737,1.1638,1.1737,0.6191,4762500.0,0.0,1.0
2000-01-14,1.1786,1.1984,1.1737,1.1984,0.6321,5849002.0,0.0,1.0
2000-01-17,1.1885,1.2083,1.1885,1.2083,0.6374,6340430.0,0.0,1.0
2000-01-18,1.2083,1.2182,1.2083,1.2133,0.64,7371114.0,0.0,1.0
2000-01-19,1.2083,1.2083,1.1885,1.1935,0.6295,14017438.0,0.0,1.0
2000-01-20,1.1885,1.2133,1.1885,1.2133,0.64,7949580.0,0.0,1.0
2000-01-21,1.2083,1.238,1.2083,1.2182,0.6426,3961414.0,0.0,1.0
2000-01-24,1.2133,1.2281,1.2133,1.2133,0.64,3783797.0,0.0,1.0
2000-01-25,1.1979,1.2133,1.1979,1.2049,0.6355,7318454.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,1.2034,1.2182,1.1836,1.1885,0.6269,3456788.0,0.0,1.0
2000-01-28,1.1885,1.2034,1.1885,1.1984,0.6321,3105782.0,0.0,1.0
2000-01-31,1.1836,1.1885,1.1737,1.1786,0.6217,2826414.0,0.0,1.0
2000-02-01,1.1786,1.1836,1.1687,1.1836,0.6243,5203735.0,0.0,1.0
2000-02-02,1.1737,1.1737,1.1539,1.1638,0.6138,5179836.0,0.0,1.0
2000-02-03,1.1638,1.1638,1.1341,1.1489,0.606,8224864.0,0.0,1.0
2000-02-04,1.144,1.144,1.1192,1.1291,0.5956,4558242.0,0.0,1.0
2000-02-07,1.1192,1.1192,1.1043,1.1043,0.5825,2717982.0,0.0,1.0
2000-02-08,1.0895,1.0895,1.0598,1.0746,0.5668,8031970.0,0.0,1.0
2000-02-09,1.0697,1.0746,1.0449,1.0548,0.5564,7019411.0,0.0,1.0
2000-02-10,1.0499,1.0548,1.0251,1.0548,0.5564,15273416.0,0.0,1.0
2000-02-11,1.0449,1.0647,1.0449,1.0598,0.559,6914572.0,0.0,1.0
2000-02-14,1.0499,1.0548,1.035,1.0449,0.5512,7395772.0,0.0,1.0
2000-02-15,1.035,1.0548,1.0201,1.0399,0.5485,12832936.0,0.0,1.0
2000-02-16,1.035,1.0399,1.0053,1.0053,0.5303,10167618.0,0.0,1.0
2000-02-17,0.9954,0.9954,0.9706,0.9706,0.512,10408118.0,0.0,1.0
2000-02-18,0.9904,1.0053,0.9805,1.0053,0.5303,11486739.0,0.0,1.0
2000-02-21,1.3206,1.3619,1.2381,1.2711,0.6705,922231.0,0.0,1.0
2000-02-22,1.2711,1.2711,1.2381,1.2546,0.6617,1673650.0,0.0,1.0
2000-02-23,1.2381,1.2381,1.0895,1.1225,0.5921,2591918.0,0.0,1.0
2000-02-24,1.1473,1.1473,1.007,1.007,0.5311,2162161.0,0.0,1.0
2000-02-25,1.007,1.04,0.9244,1.0152,0.5355,8655239.0,0.0,1.0
2000-02-28,1.002,1.0317,0.9739,1.007,0.5311,1227741.0,0.0,1.0
2000-02-29,1.0152,1.0309,0.9822,1.0309,0.5438,1419200.0,0.0,1.0
2000-03-01,1.0276,1.073,1.0152,1.0565,0.5573,592443.0,0.0,1.0
2000-03-02,1.0573,1.0573,0.9492,1.007,0.5311,400063.0,0.0,1.0
2000-03-03,1.007,1.0482,0.9492,0.9739,0.5137,4321158.0,0.0,1.0
2000-03-06,0.9574,0.9657,0.8667,0.9657,0.5094,598338.0,0.0,1.0
2000-03-07,0.9327,0.9327,0.8749,0.8831,0.4658,1567134.0,0.0,1.0
2000-03-08,0.8831,0.9327,0.8584,0.9327,0.492,420168.0,0.0,1.0
2000-03-09,0.9905,1.0978,0.9739,1.0482,0.5529,1682433.0,0.0,1.0
2000-03-10,1.0565,1.0565,1.0317,1.0317,0.5442,3216812.0,0.0,1.0
2000-03-13,1.04,1.1143,1.0317,1.0812,0.5703,522973.0,0.0,1.0
2000-03-14,1.073,1.0978,1.04,1.073,0.566,601680.0,0.0,1.0
2000-03-15,1.0565,1.0895,1.0317,1.0317,0.5442,1277672.0,0.0,1.0
2000-03-16,1.04,1.0565,1.0317,1.04,0.5486,1954386.0,0.0,1.0
2000-03-17,1.0482,1.073,1.0317,1.0317,0.5442,2588692.0,0.0,1.0
2000-03-20,1.0317,1.0565,1.007,1.0317,0.5442,3499918.0,0.0,1.0
2000-03-21,1.04,1.1803,1.04,1.0812,0.5703,5289874.0,0.0,1.0
2000-03-22,1.139,1.139,1.0812,1.1143,0.5877,1762843.0,0.0,1.0
2000-03-23,1.1308,1.1308,1.0895,1.0895,0.5747,2143514.0,0.0,1.0
2000-03-24,1.0978,1.1638,1.0895,1.1555,0.6095,15097998.0,0.0,1.0
2000-03-27,1.1885,1.2628,1.1885,1.2628,0.6661,8005367.0,0.0,1.0
2000-03-28,1.3784,1.4362,1.3289,1.3371,0.7053,5883376.0,0.0,1.0
2000-03-29,1.3371,1.3454,1.2711,1.2793,0.6748,2503683.0,0.0,1.0
2000-03-30,1.3123,1.3206,1.2546,1.2628,0.6661,1756015.0,0.0,1.0
2000-03-31,1.2455,1.2463,1.1803,1.1803,0.6226,3005191.0,0.0,1.0
2000-04-03,1.1885,1.2381,1.1885,1.2298,0.6487,1462337.0,0.0,1.0
2000-04-04,1.2513,1.2546,1.1555,1.1654,0.6147,2783257.0,0.0,1.0
2000-04-05,1.1811,1.1885,1.1308,1.1308,0.5964,971073.0,0.0,1.0
2000-04-06,1.1555,1.205,1.1225,1.1555,0.6095,1067974.0,0.0,1.0
2000-04-07,1.172,1.1968,1.0978,1.12,0.5908,1439991.0,0.0,1.0
2000-04-10,1.1225,1.139,1.106,1.1143,0.5877,1075659.0,0.0,1.0
2000-04-11,1.1143,1.1143,1.073,1.073,0.566,1214069.0,0.0,1.0
2000-04-12,1.0812,1.0978,1.0317,1.0978,0.579,1792583.0,0.0,1.0
2000-04-13,1.1143,1.1885,1.1143,1.172,0.6182,3373139.0,0.0,1.0
2000-04-14,1.1498,1.1555,1.0812,1.0978,0.579,1674162.0,0.0,1.0
2000-04-17,0.9954,1.0565,0.9905,0.9905,0.5224,1763674.0,0.0,1.0
2000-04-18,1.0482,1.1225,1.04,1.1225,0.5921,1294049.0,0.0,1.0
2000-04-19,1.1506,1.1638,1.0565,1.0565,0.5573,1879113.0,0.0,1.0
2000-04-20,1.0565,1.0895,1.0235,1.0895,0.5747,1444488.0,0.0,1.0
2000-04-21,1.0895,1.0895,1.0895,1.0895,0.5747,0.0,0.0,1.0
2000-04-24,1.0895,1.0895,1.0895,1.0895,0.5747,0.0,0.0,1.0
2000-04-25,1.0895,1.0895,1.0895,1.0895,0.5747,0.0,0.0,1.0
2000-04-26,1.1143,1.139,1.0565,1.073,0.566,893415.0,0.0,1.0
2000-04-27,1.073,1.073,1.0482,1.0647,0.5616,833095.0,0.0,1.0
2000-04-28,1.073,1.073,1.0565,1.0565,0.5573,1992042.0,0.0,1.0
2000-05-01,1.0482,1.073,1.0482,1.0565,0.5573,1066266.0,0.0,1.0
2000-05-02,1.0647,1.0647,1.0482,1.0565,0.5573,1864564.0,0.0,1.0
2000-05-03,1.0565,1.1225,1.0482,1.0978,0.579,3550997.0,0.0,1.0
2000-05-04,1.0812,1.1225,1.0812,1.1143,0.5877,3942298.0,0.0,1.0
2000-05-05,1.1308,1.139,1.0895,1.106,0.5834,2508432.0,0.0,1.0
2000-05-08,1.1225,1.1308,1.106,1.1225,0.5921,2504372.0,0.0,1.0
2000-05-09,1.1308,1.139,1.1225,1.1291,0.5956,1381239.0,0.0,1.0
2000-05-10,1.139,1.1555,1.0895,1.106,0.5834,1758590.0,0.0,1.0
2000-05-11,1.0812,1.1143,1.0565,1.1143,0.5877,3636345.0,0.0,1.0
2000-05-12,1.1225,1.139,1.106,1.1308,0.5964,414880.0,0.0,1.0
2000-05-15,1.1143,1.1308,1.0647,1.1143,0.5877,1663201.0,0.0,1.0
2000-05-16,1.1225,1.139,1.073,1.1308,0.5964,3695454.0,0.0,1.0
2000-05-17,1.139,1.1555,1.0895,1.1225,0.5921,2425926.0,0.0,1.0
2000-05-18,1.1052,1.1225,1.0895,1.1143,0.5877,1165228.0,0.0,1.0
2000-05-19,1.1225,1.1225,1.0978,1.0978,0.579,668259.0,0.0,1.0
2000-05-22,1.0978,1.1143,1.0895,1.106,0.5834,1004911.0,0.0,1.0
2000-05-23,1.106,1.1143,1.0978,1.106,0.5834,2313643.0,0.0,1.0
2000-05-24,1.106,1.106,1.0812,1.0895,0.5747,1401358.0,0.0,1.0
2000-05-25,1.0978,1.106,1.0647,1.073,0.566,2362463.0,0.0,1.0
2000-05-26,1.0565,1.073,1.007,1.0317,0.5442,6010476.0,0.0,1.0
2000-05-29,1.04,1.073,1.0235,1.073,0.566,1211721.0,0.0,1.0
2000-05-30,1.073,1.0895,1.0482,1.0895,0.5747,1043421.0,0.0,1.0
2000-05-31,1.0895,1.1555,1.0812,1.139,0.6008,5320513.0,0.0,1.0
2000-06-01,1.1555,1.2298,1.1473,1.2298,0.6487,9379135.0,0.0,1.0
2000-06-02,1.2793,1.2876,1.2463,1.2546,0.6617,4366297.0,0.0,1.0
2000-06-05,1.2628,1.2628,1.2381,1.2381,0.653,3475647.0,0.0,1.0
2000-06-06,1.2133,1.2298,1.1638,1.205,0.6356,1131058.0,0.0,1.0
2000-06-07,1.205,1.2216,1.1968,1.2133,0.64,1398813.0,0.0,1.0
2000-06-08,1.2298,1.2546,1.2216,1.2381,0.653,587674.0,0.0,1.0
2000-06-09,1.2546,1.2711,1.2298,1.2546,0.6617,1015495.0,0.0,1.0
2000-06-12,1.2546,1.2546,1.2546,1.2546,0.6617,0.0,0.0,1.0
2000-06-13,1.2381,1.2381,1.205,1.2216,0.6443,849070.0,0.0,1.0
2000-06-14,1.2125,1.2628,1.205,1.2546,0.6617,1135234.0,0.0,1.0
2000-06-15,1.2381,1.2711,1.2381,1.2628,0.6661,4793737.0,0.0,1.0
2000-06-16,1.2546,1.2876,1.2463,1.2711,0.6705,978996.0,0.0,1.0
2000-06-19,1.2711,1.2711,1.2546,1.2628,0.6661,2590716.0,0.0,1.0
2000-06-20,1.2628,1.2793,1.2628,1.2711,0.6705,1421134.0,0.0,1.0
2000-06-21,1.2628,1.3536,1.2628,1.3206,0.6966,3307908.0,0.0,1.0
2000-06-22,1.3041,1.3536,1.2958,1.3536,0.714,1474593.0,0.0,1.0
2000-06-23,1.3289,1.3454,1.2876,1.3206,0.6966,1170445.0,0.0,1.0
2000-06-26,1.2793,1.3041,1.2793,1.2958,0.6835,1185380.0,0.0,1.0
2000-06-27,1.2876,1.3289,1.2876,1.3206,0.6966,2003444.0,0.0,1.0
2000-06-28,1.3041,1.3371,1.3041,1.3289,0.7009,2097271.0,0.0,1.0
2000-06-29,1.3206,1.3454,1.3206,1.3454,0.7096,4966665.0,0.0,1.0
2000-06-30,1.3379,1.3454,1.3123,1.3289,0.7009,5063926.0,0.0,1.0
2000-07-03,1.3371,1.3454,1.3289,1.3454,0.7096,1882352.0,0.0,1.0
2000-07-04,1.3536,1.3619,1.3206,1.3454,0.7096,967894.0,0.0,1.0
2000-07-05,1.3454,1.3536,1.3206,1.3454,0.7096,1726415.0,0.0,1.0
2000-07-06,1.3371,1.4031,1.3289,1.3701,0.7227,1304150.0,0.0,1.0
2000-07-07,1.3619,1.4031,1.3619,1.3693,0.7223,561797.0,0.0,1.0
2000-07-10,1.3784,1.3949,1.3701,1.3784,0.727,981157.0,0.0,1.0
2000-07-11,1.3866,1.4114,1.3784,1.3784,0.727,1001961.0,0.0,1.0
2000-07-12,1.3866,1.3949,1.3701,1.3949,0.7358,3334677.0,0.0,1.0
2000-07-13,1.3949,1.4362,1.3949,1.4362,0.7575,765209.0,0.0,1.0
2000-07-14,1.4444,1.4692,1.4279,1.4609,0.7706,1145906.0,0.0,1.0
2000-07-17,1.4362,1.4609,1.4197,1.4444,0.7619,890349.0,0.0,1.0
2000-07-18,1.4362,1.4444,1.3619,1.3701,0.7227,3019806.0,0.0,1.0
2000-07-19,1.3619,1.3949,1.3536,1.3784,0.727,682971.0,0.0,1.0
