date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,7.4458,7.5003,7.4368,7.4458,3.3451,453035.0,0.0,1.0
2000-01-05,7.4368,7.4368,7.2824,7.2824,3.2717,443777.0,0.0,1.0
2000-01-06,7.2933,7.3641,7.2933,7.3278,3.2921,432629.0,0.0,1.0
2000-01-07,7.355,7.3823,7.3006,7.3096,3.2839,462380.0,0.0,1.0
2000-01-10,7.4004,7.4549,7.355,7.4549,3.3492,205835.0,0.0,1.0
2000-01-11,7.4549,7.4549,7.2642,7.2733,3.2676,599881.0,0.0,1.0
2000-01-12,7.2642,7.355,7.2642,7.2824,3.2717,607807.0,0.0,1.0
2000-01-13,7.3096,7.355,7.2733,7.355,3.3043,161615.0,0.0,1.0
2000-01-14,7.3096,7.3278,7.2733,7.2851,3.2729,385233.0,0.0,1.0
2000-01-17,7.2951,7.355,7.2642,7.2642,3.2635,432958.0,0.0,1.0
2000-01-18,7.2642,7.2824,7.2461,7.2552,3.2595,585989.0,0.0,1.0
2000-01-19,7.2552,7.2552,7.1916,7.2097,3.2391,940772.0,0.0,1.0
2000-01-20,7.2188,7.2824,7.1916,7.2461,3.2554,1154840.0,0.0,1.0
2000-01-21,7.2188,7.2188,7.1734,7.1916,3.2309,920044.0,0.0,1.0
2000-01-24,7.1916,7.2188,7.1734,7.1734,3.2227,1067017.0,0.0,1.0
2000-01-25,7.1734,7.2007,7.128,7.1734,3.2227,796356.0,0.0,1.0
2000-01-26,7.543,7.543,7.543,7.543,3.3888,0.0,0.0,1.0
2000-01-27,7.2007,7.2461,7.1825,7.237,3.2513,2070857.0,0.0,1.0
2000-01-28,7.1707,7.2097,7.128,7.1734,3.2227,1052884.0,0.0,1.0
2000-01-31,7.0917,7.128,7.0372,7.0826,3.1819,1055617.0,0.0,1.0
2000-02-01,7.1217,7.128,6.9464,6.97,3.1314,652669.0,0.0,1.0
2000-02-02,6.9628,7.0372,6.901,6.9374,3.1167,875020.0,0.0,1.0
2000-02-03,6.961,7.01,6.901,6.9646,3.1289,372221.0,0.0,1.0
2000-02-04,6.9383,6.9918,6.8829,6.9192,3.1085,858983.0,0.0,1.0
2000-02-07,6.9192,6.9555,6.8556,6.8829,3.0922,2596028.0,0.0,1.0
2000-02-08,6.8529,6.9464,6.8529,6.901,3.1004,482936.0,0.0,1.0
2000-02-09,6.8929,6.9464,6.8556,6.8829,3.0922,463856.0,0.0,1.0
2000-02-10,6.901,6.9101,6.8193,6.8647,3.084,1079716.0,0.0,1.0
2000-02-11,6.8048,6.8919,6.8048,6.8193,3.0636,1146875.0,0.0,1.0
2000-02-14,6.8102,6.8102,6.5469,6.6114,2.9702,2004962.0,0.0,1.0
2000-02-15,6.6849,6.6849,6.2836,6.3562,2.8556,542274.0,0.0,1.0
2000-02-16,6.348,6.348,6.0111,6.0656,2.725,1172462.0,0.0,1.0
2000-02-17,6.0992,6.3471,6.0992,6.2472,2.8066,1189146.0,0.0,1.0
2000-02-18,6.3108,6.338,6.1474,6.1928,2.7822,1106991.0,0.0,1.0
2000-02-21,6.1292,6.1564,6.0475,6.0656,2.725,471864.0,0.0,1.0
