date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,2.01,2.05,1.97,1.98,1.4992,469448.0,0.0,1.0
2000-01-05,1.898,1.94,1.87,1.91,1.4462,1255824.0,0.0,1.0
2000-01-06,1.94,1.94,1.88,1.88,1.4235,680552.0,0.0,1.0
2000-01-07,1.9,1.9,1.86,1.86,1.4084,760578.0,0.0,1.0
2000-01-10,1.87,1.91,1.87,1.88,1.4235,531055.0,0.0,1.0
2000-01-11,1.88,1.89,1.78,1.81,1.3705,1504968.0,0.0,1.0
2000-01-12,1.85,1.88,1.81,1.81,1.3705,1959285.0,0.0,1.0
2000-01-13,1.86,1.88,1.83,1.88,1.4235,941530.0,0.0,1.0
2000-01-14,1.872,1.89,1.85,1.85,1.4008,238662.0,0.0,1.0
2000-01-17,1.869,1.92,1.86,1.87,1.4159,623054.0,0.0,1.0
2000-01-18,1.86,1.88,1.85,1.86,1.4084,559562.0,0.0,1.0
2000-01-19,1.87,1.9,1.86,1.87,1.4159,1665243.0,0.0,1.0
2000-01-20,1.86,1.86,1.82,1.82,1.3781,1123068.0,0.0,1.0
2000-01-21,1.83,1.86,1.83,1.84,1.3932,1117993.0,0.0,1.0
2000-01-24,1.883,1.883,1.81,1.83,1.3856,1387250.0,0.0,1.0
2000-01-25,1.82,1.82,1.8,1.81,1.3705,378751.0,0.0,1.0
2000-01-26,1.81,1.81,1.81,1.81,1.3705,0.0,0.0,1.0
2000-01-27,1.81,1.84,1.77,1.78,1.3478,989106.0,0.0,1.0
2000-01-28,1.78,1.78,1.73,1.73,1.3099,1784073.0,0.0,1.0
2000-01-31,1.7,1.7,1.65,1.675,1.2683,333283.0,0.0,1.0
2000-02-01,1.7,1.7,1.65,1.65,1.2494,860193.0,0.0,1.0
2000-02-02,1.65,1.65,1.5,1.59,1.2039,1853788.0,0.0,1.0
2000-02-03,1.59,1.66,1.59,1.66,1.2569,2371129.0,0.0,1.0
2000-02-04,1.674,1.674,1.58,1.59,1.2039,1126405.0,0.0,1.0
2000-02-07,1.59,1.64,1.59,1.62,1.2266,966441.0,0.0,1.0
2000-02-08,1.64,1.66,1.62,1.64,1.2418,345046.0,0.0,1.0
2000-02-09,1.619,1.67,1.56,1.57,1.1888,390606.0,0.0,1.0
