date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.8058,0.8902,0.7965,0.8621,0.6277,361064.0,0.0,1.0
2000-01-05,0.8527,0.8527,0.8246,0.8433,0.6141,125566.0,0.0,1.0
2000-01-06,0.8433,1.2181,0.8433,0.9839,0.7164,944348.0,0.0,1.0
2000-01-07,1.0776,1.1713,0.9839,1.0307,0.7506,654618.0,0.0,1.0
2000-01-10,1.0776,1.1244,0.9839,1.0776,0.7847,327397.0,0.0,1.0
2000-01-11,1.0776,1.0776,1.0307,1.0307,0.7506,262219.0,0.0,1.0
2000-01-12,1.0307,1.0776,0.9839,1.0776,0.7847,116034.0,0.0,1.0
2000-01-13,1.0307,1.0776,1.0307,1.0776,0.7847,90856.0,0.0,1.0
2000-01-14,1.0307,1.1244,1.0307,1.1244,0.8188,182624.0,0.0,1.0
2000-01-17,1.1244,1.1244,1.0307,1.0307,0.7506,114719.0,0.0,1.0
2000-01-18,1.0776,1.1244,1.0776,1.1244,0.8188,96764.0,0.0,1.0
2000-01-19,1.1244,1.3118,1.1244,1.2181,0.887,453075.0,0.0,1.0
2000-01-20,1.3118,1.3587,1.265,1.3118,0.9552,527931.0,0.0,1.0
2000-01-21,1.3118,1.3587,1.265,1.265,0.9211,209651.0,0.0,1.0
2000-01-24,1.3118,1.4992,1.3118,1.4992,1.0917,400995.0,0.0,1.0
2000-01-25,1.4992,1.8741,1.4992,1.6867,1.2282,559294.0,0.0,1.0
2000-01-26,1.7906,1.7906,1.7906,1.7906,1.3039,0.0,0.0,1.0
2000-01-27,1.7804,2.0146,1.7804,1.8741,1.3646,524703.0,0.0,1.0
2000-01-28,1.8741,1.8741,1.5461,1.7335,1.2623,433604.0,0.0,1.0
2000-01-31,1.593,1.6398,1.4056,1.6398,1.1941,341192.0,0.0,1.0
2000-02-01,1.6867,1.7335,1.4524,1.5461,1.1258,191988.0,0.0,1.0
2000-02-02,1.5461,1.593,1.4056,1.4056,1.0235,153909.0,0.0,1.0
2000-02-03,1.3587,1.4524,1.2181,1.4524,1.0576,358538.0,0.0,1.0
2000-02-04,1.4056,1.4524,1.265,1.3587,0.9894,285744.0,0.0,1.0
2000-02-07,1.4056,1.5461,1.3587,1.5461,1.1258,528642.0,0.0,1.0
2000-02-08,1.5461,1.6398,1.4992,1.593,1.1599,300332.0,0.0,1.0
2000-02-09,1.6398,1.7335,1.593,1.6867,1.2282,248866.0,0.0,1.0
2000-02-10,1.6867,1.7804,1.6867,1.7335,1.2623,239579.0,0.0,1.0
2000-02-11,1.7335,1.7804,1.6398,1.7335,1.2623,283216.0,0.0,1.0
2000-02-14,1.7335,1.7804,1.6398,1.6867,1.2282,221871.0,0.0,1.0
2000-02-15,1.6398,1.6398,1.4992,1.5461,1.1258,188126.0,0.0,1.0
2000-02-16,1.593,1.6867,1.5461,1.593,1.1599,237001.0,0.0,1.0
2000-02-17,1.6867,1.6867,1.6398,1.6867,1.2282,150980.0,0.0,1.0
2000-02-18,1.7335,1.7335,1.6398,1.6398,1.1941,156426.0,0.0,1.0
2000-02-21,1.593,1.6398,1.4524,1.4992,1.0917,235834.0,0.0,1.0
2000-02-22,1.5461,1.593,1.4992,1.4992,1.0917,113624.0,0.0,1.0
2000-02-23,1.5461,1.593,1.4524,1.4992,1.0917,97798.0,0.0,1.0
2000-02-24,1.4992,1.4992,1.4524,1.4992,1.0917,81626.0,0.0,1.0
2000-02-25,1.4524,1.4992,1.4056,1.4056,1.0235,93525.0,0.0,1.0
2000-02-28,1.4056,1.4992,1.3587,1.4056,1.0235,138977.0,0.0,1.0
2000-02-29,1.4056,1.4056,1.2181,1.3118,0.9552,238526.0,0.0,1.0
2000-03-01,1.2181,1.265,1.1713,1.265,0.9211,167902.0,0.0,1.0
2000-03-02,1.2181,1.4056,1.2181,1.3587,0.9894,143142.0,0.0,1.0
2000-03-03,1.3587,1.3587,1.3118,1.3587,0.9894,56310.0,0.0,1.0
2000-03-06,1.3587,1.4524,1.265,1.4524,1.0576,169611.0,0.0,1.0
2000-03-07,1.3587,1.4524,1.3587,1.3587,0.9894,88006.0,0.0,1.0
2000-03-08,1.4056,1.4524,1.3587,1.3587,0.9894,68345.0,0.0,1.0
2000-03-09,1.4056,1.4056,1.3587,1.4056,1.0235,46793.0,0.0,1.0
2000-03-10,1.4056,1.4056,1.3587,1.4056,1.0235,117551.0,0.0,1.0
2000-03-13,1.4056,1.4056,1.3118,1.3118,0.9552,56887.0,0.0,1.0
2000-03-14,1.4056,1.4056,1.3118,1.3587,0.9894,41173.0,0.0,1.0
2000-03-15,1.3587,1.3587,1.3118,1.3118,0.9552,47968.0,0.0,1.0
2000-03-16,1.3587,1.3587,1.3118,1.3587,0.9894,52012.0,0.0,1.0
2000-03-17,1.3587,1.3587,1.3118,1.3587,0.9894,71862.0,0.0,1.0
2000-03-20,1.3587,1.3587,1.3118,1.3118,0.9552,80138.0,0.0,1.0
2000-03-21,1.3118,1.4056,1.3118,1.3587,0.9894,92509.0,0.0,1.0
2000-03-22,1.4056,1.4056,1.3587,1.4056,1.0235,83913.0,0.0,1.0
2000-03-23,1.4056,1.4056,1.3587,1.3587,0.9894,63022.0,0.0,1.0
2000-03-24,1.3587,1.3587,1.3587,1.3587,0.9894,54121.0,0.0,1.0
2000-03-27,1.34,1.4056,1.34,1.4056,1.0235,60126.0,0.0,1.0
2000-03-28,1.4056,1.4524,1.3587,1.4056,1.0235,154863.0,0.0,1.0
2000-03-29,1.4056,1.593,1.4056,1.5461,1.1258,466107.0,0.0,1.0
2000-03-30,1.6398,1.7335,1.6398,1.7335,1.2623,415174.0,0.0,1.0
2000-03-31,1.7335,1.7804,1.6398,1.6398,1.1941,225066.0,0.0,1.0
2000-04-03,1.6867,1.6867,1.5461,1.593,1.1599,117914.0,0.0,1.0
2000-04-04,1.5461,1.5461,1.4056,1.4524,1.0576,132722.0,0.0,1.0
2000-04-05,1.4524,1.4992,1.4056,1.4524,1.0576,112113.0,0.0,1.0
2000-04-06,1.4992,1.4992,1.4524,1.4524,1.0576,129038.0,0.0,1.0
2000-04-07,1.4992,1.593,1.4992,1.5461,1.1258,97363.0,0.0,1.0
2000-04-10,1.593,1.593,1.4992,1.593,1.1599,56028.0,0.0,1.0
2000-04-11,1.4992,1.5461,1.4524,1.4992,1.0917,85058.0,0.0,1.0
2000-04-12,1.4992,1.4992,1.4056,1.4056,1.0235,97075.0,0.0,1.0
2000-04-13,1.4056,1.4524,1.4056,1.4524,1.0576,53838.0,0.0,1.0
2000-04-14,1.4056,1.4524,1.4056,1.4056,1.0235,40713.0,0.0,1.0
2000-04-17,1.3118,1.3587,1.1244,1.1713,0.8529,176171.0,0.0,1.0
2000-04-18,1.3118,1.4524,1.2181,1.3587,0.9894,86990.0,0.0,1.0
2000-04-19,1.4056,1.4056,1.3118,1.4056,1.0235,170249.0,0.0,1.0
2000-04-20,1.3587,1.3587,1.2181,1.3118,0.9552,22612.0,0.0,1.0
2000-04-21,1.3927,1.3927,1.3927,1.3927,1.0141,0.0,0.0,1.0
2000-04-24,1.3927,1.3927,1.3927,1.3927,1.0141,0.0,0.0,1.0
2000-04-25,1.3927,1.3927,1.3927,1.3927,1.0141,0.0,0.0,1.0
2000-04-26,1.3493,1.4056,1.3118,1.3587,0.9894,18758.0,0.0,1.0
2000-04-27,1.3587,1.3587,1.3118,1.3118,0.9552,3965.0,0.0,1.0
2000-04-28,1.265,1.265,1.2181,1.2181,0.887,50852.0,0.0,1.0
2000-05-01,1.2181,1.2181,1.1713,1.1713,0.8529,25978.0,0.0,1.0
2000-05-02,1.2181,1.2181,1.1244,1.1244,0.8188,33781.0,0.0,1.0
2000-05-03,1.1807,1.1807,1.1244,1.1244,0.8188,40767.0,0.0,1.0
2000-05-04,1.1244,1.1244,0.937,1.0776,0.7847,46305.0,0.0,1.0
2000-05-05,1.1244,1.1713,0.937,1.0776,0.7847,56106.0,0.0,1.0
2000-05-08,1.1244,1.1713,1.1244,1.1244,0.8188,39356.0,0.0,1.0
2000-05-09,1.1713,1.1713,1.0307,1.1244,0.8188,25008.0,0.0,1.0
2000-05-10,1.1244,1.1244,0.9839,1.0307,0.7506,52897.0,0.0,1.0
2000-05-11,1.0307,1.0776,0.9839,0.9839,0.7164,22571.0,0.0,1.0
2000-05-12,1.0776,1.1244,1.0776,1.0776,0.7847,9231.0,0.0,1.0
2000-05-15,1.0776,1.1244,1.0776,1.0776,0.7847,29748.0,0.0,1.0
2000-05-16,1.0776,1.0776,1.0307,1.0307,0.7506,46115.0,0.0,1.0
2000-05-17,1.0307,1.0776,1.0307,1.0776,0.7847,59769.0,0.0,1.0
2000-05-18,1.0776,1.0776,1.0307,1.0776,0.7847,32607.0,0.0,1.0
2000-05-19,1.0776,1.1244,1.0307,1.1244,0.8188,60776.0,0.0,1.0
2000-05-22,1.0307,1.1244,1.0307,1.0307,0.7506,50437.0,0.0,1.0
2000-05-23,1.0307,1.0776,1.0307,1.0776,0.7847,21445.0,0.0,1.0
2000-05-24,1.0307,1.0307,0.9839,0.9839,0.7164,38478.0,0.0,1.0
2000-05-25,1.0307,1.0307,0.9839,0.9839,0.7164,26979.0,0.0,1.0
2000-05-26,0.9839,0.9839,0.9839,0.9839,0.7164,30721.0,0.0,1.0
2000-05-29,1.0307,1.0776,0.9839,1.0776,0.7847,41087.0,0.0,1.0
2000-05-30,0.9839,1.1244,0.9839,1.0776,0.7847,112504.0,0.0,1.0
2000-05-31,1.0307,1.0307,0.937,1.0307,0.7506,157795.0,0.0,1.0
2000-06-01,1.0307,1.0307,0.937,0.937,0.6823,29455.0,0.0,1.0
2000-06-02,0.937,0.9839,0.937,0.937,0.6823,23931.0,0.0,1.0
2000-06-05,0.937,0.937,0.8995,0.937,0.6823,28234.0,0.0,1.0
2000-06-06,0.8995,0.9277,0.8714,0.8714,0.6346,12195.0,0.0,1.0
2000-06-07,0.8902,0.8902,0.7965,0.834,0.6073,57369.0,0.0,1.0
2000-06-08,0.759,0.7684,0.7028,0.7496,0.5459,127208.0,0.0,1.0
2000-06-09,0.7215,0.7496,0.7121,0.7403,0.539,41318.0,0.0,1.0
2000-06-12,0.7859,0.7859,0.7859,0.7859,0.5722,0.0,0.0,1.0
2000-06-13,0.7496,0.7496,0.7121,0.7309,0.5322,61748.0,0.0,1.0
2000-06-14,0.7309,0.7309,0.7028,0.7028,0.5117,61577.0,0.0,1.0
2000-06-15,0.7496,0.7496,0.7028,0.7028,0.5117,67554.0,0.0,1.0
2000-06-16,0.7028,0.7403,0.684,0.7403,0.539,40490.0,0.0,1.0
2000-06-19,0.7403,0.7403,0.7028,0.7028,0.5117,43665.0,0.0,1.0
2000-06-20,0.6934,0.6934,0.6559,0.6559,0.4776,100477.0,0.0,1.0
2000-06-21,0.6653,0.7028,0.6653,0.684,0.4981,59982.0,0.0,1.0
2000-06-22,0.684,0.684,0.6559,0.684,0.4981,25251.0,0.0,1.0
2000-06-23,0.684,0.684,0.6372,0.6653,0.4844,52408.0,0.0,1.0
2000-06-26,0.6559,0.6559,0.6091,0.6184,0.4503,143506.0,0.0,1.0
2000-06-27,0.6559,0.7496,0.6559,0.7496,0.5459,238866.0,0.0,1.0
2000-06-28,0.7496,0.9839,0.7496,0.9277,0.6755,151912.0,0.0,1.0
2000-06-29,0.937,1.0307,0.9277,0.9839,0.7164,147367.0,0.0,1.0
2000-06-30,0.937,0.9839,0.9277,0.9277,0.6755,123693.0,0.0,1.0
2000-07-03,0.9277,0.9839,0.8246,0.937,0.6823,46957.0,0.0,1.0
2000-07-04,0.937,0.937,0.8902,0.8902,0.6482,31304.0,0.0,1.0
2000-07-05,0.8808,0.8808,0.8527,0.8808,0.6414,35725.0,0.0,1.0
2000-07-06,0.8527,0.8527,0.8152,0.8433,0.6141,32168.0,0.0,1.0
2000-07-07,0.8433,0.9089,0.8433,0.9089,0.6618,79798.0,0.0,1.0
2000-07-10,0.9183,0.9183,0.8902,0.8902,0.6482,100601.0,0.0,1.0
2000-07-11,0.9089,0.9183,0.8902,0.8902,0.6482,58013.0,0.0,1.0
2000-07-12,0.9089,0.9839,0.9089,0.9839,0.7164,111089.0,0.0,1.0
2000-07-13,0.9839,0.9839,0.937,0.9839,0.7164,121253.0,0.0,1.0
2000-07-14,0.9839,1.0307,0.9839,0.9839,0.7164,54150.0,0.0,1.0
2000-07-17,1.0307,1.0307,0.9839,0.9839,0.7164,34572.0,0.0,1.0
2000-07-18,1.0307,1.1713,0.9839,1.1244,0.8188,360875.0,0.0,1.0
2000-07-19,1.1244,1.1244,1.0307,1.0776,0.7847,81516.0,0.0,1.0
2000-07-20,1.0776,1.0776,1.0307,1.0776,0.7847,38255.0,0.0,1.0
2000-07-21,1.0307,1.0307,0.937,0.9839,0.7164,81321.0,0.0,1.0
2000-07-24,0.937,1.0307,0.937,0.9839,0.7164,53945.0,0.0,1.0
2000-07-25,0.9839,1.0307,0.9839,0.9839,0.7164,56147.0,0.0,1.0
2000-07-26,1.0307,1.0307,0.9839,1.0307,0.7506,51048.0,0.0,1.0
2000-07-27,0.937,0.9839,0.937,0.937,0.6823,32197.0,0.0,1.0
2000-07-28,1.0307,1.0307,0.9839,0.9839,0.7164,29463.0,0.0,1.0
2000-07-31,0.9839,0.9839,0.937,0.9839,0.7164,85688.0,0.0,1.0
2000-08-01,0.9839,0.9839,0.937,0.937,0.6823,55706.0,0.0,1.0
2000-08-02,0.937,0.9839,0.937,0.9839,0.7164,23478.0,0.0,1.0
2000-08-03,0.937,0.9839,0.9277,0.937,0.6823,120905.0,0.0,1.0
2000-08-04,0.937,0.937,0.8995,0.9277,0.6755,89191.0,0.0,1.0
2000-08-07,0.937,0.937,0.9277,0.937,0.6823,68829.0,0.0,1.0
2000-08-08,0.937,0.937,0.9277,0.9277,0.6755,39255.0,0.0,1.0
2000-08-09,0.937,0.937,0.8902,0.937,0.6823,50614.0,0.0,1.0
2000-08-10,0.937,0.937,0.8902,0.8902,0.6482,22454.0,0.0,1.0
2000-08-11,0.9277,0.937,0.9183,0.937,0.6823,109133.0,0.0,1.0
2000-08-14,0.9839,0.9839,0.9277,0.937,0.6823,220429.0,0.0,1.0
2000-08-15,0.937,0.9839,0.9183,0.9183,0.6687,112629.0,0.0,1.0
2000-08-16,0.9277,0.937,0.9183,0.937,0.6823,62645.0,0.0,1.0
2000-08-17,0.937,0.937,0.9183,0.9183,0.6687,46903.0,0.0,1.0
2000-08-18,0.9277,0.937,0.9183,0.9183,0.6687,87985.0,0.0,1.0
2000-08-21,0.937,0.937,0.8995,0.8995,0.655,45823.0,0.0,1.0
2000-08-22,0.9183,0.937,0.8995,0.9277,0.6755,53288.0,0.0,1.0
2000-08-23,0.9277,0.937,0.9277,0.9277,0.6755,39417.0,0.0,1.0
2000-08-24,0.9277,0.937,0.8995,0.9089,0.6618,22780.0,0.0,1.0
2000-08-25,0.9277,0.937,0.8995,0.937,0.6823,46957.0,0.0,1.0
2000-08-28,0.937,0.937,0.9089,0.9183,0.6687,24561.0,0.0,1.0
2000-08-29,0.9277,0.9277,0.9183,0.9277,0.6755,23345.0,0.0,1.0
2000-08-30,0.9277,0.937,0.9089,0.937,0.6823,79010.0,0.0,1.0
2000-08-31,0.9277,0.937,0.9183,0.9183,0.6687,33218.0,0.0,1.0
2000-09-01,0.9277,0.9277,0.9183,0.9183,0.6687,20055.0,0.0,1.0
2000-09-04,0.9183,0.937,0.9089,0.9089,0.6618,47002.0,0.0,1.0
2000-09-05,0.9183,0.9183,0.8995,0.8995,0.655,30736.0,0.0,1.0
2000-09-06,0.9089,0.9277,0.8995,0.9277,0.6755,29599.0,0.0,1.0
2000-09-07,0.9277,0.9277,0.8995,0.8995,0.655,15201.0,0.0,1.0
2000-09-08,0.8902,0.8902,0.8808,0.8808,0.6414,42154.0,0.0,1.0
2000-09-11,0.8902,0.8902,0.8433,0.8902,0.6482,41710.0,0.0,1.0
2000-09-12,0.8902,0.8902,0.8621,0.8621,0.6277,9827.0,0.0,1.0
2000-09-13,0.8902,0.8902,0.8714,0.8714,0.6346,7001.0,0.0,1.0
2000-09-14,0.8714,0.8714,0.8433,0.8714,0.6346,19247.0,0.0,1.0
