date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-09-13,0.1785,0.1785,0.1785,0.1785,0.1325,0.0,0.0,1.0
2001-09-14,0.1367,0.1549,0.1276,0.1413,0.1048,1165848.0,0.0,1.0
2001-09-17,0.1458,0.1458,0.1367,0.1367,0.1015,388982.0,0.0,1.0
2001-09-18,0.1367,0.1367,0.1367,0.1367,0.1015,43891.0,0.0,1.0
2001-09-19,0.1367,0.1367,0.1321,0.1321,0.0981,79003.0,0.0,1.0
2001-09-20,0.1367,0.1367,0.1321,0.1321,0.0981,117024.0,0.0,1.0
2001-09-21,0.1276,0.1321,0.1276,0.1321,0.0981,171174.0,0.0,1.0
2001-09-24,0.1367,0.1367,0.1367,0.1367,0.1015,109727.0,0.0,1.0
2001-09-25,0.1276,0.1276,0.1185,0.1185,0.0879,43891.0,0.0,1.0
2001-09-26,0.123,0.123,0.123,0.123,0.0913,21945.0,0.0,1.0
2001-09-27,0.1139,0.1276,0.1139,0.1185,0.0879,362099.0,0.0,1.0
2001-09-28,0.123,0.123,0.123,0.123,0.0913,43891.0,0.0,1.0
2001-10-01,0.123,0.123,0.1185,0.1185,0.0879,0.0,0.0,1.0
2001-10-02,0.1185,0.1185,0.1185,0.1185,0.0879,10973.0,0.0,1.0
2001-10-03,0.1185,0.123,0.1139,0.1139,0.0846,473471.0,0.0,1.0
2001-10-04,0.1139,0.1139,0.1094,0.1094,0.0812,239753.0,0.0,1.0
2001-10-05,0.1094,0.1094,0.1094,0.1094,0.0812,384044.0,0.0,1.0
2001-10-08,0.1094,0.1094,0.1094,0.1094,0.0812,0.0,0.0,1.0
2001-10-09,0.1185,0.123,0.1185,0.123,0.0913,301749.0,0.0,1.0
2001-10-10,0.1276,0.1458,0.1276,0.1458,0.1082,429416.0,0.0,1.0
2001-10-11,0.1367,0.1504,0.1367,0.1413,0.1048,469914.0,0.0,1.0
2001-10-12,0.1458,0.1458,0.1367,0.1367,0.1015,225626.0,0.0,1.0
2001-10-15,0.1413,0.1549,0.1413,0.1549,0.115,197207.0,0.0,1.0
2001-10-16,0.1504,0.1595,0.1504,0.1595,0.1184,248568.0,0.0,1.0
2001-10-17,0.1549,0.1595,0.1549,0.1595,0.1184,171174.0,0.0,1.0
2001-10-18,0.1458,0.1458,0.1458,0.1458,0.1082,131955.0,0.0,1.0
2001-10-19,0.1504,0.1504,0.1504,0.1504,0.1116,54863.0,0.0,1.0
2001-10-22,0.1549,0.1549,0.1458,0.1458,0.1082,0.0,0.0,1.0
2001-10-23,0.1504,0.1504,0.1458,0.1458,0.1082,143753.0,0.0,1.0
2001-10-24,0.1458,0.1458,0.1458,0.1458,0.1082,2225.0,0.0,1.0
2001-10-25,0.1458,0.1458,0.1458,0.1458,0.1082,0.0,0.0,1.0
2001-10-26,0.1458,0.1458,0.1458,0.1458,0.1082,0.0,0.0,1.0
2001-10-29,0.1458,0.1458,0.1458,0.1458,0.1082,0.0,0.0,1.0
2001-10-30,0.1367,0.1367,0.1367,0.1367,0.1015,28529.0,0.0,1.0
2001-10-31,0.1458,0.1458,0.1458,0.1458,0.1082,92171.0,0.0,1.0
2001-11-01,0.1458,0.1458,0.1458,0.1458,0.1082,65836.0,0.0,1.0
2001-11-02,0.1458,0.164,0.1458,0.164,0.1217,113825.0,0.0,1.0
2001-11-05,0.164,0.164,0.1458,0.1458,0.1082,28529.0,0.0,1.0
2001-11-06,0.1458,0.1458,0.1458,0.1458,0.1082,10973.0,0.0,1.0
2001-11-07,0.1549,0.1549,0.1549,0.1549,0.115,23043.0,0.0,1.0
2001-11-08,0.1549,0.1549,0.1549,0.1549,0.115,21945.0,0.0,1.0
2001-11-09,0.1549,0.1549,0.1549,0.1549,0.115,10973.0,0.0,1.0
2001-11-12,0.1549,0.1549,0.1549,0.1549,0.115,52669.0,0.0,1.0
2001-11-13,0.1595,0.1595,0.1595,0.1595,0.1184,20848.0,0.0,1.0
2001-11-14,0.1549,0.1549,0.1549,0.1549,0.115,219454.0,0.0,1.0
2001-11-15,0.1549,0.164,0.1549,0.164,0.1217,356612.0,0.0,1.0
2001-11-16,0.1686,0.2051,0.1686,0.1914,0.142,3300420.0,0.0,1.0
2001-11-19,0.1914,0.1914,0.1777,0.1777,0.1319,327371.0,0.0,1.0
2001-11-20,0.1777,0.1777,0.1686,0.1686,0.1251,354033.0,0.0,1.0
2001-11-21,0.1686,0.1732,0.1686,0.1732,0.1285,98754.0,0.0,1.0
2001-11-22,0.1686,0.1686,0.164,0.164,0.1217,191144.0,0.0,1.0
2001-11-23,0.164,0.1686,0.164,0.1686,0.1251,171723.0,0.0,1.0
2001-11-26,0.1686,0.1686,0.1686,0.1686,0.1251,106420.0,0.0,1.0
2001-11-27,0.1686,0.1686,0.164,0.164,0.1217,381081.0,0.0,1.0
2001-11-28,0.1686,0.1686,0.164,0.164,0.1217,261018.0,0.0,1.0
2001-11-29,0.164,0.164,0.1595,0.164,0.1217,195132.0,0.0,1.0
2001-11-30,0.1686,0.1732,0.164,0.1732,0.1285,147912.0,0.0,1.0
2001-12-03,0.1732,0.1823,0.1732,0.1823,0.1353,65836.0,0.0,1.0
