date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-11-21,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-11-22,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-11-23,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-11-26,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-11-27,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-11-28,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-11-29,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-11-30,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-12-03,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-12-04,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-12-05,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-12-06,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-12-07,5.3228,5.3228,5.3228,5.3228,3.0036,54868230.0,0.0,1.0
2007-12-10,4.626,4.684,4.5969,4.6356,2.6159,3105018.0,0.0,1.0
2007-12-11,4.655,4.684,4.6356,4.655,2.6268,1993224.0,0.0,1.0
2007-12-12,4.626,4.6453,4.5969,4.6356,2.6159,918308.0,0.0,1.0
2007-12-13,4.626,4.6647,4.6163,4.6356,2.6159,297911.0,0.0,1.0
2007-12-14,4.6356,4.655,4.626,4.6453,2.6213,246474.0,0.0,1.0
2007-12-17,4.6356,4.6356,4.4131,4.4421,2.5066,497803.0,0.0,1.0
2007-12-18,4.5001,4.5001,4.4227,4.4421,2.5066,303357.0,0.0,1.0
2007-12-19,4.4905,4.5389,4.4324,4.4614,2.5176,262896.0,0.0,1.0
2007-12-20,4.4808,4.5485,4.4808,4.5001,2.5394,166120.0,0.0,1.0
2007-12-21,4.5001,4.5292,4.4614,4.5001,2.5394,603998.0,0.0,1.0
2007-12-24,4.5292,4.5389,4.4614,4.4614,2.5176,40291.0,0.0,1.0
2007-12-27,4.5001,4.5389,4.4614,4.5389,2.5612,128970.0,0.0,1.0
2007-12-28,4.5001,4.5679,4.5001,4.5485,2.5667,47434.0,0.0,1.0
2007-12-31,4.5582,4.5776,4.5485,4.5582,2.5722,37541.0,0.0,1.0
2008-01-02,4.5776,4.5872,4.5098,4.5485,2.5667,29433.0,0.0,1.0
2008-01-03,4.5582,4.5872,4.5485,4.5872,2.5885,85304.0,0.0,1.0
2008-01-04,4.5969,4.5969,4.5485,4.5969,2.594,87246.0,0.0,1.0
2008-01-07,4.5389,4.5582,4.5389,4.5582,2.5722,144976.0,0.0,1.0
2008-01-08,4.5582,4.5776,4.5001,4.5001,2.5394,72701.0,0.0,1.0
2008-01-09,4.5001,4.5001,4.355,4.3743,2.4684,601260.0,0.0,1.0
2008-01-10,4.384,4.4227,4.3259,4.4131,2.4903,174974.0,0.0,1.0
2008-01-11,4.4131,4.4131,4.2582,4.3356,2.4466,165238.0,0.0,1.0
2008-01-14,4.2582,4.3066,4.2001,4.2195,2.381,103472.0,0.0,1.0
2008-01-15,4.2582,4.3356,4.2098,4.2679,2.4083,106556.0,0.0,1.0
2008-01-16,4.2098,4.2098,4.0259,4.0647,2.2937,122147.0,0.0,1.0
2008-01-17,4.0163,4.2098,4.0163,4.1227,2.3264,93247.0,0.0,1.0
2008-01-18,4.0356,4.0647,3.8711,4.0647,2.2937,139432.0,0.0,1.0
2008-01-21,4.0647,4.113,3.9195,3.9195,2.2117,135247.0,0.0,1.0
2008-01-22,3.8517,3.8517,3.0775,3.1936,1.8022,418674.0,0.0,1.0
2008-01-23,3.3388,3.5033,3.0582,3.0969,1.7475,374588.0,0.0,1.0
2008-01-24,3.213,3.3872,3.1453,3.2227,1.8185,453664.0,0.0,1.0
2008-01-25,3.2517,3.7259,3.2517,3.6098,2.037,683494.0,0.0,1.0
2008-01-29,3.7259,3.7259,3.5808,3.5808,2.0206,276306.0,0.0,1.0
2008-01-30,3.6775,3.6775,3.4937,3.5808,2.0206,287469.0,0.0,1.0
2008-01-31,3.5324,3.5421,3.4066,3.455,1.9496,810293.0,0.0,1.0
2008-02-01,3.4937,3.6679,3.4937,3.5614,2.0097,1158605.0,0.0,1.0
2008-02-04,3.6001,3.6679,3.5808,3.5808,2.0206,37869.0,0.0,1.0
2008-02-05,3.5808,3.6001,3.5517,3.5517,2.0042,18299.0,0.0,1.0
2008-02-06,3.5517,3.6775,3.4646,3.4646,1.9551,61254.0,0.0,1.0
2008-02-07,3.4646,3.4646,3.3485,3.3485,1.8895,66086.0,0.0,1.0
2008-02-08,3.4066,3.455,3.3485,3.3582,1.895,49756.0,0.0,1.0
2008-02-11,3.3582,3.3582,3.1453,3.1936,1.8022,73621.0,0.0,1.0
2008-02-12,3.1936,3.1936,3.0872,3.1646,1.7858,63429.0,0.0,1.0
2008-02-13,3.0872,3.1065,2.9033,2.913,1.6438,147661.0,0.0,1.0
2008-02-14,2.942,2.942,2.8646,2.884,1.6274,493642.0,0.0,1.0
2008-02-15,2.884,3.0485,2.8743,2.913,1.6438,290050.0,0.0,1.0
2008-02-18,2.9033,2.9227,2.884,2.8936,1.6329,76764.0,0.0,1.0
2008-02-19,2.884,2.913,2.8743,2.884,1.6274,112672.0,0.0,1.0
2008-02-20,2.8549,2.8743,2.8259,2.8259,1.5946,64595.0,0.0,1.0
2008-02-21,2.8162,2.8162,2.7098,2.8065,1.5837,89146.0,0.0,1.0
2008-02-22,2.7582,2.9033,2.7098,2.9033,1.6383,103395.0,0.0,1.0
2008-02-25,2.913,2.9517,2.8065,2.9033,1.6383,46110.0,0.0,1.0
2008-02-26,2.913,3.0485,2.9033,3.0485,1.7202,66936.0,0.0,1.0
2008-02-27,3.0678,3.0678,2.9614,3.0001,1.6929,33101.0,0.0,1.0
2008-02-28,2.9517,3.0001,2.9324,2.9324,1.6547,62825.0,0.0,1.0
2008-02-29,2.9807,3.0582,2.942,3.0485,1.7202,119041.0,0.0,1.0
2008-03-03,3.0194,3.0194,2.9033,2.913,1.6438,120392.0,0.0,1.0
2008-03-04,2.9324,2.9324,2.8549,2.8743,1.6219,94651.0,0.0,1.0
2008-03-05,2.8065,2.8646,2.7872,2.7872,1.5728,41894.0,0.0,1.0
2008-03-06,2.7872,2.8162,2.7872,2.7969,1.5782,42468.0,0.0,1.0
2008-03-07,2.7969,2.8162,2.613,2.6517,1.4963,81473.0,0.0,1.0
2008-03-10,2.6517,2.6517,2.5162,2.5646,1.4472,99689.0,0.0,1.0
2008-03-11,2.5646,2.6614,2.5452,2.6614,1.5018,120630.0,0.0,1.0
2008-03-12,2.7194,2.9033,2.6904,2.8549,1.611,86797.0,0.0,1.0
2008-03-13,2.6517,2.7098,2.6517,2.6904,1.5182,56283.0,0.0,1.0
2008-03-14,2.7098,2.7485,2.6807,2.6904,1.5182,36258.0,0.0,1.0
2008-03-17,2.6711,2.7001,2.6614,2.6807,1.5127,78194.0,0.0,1.0
2008-03-18,2.6614,2.6807,2.5646,2.5646,1.4472,142335.0,0.0,1.0
2008-03-19,2.5646,2.6904,2.5646,2.6517,1.4963,192608.0,0.0,1.0
2008-03-20,2.6323,2.6807,2.6323,2.6614,1.5018,65656.0,0.0,1.0
2008-03-25,2.7098,2.7969,2.6904,2.7001,1.5236,116313.0,0.0,1.0
2008-03-26,2.7194,2.9033,2.7194,2.7969,1.5782,87046.0,0.0,1.0
2008-03-27,2.7969,2.9517,2.7969,2.9517,1.6656,358174.0,0.0,1.0
2008-03-28,2.942,2.9517,2.8743,2.9517,1.6656,65767.0,0.0,1.0
