date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-11-23,3.5,3.6,3.1,3.3,3.1122,6380659.0,0.0,1.0
2017-11-24,3.35,3.35,3.19,3.2,3.0179,1236129.0,0.0,1.0
2017-11-27,3.27,3.29,3.2,3.21,3.0273,462572.0,0.0,1.0
2017-11-28,3.24,3.26,3.22,3.26,3.0744,177479.0,0.0,1.0
2017-11-29,3.27,3.35,3.27,3.33,3.1405,414366.0,0.0,1.0
2017-11-30,3.33,3.43,3.33,3.41,3.2159,273808.0,0.0,1.0
2017-12-01,3.41,3.49,3.4,3.41,3.2159,200709.0,0.0,1.0
2017-12-04,3.48,3.48,3.4,3.4,3.2065,261566.0,0.0,1.0
2017-12-05,3.4,3.44,3.395,3.41,3.2159,291863.0,0.0,1.0
2017-12-06,3.41,3.41,3.39,3.4,3.2065,347440.0,0.0,1.0
2017-12-07,3.43,3.44,3.41,3.42,3.2253,75520.0,0.0,1.0
2017-12-08,3.42,3.5,3.42,3.49,3.2914,357091.0,0.0,1.0
2017-12-11,3.49,3.5,3.445,3.49,3.2914,246845.0,0.0,1.0
2017-12-12,3.51,3.51,3.465,3.48,3.2819,217510.0,0.0,1.0
2017-12-13,3.55,3.6,3.5,3.55,3.3479,348254.0,0.0,1.0
2017-12-14,3.59,3.68,3.55,3.58,3.3762,420408.0,0.0,1.0
2017-12-15,3.65,3.65,3.56,3.58,3.3762,197205.0,0.0,1.0
2017-12-18,3.59,3.6,3.495,3.58,3.3762,284847.0,0.0,1.0
2017-12-19,3.58,3.58,3.5,3.54,3.3385,168432.0,0.0,1.0
2017-12-20,3.55,3.55,3.49,3.53,3.3291,116348.0,0.0,1.0
2017-12-21,3.53,3.55,3.49,3.5,3.3008,160041.0,0.0,1.0
2017-12-22,3.5,3.52,3.39,3.41,3.2159,295291.0,0.0,1.0
2017-12-27,3.41,3.44,3.4,3.42,3.2253,53111.0,0.0,1.0
2017-12-28,3.53,3.53,3.42,3.44,3.2442,50198.0,0.0,1.0
2017-12-29,3.44,3.45,3.41,3.42,3.2253,47319.0,0.0,1.0
2018-01-02,3.43,3.45,3.4,3.44,3.2442,31875.0,0.0,1.0
2018-01-03,3.45,3.53,3.45,3.49,3.2914,55042.0,0.0,1.0
2018-01-04,3.49,3.49,3.47,3.48,3.2819,79911.0,0.0,1.0
2018-01-05,3.49,3.5,3.43,3.49,3.2914,159503.0,0.0,1.0
2018-01-08,3.49,3.5,3.38,3.4,3.2065,89019.0,0.0,1.0
2018-01-09,3.4,3.47,3.4,3.42,3.2253,110461.0,0.0,1.0
2018-01-10,3.44,3.5,3.44,3.49,3.2914,74929.0,0.0,1.0
2018-01-11,3.5,3.5,3.45,3.47,3.2725,42859.0,0.0,1.0
2018-01-12,3.48,3.49,3.46,3.49,3.2914,47473.0,0.0,1.0
2018-01-15,3.48,3.48,3.44,3.46,3.2631,137344.0,0.0,1.0
2018-01-16,3.46,3.47,3.45,3.45,3.2536,36949.0,0.0,1.0
2018-01-17,3.46,3.5,3.45,3.48,3.2819,73945.0,0.0,1.0
2018-01-18,3.47,3.53,3.46,3.5,3.3008,155416.0,0.0,1.0
2018-01-19,3.5,3.59,3.46,3.59,3.3857,110720.0,0.0,1.0
2018-01-22,3.58,3.58,3.44,3.48,3.2819,275540.0,0.0,1.0
2018-01-23,3.5,3.5,3.45,3.45,3.2536,98021.0,0.0,1.0
2018-01-24,3.45,3.47,3.4,3.41,3.2159,56403.0,0.0,1.0
2018-01-25,3.41,3.41,3.32,3.32,3.131,138482.0,0.0,1.0
2018-01-29,3.33,3.37,3.33,3.34,3.1499,59521.0,0.0,1.0
2018-01-30,3.34,3.4,3.34,3.36,3.1688,202427.0,0.0,1.0
2018-01-31,3.36,3.39,3.34,3.34,3.1499,60795.0,0.0,1.0
2018-02-01,3.35,3.4,3.33,3.38,3.1876,81963.0,0.0,1.0
2018-02-02,3.38,3.43,3.36,3.43,3.2348,119937.0,0.0,1.0
2018-02-05,3.38,3.38,3.32,3.33,3.1405,137535.0,0.0,1.0
2018-02-06,3.3,3.31,3.16,3.2,3.0179,210116.0,0.0,1.0
2018-02-07,3.32,3.32,3.22,3.28,3.0933,110483.0,0.0,1.0
2018-02-08,3.3,3.3,3.27,3.27,3.0839,108101.0,0.0,1.0
2018-02-09,3.28,3.28,3.16,3.18,2.999,529491.0,0.0,1.0
2018-02-12,3.18,3.29,3.17,3.29,3.1027,49864.0,0.0,1.0
2018-02-13,3.3,3.3,3.2,3.21,3.0273,101218.0,0.0,1.0
2018-02-14,3.26,3.26,3.22,3.25,3.065,85081.0,0.0,1.0
2018-02-15,3.26,3.26,3.22,3.22,3.0367,47432.0,0.0,1.0
2018-02-16,3.22,3.22,3.14,3.19,3.0084,103267.0,0.0,1.0
2018-02-19,3.2,3.2,3.11,3.15,2.9707,240293.0,0.0,1.0
2018-02-20,3.15,3.15,3.08,3.15,2.9707,68055.0,0.0,1.0
2018-02-21,3.16,3.16,3.09,3.1,2.9236,131964.0,0.0,1.0
