date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-12-17,3.4681,3.587,3.2897,3.2897,2.6978,19636832.0,0.0,1.0
2013-12-18,3.3492,3.3789,3.0816,3.1708,2.6003,8411234.0,0.0,1.0
2013-12-19,3.2699,3.2897,3.2005,3.2699,2.6815,5669062.0,0.0,1.0
2013-12-20,3.2798,3.3789,3.2798,3.3393,2.7384,1444042.0,0.0,1.0
2013-12-23,3.3492,3.4185,3.2501,3.3194,2.7221,1114901.0,0.0,1.0
2013-12-24,3.2897,3.3393,3.2501,3.3194,2.7221,504909.0,0.0,1.0
2013-12-27,3.2996,3.3095,3.2303,3.2699,2.6815,1532210.0,0.0,1.0
2013-12-30,3.2699,3.2798,3.2303,3.2699,2.6815,1295660.0,0.0,1.0
2013-12-31,3.2798,3.2798,3.2501,3.2501,2.6653,243581.0,0.0,1.0
2014-01-02,3.2501,3.3789,3.2501,3.2798,2.6896,860706.0,0.0,1.0
2014-01-03,3.2699,3.2699,3.2303,3.26,2.6734,175831.0,0.0,1.0
2014-01-06,3.2897,3.2996,3.2402,3.2501,2.6653,279589.0,0.0,1.0
2014-01-07,3.26,3.3194,3.2501,3.2699,2.6815,592888.0,0.0,1.0
2014-01-08,3.2798,3.3492,3.2798,3.3194,2.7221,251989.0,0.0,1.0
2014-01-09,3.2798,3.3987,3.2798,3.369,2.7628,316947.0,0.0,1.0
2014-01-10,3.3789,3.4879,3.3492,3.4185,2.8034,1347414.0,0.0,1.0
2014-01-13,3.4185,3.4582,3.3789,3.4086,2.7953,113256.0,0.0,1.0
2014-01-14,3.3789,3.478,3.3789,3.4383,2.8197,382380.0,0.0,1.0
2014-01-15,3.4185,3.4483,3.3789,3.3987,2.7871,215355.0,0.0,1.0
2014-01-16,3.3789,3.4185,3.3492,3.369,2.7628,870872.0,0.0,1.0
2014-01-17,3.369,3.369,3.3293,3.3293,2.7303,61433.0,0.0,1.0
2014-01-20,3.3194,3.3194,3.2501,3.2897,2.6978,366197.0,0.0,1.0
2014-01-21,3.3194,3.3888,3.3194,3.3492,2.7465,294596.0,0.0,1.0
2014-01-22,3.3888,3.4582,3.3591,3.4086,2.7953,1271611.0,0.0,1.0
2014-01-23,3.4086,3.4582,3.4086,3.4284,2.8115,329711.0,0.0,1.0
2014-01-24,3.4582,3.4681,3.3789,3.4086,2.7953,782766.0,0.0,1.0
2014-01-28,3.4185,3.4483,3.369,3.369,2.7628,905538.0,0.0,1.0
2014-01-29,3.4185,3.4879,3.4086,3.4185,2.8034,1834080.0,0.0,1.0
2014-01-30,3.4185,3.4681,3.4185,3.4284,2.8115,349637.0,0.0,1.0
2014-01-31,3.4483,3.4483,3.4185,3.4383,2.8197,807775.0,0.0,1.0
2014-02-03,3.4383,3.4483,3.4185,3.4383,2.8197,508551.0,0.0,1.0
2014-02-04,3.4185,3.4681,3.3789,3.4185,2.8034,651724.0,0.0,1.0
2014-02-05,3.4978,3.5672,3.4185,3.4185,2.8034,833649.0,0.0,1.0
2014-02-06,3.4681,3.4681,3.4185,3.4185,2.8034,281222.0,0.0,1.0
2014-02-07,3.4681,3.4978,3.3789,3.3789,2.7709,206477.0,0.0,1.0
2014-02-10,3.4483,3.478,3.3888,3.3888,2.779,502029.0,0.0,1.0
2014-02-11,3.4681,3.4879,3.3888,3.4185,2.8034,2597160.0,0.0,1.0
2014-02-12,3.4582,3.4978,3.4383,3.4681,2.844,729956.0,0.0,1.0
2014-02-13,3.4681,3.4681,3.4284,3.4284,2.8115,617704.0,0.0,1.0
2014-02-14,3.4681,3.4681,3.4185,3.4185,2.8034,3418888.0,0.0,1.0
2014-02-17,3.4681,3.4681,3.4483,3.4582,2.8359,134921.0,0.0,1.0
2014-02-18,3.4582,3.4681,3.4383,3.4582,2.8359,378281.0,0.0,1.0
2014-02-19,3.4681,3.4681,3.4185,3.4483,2.8278,388999.0,0.0,1.0
2014-02-20,3.4582,3.5077,3.4383,3.4978,2.8684,641416.0,0.0,1.0
2014-02-21,3.4978,3.5572,3.4681,3.5572,2.9172,530692.0,0.0,1.0
2014-02-24,3.5572,3.5572,3.5176,3.5374,2.9009,256082.0,0.0,1.0
2014-02-25,3.5176,3.5473,3.4582,3.5275,2.8928,688558.0,0.0,1.0
2014-02-26,3.4978,3.4978,3.3194,3.369,2.7628,3381298.0,0.0,1.0
2014-02-27,3.3789,3.3888,3.3194,3.3492,2.7465,1186881.0,0.0,1.0
2014-02-28,3.3293,3.3293,3.1906,3.2005,2.6246,2756135.0,0.0,1.0
2014-03-03,3.1807,3.1906,3.0717,3.0915,2.5352,2874696.0,0.0,1.0
2014-03-04,3.151,3.2501,3.151,3.2104,2.6328,1881777.0,0.0,1.0
2014-03-05,3.2699,3.3591,3.2699,3.3393,2.7384,1655528.0,0.0,1.0
2014-03-06,3.3393,3.3541,3.2798,3.2996,2.7059,953464.0,0.0,1.0
2014-03-07,3.369,3.369,3.2798,3.3194,2.7221,1000910.0,0.0,1.0
2014-03-10,3.3194,3.369,3.3194,3.3393,2.7384,440909.0,0.0,1.0
2014-03-11,3.3492,3.3591,3.2996,3.2996,2.7059,996827.0,0.0,1.0
2014-03-12,3.3591,3.3591,3.3095,3.3194,2.7221,576652.0,0.0,1.0
2014-03-13,3.3095,3.3293,3.2897,3.2897,2.6978,598410.0,0.0,1.0
2014-03-14,3.2897,3.369,3.2897,3.369,2.7628,797407.0,0.0,1.0
2014-03-17,3.3789,3.4086,3.3194,3.369,2.7628,388554.0,0.0,1.0
2014-03-18,3.369,3.4086,3.3492,3.3987,2.7871,893443.0,0.0,1.0
2014-03-19,3.369,3.3789,3.2897,3.3293,2.7303,736121.0,0.0,1.0
2014-03-20,3.369,3.4086,3.3293,3.369,2.7628,1617738.0,0.0,1.0
2014-03-21,3.3888,3.4185,3.3293,3.369,2.7628,10356035.0,0.0,1.0
2014-03-24,3.3591,3.4284,3.3591,3.4284,2.8115,496190.0,0.0,1.0
2014-03-25,3.369,3.4383,3.3293,3.4383,2.8197,528989.0,0.0,1.0
2014-03-26,3.4383,3.4879,3.4086,3.4681,2.844,554389.0,0.0,1.0
2014-03-27,3.4383,3.5176,3.4284,3.4978,2.8684,928947.0,0.0,1.0
2014-03-28,3.4582,3.4978,3.4383,3.4681,2.844,672697.0,0.0,1.0
2014-03-31,3.4383,3.4383,3.369,3.4086,2.7953,745984.0,0.0,1.0
2014-04-01,3.3789,3.4284,3.3789,3.4086,2.7953,538854.0,0.0,1.0
2014-04-02,3.4185,3.4582,3.3987,3.4383,2.8197,502790.0,0.0,1.0
2014-04-03,3.4383,3.4582,3.3888,3.4086,2.7953,396929.0,0.0,1.0
2014-04-04,3.3987,3.4383,3.3789,3.3789,2.7709,264665.0,0.0,1.0
2014-04-07,3.369,3.4582,3.369,3.4383,2.8197,887721.0,0.0,1.0
2014-04-08,3.4185,3.4681,3.4086,3.4284,2.8115,453233.0,0.0,1.0
2014-04-09,3.4383,3.4879,3.4185,3.4483,2.8278,639992.0,0.0,1.0
2014-04-10,3.4681,3.4681,3.4284,3.4383,2.8197,442019.0,0.0,1.0
2014-04-11,3.3987,3.4284,3.369,3.4086,2.7953,2001731.0,0.0,1.0
2014-04-14,3.3888,3.4284,3.3888,3.4086,2.7953,1989075.0,0.0,1.0
2014-04-15,3.3888,3.3987,3.3492,3.3591,2.7546,755692.0,0.0,1.0
2014-04-16,3.3591,3.3789,3.3393,3.3591,2.7546,183637.0,0.0,1.0
2014-04-17,3.3888,3.3888,3.2996,3.3194,2.7221,352885.0,0.0,1.0
2014-04-22,3.369,3.3789,3.3393,3.3789,2.7709,213542.0,0.0,1.0
2014-04-23,3.3789,3.3888,3.3095,3.3492,2.7465,544026.0,0.0,1.0
2014-04-24,3.3095,3.3789,3.3095,3.369,2.7628,374729.0,0.0,1.0
2014-04-28,3.3492,3.4185,3.3492,3.3789,2.7709,321242.0,0.0,1.0
2014-04-29,3.3888,3.4086,3.3095,3.3393,2.7384,503866.0,0.0,1.0
2014-04-30,3.3789,3.3888,3.3095,3.3492,2.7465,872541.0,0.0,1.0
2014-05-01,3.3591,3.3591,3.26,3.2798,2.6896,205604.0,0.0,1.0
2014-05-02,3.2798,3.3194,3.2501,3.2798,2.6896,179920.0,0.0,1.0
2014-05-05,3.2996,3.369,3.2897,3.369,2.7628,217039.0,0.0,1.0
2014-05-06,3.369,3.4086,3.369,3.3987,2.7871,338081.0,0.0,1.0
2014-05-07,3.3789,3.4086,3.3789,3.3888,2.779,373366.0,0.0,1.0
2014-05-08,3.3987,3.3987,3.2996,3.3591,2.7546,292134.0,0.0,1.0
2014-05-09,3.3393,3.3393,3.2996,3.3293,2.7303,410124.0,0.0,1.0
2014-05-12,3.3194,3.3393,3.2897,3.3095,2.714,402260.0,0.0,1.0
2014-05-13,3.3095,3.3293,3.255,3.2897,2.6978,1709556.0,0.0,1.0
2014-05-14,3.2996,3.3393,3.2699,3.2996,2.7059,387517.0,0.0,1.0
2014-05-15,3.369,3.369,3.2897,3.369,2.7628,683137.0,0.0,1.0
2014-05-16,3.3194,3.369,3.3194,3.3293,2.7303,97041.0,0.0,1.0
2014-05-19,3.3293,3.3492,3.2897,3.3293,2.7303,469421.0,0.0,1.0
2014-05-20,3.3293,3.369,3.2996,3.3293,2.7303,205831.0,0.0,1.0
2014-05-21,3.3095,3.3492,3.2848,3.3492,2.7465,562151.0,0.0,1.0
2014-05-22,3.3492,3.3888,3.3393,3.369,2.7628,445561.0,0.0,1.0
2014-05-23,3.369,3.3888,3.3293,3.3492,2.7465,617773.0,0.0,1.0
2014-05-26,3.369,3.3789,3.3492,3.3492,2.7465,647633.0,0.0,1.0
2014-05-27,3.3591,3.369,3.3393,3.3591,2.7546,314685.0,0.0,1.0
2014-05-28,3.3591,3.4086,3.3591,3.3987,2.7871,524882.0,0.0,1.0
2014-05-29,3.3888,3.3888,3.3492,3.369,2.7628,313199.0,0.0,1.0
2014-05-30,3.3789,3.4483,3.3393,3.3393,2.7384,5310838.0,0.0,1.0
2014-06-02,3.369,3.369,3.2798,3.3293,2.7303,837997.0,0.0,1.0
2014-06-03,3.3194,3.3492,3.2798,3.3293,2.7303,947947.0,0.0,1.0
2014-06-04,3.3293,3.3789,3.2897,3.3293,2.7303,594007.0,0.0,1.0
2014-06-05,3.3194,3.3393,3.2798,3.3293,2.7303,422711.0,0.0,1.0
2014-06-06,3.3194,3.369,3.2897,3.369,2.7628,965672.0,0.0,1.0
2014-06-10,3.3987,3.3987,3.3393,3.3789,2.7709,391294.0,0.0,1.0
2014-06-11,3.3591,3.4086,3.3293,3.3789,2.7709,810742.0,0.0,1.0
2014-06-12,3.369,3.4185,3.369,3.4086,2.7953,640252.0,0.0,1.0
2014-06-13,3.3987,3.4086,3.369,3.369,2.7628,560292.0,0.0,1.0
2014-06-16,3.3591,3.3789,3.3492,3.369,2.7628,554747.0,0.0,1.0
2014-06-17,3.369,3.3888,3.3393,3.3888,2.779,822118.0,0.0,1.0
2014-06-18,3.3789,3.4433,3.3789,3.4086,2.7953,1485021.0,0.0,1.0
2014-06-19,3.4185,3.4681,3.4185,3.4681,2.844,1221551.0,0.0,1.0
2014-06-20,3.4978,3.5374,3.478,3.5275,2.8928,2703733.0,0.0,1.0
2014-06-23,3.5077,3.5572,3.4284,3.478,2.8522,1294160.0,0.0,1.0
