date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-08-04,1.15,1.15,1.15,1.15,0.599,0.0,0.0,1.0
2004-08-05,1.3225,1.3416,1.265,1.2841,0.6688,2007431.0,0.0,1.0
2004-08-06,1.2937,1.3608,1.2841,1.3608,0.7088,1235925.0,0.0,1.0
2004-08-09,1.3608,1.3704,1.3416,1.3512,0.7038,271609.0,0.0,1.0
2004-08-10,1.3512,1.3512,1.3321,1.3512,0.7038,417791.0,0.0,1.0
2004-08-11,1.3416,1.3416,1.3225,1.3225,0.6888,149090.0,0.0,1.0
2004-08-12,1.3225,1.3321,1.3129,1.3225,0.6888,183150.0,0.0,1.0
2004-08-13,1.3225,1.3225,1.3033,1.3225,0.6888,151709.0,0.0,1.0
2004-08-16,1.3033,1.3129,1.3033,1.3129,0.6838,260265.0,0.0,1.0
2004-08-17,1.3129,1.3512,1.3129,1.3321,0.6938,402953.0,0.0,1.0
2004-08-18,1.3321,1.3321,1.3129,1.3129,0.6838,351552.0,0.0,1.0
2004-08-19,1.3129,1.3129,1.3033,1.3129,0.6838,816027.0,0.0,1.0
2004-08-20,1.3129,1.3129,1.3033,1.3129,0.6838,227212.0,0.0,1.0
2004-08-23,1.3033,1.3033,1.3033,1.3033,0.6788,183166.0,0.0,1.0
2004-08-24,1.3033,1.3225,1.3033,1.3129,0.6838,276528.0,0.0,1.0
2004-08-25,1.3225,1.3416,1.3225,1.3225,0.6888,117916.0,0.0,1.0
2004-08-26,1.3321,1.3512,1.3225,1.3512,0.7038,114068.0,0.0,1.0
2004-08-27,1.3512,1.38,1.3512,1.3704,0.7138,220267.0,0.0,1.0
2004-08-30,1.3608,1.3704,1.3608,1.3704,0.7138,149730.0,0.0,1.0
2004-08-31,1.3704,1.3896,1.3608,1.3896,0.7237,154380.0,0.0,1.0
2004-09-01,1.3896,1.3896,1.38,1.3896,0.7237,101000.0,0.0,1.0
2004-09-02,1.3896,1.4183,1.3896,1.4183,0.7387,94652.0,0.0,1.0
2004-09-03,1.4087,1.4087,1.3991,1.3991,0.7287,28703.0,0.0,1.0
2004-09-06,1.4183,1.4183,1.4183,1.4183,0.7387,43260.0,0.0,1.0
2004-09-07,1.4183,1.4183,1.4183,1.4183,0.7387,143259.0,0.0,1.0
2004-09-08,1.4183,1.4183,1.3991,1.4087,0.7337,150880.0,0.0,1.0
2004-09-09,1.4183,1.4183,1.3991,1.3991,0.7287,109354.0,0.0,1.0
2004-09-10,1.3991,1.3991,1.38,1.3896,0.7237,996287.0,0.0,1.0
2004-09-13,1.3896,1.3896,1.3896,1.3896,0.7237,48047.0,0.0,1.0
2004-09-14,1.38,1.3896,1.38,1.3896,0.7237,79306.0,0.0,1.0
2004-09-15,1.38,1.3896,1.38,1.3896,0.7237,77532.0,0.0,1.0
2004-09-16,1.3896,1.3896,1.38,1.3896,0.7237,91828.0,0.0,1.0
2004-09-17,1.3896,1.3896,1.38,1.38,0.7188,55712.0,0.0,1.0
2004-09-20,1.3896,1.3896,1.38,1.38,0.7188,152692.0,0.0,1.0
2004-09-21,1.38,1.3896,1.38,1.38,0.7188,546596.0,0.0,1.0
2004-09-22,1.38,1.3896,1.38,1.38,0.7188,261063.0,0.0,1.0
2004-09-23,1.38,1.3896,1.3704,1.3896,0.7237,760848.0,0.0,1.0
2004-09-24,1.4183,1.4279,1.3896,1.4183,0.7387,63340.0,0.0,1.0
2004-09-27,1.3991,1.4087,1.3991,1.4087,0.7337,272980.0,0.0,1.0
2004-09-28,1.4087,1.4279,1.4087,1.4279,0.7437,207353.0,0.0,1.0
2004-09-29,1.4183,1.4279,1.4183,1.4279,0.7437,99654.0,0.0,1.0
2004-09-30,1.4279,1.4279,1.4183,1.4279,0.7437,65427.0,0.0,1.0
2004-10-01,1.4279,1.4279,1.4183,1.4183,0.7387,34614.0,0.0,1.0
2004-10-04,1.4087,1.4087,1.4087,1.4087,0.7337,41010.0,0.0,1.0
2004-10-05,1.4087,1.4183,1.3991,1.4183,0.7387,9617.0,0.0,1.0
2004-10-06,1.4183,1.4566,1.4087,1.447,0.7537,63426.0,0.0,1.0
2004-10-07,1.4183,1.4566,1.4183,1.447,0.7537,37520.0,0.0,1.0
2004-10-08,1.447,1.4662,1.447,1.4566,0.7587,157673.0,0.0,1.0
2004-10-11,1.4854,1.6196,1.4854,1.5429,0.8036,116089.0,0.0,1.0
2004-10-12,1.5812,1.5812,1.562,1.562,0.8136,302745.0,0.0,1.0
2004-10-13,1.5812,1.61,1.562,1.6004,0.8335,148359.0,0.0,1.0
2004-10-14,1.6004,1.677,1.6004,1.61,0.8385,257066.0,0.0,1.0
2004-10-15,1.61,1.6291,1.61,1.61,0.8385,284385.0,0.0,1.0
2004-10-18,1.61,1.6291,1.61,1.61,0.8385,147290.0,0.0,1.0
2004-10-19,1.6196,1.6387,1.61,1.6196,0.8435,287815.0,0.0,1.0
2004-10-20,1.6196,1.6196,1.61,1.61,0.8385,266626.0,0.0,1.0
2004-10-21,1.6004,1.6004,1.6004,1.6004,0.8335,15757.0,0.0,1.0
2004-10-22,1.61,1.61,1.6004,1.61,0.8385,140822.0,0.0,1.0
2004-10-25,1.61,1.61,1.6004,1.6004,0.8335,176665.0,0.0,1.0
2004-10-26,1.6004,1.61,1.6004,1.61,0.8385,290132.0,0.0,1.0
2004-10-27,1.6196,1.6291,1.61,1.61,0.8385,113742.0,0.0,1.0
2004-10-28,1.61,1.6291,1.6004,1.6004,0.8335,158471.0,0.0,1.0
2004-10-29,1.6004,1.61,1.6004,1.6004,0.8335,196595.0,0.0,1.0
2004-11-01,1.61,1.61,1.61,1.61,0.8385,58436.0,0.0,1.0
2004-11-02,1.61,1.6196,1.61,1.6196,0.8435,35479.0,0.0,1.0
2004-11-03,1.61,1.6196,1.6004,1.6196,0.8435,215672.0,0.0,1.0
2004-11-04,1.6196,1.6291,1.6196,1.6196,0.8435,170091.0,0.0,1.0
2004-11-05,1.6196,1.6291,1.6004,1.6004,0.8335,268775.0,0.0,1.0
2004-11-08,1.6196,1.6387,1.6196,1.6196,0.8435,323828.0,0.0,1.0
2004-11-09,1.6196,1.6291,1.6196,1.6196,0.8435,119302.0,0.0,1.0
2004-11-10,1.6196,1.6291,1.6196,1.6196,0.8435,157047.0,0.0,1.0
2004-11-11,1.6196,1.6291,1.6196,1.6196,0.8435,142960.0,0.0,1.0
2004-11-12,1.6291,1.6291,1.6196,1.6196,0.8435,280597.0,0.0,1.0
2004-11-15,1.6291,1.6291,1.61,1.61,0.8385,59793.0,0.0,1.0
2004-11-16,1.6291,1.6483,1.6291,1.6291,0.8485,111655.0,0.0,1.0
2004-11-17,1.6196,1.6291,1.6196,1.6291,0.8485,183915.0,0.0,1.0
2004-11-18,1.6291,1.6387,1.6291,1.6387,0.8535,68871.0,0.0,1.0
2004-11-19,1.6387,1.6387,1.6291,1.6291,0.8485,91828.0,0.0,1.0
2004-11-22,1.6387,1.6387,1.6291,1.6291,0.8485,40436.0,0.0,1.0
2004-11-23,1.6291,1.6387,1.6291,1.6291,0.8485,113969.0,0.0,1.0
2004-11-24,1.6387,1.6387,1.6291,1.6291,0.8485,40196.0,0.0,1.0
2004-11-25,1.6387,1.6483,1.6291,1.6483,0.8585,46500.0,0.0,1.0
2004-11-26,1.6675,1.725,1.6675,1.6675,0.8685,279554.0,0.0,1.0
2004-11-29,1.677,1.7058,1.677,1.7058,0.8885,54210.0,0.0,1.0
2004-11-30,1.7154,1.7441,1.7058,1.7346,0.9034,98745.0,0.0,1.0
2004-12-01,1.7441,1.7537,1.7441,1.7441,0.9084,27832.0,0.0,1.0
2004-12-02,1.7633,1.7633,1.7633,1.7633,0.9184,15653.0,0.0,1.0
2004-12-03,1.7633,1.7633,1.725,1.725,0.8984,19270.0,0.0,1.0
2004-12-06,1.7346,1.7441,1.725,1.725,0.8984,35166.0,0.0,1.0
2004-12-07,1.7633,1.7633,1.7441,1.7441,0.9084,5557.0,0.0,1.0
2004-12-08,1.7633,1.7633,1.7346,1.7537,0.9134,49481.0,0.0,1.0
2004-12-09,1.725,1.725,1.725,1.725,0.8984,25566.0,0.0,1.0
2004-12-10,1.725,1.725,1.6387,1.6483,0.8585,240869.0,0.0,1.0
2004-12-13,1.6483,1.6579,1.6291,1.6291,0.8485,74787.0,0.0,1.0
2004-12-14,1.6291,1.6387,1.61,1.61,0.8385,252921.0,0.0,1.0
2004-12-15,1.61,1.61,1.4854,1.5046,0.7836,204735.0,0.0,1.0
2004-12-16,1.5237,1.5333,1.5141,1.5333,0.7986,278374.0,0.0,1.0
2004-12-17,1.5333,1.562,1.5333,1.562,0.8136,45288.0,0.0,1.0
2004-12-20,1.5525,1.5812,1.5525,1.5525,0.8086,46436.0,0.0,1.0
2004-12-21,1.5429,1.5429,1.5333,1.5333,0.7986,41740.0,0.0,1.0
2004-12-22,1.5716,1.5716,1.5333,1.5525,0.8086,19305.0,0.0,1.0
2004-12-23,1.562,1.61,1.562,1.61,0.8385,24209.0,0.0,1.0
2004-12-24,1.61,1.61,1.5908,1.5908,0.8286,25044.0,0.0,1.0
2004-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-12-29,1.61,1.61,1.61,1.61,0.8385,39804.0,0.0,1.0
2004-12-30,1.6004,1.6004,1.6004,1.6004,0.8335,4812.0,0.0,1.0
2004-12-31,1.6004,1.6004,1.6004,1.6004,0.8335,1740.0,0.0,1.0
2005-01-04,1.6387,1.6579,1.61,1.61,0.8385,12232.0,0.0,1.0
2005-01-05,1.5908,1.5908,1.562,1.5908,0.8286,33071.0,0.0,1.0
2005-01-06,1.5812,1.5908,1.5812,1.5812,0.8236,13504.0,0.0,1.0
2005-01-07,1.5908,1.5908,1.5908,1.5908,0.8286,12522.0,0.0,1.0
2005-01-10,1.5908,1.5908,1.5908,1.5908,0.8286,14212.0,0.0,1.0
2005-01-11,1.6004,1.6004,1.5908,1.5908,0.8286,29927.0,0.0,1.0
2005-01-12,1.5908,1.5908,1.5908,1.5908,0.8286,77741.0,0.0,1.0
2005-01-13,1.5908,1.5908,1.5812,1.5908,0.8286,64028.0,0.0,1.0
2005-01-14,1.5812,1.5908,1.5716,1.5716,0.8186,19265.0,0.0,1.0
2005-01-17,1.5716,1.6004,1.562,1.5812,0.8236,69680.0,0.0,1.0
2005-01-18,1.5908,1.5908,1.5716,1.5812,0.8236,180004.0,0.0,1.0
2005-01-19,1.5716,1.5812,1.5716,1.5812,0.8236,99341.0,0.0,1.0
2005-01-20,1.5812,1.5812,1.562,1.562,0.8136,24001.0,0.0,1.0
2005-01-21,1.562,1.5908,1.562,1.5812,0.8236,149181.0,0.0,1.0
2005-01-24,1.5812,1.5812,1.5716,1.5716,0.8186,30163.0,0.0,1.0
2005-01-25,1.5812,1.5812,1.5716,1.5812,0.8236,69695.0,0.0,1.0
2005-01-27,1.5716,1.5716,1.562,1.5716,0.8186,88958.0,0.0,1.0
2005-01-28,1.5716,1.5812,1.5716,1.5812,0.8236,91828.0,0.0,1.0
2005-01-31,1.5812,1.5812,1.5716,1.5716,0.8186,67168.0,0.0,1.0
2005-02-01,1.5716,1.5716,1.5716,1.5716,0.8186,92957.0,0.0,1.0
2005-02-02,1.5716,1.5812,1.562,1.5812,0.8236,89178.0,0.0,1.0
2005-02-03,1.6004,1.6004,1.5812,1.6004,0.8335,46958.0,0.0,1.0
2005-02-04,1.6004,1.6004,1.5716,1.5716,0.8186,46703.0,0.0,1.0
2005-02-07,1.61,1.61,1.5812,1.5812,0.8236,78733.0,0.0,1.0
2005-02-08,1.5812,1.5812,1.562,1.5716,0.8186,104519.0,0.0,1.0
2005-02-09,1.562,1.562,1.5525,1.5525,0.8086,48011.0,0.0,1.0
2005-02-10,1.5525,1.5716,1.5333,1.5716,0.8186,54784.0,0.0,1.0
2005-02-11,1.5716,1.5716,1.5525,1.5525,0.8086,41644.0,0.0,1.0
2005-02-14,1.5525,1.5525,1.5333,1.5333,0.7986,9488.0,0.0,1.0
2005-02-15,1.5333,1.562,1.5333,1.562,0.8136,25044.0,0.0,1.0
2005-02-16,1.5525,1.5525,1.5525,1.5525,0.8086,5218.0,0.0,1.0
2005-02-17,1.5237,1.5333,1.5141,1.5237,0.7936,21914.0,0.0,1.0
2005-02-18,1.5333,1.5333,1.5237,1.5237,0.7936,59249.0,0.0,1.0
2005-02-21,1.5237,1.5237,1.4566,1.5046,0.7836,81670.0,0.0,1.0
2005-02-22,1.495,1.495,1.4758,1.4758,0.7687,40175.0,0.0,1.0
2005-02-23,1.4566,1.4854,1.4183,1.4566,0.7587,97592.0,0.0,1.0
2005-02-24,1.4758,1.4758,1.3896,1.4183,0.7387,823714.0,0.0,1.0
2005-02-25,1.4183,1.5237,1.3991,1.5237,0.7936,287263.0,0.0,1.0
2005-02-28,1.5046,1.5046,1.4758,1.495,0.7786,72836.0,0.0,1.0
2005-03-01,1.5141,1.5333,1.495,1.495,0.7786,108184.0,0.0,1.0
