date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-10-12,2.06,2.06,1.98,2.05,2.05,539233.0,0.0,1.0
2016-10-13,2.05,2.05,1.9,1.91,1.91,231187.0,0.0,1.0
2016-10-14,1.91,1.91,1.85,1.875,1.875,156360.0,0.0,1.0
2016-10-17,1.83,1.89,1.82,1.82,1.82,6183.0,0.0,1.0
2016-10-18,1.82,1.83,1.79,1.79,1.79,30406.0,0.0,1.0
2016-10-19,1.8,1.8,1.79,1.79,1.79,108887.0,0.0,1.0
2016-10-20,1.8,1.8,1.75,1.75,1.75,29393.0,0.0,1.0
2016-10-21,1.75,1.8,1.69,1.7,1.7,198551.0,0.0,1.0
2016-10-24,1.7,1.8,1.7,1.75,1.75,35442.0,0.0,1.0
2016-10-25,1.75,1.8,1.75,1.8,1.8,147172.0,0.0,1.0
2016-10-26,1.85,1.85,1.68,1.68,1.68,214735.0,0.0,1.0
2016-10-27,1.69,1.7,1.645,1.655,1.655,56284.0,0.0,1.0
2016-10-28,1.68,1.68,1.58,1.58,1.58,92576.0,0.0,1.0
2016-10-31,1.59,1.59,1.54,1.59,1.59,30475.0,0.0,1.0
2016-11-01,1.59,1.59,1.59,1.59,1.59,6003.0,0.0,1.0
2016-11-02,1.6,1.605,1.59,1.6,1.6,26212.0,0.0,1.0
2016-11-03,1.56,1.56,1.5,1.5,1.5,23259.0,0.0,1.0
2016-11-04,1.6,1.625,1.55,1.58,1.58,98061.0,0.0,1.0
2016-11-07,1.65,1.73,1.65,1.7,1.7,110539.0,0.0,1.0
2016-11-08,1.8,1.8,1.77,1.8,1.8,54370.0,0.0,1.0
2016-11-09,1.77,1.77,1.65,1.65,1.65,15000.0,0.0,1.0
2016-11-10,1.8,1.87,1.8,1.83,1.83,45318.0,0.0,1.0
2016-11-11,1.8,1.85,1.8,1.82,1.82,81606.0,0.0,1.0
2016-11-14,1.82,1.84,1.8,1.82,1.82,216538.0,0.0,1.0
2016-11-15,1.8,1.8,1.79,1.79,1.79,16460.0,0.0,1.0
2016-11-16,1.795,1.8,1.795,1.795,1.795,22800.0,0.0,1.0
2016-11-17,1.8,1.8,1.8,1.8,1.8,54415.0,0.0,1.0
2016-11-18,1.8,1.8,1.8,1.8,1.8,54990.0,0.0,1.0
2016-11-21,1.78,1.785,1.77,1.785,1.785,36532.0,0.0,1.0
2016-11-22,1.785,1.785,1.785,1.785,1.785,0.0,0.0,1.0
2016-11-23,1.8,1.8,1.7,1.7,1.7,26398.0,0.0,1.0
2016-11-24,1.7,1.75,1.67,1.7,1.7,162909.0,0.0,1.0
2016-11-25,1.7,1.7,1.69,1.69,1.69,19900.0,0.0,1.0
2016-11-28,1.7,1.7,1.675,1.7,1.7,17512.0,0.0,1.0
2016-11-29,1.68,1.69,1.68,1.69,1.69,24000.0,0.0,1.0
2016-11-30,1.66,1.66,1.65,1.65,1.65,31888.0,0.0,1.0
2016-12-01,1.65,1.65,1.57,1.61,1.61,36322.0,0.0,1.0
2016-12-02,1.57,1.57,1.51,1.54,1.54,53318.0,0.0,1.0
2016-12-05,1.54,1.54,1.5,1.5,1.5,77000.0,0.0,1.0
2016-12-06,1.5,1.5,1.45,1.45,1.45,80000.0,0.0,1.0
2016-12-07,1.45,1.45,1.39,1.45,1.45,24839.0,0.0,1.0
2016-12-08,1.45,1.45,1.4,1.43,1.43,27238.0,0.0,1.0
2016-12-09,1.43,1.43,1.34,1.36,1.36,115812.0,0.0,1.0
2016-12-12,1.32,1.37,1.32,1.342,1.342,73215.0,0.0,1.0
2016-12-13,1.32,1.32,1.25,1.25,1.25,97492.0,0.0,1.0
2016-12-14,1.26,1.26,1.25,1.26,1.26,6382.0,0.0,1.0
2016-12-15,1.27,1.3,1.27,1.272,1.272,754081.0,0.0,1.0
