date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,19.0,19.06,19.0,19.05,7.6982,11428.0,0.0,1.0
2000-01-05,19.05,19.05,18.7,18.7,7.5567,41093.0,0.0,1.0
2000-01-06,18.7,18.75,18.7,18.7,7.5567,50789.0,0.0,1.0
2000-01-07,18.7,18.8,18.7,18.8,7.5971,2883.0,0.0,1.0
2000-01-10,18.9,19.05,18.9,19.05,7.6982,15571.0,0.0,1.0
2000-01-11,19.05,19.1,19.05,19.1,7.7184,33921.0,0.0,1.0
2000-01-12,19.2,19.21,19.2,19.2,7.7588,22568.0,0.0,1.0
2000-01-13,19.2,19.65,19.2,19.6,7.9204,28186.0,0.0,1.0
2000-01-14,19.61,19.65,19.6,19.6,7.9204,26552.0,0.0,1.0
2000-01-17,19.59,19.9,19.59,19.9,8.0417,2200.0,0.0,1.0
2000-01-18,19.9,19.9,19.6,19.6,7.9204,132655.0,0.0,1.0
2000-01-19,19.7,19.7,19.7,19.7,7.9608,1301.0,0.0,1.0
2000-01-20,19.8,20.0,19.8,19.9,8.0417,62739.0,0.0,1.0
2000-01-21,19.89,20.0,19.89,20.0,8.0821,8048.0,0.0,1.0
2000-01-24,20.0,20.03,19.89,20.0,8.0821,11827.0,0.0,1.0
2000-01-25,20.0,20.0,19.745,19.745,7.979,6708.0,0.0,1.0
2000-01-26,19.745,19.745,19.745,19.745,7.979,0.0,0.0,1.0
2000-01-27,19.6,20.0,19.6,19.9,8.0417,1601.0,0.0,1.0
2000-01-28,20.0,20.0,19.9,19.9,8.0417,7341.0,0.0,1.0
2000-01-31,19.6,19.9,19.6,19.7,7.9608,5133.0,0.0,1.0
2000-02-01,19.8,20.0,19.8,20.0,8.0821,53950.0,0.0,1.0
2000-02-02,19.8,20.0,19.8,20.0,8.0821,54914.0,0.0,1.0
2000-02-03,20.0,20.15,20.0,20.02,8.0901,48926.0,0.0,1.0
2000-02-04,20.02,20.15,20.0,20.0,8.0821,17944.0,0.0,1.0
2000-02-07,20.15,20.15,20.0,20.01,8.0861,8438.0,0.0,1.0
2000-02-08,20.15,20.2,20.0,20.2,8.1629,26103.0,0.0,1.0
2000-02-09,20.2,20.36,20.2,20.36,8.2275,4248.0,0.0,1.0
2000-02-10,20.42,22.0,20.37,22.0,8.8903,65375.0,0.0,1.0
2000-02-11,20.55,20.55,20.55,20.55,8.3043,500.0,0.0,1.0
2000-02-14,20.6,20.61,20.6,20.61,8.3286,90661.0,0.0,1.0
2000-02-15,20.62,21.3,20.62,21.12,8.5347,13736.0,0.0,1.0
2000-02-16,21.1,21.61,21.1,21.61,8.7327,33629.0,0.0,1.0
2000-02-17,21.7,22.51,21.7,22.51,9.0964,12272.0,0.0,1.0
2000-02-18,22.7,23.5,22.7,23.5,9.4964,22082.0,0.0,1.0
2000-02-21,23.5,24.05,23.5,23.7,9.5772,59589.0,0.0,1.0
2000-02-22,23.7,23.7,22.85,22.9,9.254,30777.0,0.0,1.0
2000-02-23,22.9,22.9,22.25,22.25,8.9913,12561.0,0.0,1.0
2000-02-24,22.25,22.25,21.73,21.86,8.8337,16413.0,0.0,1.0
2000-02-25,21.86,21.86,21.0,21.0,8.4862,15178.0,0.0,1.0
2000-02-28,20.0,21.0,19.99,21.0,8.6092,34999.0,0.0,1.0
2000-02-29,21.0,21.0,20.83,20.842,8.5444,50939.0,0.0,1.0
2000-03-01,20.511,21.0,20.511,20.85,8.5477,32879.0,0.0,1.0
2000-03-02,21.152,21.152,20.85,20.85,8.5477,15891.0,0.0,1.0
2000-03-03,20.85,20.85,20.5,20.5,8.4042,63357.0,0.0,1.0
2000-03-06,20.5,21.5,20.5,21.0,8.6092,11258.0,0.0,1.0
2000-03-07,21.0,21.3,21.0,21.2,8.6912,201380.0,0.0,1.0
2000-03-08,21.0,21.0,20.9,21.0,8.6092,5261.0,0.0,1.0
2000-03-09,20.9,20.9,20.5,20.5,8.4042,64309.0,0.0,1.0
2000-03-10,20.6,20.6,20.48,20.48,8.396,12618.0,0.0,1.0
2000-03-13,20.486,20.7,20.486,20.7,8.4862,13149.0,0.0,1.0
2000-03-14,20.7,21.0,20.6,20.6,8.4452,37976.0,0.0,1.0
2000-03-15,20.6,20.6,20.2,20.31,8.3263,20632.0,0.0,1.0
2000-03-16,20.34,21.0,20.34,21.0,8.6092,28993.0,0.0,1.0
2000-03-17,21.169,21.5,20.9,21.5,8.8141,49192.0,0.0,1.0
2000-03-20,22.0,23.0,22.0,22.0,9.0191,16794.0,0.0,1.0
2000-03-21,22.15,22.5,21.96,22.0,9.0191,20827.0,0.0,1.0
2000-03-22,22.0,22.5,22.0,22.26,9.1257,12121.0,0.0,1.0
2000-03-23,22.545,22.6,22.5,22.5,9.2241,119875.0,0.0,1.0
2000-03-24,22.5,22.75,22.5,22.7,9.3061,107229.0,0.0,1.0
2000-03-27,22.7,23.7,22.7,23.5,9.6341,52587.0,0.0,1.0
2000-03-28,23.5,24.2,23.5,24.145,9.8985,55255.0,0.0,1.0
2000-03-29,24.1,24.65,24.1,24.515,10.0502,50773.0,0.0,1.0
2000-03-30,24.5,24.5,22.586,22.586,9.2594,60322.0,0.0,1.0
2000-03-31,22.643,23.2,22.643,22.85,9.3676,38507.0,0.0,1.0
2000-04-03,22.85,22.85,22.2,22.74,9.3225,61140.0,0.0,1.0
2000-04-04,22.7,22.8,22.7,22.79,9.343,16942.0,0.0,1.0
2000-04-05,22.79,22.86,22.7,22.7,9.3061,143769.0,0.0,1.0
2000-04-06,22.72,22.9,22.7,22.9,9.3881,9743.0,0.0,1.0
2000-04-07,22.7,23.0,22.7,23.0,9.4291,13300.0,0.0,1.0
2000-04-10,23.4,23.5,23.29,23.4,9.5931,11034.0,0.0,1.0
2000-04-11,23.4,23.8,23.4,23.8,9.757,13277.0,0.0,1.0
2000-04-12,23.847,23.9,23.7,23.7,9.716,44723.0,0.0,1.0
2000-04-13,23.7,23.7,23.5,23.7,9.716,27072.0,0.0,1.0
2000-04-14,23.7,23.83,23.5,23.7,9.716,25902.0,0.0,1.0
2000-04-17,22.331,22.331,22.0,22.1,9.0601,3661.0,0.0,1.0
2000-04-18,22.43,24.0,22.106,22.106,9.0626,23808.0,0.0,1.0
2000-04-19,22.11,23.12,22.11,23.12,9.4783,4339.0,0.0,1.0
2000-04-20,23.2,24.2,23.2,23.89,9.7939,11444.0,0.0,1.0
2000-04-21,23.89,23.89,23.89,23.89,9.7939,0.0,0.0,1.0
2000-04-24,23.89,23.89,23.89,23.89,9.7939,0.0,0.0,1.0
2000-04-25,23.89,23.89,23.89,23.89,9.7939,0.0,0.0,1.0
2000-04-26,23.75,24.25,23.75,24.05,9.8595,21247.0,0.0,1.0
2000-04-27,24.0,24.1,23.8,24.1,9.88,27802.0,0.0,1.0
2000-04-28,24.02,24.5,24.02,24.5,10.044,26261.0,0.0,1.0
2000-05-01,24.5,25.0,24.5,25.0,10.249,10820.0,0.0,1.0
2000-05-02,25.006,25.94,25.006,25.6,10.495,17377.0,0.0,1.0
2000-05-03,25.8,25.95,25.7,25.75,10.5565,15179.0,0.0,1.0
2000-05-04,25.995,25.995,25.74,25.74,10.5524,110613.0,0.0,1.0
2000-05-05,25.0,25.35,25.0,25.35,10.3925,1635.0,0.0,1.0
2000-05-08,25.3,25.3,25.0,25.0,10.249,20304.0,0.0,1.0
2000-05-09,24.75,25.1,24.75,25.1,10.29,18600.0,0.0,1.0
2000-05-10,25.0,25.1,25.0,25.02,10.2572,26283.0,0.0,1.0
2000-05-11,24.687,25.0,24.6,25.0,10.249,14818.0,0.0,1.0
2000-05-12,25.25,25.4,25.0,25.0,10.249,2746.0,0.0,1.0
2000-05-15,25.0,25.0,24.8,24.8,10.167,4075.0,0.0,1.0
2000-05-16,24.8,24.8,24.1,24.6,10.085,17214.0,0.0,1.0
2000-05-17,24.7,25.01,24.7,25.01,10.2531,11051.0,0.0,1.0
2000-05-18,25.019,25.5,25.0,25.5,10.454,7009.0,0.0,1.0
2000-05-19,25.65,26.0,25.5,25.99,10.6549,17552.0,0.0,1.0
2000-05-22,25.5,25.56,25.3,25.5,10.454,9397.0,0.0,1.0
2000-05-23,25.492,25.492,25.4,25.4,10.413,2381.0,0.0,1.0
2000-05-24,25.4,25.4,25.11,25.11,10.2941,11594.0,0.0,1.0
2000-05-25,25.11,25.15,25.11,25.15,10.3105,5605.0,0.0,1.0
2000-05-26,25.3,25.51,25.3,25.4,10.413,4582.0,0.0,1.0
2000-05-29,25.0,25.4,25.0,25.4,10.413,8603.0,0.0,1.0
2000-05-30,25.1,25.25,25.0,25.0,10.249,1340.0,0.0,1.0
2000-05-31,25.0,25.0,24.6,25.0,10.249,37326.0,0.0,1.0
2000-06-01,24.5,24.9,24.2,24.9,10.208,17867.0,0.0,1.0
2000-06-02,24.9,25.2,24.9,25.11,10.2941,52965.0,0.0,1.0
2000-06-05,25.15,25.15,24.98,24.98,10.2408,764.0,0.0,1.0
2000-06-06,24.9,24.9,24.0,24.0,9.839,7988.0,0.0,1.0
2000-06-07,24.02,25.2,24.02,24.08,9.8718,9618.0,0.0,1.0
2000-06-08,24.08,24.2,23.95,24.1,9.88,8621.0,0.0,1.0
2000-06-09,24.15,25.1,24.15,24.16,9.9046,65031.0,0.0,1.0
2000-06-12,24.16,24.16,24.16,24.16,9.9046,0.0,0.0,1.0
2000-06-13,25.1,25.1,24.46,24.46,10.0276,13522.0,0.0,1.0
2000-06-14,24.6,25.05,24.46,25.05,10.2695,104256.0,0.0,1.0
2000-06-15,25.05,25.05,24.99,24.99,10.2449,143534.0,0.0,1.0
2000-06-16,24.8,24.99,24.8,24.9,10.208,3409.0,0.0,1.0
2000-06-19,24.65,24.65,24.0,24.0,9.839,8108.0,0.0,1.0
2000-06-20,24.0,25.0,24.0,25.0,10.249,18927.0,0.0,1.0
2000-06-21,24.994,25.03,24.5,25.0,10.249,40867.0,0.0,1.0
2000-06-22,25.0,25.52,25.0,25.52,10.4622,32092.0,0.0,1.0
2000-06-23,25.7,26.0,25.5,25.968,10.6458,36183.0,0.0,1.0
2000-06-26,25.5,25.5,25.5,25.5,10.454,1793.0,0.0,1.0
2000-06-27,25.51,26.0,25.51,26.0,10.659,59137.0,0.0,1.0
