date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-12-15,1.415,1.45,1.39,1.445,1.3046,9238989.0,0.0,1.0
2015-12-16,1.48,1.48,1.4,1.42,1.282,760366.0,0.0,1.0
2015-12-17,1.415,1.42,1.415,1.42,1.282,1576413.0,0.0,1.0
2015-12-18,1.42,1.42,1.42,1.42,1.282,496766.0,0.0,1.0
2015-12-21,1.43,1.43,1.41,1.41,1.273,1469463.0,0.0,1.0
2015-12-22,1.42,1.43,1.41,1.43,1.291,210000.0,0.0,1.0
2015-12-23,1.44,1.6,1.44,1.6,1.4445,604282.0,0.0,1.0
2015-12-24,1.6,1.6,1.53,1.535,1.3858,77400.0,0.0,1.0
2015-12-28,1.535,1.535,1.535,1.535,1.3858,0.0,0.0,1.0
2015-12-29,1.545,1.59,1.53,1.55,1.3993,130695.0,0.0,1.0
2015-12-30,1.53,1.53,1.52,1.53,1.3813,14500.0,0.0,1.0
2015-12-31,1.54,1.54,1.53,1.54,1.3903,41315.0,0.0,1.0
2016-01-04,1.54,1.59,1.54,1.59,1.4355,83230.0,0.0,1.0
2016-01-05,1.59,1.59,1.57,1.57,1.4174,13000.0,0.0,1.0
2016-01-06,1.57,1.57,1.55,1.56,1.4084,84338.0,0.0,1.0
2016-01-07,1.55,1.55,1.5,1.5,1.3542,987584.0,0.0,1.0
2016-01-08,1.51,1.57,1.5,1.57,1.4174,113319.0,0.0,1.0
2016-01-11,1.57,1.585,1.565,1.565,1.4129,56814.0,0.0,1.0
2016-01-12,1.565,1.57,1.565,1.57,1.4174,43872.0,0.0,1.0
2016-01-13,1.57,1.57,1.55,1.55,1.3993,73999.0,0.0,1.0
2016-01-14,1.55,1.55,1.55,1.55,1.3993,10301.0,0.0,1.0
2016-01-15,1.55,1.6,1.55,1.6,1.4445,150060.0,0.0,1.0
2016-01-18,1.55,1.55,1.55,1.55,1.3993,85995.0,0.0,1.0
2016-01-19,1.6,1.65,1.6,1.65,1.4896,6500.0,0.0,1.0
2016-01-20,1.61,1.65,1.61,1.65,1.4896,1050541.0,0.0,1.0
2016-01-21,1.65,1.7,1.63,1.63,1.4716,165853.0,0.0,1.0
2016-01-22,1.63,1.69,1.63,1.65,1.4896,93000.0,0.0,1.0
2016-01-25,1.65,1.65,1.65,1.65,1.4896,0.0,0.0,1.0
2016-01-27,1.66,1.68,1.65,1.65,1.4896,25219.0,0.0,1.0
2016-01-28,1.65,1.68,1.62,1.65,1.4896,45735.0,0.0,1.0
2016-01-29,1.65,1.65,1.62,1.65,1.4896,35321.0,0.0,1.0
2016-02-01,1.65,1.65,1.65,1.65,1.4896,48509.0,0.0,1.0
2016-02-02,1.7,1.7,1.7,1.7,1.5348,47500.0,0.0,1.0
2016-02-03,1.7,1.7,1.65,1.65,1.4896,37057.0,0.0,1.0
