date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-05-22,5.0,5.0,5.0,5.0,2.6296,0.0,0.0,1.0
2007-05-23,8.5,9.11,8.3,8.8,4.6281,29742594.0,0.0,1.0
2007-05-24,8.7,8.71,8.2,8.38,4.4072,9700563.0,0.0,1.0
2007-05-25,8.03,8.1,7.9,8.02,4.2179,5759666.0,0.0,1.0
2007-05-28,7.99,8.0,7.67,7.74,4.0706,2881499.0,0.0,1.0
2007-05-29,7.74,8.15,7.73,8.15,4.2862,1974776.0,0.0,1.0
2007-05-30,8.17,8.18,8.0,8.0,4.2073,1246296.0,0.0,1.0
2007-05-31,8.05,8.2,7.96,8.1,4.2599,896969.0,0.0,1.0
2007-06-01,8.05,8.08,7.98,8.0,4.2073,618436.0,0.0,1.0
2007-06-04,8.0,8.01,7.87,7.9,4.1547,668825.0,0.0,1.0
2007-06-05,7.9,7.98,7.88,7.92,4.1653,323199.0,0.0,1.0
2007-06-06,7.92,7.97,7.89,7.94,4.1758,456176.0,0.0,1.0
2007-06-07,7.88,7.96,7.82,7.91,4.16,499563.0,0.0,1.0
2007-06-08,7.86,7.96,7.82,7.95,4.181,358844.0,0.0,1.0
2007-06-12,7.96,7.97,7.81,7.86,4.1337,540619.0,0.0,1.0
2007-06-13,7.81,7.82,7.76,7.76,4.0811,486575.0,0.0,1.0
2007-06-14,7.75,7.75,7.55,7.62,4.0075,1006540.0,0.0,1.0
2007-06-15,7.61,7.65,7.56,7.59,3.9917,772268.0,0.0,1.0
2007-06-18,7.59,7.61,7.54,7.6,3.997,2227730.0,0.0,1.0
2007-06-19,7.57,7.58,7.47,7.5,3.9444,1265265.0,0.0,1.0
2007-06-20,7.5,7.5,7.3,7.35,3.8655,644625.0,0.0,1.0
2007-06-21,7.29,7.29,7.06,7.21,3.7919,877353.0,0.0,1.0
2007-06-22,7.16,7.24,7.12,7.24,3.8076,859041.0,0.0,1.0
2007-06-25,7.19,7.2,7.07,7.12,3.7445,910814.0,0.0,1.0
2007-06-26,7.1,7.12,6.91,6.96,3.6604,1313346.0,0.0,1.0
2007-06-27,6.92,7.24,6.9,7.1,3.734,1777350.0,0.0,1.0
2007-06-28,7.14,7.28,7.14,7.28,3.8287,1377684.0,0.0,1.0
2007-06-29,7.28,7.48,7.28,7.42,3.9023,961193.0,0.0,1.0
2007-07-02,7.39,7.4,7.19,7.39,3.8865,472392.0,0.0,1.0
2007-07-03,7.4,7.41,7.19,7.2,3.7866,385854.0,0.0,1.0
2007-07-04,7.2,7.2,7.02,7.15,3.7603,531440.0,0.0,1.0
2007-07-05,7.1,7.14,7.06,7.14,3.755,443318.0,0.0,1.0
2007-07-06,7.09,7.14,7.08,7.14,3.755,263115.0,0.0,1.0
2007-07-09,7.06,7.06,6.9,6.9,3.6288,866246.0,0.0,1.0
2007-07-10,6.89,6.89,6.69,6.81,3.5815,1018460.0,0.0,1.0
2007-07-11,6.9,7.0,6.81,7.0,3.6814,518481.0,0.0,1.0
2007-07-12,7.02,7.1,7.0,7.04,3.7025,458990.0,0.0,1.0
2007-07-13,7.11,7.12,7.01,7.11,3.7393,529816.0,0.0,1.0
2007-07-16,7.13,7.14,7.1,7.13,3.7498,274157.0,0.0,1.0
2007-07-17,7.12,7.16,7.1,7.16,3.7656,407163.0,0.0,1.0
2007-07-18,7.11,7.12,7.05,7.1,3.734,276147.0,0.0,1.0
2007-07-19,7.13,7.14,7.06,7.12,3.7445,291795.0,0.0,1.0
2007-07-20,7.11,7.2,7.11,7.2,3.7866,400377.0,0.0,1.0
2007-07-23,7.14,7.2,7.12,7.2,3.7866,277342.0,0.0,1.0
2007-07-24,7.19,7.19,7.06,7.15,3.7603,316757.0,0.0,1.0
2007-07-25,7.09,7.1,7.02,7.08,3.7235,422957.0,0.0,1.0
2007-07-26,7.05,7.1,7.03,7.08,3.7235,261919.0,0.0,1.0
2007-07-27,7.0,7.06,6.95,7.0,3.6814,626889.0,0.0,1.0
2007-07-30,6.95,7.04,6.9,7.0,3.6814,464826.0,0.0,1.0
2007-07-31,7.01,7.03,6.88,6.88,3.6183,235326.0,0.0,1.0
2007-08-01,6.9,6.95,6.62,6.74,3.5447,451874.0,0.0,1.0
2007-08-02,6.85,6.85,6.64,6.67,3.5079,457294.0,0.0,1.0
2007-08-03,6.73,6.8,6.73,6.77,3.5605,381534.0,0.0,1.0
2007-08-06,6.72,6.86,6.62,6.79,3.571,560409.0,0.0,1.0
2007-08-07,6.88,6.93,6.79,6.88,3.6183,192050.0,0.0,1.0
2007-08-08,6.92,6.98,6.9,6.94,3.6499,269769.0,0.0,1.0
2007-08-09,6.94,6.94,6.9,6.93,3.6446,379675.0,0.0,1.0
2007-08-10,6.8,6.89,6.75,6.82,3.5868,293810.0,0.0,1.0
2007-08-13,6.8,6.82,6.72,6.74,3.5447,709664.0,0.0,1.0
2007-08-14,6.74,6.8,6.66,6.67,3.5079,388624.0,0.0,1.0
2007-08-15,6.61,6.65,6.33,6.34,3.3343,833489.0,0.0,1.0
2007-08-16,6.21,6.3,5.8,5.8,3.0503,1538838.0,0.0,1.0
2007-08-17,5.95,6.15,5.95,6.15,3.2344,570790.0,0.0,1.0
2007-08-20,6.3,6.35,6.08,6.2,3.2607,1004361.0,0.0,1.0
2007-08-21,6.3,6.46,6.29,6.45,3.3922,663155.0,0.0,1.0
2007-08-22,6.44,6.44,6.2,6.24,3.2817,618600.0,0.0,1.0
2007-08-23,6.28,6.49,6.28,6.45,3.3922,715806.0,0.0,1.0
2007-08-24,6.42,6.6,6.31,6.5,3.4185,497677.0,0.0,1.0
2007-08-27,6.52,6.65,6.45,6.47,3.4027,318225.0,0.0,1.0
2007-08-28,6.5,6.5,6.37,6.38,3.3554,485556.0,0.0,1.0
2007-08-29,6.31,6.44,6.28,6.44,3.3869,283379.0,0.0,1.0
2007-08-30,6.44,6.44,6.38,6.43,3.3816,379201.0,0.0,1.0
2007-08-31,6.4,6.4,6.35,6.37,3.3501,349466.0,0.0,1.0
2007-09-03,6.41,6.59,6.37,6.57,3.4553,210231.0,0.0,1.0
2007-09-04,6.57,6.58,6.45,6.52,3.429,194586.0,0.0,1.0
2007-09-05,6.5,6.62,6.5,6.56,3.45,261245.0,0.0,1.0
2007-09-06,6.54,6.54,6.35,6.44,3.3869,150248.0,0.0,1.0
2007-09-07,6.45,6.46,6.35,6.36,3.3448,136944.0,0.0,1.0
2007-09-10,6.31,6.35,6.25,6.33,3.3291,297605.0,0.0,1.0
2007-09-11,6.33,6.47,6.33,6.4,3.3659,310133.0,0.0,1.0
2007-09-12,6.42,6.45,6.39,6.39,3.3606,610643.0,0.0,1.0
2007-09-13,6.38,6.38,6.27,6.29,3.308,656478.0,0.0,1.0
2007-09-14,6.32,6.32,6.29,6.31,3.3185,816200.0,0.0,1.0
2007-09-17,6.3,6.32,6.28,6.3,3.3133,625467.0,0.0,1.0
2007-09-18,6.28,6.3,6.27,6.28,3.3028,328800.0,0.0,1.0
2007-09-19,6.3,6.43,6.3,6.41,3.3711,531281.0,0.0,1.0
2007-09-20,6.43,6.43,6.37,6.38,3.3554,785101.0,0.0,1.0
2007-09-21,6.39,6.4,6.35,6.4,3.3659,377082.0,0.0,1.0
2007-09-24,6.39,6.4,6.36,6.4,3.3659,521899.0,0.0,1.0
2007-09-25,6.38,6.4,6.38,6.39,3.3606,565047.0,0.0,1.0
2007-09-26,6.39,6.39,6.36,6.36,3.3448,299921.0,0.0,1.0
2007-09-27,6.36,6.4,6.36,6.4,3.3659,327239.0,0.0,1.0
2007-09-28,6.4,6.42,6.37,6.38,3.3554,614729.0,0.0,1.0
2007-10-01,6.38,6.38,6.28,6.3,3.3133,125507.0,0.0,1.0
2007-10-02,6.31,6.39,6.31,6.38,3.3554,414949.0,0.0,1.0
2007-10-03,6.35,6.4,6.35,6.4,3.3659,279118.0,0.0,1.0
2007-10-04,6.34,6.4,6.33,6.39,3.3606,269611.0,0.0,1.0
2007-10-05,6.39,6.8,6.39,6.77,3.5605,474476.0,0.0,1.0
2007-10-08,6.85,6.99,6.85,6.92,3.6393,400691.0,0.0,1.0
2007-10-09,6.85,6.92,6.81,6.87,3.613,703510.0,0.0,1.0
2007-10-10,6.07,6.64,6.05,6.23,3.2765,2135061.0,0.0,1.0
2007-10-11,6.17,6.18,6.05,6.17,3.2449,1168956.0,0.0,1.0
2007-10-12,6.17,6.2,6.12,6.16,3.2396,390412.0,0.0,1.0
2007-10-15,6.19,6.19,6.13,6.17,3.2449,372252.0,0.0,1.0
2007-10-16,6.17,6.2,6.1,6.11,3.2134,585832.0,0.0,1.0
2007-10-17,6.16,6.17,6.05,6.09,3.2028,715446.0,0.0,1.0
2007-10-18,6.07,6.12,6.05,6.05,3.1818,297438.0,0.0,1.0
2007-10-19,6.09,6.11,6.02,6.02,3.166,309020.0,0.0,1.0
2007-10-22,6.0,6.0,5.89,5.96,3.1345,467540.0,0.0,1.0
2007-10-23,5.95,6.0,5.67,5.7,2.9977,934204.0,0.0,1.0
2007-10-24,5.71,5.72,5.46,5.7,2.9977,1140350.0,0.0,1.0
2007-10-25,5.7,5.7,5.56,5.62,2.9557,679510.0,0.0,1.0
2007-10-26,5.65,5.7,5.6,5.68,2.9872,371613.0,0.0,1.0
2007-10-29,5.68,5.75,5.68,5.72,3.0082,502099.0,0.0,1.0
