date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-11-18,2.52,2.95,2.51,2.9,2.6687,9721312.0,0.0,1.0
2015-11-19,2.79,2.79,2.62,2.63,2.4202,2346104.0,0.0,1.0
2015-11-20,2.61,2.61,2.55,2.6,2.3926,1291020.0,0.0,1.0
2015-11-23,2.59,2.74,2.59,2.67,2.457,335740.0,0.0,1.0
2015-11-24,2.69,2.72,2.65,2.7,2.4846,313992.0,0.0,1.0
2015-11-25,2.7,2.76,2.67,2.7,2.4846,425170.0,0.0,1.0
2015-11-26,2.72,2.8,2.72,2.78,2.5583,221790.0,0.0,1.0
2015-11-27,2.75,2.77,2.67,2.71,2.4938,338862.0,0.0,1.0
2015-11-30,2.73,2.74,2.64,2.67,2.457,293270.0,0.0,1.0
2015-12-01,2.67,2.74,2.67,2.74,2.5215,144765.0,0.0,1.0
2015-12-02,2.74,2.86,2.74,2.82,2.5951,303836.0,0.0,1.0
2015-12-03,2.8,2.81,2.77,2.8,2.5767,283031.0,0.0,1.0
2015-12-04,2.78,2.79,2.68,2.7,2.4846,159211.0,0.0,1.0
2015-12-07,2.72,2.72,2.64,2.65,2.4386,223737.0,0.0,1.0
2015-12-08,2.66,2.7,2.63,2.66,2.4478,189940.0,0.0,1.0
2015-12-09,2.68,2.71,2.65,2.7,2.4846,1882037.0,0.0,1.0
2015-12-10,2.7,2.7,2.6,2.6,2.3926,98803.0,0.0,1.0
2015-12-11,2.62,2.65,2.58,2.64,2.4294,1007327.0,0.0,1.0
2015-12-14,2.6,2.6,2.565,2.57,2.365,89404.0,0.0,1.0
2015-12-15,2.57,2.57,2.51,2.51,2.3098,115163.0,0.0,1.0
2015-12-16,2.5,2.59,2.4,2.58,2.3742,443667.0,0.0,1.0
2015-12-17,2.6,2.67,2.55,2.64,2.4294,315525.0,0.0,1.0
2015-12-18,2.6,2.69,2.6,2.69,2.4754,202255.0,0.0,1.0
2015-12-21,2.68,2.85,2.65,2.85,2.6227,331504.0,0.0,1.0
2015-12-22,2.85,2.93,2.81,2.93,2.6963,450228.0,0.0,1.0
2015-12-23,2.92,3.1,2.92,3.04,2.7975,410178.0,0.0,1.0
2015-12-24,3.0,3.07,3.0,3.0,2.7607,285683.0,0.0,1.0
2015-12-28,3.0,3.0,3.0,3.0,2.7607,0.0,0.0,1.0
2015-12-29,3.07,3.1,3.0,3.08,2.8343,85312.0,0.0,1.0
2015-12-30,3.1,3.1,3.03,3.05,2.8067,57163.0,0.0,1.0
2015-12-31,3.01,3.07,3.0,3.06,2.8159,53437.0,0.0,1.0
2016-01-04,3.04,3.1,2.99,3.08,2.8343,216306.0,0.0,1.0
2016-01-05,3.01,3.05,2.98,3.0,2.7607,137499.0,0.0,1.0
2016-01-06,3.0,3.01,2.96,3.0,2.7607,44164.0,0.0,1.0
2016-01-07,3.0,3.01,2.87,2.88,2.6503,115096.0,0.0,1.0
2016-01-08,2.8,2.96,2.8,2.92,2.6871,106633.0,0.0,1.0
2016-01-11,2.85,2.92,2.74,2.92,2.6871,104241.0,0.0,1.0
2016-01-12,2.9,2.9,2.75,2.8,2.5767,188315.0,0.0,1.0
2016-01-13,2.8,2.87,2.75,2.84,2.6135,127370.0,0.0,1.0
2016-01-14,2.86,2.86,2.65,2.67,2.457,44144.0,0.0,1.0
2016-01-15,2.7,2.85,2.7,2.8,2.5767,418031.0,0.0,1.0
2016-01-18,2.78,2.9,2.78,2.9,2.6687,145107.0,0.0,1.0
2016-01-19,2.87,2.9,2.79,2.9,2.6687,121388.0,0.0,1.0
2016-01-20,2.86,2.89,2.78,2.78,2.5583,75839.0,0.0,1.0
2016-01-21,2.78,2.79,2.72,2.79,2.5675,158604.0,0.0,1.0
2016-01-22,2.74,2.94,2.71,2.8,2.5767,152266.0,0.0,1.0
2016-01-25,2.84,2.85,2.71,2.82,2.5951,62584.0,0.0,1.0
2016-01-27,2.85,2.93,2.77,2.8,2.5767,117558.0,0.0,1.0
2016-01-28,2.83,2.93,2.83,2.91,2.6779,115790.0,0.0,1.0
2016-01-29,2.91,2.94,2.82,2.89,2.6595,98007.0,0.0,1.0
2016-02-01,2.9,2.9,2.8,2.82,2.5951,50590.0,0.0,1.0
2016-02-02,2.83,2.85,2.78,2.81,2.5859,364897.0,0.0,1.0
2016-02-03,2.79,2.82,2.77,2.8,2.5767,92712.0,0.0,1.0
2016-02-04,2.77,2.79,2.75,2.76,2.5399,208790.0,0.0,1.0
2016-02-05,2.74,2.77,2.6,2.6,2.3926,193107.0,0.0,1.0
2016-02-08,2.59,2.6,2.49,2.55,2.3466,125592.0,0.0,1.0
2016-02-09,2.5,2.55,2.45,2.5,2.3006,161558.0,0.0,1.0
2016-02-10,2.55,2.58,2.41,2.48,2.2822,126050.0,0.0,1.0
2016-02-11,2.48,2.48,2.3,2.35,2.1626,318523.0,0.0,1.0
2016-02-12,2.3,2.35,2.22,2.22,2.0429,493167.0,0.0,1.0
2016-02-15,2.26,2.39,2.25,2.35,2.1626,308272.0,0.0,1.0
2016-02-16,2.4,2.46,2.38,2.45,2.2546,137783.0,0.0,1.0
2016-02-17,2.48,2.59,2.48,2.53,2.3282,80231.0,0.0,1.0
2016-02-18,2.53,2.6,2.53,2.55,2.3466,46483.0,0.0,1.0
2016-02-19,2.55,2.57,2.55,2.56,2.3558,158535.0,0.0,1.0
2016-02-22,2.54,2.67,2.54,2.65,2.4386,183081.0,0.0,1.0
2016-02-23,2.62,2.68,2.56,2.61,2.4018,309417.0,0.0,1.0
2016-02-24,2.68,2.68,2.55,2.58,2.3742,148377.0,0.0,1.0
2016-02-25,2.58,2.6,2.32,2.5,2.3006,331250.0,0.0,1.0
2016-02-26,2.36,2.36,2.26,2.3,2.1165,258431.0,0.0,1.0
2016-02-29,2.4,2.5,2.36,2.45,2.2546,73104.0,0.0,1.0
2016-03-01,2.45,2.52,2.42,2.52,2.319,123090.0,0.0,1.0
2016-03-02,2.54,2.54,2.46,2.5,2.3006,71403.0,0.0,1.0
2016-03-03,2.5,2.51,2.42,2.47,2.273,65320.0,0.0,1.0
2016-03-04,2.47,2.55,2.29,2.36,2.1718,155204.0,0.0,1.0
2016-03-07,2.39,2.42,2.26,2.28,2.0981,118072.0,0.0,1.0
2016-03-08,2.27,2.34,2.25,2.25,2.0705,103430.0,0.0,1.0
2016-03-09,2.26,2.29,2.24,2.26,2.0797,51934.0,0.0,1.0
2016-03-10,2.3,2.47,2.3,2.4,2.2086,56328.0,0.0,1.0
2016-03-11,2.37,2.44,2.33,2.43,2.2362,71163.0,0.0,1.0
2016-03-14,2.41,2.44,2.34,2.35,2.1626,45145.0,0.0,1.0
2016-03-15,2.36,2.36,2.3,2.35,2.1626,40307.0,0.0,1.0
2016-03-16,2.3,2.37,2.3,2.35,2.1626,116490.0,0.0,1.0
2016-03-17,2.54,2.58,2.37,2.44,2.2454,206718.0,0.0,1.0
2016-03-18,2.45,2.46,2.4,2.43,2.2362,67025.0,0.0,1.0
2016-03-21,2.44,2.45,2.41,2.44,2.2454,143359.0,0.0,1.0
2016-03-22,2.45,2.55,2.45,2.55,2.3466,125198.0,0.0,1.0
2016-03-23,2.51,2.65,2.45,2.6,2.3926,101605.0,0.0,1.0
2016-03-24,2.58,2.63,2.5,2.6,2.3926,164229.0,0.0,1.0
2016-03-29,2.6,2.62,2.53,2.6,2.3926,52400.0,0.0,1.0
2016-03-30,2.59,2.59,2.47,2.57,2.3707,51911.0,0.0,1.0
2016-03-31,2.57,2.65,2.52,2.6,2.3983,94382.0,0.0,1.0
2016-04-01,2.6,2.6,2.55,2.59,2.3891,34626.0,0.0,1.0
2016-04-04,2.59,2.63,2.55,2.6,2.3983,118932.0,0.0,1.0
2016-04-05,2.6,2.61,2.53,2.55,2.3522,156824.0,0.0,1.0
2016-04-06,2.55,2.55,2.5,2.5,2.3061,80073.0,0.0,1.0
2016-04-07,2.55,2.55,2.5,2.52,2.3245,103111.0,0.0,1.0
2016-04-08,2.5,2.5,2.47,2.47,2.2784,257914.0,0.0,1.0
2016-04-11,2.49,2.55,2.46,2.5,2.3061,102793.0,0.0,1.0
2016-04-12,2.45,2.5,2.45,2.48,2.2876,74227.0,0.0,1.0
2016-04-13,2.49,2.5,2.45,2.45,2.26,88977.0,0.0,1.0
2016-04-14,2.46,2.5,2.46,2.47,2.2784,42806.0,0.0,1.0
2016-04-15,2.48,2.56,2.47,2.55,2.3522,497300.0,0.0,1.0
2016-04-18,2.54,2.55,2.47,2.47,2.2784,42084.0,0.0,1.0
2016-04-19,2.49,2.57,2.49,2.49,2.2969,122434.0,0.0,1.0
2016-04-20,2.5,2.5,2.47,2.47,2.2784,36867.0,0.0,1.0
2016-04-21,2.47,2.55,2.4,2.5,2.3061,115904.0,0.0,1.0
2016-04-22,2.49,2.5,2.45,2.46,2.2692,59658.0,0.0,1.0
2016-04-26,2.47,2.6,2.47,2.5,2.3061,48881.0,0.0,1.0
2016-04-27,2.51,2.59,2.5,2.55,2.3522,75595.0,0.0,1.0
2016-04-28,2.55,2.55,2.51,2.52,2.3245,79632.0,0.0,1.0
2016-04-29,2.59,2.65,2.49,2.63,2.426,113210.0,0.0,1.0
2016-05-02,2.64,2.65,2.55,2.65,2.4445,41954.0,0.0,1.0
2016-05-03,2.65,2.73,2.56,2.66,2.4537,108280.0,0.0,1.0
2016-05-04,2.68,2.7,2.63,2.7,2.4906,67635.0,0.0,1.0
2016-05-05,2.68,2.7,2.59,2.59,2.3891,307481.0,0.0,1.0
2016-05-06,2.57,2.59,2.55,2.57,2.3707,94082.0,0.0,1.0
2016-05-09,2.58,2.66,2.55,2.64,2.4352,33678.0,0.0,1.0
2016-05-10,2.64,2.66,2.62,2.65,2.4445,71999.0,0.0,1.0
2016-05-11,2.66,2.74,2.65,2.7,2.4906,197022.0,0.0,1.0
2016-05-12,2.72,2.73,2.68,2.72,2.509,169071.0,0.0,1.0
2016-05-13,2.72,2.78,2.71,2.72,2.509,85840.0,0.0,1.0
2016-05-16,2.71,2.74,2.7,2.74,2.5275,30807.0,0.0,1.0
2016-05-17,2.76,2.78,2.75,2.76,2.5459,207874.0,0.0,1.0
2016-05-18,2.75,2.77,2.7,2.71,2.4998,67051.0,0.0,1.0
2016-05-19,2.75,2.75,2.66,2.66,2.4537,155856.0,0.0,1.0
2016-05-20,2.66,2.7,2.66,2.7,2.4906,12257.0,0.0,1.0
2016-05-23,2.7,2.76,2.67,2.76,2.5459,23832.0,0.0,1.0
2016-05-24,2.72,2.77,2.7,2.75,2.5367,38903.0,0.0,1.0
2016-05-25,2.75,2.79,2.72,2.79,2.5736,35681.0,0.0,1.0
2016-05-26,2.79,2.79,2.7,2.7,2.4906,70624.0,0.0,1.0
2016-05-27,2.72,2.75,2.71,2.75,2.5367,19317.0,0.0,1.0
2016-05-30,2.75,2.85,2.73,2.84,2.6197,47547.0,0.0,1.0
2016-05-31,2.8,2.92,2.8,2.9,2.6751,99485.0,0.0,1.0
2016-06-01,2.89,2.93,2.85,2.93,2.7027,317679.0,0.0,1.0
2016-06-02,2.87,2.94,2.87,2.91,2.6843,109847.0,0.0,1.0
2016-06-03,2.88,2.96,2.87,2.96,2.7304,70993.0,0.0,1.0
2016-06-06,2.95,3.0,2.93,2.97,2.7396,159692.0,0.0,1.0
2016-06-07,3.0,3.03,2.97,3.03,2.795,187548.0,0.0,1.0
2016-06-08,3.0,3.15,3.0,3.15,2.9057,472747.0,0.0,1.0
2016-06-09,3.11,3.14,3.0,3.06,2.8227,147755.0,0.0,1.0
2016-06-10,3.04,3.06,2.98,3.03,2.795,203727.0,0.0,1.0
2016-06-14,2.99,3.09,2.92,2.95,2.7212,174522.0,0.0,1.0
2016-06-15,2.96,3.0,2.89,2.94,2.712,734857.0,0.0,1.0
2016-06-16,2.94,2.94,2.81,2.85,2.6289,126034.0,0.0,1.0
2016-06-17,2.87,2.94,2.81,2.9,2.6751,59032.0,0.0,1.0
2016-06-20,2.9,3.0,2.9,2.95,2.7212,617547.0,0.0,1.0
2016-06-21,2.99,3.14,2.955,2.96,2.7304,145339.0,0.0,1.0
2016-06-22,3.03,3.09,3.03,3.09,2.8503,30150.0,0.0,1.0
2016-06-23,3.08,3.2,3.06,3.15,2.9057,116070.0,0.0,1.0
2016-06-24,3.17,3.22,2.72,2.85,2.6289,502568.0,0.0,1.0
2016-06-27,2.85,2.9,2.78,2.79,2.5736,746008.0,0.0,1.0
2016-06-28,2.78,2.82,2.74,2.76,2.5459,57586.0,0.0,1.0
2016-06-29,2.79,2.87,2.78,2.85,2.6289,228394.0,0.0,1.0
2016-06-30,2.81,2.86,2.76,2.78,2.5644,165242.0,0.0,1.0
2016-07-01,2.76,2.87,2.76,2.8,2.5828,32784.0,0.0,1.0
2016-07-04,2.82,2.82,2.7,2.73,2.5183,59612.0,0.0,1.0
2016-07-05,2.75,2.75,2.62,2.66,2.4537,78398.0,0.0,1.0
2016-07-06,2.68,2.7,2.62,2.65,2.4445,109443.0,0.0,1.0
2016-07-07,2.65,2.75,2.65,2.69,2.4814,59122.0,0.0,1.0
2016-07-08,2.67,2.76,2.67,2.73,2.5183,8724.0,0.0,1.0
2016-07-11,2.74,2.8,2.73,2.8,2.5828,42142.0,0.0,1.0
2016-07-12,2.78,2.8,2.7,2.76,2.5459,57474.0,0.0,1.0
2016-07-13,2.73,2.84,2.73,2.76,2.5459,110275.0,0.0,1.0
2016-07-14,2.75,2.84,2.72,2.84,2.6197,53391.0,0.0,1.0
2016-07-15,2.81,2.89,2.8,2.89,2.6658,62148.0,0.0,1.0
