date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.0186,4.0851,4.0007,4.0007,2.0848,3977102.0,0.0,1.0
2000-01-05,3.9585,3.9901,3.9057,3.969,2.0683,2929139.0,0.0,1.0
2000-01-06,4.064,4.1379,4.0218,4.0535,2.1123,5361306.0,0.0,1.0
2000-01-07,4.1168,4.1379,4.0324,4.0746,2.1233,5105208.0,0.0,1.0
2000-01-10,4.1379,4.1696,4.0957,4.1485,2.1618,4048700.0,0.0,1.0
2000-01-11,4.1696,4.1907,4.0957,4.1622,2.1689,3752011.0,0.0,1.0
2000-01-12,4.1485,4.1485,4.0324,4.064,2.1178,2749126.0,0.0,1.0
2000-01-13,4.1168,4.1168,4.0429,4.0746,2.1233,4131597.0,0.0,1.0
2000-01-14,4.1063,4.1063,4.0324,4.0767,2.1244,2141754.0,0.0,1.0
2000-01-17,4.0851,4.0851,4.0113,4.0218,2.0958,3948419.0,0.0,1.0
2000-01-18,4.0324,4.0851,4.0324,4.064,2.1178,3205391.0,0.0,1.0
2000-01-19,4.0851,4.1907,4.0851,4.1696,2.1728,4471911.0,0.0,1.0
2000-01-20,4.2118,4.3385,4.2118,4.2963,2.2388,6651100.0,0.0,1.0
2000-01-21,4.2656,4.3596,4.254,4.2963,2.2388,2388609.0,0.0,1.0
2000-01-24,4.2751,4.2963,4.1801,4.216,2.197,2168573.0,0.0,1.0
2000-01-25,4.1168,4.1168,4.0535,4.1105,2.142,4409095.0,0.0,1.0
2000-01-26,4.1471,4.1471,4.1471,4.1471,2.161,0.0,0.0,1.0
2000-01-27,4.0957,4.159,4.0429,4.1274,2.1508,3891187.0,0.0,1.0
2000-01-28,4.1274,4.1274,4.064,4.0936,2.1332,1352444.0,0.0,1.0
2000-01-31,4.0535,4.0851,4.0007,4.0429,2.1068,1874443.0,0.0,1.0
2000-02-01,4.064,4.0851,4.0218,4.0535,2.1123,1954687.0,0.0,1.0
2000-02-02,4.0957,4.1168,4.0324,4.0324,2.1013,2547128.0,0.0,1.0
2000-02-03,4.0324,4.0851,3.9374,4.0007,2.0848,2518014.0,0.0,1.0
2000-02-04,4.0007,4.0007,3.9162,3.9479,2.0573,3761318.0,0.0,1.0
2000-02-07,3.9901,3.9901,3.8846,3.9057,2.0353,1372711.0,0.0,1.0
2000-02-08,3.8951,3.9901,3.8318,3.9901,2.0793,2957081.0,0.0,1.0
2000-02-09,4.0113,4.0429,3.9479,3.9585,2.0628,2049347.0,0.0,1.0
2000-02-10,3.969,3.9901,3.9057,3.9321,2.049,3141097.0,0.0,1.0
2000-02-11,3.8951,3.8951,3.8529,3.8635,2.0133,1862469.0,0.0,1.0
2000-02-14,3.8529,3.8846,3.8318,3.8318,1.9968,2340420.0,0.0,1.0
2000-02-15,3.8635,3.9268,3.8529,3.9162,2.0408,2922980.0,0.0,1.0
2000-02-16,3.9585,4.0113,3.9374,3.9796,2.0738,2640977.0,0.0,1.0
2000-02-17,4.0113,4.1094,3.9057,3.9374,2.0518,3034489.0,0.0,1.0
2000-02-18,3.9585,4.0113,3.874,3.9162,2.0408,4345203.0,0.0,1.0
2000-02-21,3.9057,4.0851,3.8951,4.0524,2.1117,1842182.0,0.0,1.0
2000-02-22,4.064,4.0957,3.9268,3.9479,2.0573,2593169.0,0.0,1.0
2000-02-23,3.9479,3.9901,3.8635,3.874,2.0188,4688326.0,0.0,1.0
2000-02-24,3.7927,3.7927,3.7262,3.7579,2.0155,5968507.0,0.0,1.0
2000-02-25,3.7473,3.8635,3.7157,3.8487,2.0642,21654294.0,0.0,1.0
2000-02-28,3.8424,3.8529,3.7579,3.779,2.0268,3106126.0,0.0,1.0
2000-02-29,3.8001,3.8212,3.7473,3.7579,2.0155,2687779.0,0.0,1.0
2000-03-01,3.7685,3.7685,3.6312,3.6629,1.9645,4074945.0,0.0,1.0
2000-03-02,3.6735,3.6735,3.5362,3.589,1.9249,4796044.0,0.0,1.0
2000-03-03,3.6513,3.6735,3.6207,3.6312,1.9475,3359179.0,0.0,1.0
