date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,6.9884,7.2765,6.9884,7.227,3.1127,707713.0,0.0,1.0
2000-01-05,6.9369,7.2072,6.9369,7.1775,3.0914,1204867.0,0.0,1.0
2000-01-06,7.1577,7.3755,7.1478,7.326,3.1553,1560819.0,0.0,1.0
2000-01-07,7.2082,7.4052,7.2082,7.4052,3.1894,958769.0,0.0,1.0
2000-01-10,7.425,7.6032,7.4151,7.5735,3.2619,353527.0,0.0,1.0
2000-01-11,7.326,7.5834,7.326,7.5735,3.2619,2069746.0,0.0,1.0
2000-01-12,7.4745,7.5933,7.425,7.4676,3.2163,1893044.0,0.0,1.0
2000-01-13,7.4062,7.4151,7.2864,7.3557,3.1681,1851619.0,0.0,1.0
2000-01-14,7.3329,7.425,7.3062,7.425,3.198,969394.0,0.0,1.0
2000-01-17,7.425,7.4448,7.3755,7.4052,3.1894,1737908.0,0.0,1.0
2000-01-18,7.3963,7.5735,7.326,7.425,3.198,1215501.0,0.0,1.0
2000-01-19,7.3795,7.425,7.2864,7.425,3.198,620310.0,0.0,1.0
2000-01-20,7.3458,7.3755,7.2072,7.2963,3.1425,1099085.0,0.0,1.0
2000-01-21,7.2884,7.2963,7.1874,7.1874,3.0956,900605.0,0.0,1.0
2000-01-24,7.1676,7.2765,7.128,7.2666,3.1297,157134.0,0.0,1.0
2000-01-25,7.0706,7.1924,7.0706,7.1924,3.0977,778196.0,0.0,1.0
2000-01-26,7.1924,7.1924,7.1924,7.1924,3.0977,0.0,0.0,1.0
2000-01-27,7.1676,7.1676,7.0785,7.1181,3.0658,1216683.0,0.0,1.0
2000-01-28,7.1082,7.227,7.1082,7.1676,3.0871,1229447.0,0.0,1.0
2000-01-31,7.0983,7.0983,6.9795,7.0092,3.0189,398204.0,0.0,1.0
2000-02-01,7.029,7.128,7.029,7.1033,3.0594,490227.0,0.0,1.0
2000-02-02,7.1706,7.1706,6.9894,6.9894,3.0103,644866.0,0.0,1.0
2000-02-03,7.029,7.0785,6.9399,7.0785,3.0487,2324210.0,0.0,1.0
2000-02-04,7.0785,7.1676,7.0785,7.128,3.07,868484.0,0.0,1.0
2000-02-07,7.127,7.2171,7.127,7.1973,3.0999,352929.0,0.0,1.0
2000-02-08,7.2171,7.4151,7.2171,7.3557,3.1681,814054.0,0.0,1.0
2000-02-09,7.3557,7.425,7.3557,7.3755,3.1766,1017978.0,0.0,1.0
2000-02-10,7.425,7.722,7.3755,7.722,3.3259,2283362.0,0.0,1.0
2000-02-11,7.6369,7.9695,7.6369,7.7715,3.3472,726016.0,0.0,1.0
2000-02-14,7.7081,7.722,7.5735,7.6923,3.3131,416667.0,0.0,1.0
2000-02-15,7.6745,7.6745,7.1775,7.425,3.198,1309998.0,0.0,1.0
2000-02-16,7.425,7.425,7.128,7.128,3.07,686678.0,0.0,1.0
2000-02-17,7.1379,7.227,6.9201,7.1072,3.0611,973348.0,0.0,1.0
2000-02-18,7.1082,7.1082,6.7815,6.9399,2.989,669638.0,0.0,1.0
2000-02-21,6.732,7.0785,6.732,7.0785,3.0487,235600.0,0.0,1.0
2000-02-22,7.0211,7.0211,6.732,6.8112,2.9336,875301.0,0.0,1.0
2000-02-23,6.8013,6.93,6.6528,6.7132,2.8914,665592.0,0.0,1.0
2000-02-24,6.7775,6.93,6.7023,6.7607,2.9118,851852.0,0.0,1.0
2000-02-25,6.7508,7.1379,6.7508,7.1379,3.0743,883476.0,0.0,1.0
2000-02-28,7.1775,7.1775,7.029,7.1775,3.0914,375829.0,0.0,1.0
2000-02-29,7.1854,7.425,7.0785,7.326,3.1553,899481.0,0.0,1.0
2000-03-01,7.3092,7.5735,7.3062,7.4804,3.2218,786265.0,0.0,1.0
2000-03-02,7.425,7.425,7.128,7.1775,3.0914,970326.0,0.0,1.0
2000-03-03,7.1181,7.1181,6.9399,7.029,3.0274,917563.0,0.0,1.0
2000-03-06,7.1082,7.1082,6.831,6.93,3.0454,285825.0,0.0,1.0
2000-03-07,6.9399,7.128,6.93,7.128,3.1324,663571.0,0.0,1.0
2000-03-08,6.831,7.029,6.831,6.9696,3.0628,375147.0,0.0,1.0
2000-03-09,6.8963,7.0686,6.7815,6.7815,2.9802,417088.0,0.0,1.0
2000-03-10,6.8805,6.8805,6.6924,6.7221,2.954,1299076.0,0.0,1.0
2000-03-13,6.7518,6.8013,6.7221,6.732,2.9584,349578.0,0.0,1.0
2000-03-14,6.732,6.93,6.732,6.93,3.0454,1049840.0,0.0,1.0
2000-03-15,6.9102,6.93,6.8409,6.9201,3.0411,566529.0,0.0,1.0
2000-03-16,6.9666,6.9795,6.831,6.8805,3.0237,492219.0,0.0,1.0
2000-03-17,7.029,7.3755,7.029,7.3359,3.2238,1342280.0,0.0,1.0
2000-03-20,7.3517,7.425,7.3517,7.3933,3.249,1455740.0,0.0,1.0
2000-03-21,7.3953,7.425,7.2765,7.425,3.2629,854362.0,0.0,1.0
2000-03-22,7.4151,7.4943,7.3656,7.4497,3.2738,796557.0,0.0,1.0
2000-03-23,7.3884,7.425,7.128,7.3557,3.2325,726388.0,0.0,1.0
2000-03-24,7.227,7.2765,7.128,7.1854,3.1577,313884.0,0.0,1.0
2000-03-27,7.1924,7.326,7.1775,7.2369,3.1803,1094256.0,0.0,1.0
2000-03-28,7.1577,7.3062,7.1577,7.2765,3.1977,1017220.0,0.0,1.0
2000-03-29,7.2765,7.3062,7.2072,7.227,3.1759,573013.0,0.0,1.0
2000-03-30,7.128,7.128,6.9795,6.9993,3.0759,1250070.0,0.0,1.0
2000-03-31,6.9399,6.9993,6.8013,6.93,3.0454,784702.0,0.0,1.0
2000-04-03,6.93,6.93,6.831,6.93,3.0454,434184.0,0.0,1.0
2000-04-04,6.9399,7.227,6.93,7.1775,3.1542,804389.0,0.0,1.0
2000-04-05,6.9815,7.5735,6.9815,7.4379,3.2686,1164986.0,0.0,1.0
2000-04-06,7.4309,7.4309,7.0686,7.1379,3.1368,461137.0,0.0,1.0
2000-04-07,7.1379,7.1775,7.029,7.0894,3.1155,467227.0,0.0,1.0
2000-04-10,7.1231,7.1775,6.9597,7.0884,3.115,879565.0,0.0,1.0
2000-04-11,7.0884,7.1874,7.0785,7.0785,3.1107,923728.0,0.0,1.0
2000-04-12,7.1211,7.1211,6.8805,6.9894,3.0715,348824.0,0.0,1.0
2000-04-13,6.93,6.93,6.6825,6.7815,2.9802,1031509.0,0.0,1.0
2000-04-14,6.7815,7.0389,6.732,6.93,3.0454,1189972.0,0.0,1.0
2000-04-17,6.6706,6.8904,6.6706,6.8904,3.028,240547.0,0.0,1.0
2000-04-18,6.9369,6.9795,6.8706,6.9795,3.0672,969340.0,0.0,1.0
2000-04-19,6.9696,6.9696,6.831,6.93,3.0454,617304.0,0.0,1.0
2000-04-20,6.93,7.0389,6.831,7.029,3.0889,297234.0,0.0,1.0
2000-04-21,7.029,7.029,7.029,7.029,3.0889,0.0,0.0,1.0
2000-04-24,7.029,7.029,7.029,7.029,3.0889,0.0,0.0,1.0
2000-04-25,7.029,7.029,7.029,7.029,3.0889,0.0,0.0,1.0
2000-04-26,7.029,7.0488,6.7815,6.7815,2.9802,674332.0,0.0,1.0
2000-04-27,6.7914,6.9795,6.7716,6.9795,3.0672,730758.0,0.0,1.0
2000-04-28,6.9795,7.1211,6.8904,7.1211,3.1294,868297.0,0.0,1.0
2000-05-01,7.1082,7.128,6.9003,7.128,3.1324,291009.0,0.0,1.0
2000-05-02,7.128,7.1973,7.0686,7.1973,3.1629,482506.0,0.0,1.0
2000-05-03,7.128,7.128,6.8805,6.8805,3.0237,433452.0,0.0,1.0
2000-05-04,6.7815,6.8805,6.732,6.8023,2.9893,239551.0,0.0,1.0
2000-05-05,6.7469,7.0488,6.6825,6.934,3.0472,478670.0,0.0,1.0
2000-05-08,6.93,6.9795,6.831,6.9696,3.0628,675918.0,0.0,1.0
2000-05-09,6.9696,6.9696,6.831,6.8508,3.0106,548331.0,0.0,1.0
2000-05-10,6.7815,6.831,6.7221,6.732,2.9584,1053319.0,0.0,1.0
2000-05-11,6.7122,6.7122,6.534,6.5736,2.8888,749676.0,0.0,1.0
2000-05-12,6.5231,6.7518,6.5231,6.6568,2.9253,975914.0,0.0,1.0
2000-05-15,6.633,6.831,6.4548,6.831,3.0019,648857.0,0.0,1.0
2000-05-16,6.831,6.831,6.5439,6.831,3.0019,165665.0,0.0,1.0
2000-05-17,6.6825,6.6825,6.5736,6.6092,2.9045,342673.0,0.0,1.0
2000-05-18,6.5835,6.5835,6.4845,6.534,2.8714,659707.0,0.0,1.0
2000-05-19,6.5281,6.534,6.4647,6.4845,2.8496,219255.0,0.0,1.0
2000-05-22,6.4548,6.4845,6.3855,6.435,2.8279,331196.0,0.0,1.0
2000-05-23,6.534,6.5439,6.3657,6.3855,2.8061,263323.0,0.0,1.0
2000-05-24,6.336,6.336,6.2271,6.2469,2.7452,1575867.0,0.0,1.0
2000-05-25,6.2707,6.336,6.237,6.2667,2.7539,660797.0,0.0,1.0
2000-05-26,6.237,6.2865,6.2172,6.237,2.7409,519158.0,0.0,1.0
2000-05-29,6.237,6.43,6.237,6.43,2.8257,50939.0,0.0,1.0
2000-05-30,6.4538,6.732,6.4538,6.732,2.9584,158279.0,0.0,1.0
2000-05-31,6.7389,6.8805,6.5934,6.5934,2.8975,1069676.0,0.0,1.0
