date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-08-31,2.45,2.52,2.4,2.5,2.1171,10291317.0,0.0,1.0
2016-09-01,2.48,2.52,2.48,2.52,2.134,2507263.0,0.0,1.0
2016-09-02,2.48,2.48,2.44,2.46,2.0832,1483088.0,0.0,1.0
2016-09-05,2.46,2.46,2.42,2.43,2.0578,710456.0,0.0,1.0
2016-09-06,2.43,2.43,2.4,2.4,2.0324,714382.0,0.0,1.0
2016-09-07,2.41,2.41,2.36,2.36,1.9985,614470.0,0.0,1.0
2016-09-08,2.35,2.4,2.3,2.36,1.9985,735392.0,0.0,1.0
2016-09-09,2.35,2.39,2.34,2.37,2.007,189442.0,0.0,1.0
2016-09-12,2.36,2.36,2.3,2.35,1.9901,667482.0,0.0,1.0
2016-09-13,2.38,2.4,2.36,2.37,2.007,423640.0,0.0,1.0
2016-09-14,2.37,2.38,2.35,2.36,1.9985,208014.0,0.0,1.0
2016-09-15,2.36,2.4,2.36,2.38,2.0155,346577.0,0.0,1.0
2016-09-16,2.37,2.4,2.37,2.39,2.0239,383774.0,0.0,1.0
2016-09-19,2.4,2.43,2.4,2.43,2.0578,51571.0,0.0,1.0
2016-09-20,2.43,2.43,2.36,2.37,2.007,171687.0,0.0,1.0
2016-09-21,2.38,2.39,2.36,2.38,2.0155,347197.0,0.0,1.0
2016-09-22,2.36,2.4,2.36,2.39,2.0239,461923.0,0.0,1.0
2016-09-23,2.39,2.39,2.36,2.38,2.0155,150503.0,0.0,1.0
2016-09-26,2.37,2.4,2.37,2.37,2.007,523894.0,0.0,1.0
2016-09-27,2.37,2.38,2.36,2.36,1.9985,50228.0,0.0,1.0
2016-09-28,2.37,2.39,2.36,2.38,2.0155,1192035.0,0.0,1.0
2016-09-29,2.38,2.4,2.37,2.38,2.0155,174261.0,0.0,1.0
2016-09-30,2.38,2.4,2.38,2.38,2.0155,26087.0,0.0,1.0
2016-10-03,2.39,2.39,2.38,2.38,2.0155,62640.0,0.0,1.0
2016-10-04,2.38,2.41,2.38,2.41,2.0409,279353.0,0.0,1.0
2016-10-05,2.39,2.43,2.39,2.41,2.0409,289289.0,0.0,1.0
2016-10-06,2.41,2.42,2.39,2.39,2.0239,204475.0,0.0,1.0
2016-10-07,2.39,2.4,2.37,2.39,2.0239,102799.0,0.0,1.0
2016-10-10,2.39,2.4,2.36,2.4,2.0324,336557.0,0.0,1.0
2016-10-11,2.39,2.4,2.36,2.39,2.0239,97094.0,0.0,1.0
