date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-01-03,0.9325,0.9325,0.9325,0.9325,0.6099,0.0,0.0,1.0
2007-01-04,1.0817,1.0817,0.9791,0.9978,0.6526,5972778.0,0.0,1.0
2007-01-05,1.0351,1.0864,1.0258,1.0817,0.7075,8649684.0,0.0,1.0
2007-01-08,1.105,1.1657,1.0817,1.1563,0.7563,4345814.0,0.0,1.0
2007-01-09,1.175,1.175,1.147,1.1657,0.7624,2665697.0,0.0,1.0
2007-01-10,1.189,1.3009,1.1843,1.2589,0.8233,3388591.0,0.0,1.0
2007-01-11,1.2775,1.3055,1.1983,1.2123,0.7928,3757804.0,0.0,1.0
2007-01-12,1.2029,1.2029,1.147,1.1563,0.7563,1493908.0,0.0,1.0
2007-01-15,1.1936,1.2123,1.1703,1.1936,0.7806,2258552.0,0.0,1.0
2007-01-16,1.2123,1.2589,1.2123,1.2542,0.8203,2676033.0,0.0,1.0
2007-01-17,1.2449,1.2496,1.2216,1.2216,0.799,1460074.0,0.0,1.0
2007-01-18,1.2356,1.2496,1.2216,1.2263,0.802,1129539.0,0.0,1.0
2007-01-19,1.2263,1.2542,1.2216,1.2309,0.805,772040.0,0.0,1.0
2007-01-22,1.2403,1.2403,1.2076,1.2169,0.7959,1048519.0,0.0,1.0
2007-01-23,1.2169,1.2169,1.2029,1.2123,0.7928,837802.0,0.0,1.0
2007-01-24,1.2216,1.2216,1.1936,1.1936,0.7806,711662.0,0.0,1.0
2007-01-25,1.2029,1.2123,1.1936,1.2029,0.7868,553025.0,0.0,1.0
2007-01-29,1.2029,1.2029,1.147,1.1517,0.7532,1256596.0,0.0,1.0
2007-01-30,1.1657,1.1936,1.1517,1.1657,0.7624,816540.0,0.0,1.0
2007-01-31,1.1657,1.189,1.1657,1.1843,0.7746,710135.0,0.0,1.0
2007-02-01,1.1843,1.1936,1.1796,1.1843,0.7746,784409.0,0.0,1.0
2007-02-02,1.1843,1.1843,1.175,1.1843,0.7746,684154.0,0.0,1.0
2007-02-05,1.1843,1.1843,1.1703,1.175,0.7685,388351.0,0.0,1.0
2007-02-06,1.175,1.1796,1.161,1.1657,0.7624,918877.0,0.0,1.0
2007-02-07,1.175,1.1843,1.1703,1.175,0.7685,433350.0,0.0,1.0
2007-02-08,1.1703,1.175,1.161,1.161,0.7593,535401.0,0.0,1.0
2007-02-09,1.1657,1.1703,1.1563,1.1703,0.7654,330482.0,0.0,1.0
2007-02-12,1.1703,1.1703,1.1517,1.1657,0.7624,324069.0,0.0,1.0
2007-02-13,1.1657,1.1703,1.161,1.161,0.7593,121583.0,0.0,1.0
2007-02-14,1.161,1.161,1.1423,1.1423,0.7471,416743.0,0.0,1.0
2007-02-15,1.1423,1.1423,1.105,1.1283,0.738,652940.0,0.0,1.0
2007-02-16,1.119,1.1563,1.119,1.1377,0.7441,467874.0,0.0,1.0
2007-02-19,1.1377,1.1563,1.105,1.119,0.7319,810364.0,0.0,1.0
2007-02-20,1.1283,1.1283,1.1004,1.105,0.7227,297287.0,0.0,1.0
